Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Apple Inc (AAPL US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
3 Months Ending,,09/27/2014,,12/27/2014,,03/28/2015,,06/27/2015,,09/26/2015,,12/26/2015,,03/26/2016,,06/25/2016,,09/24/2016,,12/31/2016,,04/01/2017,,07/01/2017,,09/30/2017,,12/30/2017,,03/31/2018,,06/30/2018,,09/29/2018,,12/29/2018,,03/30/2019,,06/29/2019,,09/28/2019,,12/28/2019,,03/28/2020,,06/27/2020,,09/26/2020,,12/26/2020,,03/27/2021,,06/26/2021,,09/25/2021,,12/25/2021,,03/26/2022,,06/25/2022,,09/24/2022,,12/31/2022,,04/01/2023,,07/01/2023,,09/30/2023,,12/30/2023,,03/30/2024,,06/29/2024,
Revenue,,42123,1.0,74599,1.0,58010,1.0,49605,1.0,51501,1.0,75872,1.0,50557,1.0,42358,1.0,46852,1.0,78351,1.0,52896,1.0,45408,1.0,52579,1.0,88293,1.0,61137,1.0,53265,1.0,62900,1.0,84310,1.0,58015,1.0,53809,1.0,64040,1.0,91819,1.0,58313,1.0,59685,1.0,64698,1.0,111439,1.0,89584,1.0,81434,1.0,83360,1.0,123945,1.0,97278,1.0,82959,1.0,90146,1.0,117154,1.0,94836,1.0,81797,1.0,89498,1.0,119575,1.0,90753,1.0,85777,1.0
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,44078,0.838319481161681,79164,0.896605619924569,51287,0.838886435382829,43095,0.809067868206139,52301,0.831494435612083,73435,0.871011742379314,46565,0.802637248987331,42354,0.787117396718021,51529,0.804637726420987,79104,0.861521035951165,44965,0.7710973539348,46529,0.779576107899807,50149,0.775124424248045,95678,0.858568364755606,72683,0.811339078406858,63948,0.785273964191861,65083,0.780746161228407,104429,0.842543063455565,77457,0.796243755011411,63355,0.763690497715739,70958,0.787145297628292,96388,0.822746129026751,73929,0.779545742123244,60584,0.740662860496106,67184,0.750675992759615,96458,0.806673635793435,66886,0.737011448657345,61564,0.717721533744477
    iPhone,,23678,0.562115708757686,51182,0.68609498786847,40282,0.694397517669367,31368,0.632355609313577,32209,0.625405331935302,51635,0.680554091100801,32857,0.649900112744031,24048,0.567732187544266,28160,0.601041577734142,54378,0.69403070796799,33249,0.628573049001815,24846,0.547172304439746,28846,0.548622073451378,61104,0.692059393156875,37559,0.614341560756988,29470,0.553271378954285,36755,0.584340222575517,51982,0.616557940932274,31051,0.535223649056279,25986,0.482930364808861,33362,0.520955652717052,55957,0.60942724272754,28962,0.496664551643716,26418,0.442623774817793,26444,0.40872979071996,65597,0.588635935354768,47938,0.535117878192534,39570,0.485914974089447,38868,0.46626679462572,71628,0.577901488563476,50570,0.519850325870186,40665,0.490181897081691,42626,0.472855146096333,65775,0.561440497123444,51334,0.541292336243621,39669,0.484968886389476,43805,0.489452278263201,69702,0.582914488814552,45963,0.506462596277809,39296,0.458118143558296
"    Wearables, Home & Accessories",,1896,0.0450110390997792,2689,0.0360460595986541,1689,0.0291156697121186,2641,0.0532406007458925,3048,0.0591833168287994,4351,0.0573465837199494,2189,0.0432976640227862,2219,0.0523867982435431,2373,0.0506488517032357,4024,0.0513586297558423,2873,0.0543141258318209,2735,0.0602316772374912,3231,0.0614503889385496,5481,0.0620774013794978,3944,0.0645108526751394,3733,0.0700835445414437,4223,0.0671383147853736,7308,0.0866801091211007,5129,0.0884081703007843,5525,0.102677990670706,6520,0.101811367895066,10010,0.109018830525273,6284,0.107763277485295,6450,0.108067353606434,7876,0.121734829515596,12971,0.116395516829835,7836,0.0874709769601715,8775,0.107755974163126,8785,0.105386276391555,14701,0.11860906047037,8806,0.0905240650506795,8084,0.0974457262020998,9650,0.107048565660151,13482,0.115079297335132,8757,0.0923383525243578,8284,0.101275107889042,9322,0.104158752150886,11953,0.0999623667154506,7913,0.0871927098828689,8097,0.0943959336418854
    iPad,,5316,0.126201837475963,8985,0.120443973779809,5428,0.0935700741251509,4538,0.0914827134361455,4276,0.0830275140288538,7084,0.0933677773091523,4413,0.0872876159582254,4876,0.11511402804665,4255,0.0908178946469734,5533,0.0706181159142832,3889,0.0735216273442226,4969,0.109430056377731,4831,0.0918807889081192,5755,0.0651807051521638,4008,0.0655576819274744,4634,0.0869989674270159,3983,0.0633227344992051,6729,0.0798125963705373,4872,0.0839782814789279,5023,0.0933486963147429,4656,0.0727045596502186,5977,0.06509545954541,4368,0.0749061101298167,6582,0.110278964563961,6797,0.105057343349099,8435,0.0756916339881011,7807,0.087147258439007,7368,0.0904781786477393,8252,0.0989923224568138,7248,0.0584775505264432,7646,0.0785994777853163,7224,0.0870791595848552,7174,0.0795820114037229,9396,0.0802021271147379,6670,0.0703319414568307,5791,0.0707972175018644,6443,0.071990435540459,7023,0.058733012753502,5559,0.0612541734157548,7162,0.0834955757370857
    Mac,,6625,0.15727749685445,6944,0.0930843576991649,5615,0.096793656266161,6030,0.121560326579982,6882,0.133628473233529,6746,0.0889129059468579,5107,0.101014696283403,5239,0.123683837763823,5739,0.12249210279177,7244,0.0924557440236883,5844,0.110480943738657,5592,0.123150105708245,7170,0.136366229863634,6824,0.0772881202360323,5776,0.0944763400232265,5258,0.0987139772833943,7340,0.116693163751987,7416,0.0879610959554027,5513,0.0950271481513402,5820,0.108160344923712,6991,0.109166146158651,7160,0.0779795031529422,5351,0.0917634146759728,7079,0.118606014911619,9032,0.13960246066339,8675,0.0778452785829019,9102,0.101602964815146,8235,0.101124837291549,9178,0.110100767754319,10852,0.0875549638952761,10435,0.107269886305228,7382,0.0889837148470931,11508,0.127659574468085,7735,0.0660242074534374,7168,0.0755831118984352,6840,0.0836216487157231,7614,0.0850745268050683,7780,0.065063767509931,7451,0.0821019690809119,7009,0.0817118808072094
  Services,,4608,0.109393917812122,4799,0.0643306210539015,4996,0.0861230822272022,5028,0.101360749924403,5086,0.0987553639735151,6056,0.0798186419232391,5991,0.118499910991554,5976,0.141083148401719,6325,0.134999573123879,7172,0.0915368023381961,7041,0.133110254083485,7266,0.160015856236786,8501,0.161680518838319,9129,0.103394380075431,9850,0.161113564617171,10170,0.190932131793861,10599,0.168505564387917,10875,0.128988257620686,11450,0.197362751012669,11455,0.212882603281979,12511,0.195362273579013,12715,0.138478964048835,13348,0.2289026460652,13156,0.220423892100193,14549,0.224875575751955,15761,0.141431635244394,16901,0.188660921593142,17486,0.214726035808139,18277,0.219253838771593,19516,0.157456936544435,19821,0.203756244988589,19604,0.236309502284261,19188,0.212854702371708,20766,0.177253870973249,20907,0.220454257876756,21213,0.259337139503894,22314,0.249324007240385,23117,0.193326364206565,23867,0.262988551342655,24213,0.282278466255523
% of Revenue - Supplementary,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Services,,—,,6,,9,,10,,—,,8,,12,,14,,—,,9,,13,,16,,—,,10,,15,,18,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,90,,85,,82,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Wearables, Home & Accessories",,—,,4,,3,,6,,—,,6,,4,,5,,—,,6,,6,,6,,—,,5,,6,,7,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    iPhone,,—,,69,,69,,63,,—,,68,,65,,57,,—,,69,,63,,55,,—,,70,,62,,56,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Mac,,—,,9,,10,,12,,—,,9,,10,,12,,—,,9,,11,,12,,—,,8,,10,,10,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    iPad,,—,,12,,9,,9,,—,,9,,9,,12,,—,,7,,7,,11,,—,,7,,7,,9,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,54381,1.0,37715,1.0,32844,1.0,38816,1.0,52279,1.0,36194,1.0,33582,1.0,39727,1.0,56602,1.0,35943,1.0,37005,1.0,40009,1.0,67111,1.0,51505,1.0,46179,1.0,48186,1.0,69702,1.0,54719,1.0,47074,1.0,52051,1.0,66822,1.0,52860,1.0,45384,1.0,49071,1.0,64720,1.0,48482,1.0,46099,1.0
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,50575,0.930012320479579,33936,0.899801140129922,28956,0.881622214103033,34697,0.893883965375103,48238,0.922703188660839,32047,0.885422998287009,29473,0.877642784825204,35238,0.887003800941425,52075,0.920020493975478,31321,0.871407506329466,32693,0.883475206053236,35197,0.879727061411183,62130,0.925779678443176,46447,0.90179594214154,40899,0.885662314038849,42790,0.888017266425933,64309,0.922627758170497,49290,0.900784005555657,41485,0.881272039767175,46387,0.891183646807938,60765,0.909356200053875,46795,0.885262958758986,39136,0.862330336682531,42586,0.867844551771922,58440,0.902966625463535,42424,0.875046408976527,39803,0.863424369292176
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3806,0.0699876795204207,3779,0.100198859870078,3888,0.118377785896967,4119,0.106116034624897,4041,0.077296811339161,4147,0.114577001712991,4109,0.122357215174796,4489,0.112996199058575,4527,0.0799795060245221,4622,0.128592493670534,4312,0.116524793946764,4812,0.120272938588818,4981,0.0742203215568238,5058,0.0982040578584603,5280,0.114337685961151,5396,0.111982733574067,5393,0.0773722418295027,5429,0.0992159944443429,5589,0.118727960232825,5664,0.108816353192062,6057,0.0906437999461255,6065,0.114737041241014,6248,0.137669663317469,6485,0.132155448228078,6280,0.0970333745364648,6058,0.124953591023473,6296,0.136575630707824
Gross Profit,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,33912,1.0,23422,1.0,20421,1.0,24084,1.0,32031,1.0,21821,1.0,20227,1.0,24313,1.0,35217,1.0,22370,1.0,22680,1.0,24689,1.0,—,,—,,—,,35174,1.0,54243,1.0,—,,35885,1.0,38095,1.0,50332,1.0,41976,1.0,36413,1.0,40427,1.0,54855,1.0,42271,1.0,39678,1.0
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,28589,0.843034913894786,17351,0.740799248569721,14139,0.692375495813133,17604,0.730941704035874,25197,0.786644188442446,14518,0.665322395857202,12881,0.63682206951105,16291,0.670053058034796,27029,0.767498651219581,13644,0.609924005364327,13836,0.61005291005291,14952,0.60561383612135,—,,—,,—,,22293,0.633792005458577,40120,0.739634607230426,—,,21870,0.609446844085272,24571,0.644992781204883,35623,0.707760470476039,27134,0.646417000190585,21448,0.589020404800483,24598,0.608454745590818,38018,0.693063531127518,24462,0.578694613328287,21761,0.548439941529311
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5323,0.156965086105213,6071,0.259200751430279,6282,0.307624504186866,6480,0.269058295964126,6834,0.213355811557554,7303,0.334677604142798,7346,0.36317793048895,8022,0.329946941965204,8188,0.232501348780419,8726,0.390075994635673,8844,0.38994708994709,9737,0.39438616387865,—,,—,,—,,12881,0.366207994541423,14123,0.260365392769574,—,,14015,0.390553155914728,13524,0.355007218795117,14709,0.292239529523961,14842,0.353582999809415,14965,0.410979595199517,15829,0.391545254409182,16837,0.306936468872482,17809,0.421305386671713,17917,0.451560058470689
Gross Margin,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,58.3,,61.6,,61.8,,61.13,,62.8,,63.8,,64.1,,64.12,,64.4,,65.4,,67.2,,67,,—,,—,,—,,70.5,,72.4,,72.6,,71.5,,70.5,,70.8,,71,,70.5,,70.9,,72.8,,74.6,,74,
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,36.1,,33.8,,32.8,,33.66,,34.3,,31.2,,30.4,,31.61,,34.2,,30.3,,29.7,,30,,—,,—,,—,,34.3,,38.4,,36.4,,34.5,,34.6,,37,,36.7,,35.4,,36.9,,39.4,,36.6,,35.3,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,,—,,—,,—,,11,,—,,20.95,,—,,37.4,,29.78,,—,,5,,-0.92,,9.026,,-7.6,,-4.5,,-4.38,,-28.48,,0.072,,-9.53,,37.09,
    iPad,,-14,,-22,,-29,,-23,,-20,,-21,,-19,,7,,0,,-22,,-12,,2,,14,,6,,6,,-5,,-15,,17,,22,,8,,17,,-11,,-10,,31,,46,,41.12,,78.7,,11.9,,21.41,,-14,,-2.1,,-1.95,,-13.063,,30,,-12.8,,-20,,-9.2,,-25,,-16.66,,24,
    Mac,,18,,9,,2,,9,,4,,-3,,-9,,-13,,-17,,7,,14,,7,,25,,-5,,0,,-5,,3,,9,,-5,,11,,-5,,-3,,-3,,22,,29,,21.16,,70.1,,16.3,,1.62,,25,,14.6,,-10.36,,25.386,,-29,,-31.3,,-7,,-40.7,,1,,3.95,,2,
    iPhone,,21,,57,,55,,59,,36,,1,,-18,,-23,,-13,,5,,1,,3,,2,,13,,14,,20,,29,,-15,,-17,,-12,,-9,,8,,-7,,2,,-21,,17.23,,65.5,,49.8,,46.98,,9,,5.5,,2.77,,9.745,,-8,,1.5,,-2,,0.5,,6,,-10.46,,-1,
"    Wearables, Home & Accessories",,13,,-5,,-10,,49,,61,,62,,30,,-16,,-22,,-8,,31,,23,,36,,36,,38,,37,,31,,33,,30,,48,,54,,37,,23,,17,,21,,29.58,,24.7,,36,,11.54,,13,,12.4,,-7.87,,9.846,,-8,,-0.5,,2,,-5.21,,-11,,-9.64,,-2,
