Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,686.314,417.171,269.143,243.304,,,,47.106,,,,,51.779,,,,,1028.5031,530.191,648.649,118.458,0,,,85.49,,,,,,,,85.49,615.681,1644.184,462.743,557.878,-264.395,0,-264.395,0,0,0,,,,,-116.28,,-380.675,0,12.913,-102.567,94.406,-196.973,83.306,,-6.348,,170.855,,,293.483,296.5983,306.396,0.0326,32.0776,1.2056,1843.432,,362.589,,1480.843,,831.001,,,,,,649.842,,,4.515,,,,,670.644,,,,,,,,,,207.901,462.743,0,,,462.743,0,462.743,0,,462.743,,9007.6319,0.0515,0.0515,0.0515,9007.6319,0.0515,0.0515,0.0515,US GAAP,725.604,39.3616,649.842,80.3308,35.2517,25.1023,224098.226,40.7812,33.6598,40.5915,39.0694,38.8802,36.3802,25.1023,25.1023,31.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,1344.901,791.438,553.463,270.215,,,,85.873,,,,,68.715,,,,,1769.704,766.63,977.199,210.569,0,,,103.569,,,,,,,,103.569,870.199,2639.9031,708.06,896.381,-316.642,0,-316.642,0,0,0,,,,,-324.938,,-641.58,0,-11.132,0.222,135.201,-134.979,129.911,,119.001,,373.802,,,579.739,581.0908,568.607,0.0616,37.6396,1.266,2758.7251,,466.424,,2292.3011,,1296.322,,,,,,995.979,,,1.988,,,,,1041.265,,,,,,,,,,333.205,708.06,0,,,708.06,0,708.06,0,,708.06,,9414.9756,0.0753,0.0753,0.0753,9414.9756,0.0753,0.0753,0.0753,US GAAP,1108.3,40.1744,995.979,83.0928,36.1029,25.6662,239016.2102,39.9606,33.0554,39.7255,37.9254,37.8171,37.7444,25.6662,25.6662,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,2290,1013,1277,338,,,,127,,,,,95,,,,,2850,867,1181,314,0,,,88,,,,,,,,88,955,3805,953,1074,-236,0,-236,0,0,0,,,,,-740,,-976,0,0,-21,229,-250,145,,124,,222,,,838,,838,0.0864,30.8695,1.127,3753,,633,,3120,,1794,,,,,,1326,,,,,,,,1401,,,,,,,,,,448,953,0,,,953,0,953,0,,953,,9696,0.0984,0.0984,0.0984,9696,0.0984,0.0984,0.0984,US GAAP,1477,39.3552,1326,83.1335,35.3317,25.393,260083.1601,35.0693,29.5738,,33.1411,33.1921,37.3301,25.393,25.393,31.9772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,3614,1477,2137,475,,,,102,,,,,121,,,,,4312,930,1445,515,0,,,121,,,,,,,,121,1051,5363,1146,1593,-278,0,-278,0,0,0,,,,,-924,,-1202,0,0,-68,280,-348,141,,73,,464,,,1315,1316.331,1315,0.1347,18.7001,1.3901,4649,,763,,3886,,2160,,,,,,1726,,,2,,,,,1722,,,,,,,,,,576,1146,0,,,1146,0,1146,0,,1146,,9760,0.1175,0.1175,0.1175,9760,0.1175,0.1175,0.1175,US GAAP,1963,42.2241,1726,83.5879,37.1263,24.6505,304712.5909,29.7972,25,29.8318,29.8664,44.6429,37.0402,24.6505,24.6505,33.4495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,4750,1962,2788,581,,,,88,,,,,201,,,,,5620,1192,1907,715,0,,,398,,,,,,,,398,1590,7210,1453,1990,-495,0,-495,0,0,0,,,,,-881,,-1376,0,0,-317,332,-649,188,,-129,,485,,,1495,1496.341,1495,0.149,25.6357,1.3696,5937,,877,,5060,,3022,,,,,,2038,,,2,,,,,2167,,,,,,,,,,714,1453,0,,,1453,0,1453,0,,1453,,10032,0.145,0.145,0.145,10032,0.145,0.145,0.145,US GAAP,2307,38.858,2038,85.2282,34.3271,24.4736,333520.5887,29.7046,23.113,29.3569,27.6061,24.2236,36.4999,24.4736,24.4736,32.9488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,6940,2601,4339,639,,,,,,,,,260,,,,,7839,1326,2346,1020,0,,,928,,,,,,,,928,2254,10093,2195,3719,-494,0,-494,0,0,0,,,,,-2176,,-2670,0,0,-757,504,-1261,347,,-410,,639,758,,3225,3225,3225,0.3149,17.414,1.6943,8671,,1188,,7483,,4405,,,,,,3078,,,0,,,,,3379,,,,,,,,,,1184,2195,0,,,2195,0,2195,0,,2195,,10240,0.2144,0.2144,0.2144,10240,0.2144,0.2144,0.2144,US GAAP,3558,41.0333,3078,86.2992,35.4976,25.3143,421720.7334,35.8631,25.3713,35.1453,32.0351,38.0395,38.969,25.3143,25.3143,35.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,8966,3706,5260,980,,,,,,,,,427,,,,,10373,1465,2777,1312,0,,,2549,,,,,,,,2549,4014,14387,3454,4689,-499,0,-499,-1669,0,-1669,,,,,-921,,-3089,-15,0,-1282,1819,-3101,802,,-495,,1105,1100,,4190,4190,5155,0.4381,23.5747,1.3576,11358,,1085,,10273,,5402,,,,,,4871,,,0,,,,,5314,,,,,,,,,,1860,3454,0,,,3454,0,3454,15,,3439,,9564,0.36,0.36,0.36,10488,0.33,0.33,0.33,US GAAP,5428,47.7901,4871,90.4473,42.8861,30.4103,510885.2105,41.1733,28.219,38.7872,35.5537,66.7287,46.7864,30.4103,30.2782,35.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,13927,3839,10088,1460,1460,,,,0,0,0,0,502,,,,,15889,1505,3052,1547,4703,,,260,0,0,0,,,,,260,6468,22357,4490,6880,-656,0,-656,-1598,0,-1598,,,,,-5018,,-7272,-28,0,-971,1497,-2468,1524,,525,,133,1100,,6224,6224,6196,0.3199,50.5039,1.5323,15262,,2460,,12802,,6388,,,,,,6414,,,0,,,,,7117,0,,,,,,,,,2627,4490,0,,,4490,0,4490,28,0,4462,,19456,0.23,0.23,0.23,21448,0.21,0.21,0.21,US GAAP,7438,48.7354,6414,83.8815,42.0259,29.4195,564110.146,35.0731,24.4394,32.7689,29.0373,39.5236,46.6322,29.4195,29.236,36.9116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,17236,4975,12261,2245,2245,,,,,,,,2221,,,,,21702,1611,3516,1905,14372,,,940,0,0,0,,,,,940,16923,38625,7785,13137,-583,0,-583,0,0,0,,,,,-10608,,-11191,-28,0,-834,2116,-2950,52,,-810,,1136,874,,12554,12554,12526,2.4968,13.8864,1.6875,19747,,2814,,16933,,7005,,,,,,9928,,,0,,,,,11891,-160,,,,,,,,,4106,7785,0,,,7785,0,7785,28,0,7757,,5028,0.385,0.385,0.38,5482,0.355,0.355,0.35,US GAAP,10854,54.9653,9928,85.7497,50.276,39.4237,628965.4733,35.9912,25.5321,34.5501,27.6465,78.3501,60.2167,39.4237,39.2819,34.5303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,23798,4846,18952,3250,3250,,,,,,,,3260,,,,,30308,1903,4314,2411,17726,,,2213,0,,,,,,,2213,21842,52150,9421,11426,-879,0,-879,0,0,0,,,,,-8513,,-9392,-13,0,-2179,2717,-4896,29,,-2163,,-129,800,,10547,10547,9567,1.0163,57.4396,1.2128,22956,,3002,,19954,,8948,5176,4126,,,,11006,,-1231,0,1231,,57,,14275,,,,,,,,,,4854,9421,0,,,9421,0,9421,0,0,9421,6.6,10378,0.905,0.905,0.905,11072,0.85,0.85,0.85,US GAAP,12256,53.3891,11006,86.9228,47.9439,41.0394,587109.9744,27.3763,20.7568,26.9919,20.3305,33.593,62.1842,41.0394,41.0394,34.0035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
