Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,446.618,258.9,187.718,151.316,,,,50.029,,,,,31.516,,,,,679.479,281.812,345.119,63.307,0,,,54.023,,,,,,,,54.023,335.835,1015.314,75.169,92.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2304,310.882,,66.096,,244.786,,138.406,,,,,,106.38,,,,,,,,110.546,,,,,,,,,,35.377,75.169,0,,,75.169,0,75.169,0,,75.169,,8729.2798,0.0086,0.0086,0.0086,8729.2798,0.0086,0.0086,0.0086,US GAAP,118.388,,106.38,78.7392,34.2188,24.1793,,,,,,,35.5588,24.1793,24.1793,32.0021
1990-06-29 00:00:00,449.238,246.316,202.922,180.998,,,,55.565,,,,,34.089,,,,,719.89,325.447,399.359,73.912,0,,,60.012,,,,,,,,60.012,385.459,1105.349,79.953,56.779,,,,,,,,,,,,,,,,,,,,,,,56.779,,,,,,,,0.7102,336.972,,69.995,,266.977,,156.489,,,,,,110.488,,,,,,,,117.57,,,,,,,,,,37.6162,79.953,0,,,79.9538,0,79.953,0,,79.953,,6114.3119,0.009,0.009,0.009,6114.3119,0.009,0.009,0.009,US GAAP,124.326,37.142,110.488,79.2282,32.7885,23.7269,59799.8199,,,,,,34.8901,23.7271,23.7269,31.9947
1990-09-28 00:00:00,495.1,354.3,140.8,177.6,,,,58.4,,,,,39.7,,,,,770.8,376.8,461.2,84.4,0,,,55.9,,,,,,,,55.9,432.7,1203.5,87.6,120.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3767,369.4,,76,,293.4,,170.4,,,,,,123,,,,,,,,127,,,,,,,,,,39.4,87.6,0,,,87.6,0,87.6,0,,87.6,,8877.6002,0.0099,0.0099,0.0099,8877.6002,0.0099,0.0099,0.0099,US GAAP,136,37.6926,123,79.4261,33.2972,23.7141,,39.282,31.52,,36.3973,39.937,34.3801,23.7141,23.7141,31.0236
1990-12-31 00:00:00,540.1,334.2,205.9,227.4,,,,63.4,,,,,46.4,,,,,877.3,433.1,530.5,97.4,0,,,55.6,,,,,,,,55.6,488.7,1366,112.9,97.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8601,460.5,,93.6,,366.9,,207.6,,,,,,159.3,,,,,,,,163.5,,,,,,,,,,50.6,112.9,0,,,112.9,0,112.9,0,,112.9,,8906.3998,0.0126,0.0126,0.0126,8906.3998,0.0126,0.0126,0.0126,US GAAP,174.8,37.4564,159.3,79.6743,34.5928,24.5168,,38.4404,31.0888,,36.4678,32.6853,35.5049,24.5168,24.5168,30.948
1991-03-28 00:00:00,605.2,396.8,208.4,223.3,,,,52.9,,,,,47.6,,,,,929,479.6,585.4,105.8,0,,,93.8,,,,,,,,93.8,573.4,1502.4,123.8,150.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2181,486.9,,95.5,,391.4,,217.9,,,,,,173.5,,,,,,,,179.5,,,,,,,,,,55.7,123.8,0,,,123.8,0,123.8,0,,123.8,,9093.6002,0.0136,0.0136,0.0136,9093.6002,0.0136,0.0136,0.0136,US GAAP,192.6,37.9572,173.5,80.3861,35.6336,25.4262,,38.951,32.1127,,36.2992,38.1325,36.8659,25.4262,25.4262,31.0306
1991-06-28 00:00:00,686.314,417.171,269.143,243.304,,,,47.106,,,,,51.779,,,,,1028.5031,530.191,648.649,118.458,0,,,85.49,,,,,,,,85.49,615.681,1644.184,138.443,189.378,,,,,,,,,,,,,,,,,,,,,,,189.378,,,,,,,,1.3679,526.632,,97.489,,429.143,,235.101,,,,,,194.042,,,,,,,,200.644,,,,,,,,,,62.201,138.443,0,,,138.443,0,138.443,0,,138.443,,6963.216,0.0152,0.0152,0.0152,6963.216,0.0152,0.0152,0.0152,US GAAP,222.204,39.3616,194.042,81.4882,36.8458,26.2884,64020.4254,40.7812,33.6598,,39.0694,44.0546,38.0995,26.2884,26.2884,31.0007
1991-09-30 00:00:00,858.9,486.9,372,237.7,,,,58.4,,,,,46.2,,,,,1201.2,587.7,724,136.3,0,,,81.3,,,,,,,,81.3,669,1870.2,144,187.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3049,580.5,,104.5,,476,,273.1,,,,,,202.9,,,,,,,,211.7,,,,,,,,,,67.7,144,0,,,144,0,144,0,,144,,9230.4001,0.0156,0.0156,0.0156,9230.4001,0.0156,0.0156,0.0156,US GAAP,223.6,39.581,202.9,81.9983,34.9526,24.8062,,40.7811,33.7797,,38.9519,37.8494,36.4686,24.8062,24.8062,31.9792
1991-12-31 00:00:00,976,613.6,362.4,259.2,,,,58,,,,,58.4,,,,,1351.6,695.4,853.4,158,0,,,81.4,,,,,,,,81.4,776.8,2128.3999,175.2,218.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.246,681.9,,115.1,,566.8,,320.7,,,,,,246.1,,,,,,,,257.7,,,,,,,,,,82.5,175.2,0,,,175.2,0,175.2,0,,175.2,,9388.8003,0.0187,0.0187,0.0187,9388.8003,0.0187,0.0187,0.0187,US GAAP,270.9,39.953,246.1,83.1207,36.0903,25.6929,,40.2424,33.2786,,38.2047,39.2051,37.7915,25.6929,25.6929,32.014
1992-03-31 00:00:00,1144.1,632.4,511.7,262.7,,,,60.4,,,,,65.8,,,,,1533,728.8,907.7,178.9,0,,,78.2,,,,,,,,78.2,807,2340,178.8,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9732,680.9,,110.1,,570.8,,319.8,,,,,,251,,,,,,,,262.9,,,,,,,,,,84.1,178.8,0,,,178.8,0,178.8,0,,178.8,,9508.8003,0.0187,0.0187,0.0187,9508.8003,0.0187,0.0187,0.0187,US GAAP,278.5,40.2928,251,83.8302,36.863,26.2594,,39.1464,33.1274,,37.1462,39.9484,38.6107,26.2594,26.2594,31.9893
1992-06-30 00:00:00,1344.901,791.438,553.463,270.215,,,,85.873,,,,,68.715,,,,,1769.704,766.63,977.199,210.569,0,,,103.569,,,,,,,,103.569,870.199,2639.9031,210.06,326.779,,,,,,,,,,,,,,,,,,,,,,,326.779,,,,,,,,1.5556,815.425,,136.724,,678.701,,382.722,,,,,,295.979,,,,,,,,308.965,,,,,,,,,,98.905,210.06,0,,,210.06,0,210.06,0,,210.06,,7227.8398,0.0219,0.0219,0.0219,7227.8398,0.0219,0.0219,0.0219,US GAAP,335.3,40.1744,295.979,83.2328,36.2975,25.7608,70648.5001,39.9606,33.0554,,37.9254,35.2976,37.8901,25.7608,25.7608,32.0117
1992-09-30 00:00:00,1481,813,668,326,,,,88,,,,,66,,,,,1961,786,1025,239,0,,,102,,,,,,,,102,888,2849,209,187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8947,818,,135,,683,,394,,,,,,289,,,,,,,,307,,,,,,,,,,98,209,0,,,209,0,209,0,,209,,9568,0.0219,0.0219,0.0219,9568,0.0219,0.0219,0.0219,US GAAP,327,40.4409,289,83.4963,35.3301,25.5501,,39.0178,32.7623,,36.9671,36.2526,37.5306,25.5501,25.5501,31.9218
1992-12-31 00:00:00,1781,840,941,339,,,,102,,,,,118,,,,,2340,798,1058,260,0,,,88,,,,,,,,88,886,3226,236,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9322,938,,157,,781,,455,,,,,,326,,,,,,,,347,,,,,,,,,,111,236,0,,,236,0,236,0,,236,,9696,0.0244,0.0244,0.0244,9696,0.0244,0.0244,0.0244,US GAAP,362,40.0575,326,83.2623,34.7548,25.1599,,36.8867,31.1467,,34.8225,31.1988,36.9936,25.1599,25.1599,31.9885
1993-03-31 00:00:00,2001,2001,,439,,,,119,,,,,87,,,,,2646,824,1110,286,0,,,90,,,,,,,,90,914,3560,243,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0947,958,,161,,797,,459,,,,,,338,,,,,,,,357,,,,,,,,,,114,243,0,,,243,0,243,0,,243,,9728,0.025,0.025,0.025,9728,0.025,0.025,0.025,US GAAP,376,39.675,338,83.1942,35.2818,25.3653,,35.8285,30.4427,,33.8227,31.3966,37.2651,25.3653,25.3653,31.9328
1993-06-30 00:00:00,2290,1013,1277,338,,,,127,,,,,95,,,,,2850,867,1181,314,0,,,88,,,,,,,,88,955,3805,265,401,,,,,,,,,,,,,,,,,,,,,,,401,,,,,,,,1.5132,1039,,180,,859,,486,,,,,,373,,,,,,,,390,,,,,,,,,,125,265,0,,,265,0,265,0,,265,,9760,0.0269,0.0269,0.0269,9760,0.0269,0.0269,0.0269,US GAAP,412,39.3552,373,82.6756,35.8999,25.5053,,35.0693,29.5738,,33.141,34.4497,37.5361,25.5053,25.5053,32.0513
1993-09-30 00:00:00,2532,2532,0,364,,,,95,,,,,82,,,,,3073,891,,,0,,,84,,,,,,,,84,975,4048,239,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3222,983,,159,,824,,481,,,,,,343,,,,,,,,362,,,,,,,,,,123,239,0,,,239,0,239,0,,239,,9696,0.0244,0.0244,0.0244,9696,0.0244,0.0244,0.0244,US GAAP,384,39.1526,343,83.825,34.8932,24.3133,,33.4695,28.5051,,31.7225,32.7273,36.826,24.3133,24.3133,33.9779
1993-12-31 00:00:00,2796,2796,0,460,,,,130,,,,,96,,,,,3482,913,,,0,,,91,,,,,,,,91,1004,4486,289,349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2076,1129,,185,,944,,529,,,,,,415,,,,,,,,438,,,,,,,,,,149,289,0,,,289,0,289,0,,289,,9728,0.0297,0.0297,0.0297,9728,0.0297,0.0297,0.0297,US GAAP,462,39.7664,415,83.6138,36.7582,25.5979,,31.8966,26.8672,,30.2893,46.5969,38.7954,25.5979,25.5979,34.0183
1994-03-31 00:00:00,3143,3143,0,522,,,,131,,,,,116,,,,,3912,918,,,0,,,96,,,,,,,,96,1014,4926,256,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6523,1244,,208,,1036,,556,,,,,,480,,,,,,,,382,,,,,,,,,,126,256,0,,,256,0,256,0,,256,,9728,0.0262,0.0262,0.0262,9728,0.0262,0.0262,0.0262,US GAAP,553,41.2059,480,83.2797,38.5852,20.5788,,29.8733,24.7231,,30.6252,49.6503,30.7074,20.5788,20.5788,32.9843
1994-06-30 00:00:00,3614,1477,2137,475,,,,102,,,,,121,,,,,4312,930,1445,515,0,,,121,,,,,,,,121,1051,5363,362,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.395,1293,,211,,1082,,594,,,,,,488,,,,,,,,540,,,,,,,,,,178,362,0,,,362,0,362,0,,362,,9872,0.0369,0.0369,0.0369,9872,0.0369,0.0369,0.0369,US GAAP,564,42.2241,488,83.6814,37.7417,27.9969,84747.9845,29.7972,25,,29.8777,45.2756,41.7633,27.9969,27.9969,32.963
1994-09-30 00:00:00,3776,3776,,527,,,,108,,,,,143,,,,,4554,936,,,0,,,147,,,,,,,,147,1083,5637,316,390,-67,,-67,,,,,,,,,,,,,,,,,,,,,,,323,,,0.0325,,1.2342,1247,,186,,1061,,624,,,,,,437,,,,,,,,471,,,,,,,,,,155,316,0,,,316,0,316,0,,316,,9952,0.0319,0.0319,0.0319,9952,0.0319,0.0319,0.0319,US GAAP,504,42.3977,437,85.0842,35.0441,25.3408,,30.9738,25.2555,,30.7922,35.6061,37.7706,25.3408,25.3408,32.9087
1994-12-30 00:00:00,3839,3839,,591,,,,117,,,,,149,,,,,4696,977,,,0,,,288,,,,,,,,288,1265,5961,373,445,-103,,-103,,,,,,,,,,,,,,,,,,,,,,,342,,,0.0342,,1.193,1482,,222,,1260,,740,,,,,,520,,,,,,,,557,,,,,,,,,,184,373,0,,,373,0,373,0,,373,,10000,0.0375,0.0375,0.0375,10000,0.0375,0.0375,0.0375,US GAAP,586,41.9104,520,85.0202,35.0877,25.1687,,31.9209,25.0215,,31.0375,29.745,37.5843,25.1687,25.1687,33.0341
1995-03-31 00:00:00,4465,4465,,580,,,,87,,,,,155,,,,,5287,1027,,,0,,,278,,,,,,,,278,1305,6592,396,643,-102,,-102,,,,,,,,,,,,,,,,,,,,,,,541,,,0.054,,1.6237,1587,,235,,1352,,803,,,,,,549,,,,,,,,592,,,,,,,,,,196,396,0,,,396,0,396,0,,396,,10016,0.0394,0.0394,0.0394,10016,0.0394,0.0394,0.0394,US GAAP,619,40.5242,549,85.1922,34.5936,24.9527,,32.3641,25.1259,,29.4648,20.1166,37.3031,24.9527,24.9527,33.1081
1995-06-30 00:00:00,4750,1962,2788,581,,,,88,,,,,201,,,,,5620,1192,1907,715,0,,,398,,,,,,,,398,1590,7210,368,512,-223,,-223,,,,,,,,,,,,,,,,,,,,,,,289,,,0.0284,37.8799,1.3913,1621,,234,,1387,,855,,,,,,532,,,,,,,,547,,,,,,,,,,179,368,0,,,368,0,368,0,,368,,10160,0.0362,0.0362,0.0362,10160,0.0362,0.0362,0.0362,US GAAP,598,38.858,532,85.5645,32.8192,22.702,,29.7046,23.113,,27.6072,13.4146,33.7446,22.702,22.702,32.7239
1995-09-29 00:00:00,5064,5064,,1052,,,,125,,,,,176,,,,,6417,1265,,,0,,,478,,,,,,,,478,1743,8160,499,500,-116,,-116,,,,,,,,,,,,,,,,,,,,,,,384,384,,0.0375,36.6911,1.002,2016,,322,,1694,,986,,,,,,708,,,0,,,,,770,,,,,,,,,,271,499,0,,,499,0,499,0,,499,,10240,0.0487,0.0487,0.0487,10240,0.0487,0.0487,0.0487,US GAAP,777,38.473,708,84.0278,35.119,24.752,,32.1762,23.7153,,29.7686,35.2406,38.1944,24.752,24.752,35.1948
1995-12-29 00:00:00,6017,6017,,771,,,,108,,,,,207,,,,,7103,1297,,,0,,,706,,,,,,,,706,2003,9106,575,1401,-88,,-88,,,,,,,,,,,,,,,,,,,,,,,1313,1313,,0.1286,22.0625,2.4365,2195,,330,,1865,,1079,,,,,,786,,,0,,,,,885,,,,,,,,,,310,575,0,,,575,0,575,0,,575,,10208,0.0562,0.0562,0.0562,10208,0.0562,0.0562,0.0562,US GAAP,864,38.5227,786,84.9658,35.8087,26.1959,,34.6042,24.3977,,31.1716,37.3072,40.3189,26.1959,26.1959,35.0282
1996-03-29 00:00:00,6770,6770,,681,,,,33,,,,,212,,,,,7696,1281,,,0,,,613,,,,,,,,613,1894,9590,562,905,-132,,-132,,,,,,,,,,,,,,,,,,,,,,,773,773,,0.0756,23.856,1.6103,2205,,295,,1910,,1136,,,,,,774,,,0,,,,,864,,,,,,,,,,302,562,0,,,562,0,562,0,,562,,10224,0.055,0.055,0.055,10224,0.055,0.055,0.055,US GAAP,963,39.8407,774,86.6213,35.102,25.4875,,34.7766,24.7683,,31.0975,36.4078,39.1837,25.4875,25.4875,34.9537
1996-06-28 00:00:00,6940,2601,4339,639,,,,,,,,,260,,,,,7839,1326,2346,1020,0,,,928,,,,,,,,928,2254,10093,559,913,-158,,-158,,,,,,,,,,,,,,,,,,,,,,,755,755,,0.0732,23.8427,1.6333,2255,,241,,2014,,1204,,,,,,810,,,0,,,,,860,,,,,,,,,,301,559,0,,,559,0,559,0,,559,,10320,0.0544,0.0544,0.0544,10320,0.0544,0.0544,0.0544,US GAAP,954,41.0333,810,89.3126,35.9202,24.7894,109673.654,35.8631,25.3713,35.1453,32.0349,43.8486,38.1375,24.7894,24.7894,35
1996-09-30 00:00:00,7098,7098,,855,,,,,,,,,279,,,,,8232,1304,,,0,,,1204,,,,,,,,1204,2508,10740,614,783,-99,,-99,,,,,,,,,,,,,,,,,,,,,,,684,,,0.071,23.6567,1.2752,2295,,250,,2045,,1143,,,,,,902,,,,,,,,945,,,,,,,,,,331,614,0,,,614,0,614,0,,614,,9631.376,0.0637,0.0637,0.0637,10352,0.0594,0.0594,0.0594,US GAAP,1064,42.9609,902,89.1068,39.3028,26.7538,,35.4948,24.4444,,32.0624,69.5341,41.1765,26.7538,26.7538,35.0265
1996-12-31 00:00:00,9160,9160,,975,,,,,,,,,307,,,,,10442,1322,,,0,,,1022,,,,,,,,1022,2344,12786,741,1218,-117,,-117,,,,,,,,,,,,,,,,,,,,,,,1101,,,0.1151,30.8436,1.6437,2680,,296,,2384,,1303,,,,,,1081,,,,,,,,1140,,,,,,,,,,399,741,0,,,741,0,741,1,,740,,9568,0.0775,0.0775,0.0775,10432,0.0712,0.0712,0.0712,US GAAP,1225,44.5787,1081,88.9552,40.3358,27.6493,,33.3513,22.6201,,29.0797,60.8247,42.5373,27.6493,27.6119,35
1997-03-31 00:00:00,9086,9086,,866,,,,,,,,,272,,,,,10224,1371,,,0,,,1018,,,,,,,,1018,2389,12613,1042,1618,-110,,-110,,,,,,,,,,,,,,,,,,,,,,,1508,,,0.1578,27.4807,1.5528,3208,,297,,2911,,1343,,,,,,1568,,,,,,,,1603,,,,,,,,,,561,1042,0,,,1042,0,1042,7,,1035,,9556,0.1075,0.1075,0.1075,10548,0.1,0.1,0.1,US GAAP,1676,47.1259,1568,90.7419,48.8778,32.4813,,39.9756,26.627,,35.757,79.1625,49.9688,32.4813,32.2631,34.9969
1997-06-30 00:00:00,8966,3706,5260,980,,,,,,,,,427,,,,,10373,1465,2777,1312,0,,,2549,,,,,,,,2549,4014,14387,1057,1070,-173,,-173,,,,,,,,0,,-173,,,,,,,,,,897,,,897,,,0.0933,36.1282,1.0123,3175,,242,,2933,,1613,,,,,,1320,,,,,,,,1626,,,,,,,,,,569,1057,0,,,1057,0,1057,7,,1050,,9609.0879,0.11,0.11,0.11,10616,0.1,0.1,0.1,US GAAP,1463,47.7901,1320,92.378,41.5748,33.2913,,41.1733,28.219,,35.5535,55.4348,51.2126,33.2913,33.0709,34.9938
1997-09-30 00:00:00,9634,9634,,788,,,,,,,,,416,,,,,10838,1484,2800,1316,2733,,,311,,,,,,,,311,4528,15366,663,1680,-117,0,-117,0,0,0,,,,,-1074,,-1191,-7,0,-426,487,-913,199,,-234,,255,,,1563,1563,1556,0.1621,31.3024,2.5339,3334,,534,,2800,,1444,,,,,,1356,,,0,,,,,1202,296,,,,,,,,,539,663,0,,,663,0,663,7,,656,,9640,0.0675,0.0675,0.0975,10660,0.06,0.06,0.0875,US GAAP,1584,47.9793,1356,83.9832,40.6719,19.886,,39.1982,26.8367,,35.2796,43.6959,36.0528,19.886,19.6761,44.8419
1997-12-31 00:00:00,10105,10105,,1081,,,,,,,,,450,,,,,11636,1478,2923,1445,3476,,,250,,,,,,,,250,5204,16840,1133,1664,-151,0,-151,0,0,0,,,,,-2543,,-2694,-7,0,-517,166,-683,175,,-349,,-1379,,,1513,1513,1506,0.1562,28.3677,1.4687,3792,,613,,3179,,1566,,,,,,1613,,,0,,,,,1770,,,,,,,,,,637,1133,0,,,1133,0,1133,7,,1126,,9684,0.1163,0.1163,0.1163,10668,0.105,0.105,0.105,US GAAP,1882,48.8933,1613,83.8344,42.5369,29.8787,,38.6198,26.2945,,33.2737,47.8417,46.6772,29.8787,29.6941,35.9887
1998-03-31 00:00:00,12322,12322,,1055,,,,,,,,,358,,,,,13735,1416,3055,1639,4122,,,272,,,,,,,,272,5810,19545,1337,2102,-147,0,-147,0,0,0,,,,,-1281,,-1428,-7,0,376,385,-9,485,,854,,1528,,,1955,1955,1948,0.2009,36.5242,1.5722,3984,,640,,3344,,1477,,,,,,1867,,,0,,,,,2057,,,,,,,,,,720,1337,0,,,1337,0,1337,7,,1330,,9732,0.135,0.135,0.135,10740,0.125,0.125,0.125,US GAAP,2146,49.5275,1867,83.9357,46.8624,33.5592,,38.0961,26.0588,,32.3564,38.5309,51.6315,33.5592,33.3835,35.0024
1998-06-30 00:00:00,13927,3839,10088,1460,,,,,,,,,502,,,,,15889,1505,3052,1547,4703,,,260,0,,,,,,,260,6468,22357,1357,1434,-241,0,-241,-1598,0,-1598,,,,,-120,,-1959,-7,0,-404,459,-863,665,,254,,-271,,,1193,1193,1186,0.1211,42.3076,1.0567,4152,,673,,3479,,1605,,,,,,1874,,,0,,,,,2088,,,,,,,,,,731,1357,0,,,1357,0,1357,7,,1350,,9848,0.0675,0.0675,0.0675,10824,0.0625,0.0625,0.0625,US GAAP,2122,50.6749,1874,83.7909,45.1349,32.683,,35.0731,24.4394,32.7689,30.7391,56.7042,50.289,32.683,32.5145,35.0096
1998-09-30 00:00:00,17242,5191,12051,1153,,,,,,,,,569,,,,,18964,1466,3152,1686,4905,,,234,0,0,0,,,,,234,6605,25569,1683,2584,-106,0,-106,0,0,0,,,,,-1766,,-1872,-7,0,37,541,-504,610,,640,,1352,,,2478,2478,2471,0.2499,37.7878,1.5354,4193,,649,,3544,,1462,,,,,,2082,,,0,,,,,2503,-160,,,,,,,,,820,1683,0,,,1683,0,1683,7,,1676,,9916,0.17,0.17,0.16,10868,0.155,0.155,0.145,US GAAP,2261,52.1742,2082,84.5218,49.6542,40.1383,,38.2982,26.9207,36.0272,31.8023,84.5169,59.6947,40.1383,39.9714,32.7607
