Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Microsoft Corp (MSFT US) - By Segment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014
3 Months Ending,,09/30/2005,12/31/2005,03/31/2006,06/30/2006,09/30/2006,12/31/2006,03/31/2007,06/30/2007,09/30/2007,12/31/2007,03/31/2008,06/30/2008,09/30/2008,12/31/2008,03/31/2009,06/30/2009,09/30/2009,12/31/2009,03/31/2010,06/30/2010,09/30/2010,12/31/2010,03/31/2011,06/30/2011,09/30/2011,12/31/2011,03/31/2012,06/30/2012,09/30/2012,12/31/2012,03/31/2013,06/30/2013,09/30/2013,12/31/2013,03/31/2014,06/30/2014
Devices and Consumer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,7162,10510,7410,7018,7447,11888,8293,10000
  Operating Income,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2851,3552,2198,666,2161,2601,2369,1508
  Goodwill,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3293,3285,3294,3296,8658
  Gross Profit,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4913,6779,4752,3602,4449,5779,4666,4925
  Revenue Growth %,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4,13,12,42
  Total Operating Expense,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2062,3227,2554,2782,2288,3178,2336,3417
Commercial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,10193,11524,11428,12201,11213,12686,12237,13484
  Operating Income,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,4653,5696,5237,5566,5057,6306,5748,6362
  Goodwill,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,11362,11382,11386,11455,11469
  Gross Profit,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,8288,9542,9349,10003,9079,10495,9907,10987
  Revenue Growth %,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,10,10,7,11
  Total Operating Expense,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,3635,3846,4112,4457,4022,4189,4157,4625
  Changes in Deferred Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,23033,18259,17765,17535,23033
  Unearned Revenue Balance,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,22399,—,—,—,—
Corporate and Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-1347,-578,1651,677,-131,-55,-127,-102
  Operating Income,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-2196,-1477,177,-159,-884,-938,-1143,-1388
  Gross Profit,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,-1361,-557,1601,689,-144,-77,-148,-125
  Unearned Revenue Balance,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1667,1955,1709,1977,2125
  Total Operating Expense,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,835,920,1424,846,740,861,995,992
  Changes in Deferred Revenue,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,2125,1955,1709,1977,2125
  Revenue Growth %,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,90,90,—,—
Xbox,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Number of Units Sold,,—,1500000,1700000,1800000,900000,4400000,500000,800000,1800000,4300000,1300000,1300000,2200000,6000000,1700000,1200000,2100000,5200000,1500000,1500000,2800000,6300000,2700000,1700000,2300000,8200000,1400000,1100000,—,5900000,1400000,1000000,1200000,7400000,2000000,1100000
Licensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Unearned Revenue Balance,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,16270,15592,15141,—
Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Unearned Revenue Balance,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,1989,2173,2394,—
Reconciliation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Total Operating Expense,,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,136,—,—,—,—
  Operating Income,,-1311,—,-1274,-1532,-940,-1079,—,-1744,-1006,-1346,-2779,-1587,-1428,-1316,-1691,-1128,-959,830,—,-1095,-909,-720,-1160,—,-1144,-9872,-1362,—,—,—,—,—,—,—,—,—
  Revenue,,—,—,—,—,—,—,—,—,—,—,—,-158,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Entertainment and Devices Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Goodwill,,—,—,—,400,—,—,—,419,—,429,—,752,776,773,774,804,804,804,803,802,782,811,813,—,812,5083,5086,—,—,—,5104,—,—,—,—,—
  Revenue Growth %,,51,40,46,—,70,76,-21,—,91,3,68,37,-6,3,-2,-25,0,-11,2,27,27,55,60,—,9,15,-16,20,-1,—,56,—,—,—,—,—
  Operating Income Growth %,,-2,-1,-122,—,45,-1,22,—,—,—,—,85,7,-60,—,24,96,188,—,-22,47,86,50,—,-9,-21,—,—,-94,—,—,—,—,—,—,—
  Revenue,,606,1703,1182,1281,1011,2969,1100,1160,1929,3060,1576,1575,1814,3183,1567,1189,1891,2938,1215,1600,1769,3728,1937,—,1968,4238,1612,—,—,—,—,—,—,—,—,—
  Operating Income,,-182,-275,-438,-423,-142,-302,-324,-1124,165,357,89,-188,178,151,-31,-141,312,361,135,-172,375,706,221,—,351,954,-232,—,—,—,—,—,—,—,—,—
  Changes in Deferred Revenue,,358,—,358,—,—,—,433,—,—,—,472,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—,—
Microsoft Business Division,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Goodwill,,—,—,—,2681,—,—,—,3132,—,3225,—,4191,4083,3894,3966,3927,3998,3996,4092,4024,4102,4091,4140,—,4119,6927,6963,—,—,—,7899,—,—,—,—,—
  Revenue Growth %,,16,17,21,—,4,-5,34,—,20,37,-2,14,20,1,-5,-13,-11,-3,-6,15,14,24,21,—,8,3,9,7,2,—,8,—,—,—,—,—
  Operating Income Growth %,,61,-55,67,—,0,-11,42,—,21,48,-8,12,23,-1,-8,-16,-10,0,-5,21,20,35,25,—,6,2,14,—,-2,—,8,—,—,—,—,—
  Changes in Deferred Revenue,,4783,4783,4783,3609,4301,4863,4341,5771,5080,5359,5253,7101,6204,6077,5593,6508,5920,5680,5657,—,6573,6171,5836,—,7428,7085,6694,—,—,—,8404,—,—,—,—,—
  Unearned Revenue Balance,,4783,4783,4783,5771,4301,4863,4341,5771,5080,5359,5253,7101,6204,6077,5593,6508,5920,5680,5657,7004,6573,6171,5836,7950,7428,7085,6694,9015,8266,8904,—,—,—,—,—,—
  Revenue,,3283,3718,3637,3905,3425,3457,4896,4632,4069,4755,4815,5359,4901,4816,4591,4657,4377,4749,4649,5250,5193,5890,5343,—,5618,6296,5838,—,—,—,—,—,—,—,—,—
  Operating Income,,2247,2500,2406,2526,2227,2152,3399,3060,2694,3185,3138,3341,3311,3140,2877,2706,2863,2914,2826,3284,3438,3865,3326,—,3701,8198,3792,—,—,—,—,—,—,—,—,—
Server and Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
