Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Microsoft Corp (MSFT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
12 Months Ending,,06/30/2005,,06/30/2006,,06/30/2007,,06/30/2008,,06/30/2009,,06/30/2010,,06/30/2011,,06/30/2012,,06/30/2013,,06/30/2014,,06/30/2015,,06/30/2016,,06/30/2017,,06/30/2018,,06/30/2019,,06/30/2020,,06/30/2021,,06/30/2022,,06/30/2023,,06/30/2024,
Revenue,,39788,1.0,44282,1.0,51122,1.0,60420,1.0,58437,1.0,62484,1.0,69945,1.0,73723,1.0,77849,1.0,86833,1.0,93580,1.0,91154,1.0,96571,1.0,110360,1.0,125843,1.0,143015,1.0,168088,1.0,198270,1.0,211915,1.0,245122,1.0
  Intelligent Cloud,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23715,0.254166443384599,24952,0.273734559097791,27407,0.283801555332346,32219,0.291944545125045,38985,0.309790771040106,48366,0.338188301926371,60080,0.357431821426872,75251,0.379538003732284,87907,0.414821980511054,105362,0.42983493933633
  Productivity & Business Processes,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,26430,0.28326456245646,25792,0.282949733418171,29870,0.309306106388046,35865,0.324981877491845,41160,0.327074211517526,46398,0.324427507604097,53915,0.320754604730855,63364,0.319584405104151,69274,0.32689521742208,77728,0.317099240378261
  More Personal Computing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,43160,0.462568994158941,40410,0.443315707484038,39294,0.406892338279608,42276,0.38307357738311,45698,0.363135017442369,48251,0.337384190469531,54093,0.321813573842273,59655,0.300877591163565,54734,0.258282802066866,62032,0.253065820285409
  Adjustment,,-24,,-39,,-17,,—,,-153,,65,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate and Other,,—,,—,,—,,—,,—,,—,,—,,-485,,403,,-415,,275,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Unallocated and Other,,—,,—,,—,,—,,—,,228,,196,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Commercial,,—,,—,,—,,—,,—,,—,,—,,41770,0.562877317809401,45439,0.586718487720476,49631,0.568849715752797,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,—,,—,,—,,—,,—,,—,,—,,4644,0.0625808538163001,5661,0.073096092761408,7546,0.0864890885750963,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Licensing,,—,,—,,—,,—,,—,,—,,—,,37126,0.5002964639931,39778,0.513622394959068,42085,0.4823606271777,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
