Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,50.257,50.257,0,20.633,,,,28.623,,15.385,13.238,0,1.599,,,,,101.112,11.65,18.591,6.941,0,,,0.57,0,,,,,,,0.57,12.22,113.332,4.13,-1.912,-7.899,0,-7.899,0,0,0,,,,,0,,-7.899,0,14.152,37.887,37.887,0,0.045,,52.084,,42.273,0,,-9.811,,,-0.0014,,-0.463,158.237,,109.746,,48.491,,43.975,,,,,,4.516,,,,,,,,4.487,,,,,,,,,,0.357,4.13,0,,,4.13,0,4.13,0,,4.13,,6991.1998,0.0006,0.0006,0.0006,13148.6398,0.0003,0.0003,0.0003,US GAAP,8.522,5.3856,4.516,30.6445,2.8539,2.61,638052.4174,,,,,,2.8356,2.61,2.61,7.9563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,61.56,61.56,0,67.224,,,,37.631,0,6.446,31.185,0,6.76,,,,,173.175,25.886,41.33,15.444,0,,,3.189,0,,,,,,,3.189,29.075,202.25,38.098,15.871,-11.589,0,-11.589,0,0,0,,,,,0,,-11.589,0,-6.397,13.418,13.418,0,0,,7.021,,11.303,15.965,,4.282,4.5072,-2.115,0.0003,327.4444,0.4166,374.505,,235.575,,138.93,,84.518,,,,,,54.412,,,0.332,21.531,,,,56.166,,,,,,,,,,18.068,38.098,0,,,38.098,0,38.098,0,,38.098,,14338.5599,0.0027,0.0027,0.0027,17327.0398,0.0022,0.0022,0.0022,US GAAP,63.418,16.9338,54.412,37.097,14.529,10.1729,955369.9104,40.364,24.1446,38.2465,36.8344,23.0714,14.9974,10.1729,10.1729,32.1689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-12-29 00:00:00,674.275,674.275,0,104.988,96.585,,,90.38,22.906,12.05,55.424,0,61.241,,,,,930.884,47.28,76.245,28.965,0,,,38.738,23.795,23.795,0,,,,,14.943,86.018,1016.902,98.469,267.909,-36.329,,-36.329,0,0,0,,,,,-24.5,,-60.829,0,289.056,116.579,116.579,0,,,405.635,,612.715,0.235,,231.58,234.8793,520.636,0.0147,9.2673,2.7207,735.264,,462.385,,272.879,,144.744,58.697,,,,,128.135,,-16.679,4.852,21.531,,,,144.808,,,,,,,,,,46.339,98.469,0,,,98.469,0,98.469,0,0,98.469,,15719.76,0.0063,0.0063,0.0063,19115.28,0.0052,0.0052,0.0052,US GAAP,143.971,19.5809,128.135,37.1131,17.4271,13.3923,923698.4925,37.0414,16.1537,24.3499,20.6402,20.4355,19.6947,13.3923,13.3923,32.0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-12-31 00:00:00,791.377,333,458.377,147.348,129.269,,,213.877,13.367,77.13,123.38,0,81.507,,,,,1234.109,120.128,170.569,50.441,0,,,148.937,81.119,50.326,30.793,,,,,67.818,269.065,1503.174,176.924,160.806,-96.966,,-96.966,,,,,,,,-504.206,,-601.172,,-2.53,90.375,90.375,,11.246,,99.091,,-341.275,26.429,,63.84,75.1611,61.31,0.0037,149.87,0.9089,1369.471,,850.233,,519.238,,267.476,97.185,,,,,251.762,,-11.708,16.173,27.881,,,,252.749,10.03,,,,,,,,,75.825,176.924,0,,,176.924,0,176.924,0,0,176.924,10.03,17161.8,0.0103,0.0103,0.0103,20528.88,0.0086,0.0086,0.0086,US GAAP,295.259,21.5601,251.762,37.9152,18.3839,12.9191,1219475.512,30.2195,14.0412,21.1316,19.4934,19.4932,18.456,12.9191,12.9191,30.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
