NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31,1994-03-31,1994-06-30,1994-09-30,1994-12-30,1995-03-31,1995-06-30,1995-09-29,1995-12-29,1996-03-29,1996-06-28,1996-09-30,1996-12-31,1997-03-31,1997-06-30,1997-09-30,1997-12-31,1998-03-31,1998-06-30,1998-09-30,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.257,51.823,46.757,55.2,61.56,269.8,289.205,694.883,674.275,627.301,681.078,717.165,791.377,828.397,826.411,911.577,1028.413,1050.338,1011.587,612.126,604.043,657.303,613.324,587.85,670.045,731.512,717.546,786.178,950.174,955.053,851.167,1173.595,1117.85,1307.024,1571.563,1852.953,1809.478,1621.639,1657.23,1304.888,1255.39,1338.147,1466.105,1634.079,1728.227,1764.896,1772.5,1987.22,2490.563,2726.541,2474.496,2748.354,3129.576,3130.812,3278.1,3434.772,3727.883,3713.351,2935.893,3032.954,4671.81,4347.817,4386.054,4240.797,4623,4792,4505,4728,5037,4754,4879,6671,6798,6206,5877,6320,7108,7300,7943,7591,7422,7802,8475,9769,10897,16354,10981,10139,11561,12667,19654,19298,21208,20338,17037,13143,13296,15320,16023,18281,25984,31438,34800,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.257,51.823,46.757,55.2,61.56,269.8,289.205,694.883,674.275,627.301,681.078,398.491,333,307.151,246.816,322.535,346.994,278.796,274.297,231.813,214.422,196.675,180.579,156.687,208.512,281.004,242.17,364.308,551.756,487.763,388.423,741.746,544.414,678.951,914.745,1056.702,726.969,803.308,719.143,461.253,417.688,512.274,523.785,614.49,447.221,447.262,377.003,451.174,665.361,683.633,532.614,566.816,667.876,369.135,499.618,525.388,732.786,561.423,591.321,562.084,1151.587,509.165,515.092,394.683,497,464,435,471,596,547,426,1940,1766,1989,1988,2802,4002,765,718,721,782,2772,7105,9765,10896,15494,3274,2251,847,978,5628,1288,1990,3887,3013,2800,3389,5079,5783,5519,7280,7587,8563,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,318.674,458.377,521.246,579.595,589.042,681.419,771.542,737.29,380.313,389.621,460.628,432.745,431.163,461.533,450.508,475.376,421.87,398.418,467.29,462.744,431.849,573.436,628.073,656.818,796.251,1082.509,818.331,938.087,843.635,837.702,825.873,942.32,1019.589,1281.006,1317.634,1395.497,1536.046,1825.202,2042.908,1941.882,2181.538,2461.7,2761.677,2778.482,2909.384,2995.097,3151.928,2344.572,2470.87,3520.223,3838.652,3870.962,3846.114,4126,4328,4070,4257,4441,4207,4453,4731,5032,4217,3889,3518,3106,6535,7225,6870,6640,5030,1370,4,1,860,7707,7888,10714,11689,14026,18010,19218,16451,14024,10343,9907,10241,10240,12762,18704,23851,26237,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.633,34.199,50.179,56.419,67.224,71.998,85.092,104.352,104.988,86.629,112.846,117.664,147.348,151.429,133.038,149.861,154.501,155.751,190.213,157.839,196.631,205.308,246.396,307.409,296.279,255.252,355.393,351.737,318.186,391.27,459.636,439.252,518.68,471.519,508.435,552.407,666.494,651.8,679.416,607.834,318.435,304.393,351.96,397.82,374.963,529.663,395.934,399.502,348.77,343.202,419.944,371.261,336.143,411.155,445.312,444.944,454.252,346.998,418.123,447.631,426.357,396.438,469.625,563.4,474,455,514,536,505,523,644,833,826,976,1213,1167,1265,1220,1662,2219,1424,1242,1561,1455,1657,1907,2084,2546,2429,3024,3586,3954,4650,5438,5317,4908,3827,4080,7066,8309,9999,12365,14132,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.998,85.092,104.352,96.585,,,,,,,,,,,,,205.308,,,296.279,255.252,355.393,351.737,318.186,391.27,459.636,439.252,518.68,471.519,508.435,552.407,666.494,651.8,679.416,607.834,318.435,304.393,351.96,397.82,374.963,529.663,395.934,399.502,348.77,343.202,419.944,371.261,336.143,411.155,445.312,444.944,454.252,346.998,418.123,447.631,426.357,396.438,469.625,563.4,474,455,514,536,505,523,644,833,826,976,1213,1167,1265,1220,1662,2219,1424,1242,1561,1455,1657,1907,2084,2546,2429,3024,3586,3954,4650,5438,5317,4908,3827,4080,7066,8309,9999,12365,14132,
