Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
NVIDIA Corp (NVDA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,
3 Months Ending,,05/01/2005,,07/31/2005,,10/30/2005,,01/29/2006,,04/30/2006,,07/30/2006,,10/29/2006,,01/28/2007,,04/29/2007,,07/29/2007,,10/28/2007,,01/27/2008,,04/27/2008,,07/27/2008,,10/26/2008,,01/25/2009,,04/26/2009,,07/26/2009,,10/25/2009,,01/31/2010,,05/02/2010,,08/01/2010,,10/31/2010,,01/30/2011,,05/01/2011,,07/31/2011,,10/30/2011,,01/29/2012,,04/29/2012,,07/29/2012,,10/28/2012,,01/27/2013,,04/28/2013,,07/28/2013,,10/27/2013,,01/26/2014,,04/27/2014,,07/27/2014,
Revenue,,583.846,1.0,574.812,1.0,583.415,1.0,633.614,1.0,681.807,1.0,687.519,1.0,820.572,1.0,878.873,1.0,844.28,1.0,935.253,1.0,1115.597,1.0,1202.73,1.0,1153.388,1.0,892.676,1.0,897.655,1.0,481.14,1.0,664.231,1.0,776.52,1.0,903.206,1.0,982.489,1.0,1001.813,1.0,811.208,1.0,843.912,1.0,886.376,1.0,962.039,1.0,1016.517,1.0,1066.18,1.0,621.495,1.0,924.877,1.0,1044.27,1.0,1204.11,1.0,1106.902,1.0,954.739,1.0,977.238,1.0,1053.967,1.0,1144,1.0,1103,1.0,1103,1.0
  GPU,,409.926,0.748626205551426,385.826,0.70744953940034,427.564,0.775955689126995,433.905,0.733294463597648,404.807,0.594763876359426,373.107,0.544628481593771,471.057,0.575390906992169,600.707,0.687557944423715,483.495,0.575353664689699,579.034,0.622888462179766,689.909,0.623736202536681,765.843,0.642432381874324,701.489,0.614008721423857,503.489,0.569204836820614,461.494,0.517055200701815,245.79,0.514234067614698,547.384,0.824086801127921,615.617,0.79278962550868,717.658,0.794567352298368,779.517,0.793410409683976,780.853,0.779439875505708,550.413,0.678510320411041,581.863,0.689483026666287,817.631,0.922442620287553,637.589,0.662747560130099,638.544,0.628168540221167,644.802,0.604777804873474,621.495,1.0,726.365,0.845714811317569,798.624,0.816363580606581,894.209,0.785696461677694,832,0.8,785.612,0.883962558186374,858.613,0.942248896556114,876.833,0.887512437156302,947,0.87847866419295,898,0.86595949855352,878,0.846673095467695
  Tegra Processor,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,68.745,0.0775573797124471,—,,—,,—,,—,,132.512,0.154285188682431,179.646,0.183636419393419,243.901,0.214303538322306,208,0.2,103.127,0.116037441813626,52.625,0.0577511034438862,111.134,0.112487562843698,131,0.12152133580705,139,0.13404050144648,159,0.153326904532305
  All Other,,36.275,,29.436,,32.399,,41.894,,1.189,,2.452,,1.899,,5.191,,3.936,,5.658,,9.506,,10.631,,10.914,,8.128,,5.112,,3.167,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,66,,66,,66,,66.902,,66,,66,,66,,66,,66,,66,
  CPB,,—,,—,,—,,—,,57.385,0.0843130801712561,55.693,0.0812956980850048,48.943,0.0597833322950677,56.236,0.0643666688795237,67.226,0.0799981912169302,62.182,0.0668914957589058,65.873,0.0595547744263356,55.856,0.0468551689079514,42.465,0.0371693360199007,34.625,0.0391442861212732,34.174,0.0382883513735473,25.07,0.0524506614390352,10.699,0.0161073481966364,44.277,0.0570197805594189,55.91,0.0619017145590264,45.161,0.0459659090330782,31.23,0.0311734824762705,45.704,0.0563406672518023,51.934,0.0615395918057807,—,,122.609,0.127447016181257,167.684,0.164959366149312,191.083,0.179222082575175,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  PSB,,—,,—,,—,,—,,100.042,0.14698700298846,117.126,0.170970138687165,111.257,0.135899192962269,147.624,0.168967656424191,140.873,0.167637300914863,127.321,0.136963946664945,152.158,0.137563726673483,168.006,0.140932925872767,203.427,0.178058319051462,179.653,0.203101471033794,199.322,0.223319212631772,110.974,0.232176294476885,106.148,0.159805850675443,116.626,0.150190593931901,129.638,0.143530933142605,157.811,0.160623681282946,189.73,0.189386642018021,215.091,0.265149012337156,210.115,0.248977381527932,—,,201.841,0.209805423688645,210.289,0.206872093629521,230.295,0.216000112551352,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Consumer Electronics,,58.078,0.106064784292813,81.543,0.149517030452385,9.929,0.0180194404518199,17.848,0.0301629148921787,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Handheld GPU,,7.762,0.0141753306877099,2.135,0.00391473038784252,23.194,0.0420931515600273,25.654,0.0433549651862367,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  MCP,,71.805,0.131133679468051,75.872,0.139118699759432,90.329,0.163931718861158,114.313,0.193187656323937,118.384,0.173936040480857,139.141,0.203105681634059,187.416,0.228926567750494,69.115,0.0791077302725706,148.75,0.177010843178508,161.058,0.173256095396382,198.151,0.1791452963635,202.394,0.169779523344957,195.093,0.17076362350478,166.781,0.18854940602432,197.553,0.221337235292865,96.139,0.201138976469382,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue by End User,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1103,1.0,1103,1.0
  Gaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,468,0.42429737080689,417,0.378059836808704
  OEM & IP,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,352,0.319129646418858,355,0.321849501359927
  Professional Visualization,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,191,0.173164097914778,208,0.188576609247507
  Data Center,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,57,0.0516772438803264,83,0.0752493200362647
  Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,35,0.0317316409791478,40,0.0362647325475975
Operating Income,,76.182,1.0,77.593,1.0,69.572,1.0,113.317,1.0,101.509,1.0,95.816,1.0,117.613,1.0,138.514,1.0,141.246,1.0,184.76,1.0,247.841,1.0,262.499,1.0,202.979,1.0,-155.392,,56.796,1.0,-175.083,,-230.965,,-110.107,,107.845,1.0,134.282,1.0,147.393,1.0,-175.207,,103.783,1.0,179.778,1.0,154.862,1.0,174.03,1.0,197.09,1.0,122.317,1.0,72.826,1.0,139.623,1.0,252.217,1.0,183.573,1.0,82.781,1.0,105.534,1.0,140.988,1.0,166.697,1.0,151,1.0,163,1.0
  GPU,,78.132,0.796160430423086,72.737,0.668852127375884,110.873,0.977940268491894,98.079,0.741893026527787,87.239,0.572242884598986,75.33,0.488182648875294,114.851,0.574091383955573,105.689,0.50187808364239,124.417,0.58761825146058,167.828,0.673037668582245,207.938,0.660303004321829,217.802,0.65465967327432,169.047,0.605675283495459,-41.595,0.583052985702271,51.758,0.345975935828877,-425.422,1.06038180744123,-68.599,0.756128477580354,-127.437,1.15739235470951,80.833,0.749529417219157,101.717,0.757487973071596,115.344,0.782560908591317,-221.711,1.26542318514671,48.521,0.467523582860391,738.607,1.66633653091244,120.283,0.77671087807209,139.708,0.802781129690283,146.843,0.745055558374347,315.124,2.55730574152972,153.477,1.68765463322374,216.03,1.26553877517545,264.087,0.995191492408512,60.744,0.292263279445727,158.526,1.53111961057024,207.914,1.67195265130193,220.351,1.4113122229908,248.209,1.35648899600501,235,1.35838150289017,241,1.29569892473118
  All Other,,-21.954,,-31.156,,-43.802,,-18.884,,-50.942,,-58.491,,-82.444,,-72.073,,-70.485,,-64.599,,-67.072,,-70.196,,-76.126,,-84.052,,-92.804,,226.114,,-140.241,,0,,0,,0,,0,,0,,0,,-263.474,,0,,0,,0,,-0.908,,-18.115,,-31.079,,-13.146,,-24.267,,-20.755,,-18.82,,-15.144,,-16.282,,-22,,-23,
  Tegra Processor,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-295.355,-0.666336530912438,—,,—,,—,,-191.899,-1.55730574152972,-62.536,-0.687654633223738,-45.328,-0.265538775175452,1.276,0.00480850759148789,147.096,0.707736720554273,-54.99,-0.531119610570236,-83.56,-0.671952651301928,-64.219,-0.411312222990803,-65.23,-0.356488996005006,-62,-0.358381502890173,-55,-0.295698924731183
