Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
NVIDIA Corp (NVDA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,,Q4 2024,,Q1 2025,,Q2 2025,
3 Months Ending,,10/26/2014,,01/25/2015,,04/26/2015,,07/26/2015,,10/25/2015,,01/31/2016,,05/01/2016,,07/31/2016,,10/30/2016,,01/29/2017,,04/30/2017,,07/30/2017,,10/29/2017,,01/28/2018,,04/29/2018,,07/29/2018,,10/28/2018,,01/27/2019,,04/28/2019,,07/28/2019,,10/27/2019,,01/26/2020,,04/26/2020,,07/26/2020,,10/25/2020,,01/31/2021,,05/02/2021,,08/01/2021,,10/31/2021,,01/30/2022,,05/01/2022,,07/31/2022,,10/30/2022,,01/29/2023,,04/30/2023,,07/30/2023,,10/29/2023,,01/28/2024,,04/28/2024,,07/28/2024,
Revenue,,1225.382,1.0,1251,1.0,1151,1.0,1153,1.0,1305,1.0,1401,1.0,1305,1.0,1428,1.0,2004,1.0,2173,1.0,1937,1.0,2230,1.0,2636,1.0,2911,1.0,3207,1.0,3123,1.0,3181,1.0,2205,1.0,2220,1.0,2579,1.0,3014,1.0,3105,1.0,3080,1.0,3866,1.0,4726,1.0,5003,1.0,5661,1.0,6507,1.0,7103,1.0,7643,1.0,8288,1.0,6704,1.0,5931,1.0,6051,1.0,7192,1.0,13507,1.0,18120,1.0,22103,1.0,26044,1.0,30040,1.0
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,694,0.312612612612613,776,0.300891818534316,788,0.261446582614466,1021,0.328824476650564,1174,0.381168831168831,1781,0.460682876357993,1939,0.410283537875582,1947,0.38916650009994,2210,0.39039039039039,2600,0.399569694175503,3011,0.42390539208785,3225,0.421954729818134,3672,0.443050193050193,3907,0.582786396181384,3816,0.64339908952959,3673,0.607007106263428,4460,0.620133481646274,10402,0.770119197453172,14645,0.808222958057395,17898,0.809754331991132,22675,0.870641990477653,26446,0.880359520639148
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1526,0.687387387387387,1803,0.699108181465684,2226,0.738553417385534,2084,0.671175523349436,1906,0.618831168831169,2085,0.539317123642007,2787,0.589716462124418,3056,0.61083349990006,3451,0.60960960960961,3907,0.600430305824497,4092,0.57609460791215,4418,0.578045270181866,4616,0.556949806949807,2797,0.417213603818616,2115,0.35660091047041,2378,0.392992893736572,2732,0.379866518353726,3105,0.229880802546828,3475,0.191777041942605,4205,0.190245668008868,3369,0.129358009522347,3594,0.119640479360852
  All Other,,66,,66,,66,,66,,66,,66,,66,,66,,66,,66,,43,,0,,0,,0,,0,,0,,0,,0,,0,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,—,,0,,0,,0,,0,,0,
  Tegra Processor,,168.165,0.145047102680566,112,0.0945147679324894,145,0.133640552995392,128,0.117755289788408,129,0.104116222760291,157,0.117602996254682,160,0.129136400322841,166,0.121879588839941,241,0.124355005159959,257,0.121974371143806,332,0.175290390707497,333,0.14932735426009,419,0.158952959028832,450,0.154586052902783,442,0.137823511069535,467,0.149535702849824,407,0.127947186419365,225,0.102040816326531,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  GPU,,991.217,0.854952897319434,1073,0.905485232067511,940,0.866359447004608,959,0.882244710211592,1110,0.895883777239709,1178,0.882397003745318,1079,0.870863599677159,1196,0.878120411160059,1697,0.875644994840041,1850,0.878025628856194,1562,0.824709609292503,1897,0.85067264573991,2217,0.841047040971169,2461,0.845413947097217,2765,0.862176488930465,2656,0.850464297150176,2774,0.872052813580635,1980,0.897959183673469,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue by End User,,1225,1.0,1251,1.0,1151,1.0,1153,1.0,1305,1.0,1401,1.0,1305,1.0,1428,1.0,2004,1.0,2173,1.0,1937,1.0,2230,1.0,2636,1.0,2911,1.0,3207,1.0,3123,1.0,3181,1.0,2205,1.0,2220,1.0,2579,1.0,3014,1.0,3105,1.0,3080,1.0,3866,1.0,4726,1.0,5003,1.0,5661,1.0,6507,1.0,7103,1.0,7643,1.0,8288,1.0,6704,1.0,5931,1.0,6051,1.0,7192,1.0,13507,1.0,18120,1.0,22103,1.0,26044,1.0,30040,1.0
  Data Center,,89,0.0726530612244898,88,0.070343725019984,88,0.0764552562988706,72,0.0624457935819601,82,0.0628352490421456,97,0.0692362598144183,143,0.109578544061303,151,0.105742296918768,240,0.119760479041916,296,0.136217211228716,409,0.21115126484254,416,0.186547085201794,501,0.190060698027314,606,0.208175884575747,701,0.218584346741503,760,0.243355747678514,792,0.248978308707953,679,0.307936507936508,634,0.285585585585586,655,0.253974408685537,726,0.240875912408759,968,0.311755233494364,1141,0.370454545454545,1752,0.453181583031557,1900,0.402031316123572,1903,0.38037177693384,2048,0.361773538244127,2366,0.363608421699708,2936,0.413346473321132,3263,0.426926599502813,3750,0.45246138996139,3806,0.56772076372315,3833,0.646265385263868,3616,0.597587175673442,4284,0.595661846496107,10323,0.764270378322351,14514,0.800993377483444,18404,0.832647151970321,22563,0.866341575794809,26272,0.8745672436751
    Compute,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3357,0.466768631813126,—,,—,,15073,0.681943627561869,19392,0.744586085086776,22604,0.752463382157124
    Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,927,0.128893214682981,—,,—,,3331,0.150703524408451,3171,0.121755490708033,3668,0.122103861517976
  Gaming,,527,0.430204081632653,646,0.51638689048761,587,0.509991311902693,660,0.572419774501301,761,0.583141762452107,810,0.578158458244111,687,0.526436781609195,781,0.546918767507003,1244,0.620758483033932,1348,0.620340543028072,1027,0.530201342281879,1186,0.531838565022422,1561,0.592185128983308,1739,0.597389213328753,1723,0.53726223885251,1805,0.577969900736471,1764,0.554542596667715,954,0.43265306122449,1055,0.475225225225225,1313,0.509112058937573,1659,0.550431320504313,1491,0.480193236714976,1339,0.43474025974026,1654,0.427832384893947,2271,0.480533220482438,2495,0.498700779532281,2760,0.487546369899311,3061,0.470416474565852,3221,0.453470364634661,3420,0.447468271621091,3620,0.436776061776062,2042,0.304594272076372,1574,0.265385263867813,1831,0.30259461246075,2240,0.311457174638487,2486,0.184052713407863,2856,0.157615894039735,2865,0.129620413518527,2647,0.101635693441868,2880,0.0958721704394141
  Professional Visualization,,206,0.168163265306122,190,0.151878497202238,181,0.157254561251086,176,0.152645273200347,190,0.145593869731801,203,0.144896502498216,189,0.144827586206897,214,0.149859943977591,207,0.103293413173653,225,0.103543488265071,205,0.105833763551884,235,0.105381165919283,239,0.0906676783004552,255,0.0875987633115768,251,0.0782662924851887,281,0.0899775856548191,305,0.095881798176674,293,0.132879818594104,266,0.11981981981982,291,0.112834431950368,324,0.107498341074983,331,0.106602254428341,307,0.0996753246753247,203,0.0525090532850491,236,0.0499365213711384,307,0.0613631820907456,372,0.0657127715951245,519,0.0797602581834947,577,0.0812332817119527,643,0.0841292686118016,622,0.0750482625482626,496,0.0739856801909308,200,0.0337211262856179,226,0.0373491984795902,295,0.0410177975528365,379,0.028059524690901,416,0.0229580573951435,463,0.0209473827082297,427,0.0163953309783443,454,0.0151131824234354
  Automotive,,52,0.0424489795918367,56,0.0447641886490807,77,0.0668983492615117,71,0.0615784908933218,79,0.060536398467433,93,0.0663811563169165,113,0.0865900383141762,119,0.0833333333333333,127,0.063373253493014,128,0.0589047399907961,140,0.0722767165720186,142,0.063677130044843,144,0.0546282245827011,132,0.0453452421848162,145,0.045213595260368,161,0.0515529939161063,172,0.0540710468406162,163,0.0739229024943311,166,0.0747747747747748,209,0.0810391624660721,162,0.0537491705374917,163,0.0524959742351047,155,0.0503246753246753,111,0.02871184687015,125,0.0264494286923402,145,0.0289826104337398,154,0.0272036742624978,152,0.0233594590441063,135,0.0190060537800929,125,0.016354834489075,138,0.0166505791505792,220,0.0328162291169451,251,0.0423200134884505,294,0.0485870104115022,296,0.0411568409343715,253,0.0187310283556674,261,0.0144039735099338,281,0.0127132063520789,329,0.0126324681308555,346,0.0115179760319574
  OEM & Other,,351,0.286530612244898,271,0.216626698641087,218,0.189400521285838,174,0.15091066782307,193,0.147892720306513,198,0.141327623126338,173,0.132567049808429,163,0.114145658263305,186,0.092814371257485,176,0.0809940174873447,156,0.0805369127516778,251,0.112556053811659,191,0.0724582701062216,179,0.0614908965991068,387,0.12067352666043,116,0.037143772014089,148,0.0465262496070418,116,0.0526077097505669,99,0.0445945945945946,111,0.0430399379604498,143,0.0474452554744525,152,0.0489533011272142,138,0.0448051948051948,146,0.0377651319192964,194,0.0410495133305121,153,0.0305816510093944,327,0.0577636459989401,409,0.0628553865068388,234,0.0329438265521611,192,0.0251210257752192,158,0.0190637065637066,140,0.0208830548926014,73,0.0123082110942505,84,0.0138820029747149,77,0.010706340378198,66,0.00488635522321759,73,0.00402869757174393,90,0.00407184545084378,78,0.00299493165412379,88,0.00292942743009321
