Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
NVIDIA Corp (NVDA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
12 Months Ending,,01/30/2005,,01/29/2006,,01/28/2007,,01/27/2008,,01/25/2009,,01/31/2010,,01/30/2011,,01/29/2012,,01/27/2013,,01/26/2014,,01/25/2015,,01/31/2016,,01/29/2017,,01/28/2018,,01/27/2019,,01/26/2020,,01/31/2021,,01/30/2022,,01/29/2023,,01/28/2024,
Revenue,,2010.033,1.0,2375.687,1.0,3068.771,1.0,4097.86,1.0,3424.859,1.0,3326.445,1.0,3543.309,1.0,3997.93,1.0,4280.159,1.0,4130,1.0,4682,1.0,5010,1.0,6910,1.0,9714,1.0,11716,1.0,10918,1.0,16675,1.0,26914,1.0,26974,1.0,60922,1.0
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3279,0.300329730719912,6841,0.410254872563718,11046,0.410418369621758,15068,0.558611996737599,47405,0.77812612849217
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7639,0.699670269280088,9834,0.589745127436282,15868,0.589581630378242,11906,0.441388003262401,13517,0.22187387150783
  All Other,,179.513,,140.004,,6.96,,29.731,,27.322,,0,,0,,220,,264,,264,,264,,264,,264,,43,,0,,0,,0,,0,,0,,0,
  CPB,,—,,—,,233.223,0.0761715860319268,251.137,0.0617328014917914,136.334,0.0401273039852105,156.046,0.0469107410463723,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  PSB,,—,,—,,454.735,0.148518311548296,588.358,0.144626190565737,693.376,0.204081957017687,510.223,0.153383867762732,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Consumer Electronics,,259.968,0.142018661363984,167.398,0.0748755525716302,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Handheld GPU,,45.921,0.0250863142713546,58.745,0.0262760865471536,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  MCP,,175.663,0.0959634420820313,352.319,0.157588978401679,661.483,0.216043054257758,710.353,0.17461417767234,655.565,0.192953012726572,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Tegra Processor,,—,,—,,—,,—,,—,,—,,197.613,0.0557707498837951,591.166,0.15647881247138,764.447,0.190342812622707,398,0.102948784273151,579,0.131054775916704,559,0.117783396544458,824,0.123984351489618,1534,0.158618550305036,1541,0.131529532263571,—,,—,,—,,—,,—,
  GPU,,1348.968,0.73693158228263,1657.221,0.741259382479538,1712.37,0.559267048162019,2518.281,0.619026830270132,1912.262,0.562837726270531,2660.176,0.799705391190896,3345.696,0.944229250116205,3186.764,0.84352118752862,3251.712,0.809657187377292,3468,0.897051215726849,3839,0.868945224083296,4187,0.882216603455542,5822,0.876015648510382,8137,0.841381449694964,10175,0.868470467736429,—,,—,,—,,—,,—,
Revenue by End User,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4130,1.0,4682,1.0,5010,1.0,6910,1.0,9714,1.0,11716,1.0,10918,1.0,16675,1.0,26914,1.0,26974,1.0,60922,1.0
  Data Center,,—,,—,,—,,—,,—,,—,,—,,—,,—,,199,0.04818401937046,317,0.0677061085006408,339,0.0676646706586826,830,0.120115774240232,1932,0.198888202594194,2932,0.250256060088767,2983,0.273218538193808,6696,0.401559220389805,10613,0.394330088429814,15005,0.556276414324905,47525,0.780095860280359
  Gaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1511,0.365859564164649,2058,0.439555745407945,2818,0.5624750499002,4060,0.587554269175109,5513,0.567531397982294,6246,0.53311710481393,5518,0.505403920131892,7759,0.465307346326837,12462,0.463030393103961,9067,0.336138503744346,10447,0.171481566593349
  Professional Visualization,,—,,—,,—,,—,,—,,—,,—,,—,,—,,789,0.191041162227603,795,0.169799231097821,750,0.149700598802395,835,0.120839363241679,934,0.0961498867613753,1130,0.096449300102424,1212,0.111009342370398,1053,0.0631484257871064,2111,0.0784350152337074,1544,0.0572403054793505,1553,0.0254916122254686
  Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,—,,99,0.0239709443099274,183,0.0390858607432721,320,0.063872255489022,487,0.0704775687409551,558,0.0574428659666461,641,0.054711505633322,700,0.0641143066495695,536,0.032143928035982,566,0.021029947239355,903,0.0334766812486098,1091,0.0179081448409442
  OEM & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1532,0.370944309927361,1329,0.28385305425032,783,0.156287425149701,698,0.101013024602026,777,0.079987646695491,767,0.0654660293615568,505,0.0462538926543323,631,0.0378410794602699,1162,0.0431745559931634,455,0.0168680952027879,306,0.00502281605987985
Operating Income,,95.176,1.0,336.664,1.0,453.452,1.0,836.346,1.0,-70.7,,-98.945,,255.747,1.0,648.299,1.0,648.239,1.0,496,1.0,759,1.0,747,1.0,1934,1.0,3210,1.0,3804,1.0,2846,1.0,4532,1.0,10041,1.0,4224,1.0,32972,1.0
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,751,0.186908909905426,2548,0.355865921787709,4598,0.351260504201681,5083,0.52755578619616,32016,0.845597168665152
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3267,0.813091090094574,4612,0.644134078212291,8492,0.648739495798319,4552,0.47244421380384,5846,0.154402831334848
  All Other,,-113.878,,-115.796,,-263.95,,-272.352,,-26.868,,-140.241,,-375.776,,-117.394,,-78.605,,-71,,-100,,-358,,-237,,-600,,-880,,-1172,,-2628,,-3049,,-5411,,-4890,
  CPB,,—,,—,,42.375,0.0590673011784188,28.104,0.0253486522028542,-52.367,1.19472075196204,-94.17,-2.28036613715614,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  PSB,,—,,—,,213.966,0.298251189709535,305.395,0.275453730411708,254.747,-5.81189541887205,148.953,3.60695951181713,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Consumer Electronics,,107.901,0.516139370688913,94.696,0.209291429076603,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Handheld GPU,,-37.532,-0.179532560965109,-34.922,-0.0771825133713478,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  MCP,,-39.912,-0.190917179293388,32.865,0.0726362551385758,77.952,0.108658743633277,57.214,0.0516046750332372,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Tegra Processor,,—,,—,,—,,—,,—,,—,,-49.238,-0.0779670732499054,43.736,0.0571194982845605,-157.923,-0.217272206966006,-268,-0.472663139329806,-254,-0.29569266589057,-239,-0.216289592760181,-9,-0.00414555504375864,303,0.0795275590551181,241,0.0514517506404782,—,,—,,—,,—,,—,
  GPU,,178.597,0.854310369569585,359.821,0.795254829156169,383.109,0.534022765478769,717.985,0.647592942352201,-246.212,5.61717466691002,-13.487,-0.326593374660984,680.761,1.07796707324991,721.957,0.942880501715439,884.767,1.21727220696601,835,1.47266313932981,1113,1.29569266589057,1344,1.21628959276018,2180,1.00414555504376,3507,0.920472440944882,4443,0.948548249359522,—,,—,,—,,—,,—,
Operating Income Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,530,
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,28,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-10,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,109,,61,,36,,215,
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,29,,61,,-25,,14,
  Tegra Processor,,—,,—,,—,,—,,—,,—,,—,,-48,,-48,,45,,45,,-3,,47,,86,,0,,—,,—,,—,,—,,—,
  GPU,,—,,—,,—,,—,,—,,—,,—,,7,,7,,11,,11,,9,,39,,40,,25,,—,,—,,—,,—,,—,
  All Other,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,-84,,-100,,—,,—,,—,,—,,—,
Revenue Growth - Supplemental Breakdown,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Data Center,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,145,,133,,12,,2,,124,,58,,41,,217,
  Automotive,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,52,,15,,23,,9,,-23,,6,,60,,21,
  Gaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,44,,36,,-45,,-12,,41,,61,,-27,,15,
  Professional Visualization,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11,,12,,15,,7,,-13,,100,,-27,,1,
  OEM & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-11,,11,,-36,,-34,,25,,84,,61,,-33,
Operating Income Change Amount,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,28748,1.0
  Compute & Networking,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,26933,0.954157367059907
  Graphics,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1294,0.0458426329400928
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,521,
Depreciation and Amortization,,102.597,1.0,97.977,1.0,107.562,1.0,133.192,1.0,185.023,1.0,196.664,1.0,186.989,1.0,204.205,1.0,226.235,1.0,239,1.0,220,1.0,197,1.0,187,1.0,199,1.0,262,1.0,—,,—,,—,,—,,—,
  CPB,,—,,—,,18.073,0.244045046991466,21.482,0.2197444736546,19.372,0.150396720649659,28.923,0.147068095838588,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  PSB,,—,,—,,7.381,0.0996678189478233,9.596,0.0981597602266799,21.587,0.167593124543888,28.443,0.144627384778099,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
