Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,68.827,7.416,61.411,447.255,,,,301.721,,,,,14.724,14.724,,,0,832.527,8173.5679,11687.4531,3513.885,115.226,,,505.485,,,,,,,,,8794.2791,9626.8057,127.045,208.365,,,,,,,,,,,,,,,,0,0,,,,,,,,,208.365,248.7145,,1.543,,1.6401,855.416,,283.936,,571.48,,365.522,,,,,,205.958,,,59.995,,,,,188.901,,,,,,,,,,61.856,127.045,0,,,127.045,0,127.045,12.961,,114.084,,135.0425,0.8475,0.8475,0.8475,135.0425,0.8475,0.8475,0.8475,US GAAP,354.043,,205.958,66.8073,24.0769,14.8518,,,,,,,22.0829,14.8518,13.3367,32.7452
1990-06-29 00:00:00,98.529,3.885,94.644,475.943,,,,300.258,,,,,10.941,10.941,,,0,885.671,8331.9736,11922.0215,3590.0471,117,,,513.66,,,,,,,,,8962.6338,9848.3047,116.936,159.469,,,,,,,,,,,,,,,,0,0,,,,,,,,,159.469,202.4579,,1.1809,,1.3637,870.315,,288.417,,581.898,,388.725,,,,,,193.173,,,62.557,,,,,170.164,,,,,,,,,,53.228,116.936,0,,,116.936,0,116.936,12.979,,103.957,,135.0439,0.765,0.765,0.765,135.0439,0.765,0.765,0.765,US GAAP,336.188,,193.173,66.8606,22.1958,13.4361,,,,,,,19.552,13.4361,11.9448,31.2804
1990-09-28 00:00:00,65.241,8.582,56.659,563.02,,,,272.797,,,,,9.115,9.115,,,0,910.173,8492.0127,12153.3262,3661.313,100.859,,,511.419,,,,,,,,,9104.2913,10014.4639,213.765,363.263,,,,,,,,,,,,,,,,0,0,,,,,,,,,363.263,405.3328,,2.6899,,1.6994,1105.0229,,343.524,,761.499,,391.429,,,,,,370.07,,,64.038,,,,,325.39,,,,,,,,,,111.625,213.765,0,,,213.765,0,213.765,12.863,,200.902,,135.0479,1.485,1.485,1.485,135.0479,1.485,1.485,1.485,US GAAP,518.954,,370.07,68.9125,33.4898,19.3448,,,,,,,29.4464,19.3448,18.1808,34.305
1990-12-31 00:00:00,63.045,8.21,54.835,463.486,,,,295.522,,,,,10.853,10.853,,,0,832.906,8639.8154,12327.7197,3687.905,100.366,,,510.42,,,,,,,,,9250.6012,10083.5098,80.442,205.379,,,,,,,,,,,,,,,,0,0,,,,,,,,,205.379,254.471,,1.5207,3.8568,2.5531,850.713,,285.791,,564.922,,425.628,,,,,,139.294,,,64.745,,,,,106.091,,,,,,,,,,25.649,80.442,0,,,80.442,0,80.442,13.813,,66.629,,135.0525,0.495,0.495,0.495,135.0525,0.495,0.495,0.495,US GAAP,275.578,40.3307,139.294,66.4057,16.3738,9.4558,43851.1862,,,,,,12.4708,9.4558,7.8321,24.1764
1991-03-28 00:00:00,23.003,10.931,12.072,487.014,,,,332.974,,,,,14.061,14.061,,,0,857.052,8725.6318,12487.5391,3761.907,95.201,,,511.198,,,,,,,,,9332.0309,10189.083,137.399,157.001,,,,,,,,,,,,,,,,0,0,,,,,,,,,157.001,200.9619,,1.1625,3.8309,1.1427,886.638,,265.719,,620.919,,385.651,,,,,,235.268,,,64.791,,,,,202.503,,,,,,,,,,65.104,137.399,0,,,137.399,0,137.399,14.009,,123.39,,135.0572,0.915,0.915,0.915,135.0572,0.915,0.915,0.915,US GAAP,389.851,40.9561,235.268,70.0307,26.5348,15.4966,,13.1119,5.5364,9.3348,7.4969,93.8762,22.8394,15.4966,13.9166,32.1496
1991-06-28 00:00:00,26.394,10.942,15.452,523.829,,,,295.911,,,,,10.392,10.392,,,0,856.526,8781.585,12626.7012,3845.116,94.483,,,529.237,,,,,,,,,9405.3054,10261.8311,138.394,281.326,,,,,,,,,,,,,,,,0,0,,,,,,,,,281.326,326.8366,,2.0808,3.2366,2.0328,893.638,,288.085,,605.553,,379.294,,,,,,226.259,,,66.43,,,,,202.008,,,,,,,,,,63.614,138.394,0,,,138.394,0,138.394,13.729,,124.665,,135.2032,0.915,0.915,0.915,135.2032,0.915,0.915,0.915,US GAAP,387.305,42.0686,226.259,67.7627,25.3189,15.4866,,13.494,5.6688,9.472,7.5956,141.86,22.6051,15.4866,13.9503,31.4908
1991-09-30 00:00:00,32.718,16.159,16.559,536.359,,,,287.593,,,,,9.965,9.965,,,0,866.635,8833.1465,12761.126,3927.98,95.848,,,551.232,,,,,,,,,9480.2257,10346.8613,207.807,415.313,,,,,,,,,,,,,,,,0,0,,,,,,,,,415.313,460.9571,,3.0579,3.6147,1.9986,1096.416,,329.889,,766.527,,408.642,,,,,,357.885,,,71.308,,,,,324.649,,,,,,,,,,116.842,207.807,0,,,207.807,0,207.807,13.523,,194.284,,135.8179,1.44,1.44,1.44,135.8179,1.44,1.44,1.44,US GAAP,516.545,42.1011,357.885,69.9121,32.6414,18.9533,,12.8992,5.5403,9.4055,7.3284,-141.5719,29.61,18.9533,17.7199,35.9903
1991-12-31 00:00:00,102.284,10.281,92.003,508.898,,,,288.656,,,,,10.672,10.672,,,0,910.51,8886.4287,12879.4502,3993.022,99.005,,,574.671,,,,,,,,,9560.1048,10470.6201,100.023,234.915,,,,,,,,,,,,,,,,0,0,,,,,,,,,234.915,282.4513,,1.7222,3.8096,2.3486,940.268,,319.872,,620.396,,439.525,,,,,,180.871,,,71.576,,,,,150.606,,,,,,,,,,50.583,100.023,0,,,100.023,0,100.023,13.422,,86.601,,136.4039,0.63,0.63,0.63,136.4039,0.63,0.63,0.63,US GAAP,326.405,42.4449,180.871,65.9808,19.2361,10.6377,51663.0772,13.4197,5.6789,9.5572,7.2712,46.4262,16.0173,10.6377,9.2102,33.5863
1992-03-31 00:00:00,98.023,11.36,86.663,479.004,,,,291.49,,,,,13.636,13.636,,,0,882.153,8891.1885,12962.1445,4070.957,99.306,,,584.376,,,,,,,,,9574.8699,10457.0234,106.365,225.308,,,,,,,,,,,,,,,,0,0,,,,,,,,,225.308,270.2241,,1.651,3.2832,2.1183,981.33,,309.008,,672.322,,450.211,,,,,,222.111,,,72.006,,,,,170.516,,,,,,,,,,64.151,106.365,0,,,106.365,0,106.365,13.32,,93.045,,136.4679,0.675,0.675,0.675,136.4679,0.675,0.675,0.675,US GAAP,379.755,41.1593,222.111,68.5113,22.6337,10.8389,,12.5758,5.353,9.0742,6.8433,,17.376,10.8389,9.4815,37.6217
1992-06-30 00:00:00,96.702,10.197,86.505,514.503,,,,308.986,,,,,10.81,10.81,,,0,931.001,8899.084,13051.377,4152.293,100.031,,,586.934,,,,,,,,,9586.0494,10517.0498,86.938,226.613,,,,,,,,,,,,,,,,0,0,,,,,,,,,226.613,274.384,,1.6593,3.6971,2.6066,899.319,,275.225,,624.094,,422.643,,,,,,201.451,,,76.581,,,,,139.369,,,,,,,,,,52.431,86.938,0,,,86.938,0,86.938,14.361,,72.577,,136.5712,0.54,0.54,0.54,136.5712,0.54,0.54,0.54,US GAAP,366.882,40.5783,201.451,69.3963,22.4004,9.6671,,11.1895,4.8235,8.4289,6.4292,,15.4972,9.6671,8.0702,37.6203
