Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
Duke Energy Corp (DUK US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
3 Months Ending,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,5328,1.0,5274,1.0,3028,1.0,2667,1.0,1620,1.0,2903,1.0,3279,1.0,2822,1.0,3035,1.0,2966,1.0,3688,1.0,—,,3337,1.0,3229,1.0,3508,1.0,3133,1.0,3312,1.0,2913,1.0,3421,1.0,3110,1.0,3619,1.0,3309,1.0,3971,1.0,3468,1.0,3686,1.0,3559,1.0,3987,1.0,3389,1.0,3630,1.0,3612,1.0,6769,1.0,19781,1.0,5898,1.0,5889,1.0,6217,1.0,4270,1.0,5898,1.0,5708,1.0
  Regulated Utilities,,1265,0.234563322825885,1234,0.230869971936389,1619,0.525308241401687,1314,0.432521395655036,1292,0.786366402921485,2130,0.723014256619145,2482,0.750529180526157,2194,0.773352132534367,2399,0.783986928104575,2249,0.745689655172414,2756,0.74185733512786,—,,2601,0.773876822374293,2402,0.738622386223862,2698,0.764089493061456,2458,0.777848101265823,2508,0.751798561151079,2149,0.731948228882834,2500,0.730780473545747,2276,0.72484076433121,2676,0.739430781983973,2422,0.731943185252342,2944,0.741374968521783,2555,0.736735870818916,2683,0.727889310906131,2549,0.716212419218882,2926,0.73388512666165,2461,0.726172912363529,2668,0.727967257844475,2697,0.746677740863787,5842,0.863052149505097,16080,0.812901268894394,5060,0.851995285401583,4920,0.831221490116574,5786,0.855917159763314,5144,0.836967133094696,5805,0.871490767152079,5283,0.882854278074866
  International Energy,,168,0.0311514926756907,182,0.0340505144995323,186,0.0603504218040234,209,0.0687952600394997,227,0.138161898965307,245,0.08316361167685,233,0.0704566071968552,238,0.0838914346140289,245,0.0800653594771242,261,0.0865384615384615,276,0.0742934051144011,—,,289,0.0859863135971437,334,0.102706027060271,297,0.0841121495327103,265,0.0838607594936709,255,0.0764388489208633,271,0.0923024523160763,293,0.0856474714995615,339,0.10796178343949,336,0.0928433268858801,310,0.0936838924146268,273,0.0687484260891463,285,0.0821799307958477,348,0.0944112859468258,406,0.114076987917954,360,0.090293453724605,353,0.104160519327235,402,0.10968622100955,397,0.109911406423034,382,0.0564337420593884,1549,0.0783074667610333,392,0.0660043778413874,406,0.0685926676803514,370,0.0547337278106509,378,0.061503416856492,382,0.0573487464344693,364,0.0608288770053476
  Commercial Portfolio,,—,,36,0.00673526660430309,78,0.0253082414016872,28,0.00921658986175115,16,0.00973828362751065,447,0.15173116089613,497,0.150287269428485,371,0.130771942192457,380,0.124183006535948,451,0.149535809018568,643,0.173082099596231,—,,450,0.133888723594168,481,0.147908979089791,498,0.141036533559898,397,0.125632911392405,537,0.160971223021583,474,0.161444141689373,609,0.178018123355744,494,0.157324840764331,579,0.15998894722299,540,0.163191296464189,737,0.185595567867036,592,0.170703575547866,644,0.174715138361367,595,0.167181792638382,687,0.172310007524454,565,0.166715845382119,580,0.158253751705321,502,0.138981173864895,525,0.077559462254395,2078,0.105050300793691,452,0.0761070887354773,557,0.0941037337388072,550,0.0813609467455621,586,0.0953465668727628,449,0.0674072962017715,309,0.0516377005347594
  Other,,47,0.00871500092712776,145,0.0271281571562208,225,0.073004542504867,42,0.0138248847926267,37,0.0225197808886184,39,0.0132382892057026,29,0.00876927729059571,35,0.0123369756785337,36,0.0117647058823529,55,0.018236074270557,40,0.0107671601615074,—,,21,0.00624814043439453,35,0.0107626076260763,38,0.010761823845936,40,0.0126582278481013,36,0.0107913669064748,42,0.0143051771117166,19,0.00555393159894768,31,0.00987261146496815,28,0.00773694390715667,37,0.0111816258688426,17,0.00428103752203475,36,0.0103806228373702,11,0.00298426478567553,9,0.00252880022478224,14,0.00351141208929019,10,0.00295072292711714,15,0.00409276944065484,16,0.0044296788482835,20,0.00295464618111981,74,0.00374096355088216,35,0.00589324802155245,36,0.00608210846426761,54,0.00798816568047337,38,0.00618288317604946,25,0.00375319021167993,28,0.00467914438502674
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-35,,—,,—,,—,,-41,,-30,,-543,,-1876,,-763,,-276,
