Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Duke Energy Corp (DUK US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,6395,1.0,5559,1.0,6065,1.0,5589,1.0,6483,1.0,4234,1.0,5377,1.0,5484,1.0,6576,1.0,5577,1.0,5729,1.0,5500,1.0,6482,1.0,5799,1.0,6135,1.0,5643,1.0,6628,1.0,6115,1.0,6163,1.0,5873,1.0,6940,1.0,6103,1.0,5949,1.0,5421,1.0,6721,1.0,5777,1.0,6150,1.0,5758,1.0,6951,1.0,6170,1.0,7132,1.0,6685,1.0,7838,1.0,7407,1.0,7276,1.0,6578,1.0,7994,1.0,7212,1.0,7671,1.0,7172,1.0
  Electric Utilities & Infrastructure,,—,,—,,—,,—,,—,,4851,0.950431034482759,5089,0.942058496853017,—,,6340,0.960606060606061,4936,0.877667140825035,4947,0.856178608515057,5158,0.914701188153928,6129,0.938447404685347,5097,0.870984278879016,5323,0.860491432266408,5223,0.917603654251581,6260,0.937546802456193,5467,0.886780210867802,5329,0.857855763039279,5475,0.924206617150574,6577,0.941050221777078,5450,0.885602859928502,5183,0.863977329554926,5026,0.927135214904999,6379,0.942245199409158,5124,0.879505664263646,5281,0.851636832768908,5335,0.918560606060606,6569,0.938026560045695,5418,0.878119935170178,6002,0.835351426583159,6135,0.910372458821784,7439,0.942241925269158,6448,0.870527879033347,6398,0.8716621253406,6250,0.945680133151763,7715,0.957077285696564,6558,0.901195547615776,6803,0.878600025829782,6820,0.941858859273581
  Gas Utilities & Infrastructure,,—,,—,,—,,—,,—,,122,0.0239028213166144,170,0.0314698259903739,—,,89,0.0134848484848485,543,0.0965504978662874,670,0.115957078573901,301,0.0533782585564816,272,0.0416475271780738,593,0.101332877648667,727,0.117523440025865,318,0.0558678847505271,256,0.0383405721132245,580,0.0940794809407948,756,0.1216999356085,306,0.0516542876434841,249,0.0356274145085134,555,0.0901852453688658,664,0.110685114185698,265,0.0488839697472791,241,0.0355982274741507,554,0.0950909715070374,775,0.124979841960974,327,0.056301652892562,289,0.0412680279880051,721,0.116855753646677,1032,0.143632567849687,453,0.0672206558836623,427,0.0540848638378721,928,0.125286890778993,911,0.124114441416894,359,0.0543198668482373,313,0.0388289294132242,683,0.093857358801704,902,0.116492315639933,381,0.052617041845049
  Other,,25,0.00388983973860277,26,0.00465199499015924,27,0.00442913385826772,34,0.00605413105413105,17,0.00261096605744125,45,0.0088166144200627,29,0.00536838208071085,30,0.00544365813826892,32,0.00484848484848485,26,0.00462304409672831,33,0.00571131879543095,35,0.00620677425075368,35,0.00535905680600214,35,0.00598086124401914,35,0.00565793727772389,32,0.005621925509487,34,0.00509210723378763,-12,-0.00194647201946472,21,0.00338055376690277,25,0.00422012153950034,25,0.00357704964944913,24,0.00389990250243744,23,0.00383397232872145,7,0.00129127467256964,24,0.00354505169867061,24,0.00411946446961895,26,0.00419287211740042,27,0.00464876033057851,28,0.00399828644866486,31,0.00502431118314425,30,0.00417536534446764,30,0.0044516990651432,29,0.00367321089297023,31,0.00418523018766032,31,0.00422343324250681,—,,33,0.00409378489021213,36,0.00494709358252027,38,0.00490765853028542,40,0.00552409888136998
  Adjustment,,-32,,-30,,-31,,-27,,-28,,—,,—,,-27,,—,,-47,,-49,,-139,,-49,,-53,,-51,,-49,,-49,,-50,,-49,,—,,—,,—,,-50,,—,,—,,—,,—,,—,,-52,,—,,—,,—,,-57,,—,,-64,,-31,,-67,,-65,,-72,,-69,
  Commercial Renewables,,—,,—,,—,,—,,—,,86,0.0168495297805643,114,0.0211032950758978,—,,139,0.0210606060606061,119,0.0211593172119488,128,0.0221529941156109,145,0.0257137790388367,95,0.0145460113305772,127,0.021701982228298,101,0.0163271904300032,119,0.0209065354884048,127,0.019020518196795,130,0.0210867802108678,106,0.0170637475853187,118,0.0199189736664416,138,0.0197453140649592,125,0.020311992200195,129,0.0215035839306551,123,0.0226895406751522,126,0.0186115214180207,124,0.0212838997596979,119,0.0191904531527173,119,0.0204889807162534,117,0.0167071255176353,—,,121,0.0168406402226862,121,0.0179551862294109,—,,—,,—,,—,,—,,—,,—,,—,
