Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,63.045,8.21,54.835,463.486,,,,295.522,,,,,10.853,10.853,,,0,832.906,8639.8154,12327.7197,3687.905,100.366,,,510.42,,,,,,,,,9250.6012,10083.5068,538.188,936.476,,,,,23.952,0,,,,,-136.528,,-918.756,-376.72,287.402,65.85,73.875,-8.025,,,,,-5.748,,,130.296,301.3999,431.801,0.9648,27.7201,1.7401,3681.467,,1201.668,,2479.7991,,1571.304,,,,,,908.495,,,251.335,,,,,790.546,,,,,,,,,,252.358,538.188,0,,,538.188,0,538.188,52.616,,485.572,,135.0465,3.6,3.6,3.6,135.0465,3.6,3.6,3.6,US GAAP,1484.763,40.3307,908.495,67.359,24.6775,14.6188,189766.3423,12.9948,5.4845,9.3342,7.3453,,21.4737,14.6188,13.1896,31.922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,102.284,10.281,92.003,508.898,,,,288.656,,,,,10.672,10.672,,,0,910.51,8886.4287,12879.4512,3993.022,99.005,,,574.671,,,,,,,,,9560.1048,10470.6152,583.623,1088.5551,,,,,0,-35.807,,,,,-183.803,,-772.924,-381.589,29.665,38.364,48.014,-9.65,,,,,2.071,,,535.241,717.078,500.388,3.9466,7.7448,1.8652,3816.96,,1203.5649,,2613.395,,1613.1121,,,,,,1000.283,,,274.105,,,,,879.766,,,,,,,,,,296.143,583.623,0,,,583.623,0,583.623,54.683,,528.94,,135.6205,3.9,3.9,3.9,135.6205,3.9,3.9,3.9,US GAAP,1620.106,42.4449,1000.283,68.468,26.2063,15.2903,209723.0748,13.4197,5.6789,9.5572,7.263,67.7438,23.0489,15.2903,13.8576,33.6616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,150.578,9.293,141.285,494.644,,,,298.039,,,,,11.61,11.61,,,0,954.871,9121.4932,13402.1064,4280.6128,65.82,,,597.798,,,,,,,,,9846.9225,10801.7939,508.083,1155.781,,,,,0,-77.91,,,,,-122.565,,-721.25,-417.443,-52.751,34.675,281.089,-246.414,,,,,-0.988,,,635.006,823.8737,566.676,4.6505,6.7838,2.2748,3961.4839,,1200.433,,2761.0509,,1746.723,,,,,,1014.328,,,301.619,,,,,811.401,,,,,,,,,,303.318,508.083,0,,,508.083,0,508.083,56.407,,451.676,,136.5459,3.315,3.315,3.315,136.5459,3.315,3.315,3.315,US GAAP,1675.224,42.2878,1014.328,69.6974,25.6047,12.8256,211538.628,10.9939,4.7769,8.4864,6.5492,9.7181,20.4822,12.8256,11.4017,37.382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,136.227,15.576,120.651,531.592,,,,268.888,,,,,12.062,12.062,,,0,948.769,9235.3496,13757,4521.6499,90.301,,,1800.231,,,,,,,,,11244.3376,12193.1074,626.415,1323.776,,,,,0,-12.379,,,,,-161.731,,-760.338,-427.868,-111.6541,-8.662,215.633,-224.295,,,,,6.283,,,737.548,893.9373,574.9459,5.4004,6.8525,2.1133,4281.876,,1267.2791,,3014.5969,,1797.572,,,,,,1217.025,,,258.919,,,,,1037.096,,,,,,,,,,410.681,626.415,0,,,626.415,0,626.415,52.429,,573.986,,136.5725,4.2,4.2,4.2,136.5725,4.2,4.2,4.2,US GAAP,1874.093,43.768,1217.025,70.4036,28.4227,14.6295,234315.2007,13.5241,5.4483,9.3297,7.1213,63.2653,24.2206,14.6295,13.405,39.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,170.122,37.43,132.692,552.865,,,,319.385,,,,,15.722,15.722,,,0,1058.094,9565.9492,14400.0898,4834.1411,83.226,,,1982.569,,,,,,,,,11804.1344,12862.2275,638.876,913.749,,,,,17.922,0,,,,,-36.718,,-830.497,-443.633,386.49,-1.5,0,-1.5,,,,,3.618,,,102.048,260.514,437.314,0.7472,44.559,1.4302,4488.9131,,1258.374,,3230.5391,,2050.7129,,,,,,1179.826,,,256.942,,,,,1035.8951,,,,,,,,,,397.019,638.876,0,,,638.876,0,638.876,49.724,,589.152,,136.5725,4.32,4.32,4.32,136.5725,4.32,4.32,4.32,US GAAP,1827.3411,40.7079,1179.826,71.9671,26.2831,14.2323,263248.4803,13.2833,5.0997,9.0636,6.5582,,23.0767,14.2323,13.1246,38.3262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,121.71,45.41,76.3,500.275,,,,341.841,,,,,212.328,22.9,,,189.428,1176.1541,9715.2461,14878.0664,5162.8198,85.194,,,2108.4241,,,,,,,,,12182.3297,13358.4844,714.538,1291.637,,,,,54.425,0,,,,,-54.945,,-826.871,-458.018,102.901,-100.516,0,-100.516,,,,,7.98,,,465.286,631.9215,422.2839,3.4069,12.1439,1.8077,4676.6841,,1212.519,,3464.165,,2115.114,,,,,,1349.051,,,275.413,,,,,1180.979,,,,,,,,,,466.441,714.538,0,,,714.538,0,714.538,48.903,,665.635,,136.5725,4.875,4.875,4.875,136.5725,4.875,4.875,4.875,US GAAP,2023.867,43.2757,1349.051,74.0731,28.8463,15.2787,273154.8439,14.2871,5.4502,9.5633,7.0079,90.1231,25.2525,15.2787,14.2331,39.4961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,166,166,0,1888,,,,433.5,,,,,658.5,23.931,,,634.569,3146,15269.0996,24104.9004,8835.7998,63.5,,,3525,,,,,,,,,19220.2,22366.1992,1074.3,2326.6121,,,,,0,0,,,,,-156.1,,-1559.6121,-609.3,-4.9,-147.2,11.8,-159,,,,,-6.5,550,,923.1001,1228.2379,874.0001,3.8335,10.5362,2.1657,12302.4004,,6629.6001,,5672.8003,,3514.2,,,,,,2158.6001,,,499.2,,,,,1795.0001,,,,,,,,,,697.8,1097.2,16.7,,,1080.5001,6.2,1074.3,44.2,,1030.1,,240.7998,4.275,4.35,4.35,242.6664,4.245,4.32,4.32,US GAAP,3297.0521,26.8001,2158.6001,46.1113,17.5462,8.7324,,16.9894,6.0143,11.6676,8.798,10.616,14.5906,8.9186,8.3732,38.8746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,109.4,109.4,0,2280.8,,,,440.1,,,,,854.9,,,,854.9,3685.2,15735.9004,25078.0996,9342.2002,239.6,,,3897,503.6,,,,,,,,20343.5996,24028.8008,974.4,2140.1001,,,,,0,0,,,,,-704.4,,-1993.7,-726.4,458.9,104.9,353.9,-249,,,,,-56.6,470,,850.8,1138.3838,1380.9,3.547,13.634,2.1963,16308.9004,,10408.2002,,5900.7002,,3930.7,,,,,,1970,,,471.8,,,,,1636.3,216.9,,,,,,,,,638.9,997.4,0,,,997.4,23,974.4,72.8,,901.6,,239.8664,3.765,3.765,4.305,240.3998,3.75,3.75,4.29,US GAAP,2952.5,18.1036,1970,36.1809,12.0793,5.9747,709082.6257,12.1175,4.2005,8.6482,6.4076,,10.0332,6.1157,5.5283,39.0454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,80,80,0,2318,,,,543,,,,,1884,,,,1884,4825,16875,26803,9928,244,,,4282,495,,,,,,,,21981,26806,1252,2331,,,,,0,0,,,,,-341,,-2476,-814,309,577,757,-180,,,,,-67,733,,196,522.7623,888,0.8144,68.6958,1.8618,17610,,11180,,6430,,3997,,,,,,2433,,,514,,,,,2133,,,,,,,,,,777,1356,8,,,1348,96,1252,21,,1231,,240.6664,5.115,5.145,5.145,241.3331,5.1,5.13,5.13,US GAAP,3488,19.8069,2433,36.5133,13.816,7.1096,800454.5455,15.6918,4.9258,10.423,7.7227,35.5853,12.1124,7.7002,6.9903,36.4276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,613,613,0,3248,,,,599,,,,,1711,,,,1711,6171,20995,29992,8997,0,,,4241,844,,,,,,1299,,27238,33409,1507,2684,,,,,0,0,,,,,1900,,-3800,-822,1774,626,646,-20,,,,,484,732,,-3016,-2603.8024,-810,-12.4064,54.2864,1.781,20605,,14907,,5698,,5040,,,,,,658,,,601,,,,,1442,800,,,,,,,,,453,989,-660,,,1649,142,1507,20,,1487,,243.0998,6.12,3.39,5.4,243.6331,6.09,3.375,5.4,US GAAP,1809,8.7794,658,27.6535,3.1934,7.3138,981190.4762,17.3431,5.0054,10.8001,1.9719,,6.9983,4.7998,7.2167,31.4147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
