Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,157.267,85.351,71.916,676.624,,,,326.543,,,,,0,,,,0,1160.434,8174.1479,12379.5381,4205.3901,1880.708,,,1007.195,,,,,,,,,11282.262,12442.6963,50.86,322.702,,,,,,,,,,,,,,,,0,0,,,,,,,,,322.702,404.0201,,0.3004,,6.3449,1070.236,,391.958,,678.278,,557.006,,,,,,121.272,,,81.356,,,,,47.276,,,,,,,,,,0.022,47.254,-3.606,,,50.86,0,50.86,11.471,,39.389,,1074.192,0.0362,0.0325,,1074.192,0.0362,0.0325,0.0325,US GAAP,121.272,,121.272,63.3765,11.3313,4.7522,,,,,,,4.4173,4.4153,3.6804,0.0465
1990-06-29 00:00:00,202.737,45.778,156.959,731.325,,,,303.112,,,,,0,,,,0,1237.174,8251.5674,12570.4844,4318.917,1839.311,,,990.247,,,,,,,,,11311.5631,12548.7373,107.628,265.907,,,,,,,,,,,,,,,,0,0,,,,,,,,,265.907,319.951,,0.2458,,2.4706,1271.3669,,479.745,,791.6219,,550.751,,,,,,240.871,,,79.289,,,,,167.711,,,,,,,,,,53.398,114.313,6.685,,,107.628,0,107.628,10.882,,96.746,,1081.632,0.09,0.0962,,1081.632,0.09,0.0962,0.0962,US GAAP,240.871,,240.871,62.2654,18.9458,8.4655,,,,,,,13.1914,8.9913,7.6096,31.8393
1990-09-28 00:00:00,254.625,112.933,141.692,727.13,,,,365.346,,,,,0,,,,0,1347.101,8319.2051,12755.373,4436.168,1859.1591,,,631.227,,,,,,,,,11128.1782,12475.2793,-557.925,350.003,,,,,,,,,,,,,,,,0,0,,,,,,,,,350.003,405.6039,,0.3221,,,1483.156,,555.303,,927.853,,650.61,,,,,,277.243,,,80.603,,,,,200.959,,,,,,,,,,62.335,138.624,696.549,,,-557.925,0,-557.925,10.623,,-568.548,,1086.704,-0.5238,0.1175,,1086.704,-0.5238,0.1175,0.1175,US GAAP,277.243,,277.243,62.5594,18.6928,-37.6174,,,,,,,13.5494,9.3466,-38.3337,31.0188
1990-12-31 00:00:00,214.164,214.164,,427.381,,,,438.957,,,,,306.052,,,,306.052,1386.554,8421.9043,12697.8535,4275.9502,224.96,,,588.218,,,,,,,,,9415.4543,10802.0078,52.032,142.783,,,,,,,,,,,,,,,,0,0,,,,,,,,,142.783,214.935,,0.126,3.6455,2.7441,1261.5861,,500.227,,761.3591,,640.008,,,,,,121.351,,,82.802,,,,,47.722,,,,,,,,,,6.138,41.584,-10.448,,,52.032,0,52.032,10.624,,41.408,,1132.896,0.0362,0.0275,0.0275,1132.896,0.0362,0.0275,0.0275,US GAAP,121.351,14.9565,121.351,60.3494,9.6189,4.1243,,,,,,,3.7827,3.2962,3.2822,12.862
1991-03-28 00:00:00,149.512,149.512,0,451.742,,,,388.01,,,,,0,,,,0,989.264,8557.7324,13151.6064,4593.874,323.897,,,499.114,,,,,,,,,9639.1587,10628.4229,-53.558,309.84,,,,,,,,,,,,,,,,0,0,,,,,,,,,309.84,370.1487,,0.2402,4.0477,,1163.145,,438.303,,724.842,,538.954,,,,,,185.888,,,86.184,,,,,117.199,,,,,,,,,,35.187,82.012,135.57,,,-53.558,0,-53.558,10.623,,-64.181,,1289.856,-0.05,0.055,0.055,1289.856,-0.05,0.055,0.055,US GAAP,185.888,15.9358,185.888,62.3174,15.9815,-4.6046,,-15.233,-3.9168,-2.9346,6.264,69.5476,10.076,7.0509,-5.5179,30.0233
1991-06-28 00:00:00,164.564,164.564,0,510.506,,,,395.864,,,,,0,,,,0,1070.934,8662.9238,13181.2129,4518.2891,330.287,,,471.547,,,,,,,,,9732.9527,10803.8867,84.943,235.431,,,,,,,,,,,,,,,,0,0,,,,,,,,,235.431,300.8762,,0.1819,4.3629,2.7716,1386.746,,515.804,,870.942,,694.375,,,,,,176.567,,,83.195,,,,,107.981,,,,,,,,,,23.038,84.943,0,,,84.943,0,84.943,10.211,,74.732,,1294.016,0.0575,0.0575,0.0575,1294.016,0.0575,0.0575,0.0575,US GAAP,176.567,14.374,176.567,62.8047,12.7325,6.1253,,-15.8202,-4.0639,-3.1026,6.0186,,7.7866,6.1253,5.389,21.3352
1991-09-30 00:00:00,232.964,232.964,0,587.552,,,,384.53,,,,,0,,,,0,1205.046,8884.3867,13490.6699,4606.2832,332.629,,,424.595,,,,,,,,,9925.8287,11130.875,197.875,387.239,,,,,,,,,,,,,,,,0,0,,,,,,,,,387.239,444.0554,,0.2976,4.9695,1.957,1518.299,,562.372,,955.9269,,589.311,,,,,,366.616,,,84.208,,,,,293.272,,,,,,,,,,95.397,197.875,0,,,197.875,0,197.875,10.211,,187.664,,1301.2159,0.1437,0.1437,0.1437,1301.2159,0.1437,0.1437,0.1437,US GAAP,366.616,15.9561,366.616,62.9604,24.1465,13.0327,,7.9342,2.3832,7.1499,6.7079,254.3127,19.3158,13.0327,12.3601,32.5285
1991-12-31 00:00:00,170.211,170.211,0,450.18,,,,374.63,,,,,148.92,,,,148.92,1143.941,9080.8496,13771.2529,4690.4028,234.052,,,604.876,,,,,,,,,10137.8444,11281.7852,52.574,298.217,,,,,,,,,,,,,,,,0,0,,,,,,,,,298.217,359.7081,,0.2235,4.9031,5.6723,1181.246,,416.158,,765.088,,617.111,,,,,,147.977,,,82.192,,,,,70.273,,,,,,,,,,17.699,52.574,0,,,52.574,0,52.574,10.211,,42.363,,1334.144,0.0313,0.0313,0.0313,1334.144,0.0313,0.0313,0.0313,US GAAP,147.977,16.7075,147.977,64.7696,12.5272,4.4507,,7.3853,2.5524,6.6637,6.4562,,5.9491,4.4507,3.5863,25.1861
1992-03-31 00:00:00,192.075,192.075,0,530.623,,,,370.996,,,,,35.238,,,,35.238,1128.932,9180.2871,13990.3506,4810.064,729.005,,,390.573,,,,,,,,,10299.8647,11428.7969,84.783,299.429,,,,,,,,,,,,,,,,0,0,,,,,,,,,299.429,353.7769,,0.2182,4.5285,3.5317,1093.369,,348.64,,744.729,,551.259,,,,,,193.47,,,80.012,,,,,124.819,,,,,,,,,,40.036,84.783,0,,,84.783,0,84.783,10.378,,74.405,,1372.4,0.0538,0.0538,0.0538,1372.4,0.0538,0.0538,0.0538,US GAAP,193.47,17.0789,193.47,68.1132,17.6948,7.7543,,11.8196,3.8099,8.5508,6.5736,,11.416,7.7543,6.8051,32.0752
1992-06-30 00:00:00,104.22,104.22,0,542.306,,,,371.891,,,,,40.432,,,,40.432,1058.849,9352.4424,14282.8027,4930.3608,760.203,,,438.733,,,,,,,,,10551.3784,11610.2266,114.898,226.809,,,,,,,,,,,,,,,,0,0,,,,,,,,,226.809,278.5449,,0.1633,4.8296,1.974,1261.9821,,434.996,,826.9861,,589.723,,,,,,237.263,,,76.847,,,,,170.666,,,,,,,,,,55.768,114.898,0,,,114.898,0,114.898,11.407,,103.491,,1388.672,0.075,0.075,0.075,1388.672,0.075,0.075,0.075,US GAAP,237.263,18.7012,237.263,65.5307,18.8008,9.1046,,12.5871,4.0165,8.8349,6.8241,,13.5236,9.1046,8.2007,32.6767
