Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
NextEra Energy Inc (NEE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
3 Months Ending,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,2589,1.0,2437,1.0,2741,1.0,3504,1.0,3164,1.0,3584,1.0,3809,1.0,4694,1.0,3623,1.0,3075,1.0,3929,1.0,4575,1.0,3683,1.0,3434,1.0,3585,1.0,5387,1.0,4003,1.0,3705,1.0,3811,1.0,4473,1.0,3658,1.0,3622,1.0,3591,1.0,4691,1.0,3413,1.0,3134,1.0,3961,1.0,4382,1.0,3864,1.0,3371,1.0,3667,1.0,3843,1.0,3375,1.0,3279,1.0,3833,1.0,4394,1.0,3630,1.0,3674,1.0,4029,1.0,4654,1.0
  FPL,,2135,0.831710167510713,2041,0.845835060091173,2298,0.845474613686534,2891,0.830031581969567,2298,0.733014354066986,2584,0.730769230769231,2999,0.795490716180371,3513,0.75451030927835,2892,0.806919642857143,2448,0.807121661721068,2905,0.747170781893004,3445,0.759647188533627,2824,0.775824175824176,2534,0.748154709182167,2871,0.812393887945671,3423,0.641131297995879,2820,0.712481051035877,2573,0.702621518296013,2864,0.758675496688742,3301,0.743971151679062,2753,0.761128006635333,2328,0.651188811188811,2580,0.727785613540197,3116,0.670973298880276,2461,0.732876712328767,2246,0.729457616109126,2801,0.717101894521249,3152,0.72895467160037,2414,0.63426169206516,2224,0.671092335546168,2580,0.714681440443213,2975,0.786412899814962,2336,0.707450030284676,2188,0.682896379525593,2696,0.720470336718332,3020,0.702162287840037,2541,0.719626168224299,2535,0.710282992434856,2889,0.736050955414013,3315,0.727452271231073
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,864,0.238871993364667,—,,—,,—,,897,0.267123287671233,833,0.270542383890874,1105,0.282898105478751,1172,0.27104532839963,1392,0.36573830793484,1090,0.328907664453832,1030,0.285318559556787,808,0.213587100185038,966,0.292549969715324,1016,0.317103620474407,1046,0.279529663281668,1281,0.297837712159963,990,0.280373831775701,1034,0.289717007565144,1036,0.263949044585987,1242,0.272547728768927
  Corporate & Other,,22,,24,,23,,21,,29,,48,,39,,38,,39,,42,,41,,40,,43,,47,,51,,48,,45,,43,,36,,36,,41,,47,,46,,47,,55,,55,,55,,58,,58,,57,,57,,60,,73,,75,,91,,93,,99,,105,,104,,97,
  NextEra Energy Resource LLC,,432,0.168289832489287,372,0.154164939908827,420,0.154525386313466,592,0.169968418030434,837,0.266985645933014,952,0.269230769230769,771,0.204509283819629,1143,0.245489690721649,692,0.193080357142857,585,0.192878338278932,983,0.252829218106996,1090,0.240352811466373,816,0.224175824175824,853,0.251845290817833,663,0.187606112054329,1916,0.358868702004121,1138,0.287518948964123,1089,0.297378481703987,911,0.241324503311258,1136,0.256028848320938,—,,1247,0.348811188811189,965,0.272214386459803,1528,0.329026701119724,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-1,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Industrial,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Commercial,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,41,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Residential,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,56,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,—,,—,,—,,—,,1713,1.0,2053,1.0,2174,1.0,2656,1.0,2060,1.0,1672,1.0,2106,1.0,2443,1.0,1971,1.0,1726,1.0,1964,1.0,2728,1.0,1994,1.0,1811,1.0,1797,1.0,2164,1.0,1632,1.0,1349,1.0,1455,1.0,1991,1.0,1447,1.0,1404,1.0,1557,1.0,1911,1.0,1383,1.0,1182,1.0,1236,1.0,1526,1.0,1177,1.0,1065,1.0,1262,1.0,1438,1.0,1192,1.0,1397,1.0,1373,1.0,1566,1.0
  FPL,,—,,—,,—,,—,,1224,0.71830985915493,1538,0.759506172839506,1751,0.812529002320186,2080,0.788177339901478,1746,0.855044074436827,1414,0.856450635978195,1698,0.813218390804598,1969,0.811624072547403,1645,0.84315735520246,1457,0.856051703877791,1598,0.824987093443469,1992,0.736958934517203,1702,0.861772151898734,1469,0.819297267150028,1554,0.870588235294118,1786,0.82954017649791,1410,0.87037037037037,1107,0.834212509419744,1205,0.836224843858432,1504,0.761904761904762,1166,0.813677599441731,1071,0.772727272727273,1304,0.846753246753247,1479,0.781299524564184,1123,0.822108345534407,935,0.802575107296137,1086,0.885085574572127,1280,0.845442536327609,963,0.830172413793103,820,0.780952380952381,1018,0.819645732689211,1141,0.802955665024631,946,0.804421768707483,1036,0.75565280816922,1076,0.796447076239822,1255,0.811247575953458
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,210,0.12962962962963,—,,—,,—,,267,0.186322400558269,315,0.227272727272727,236,0.153246753246753,414,0.218700475435816,243,0.177891654465593,230,0.197424892703863,141,0.114914425427873,234,0.154557463672391,197,0.169827586206897,230,0.219047619047619,224,0.180354267310789,280,0.197044334975369,230,0.195578231292517,335,0.24434719183078,275,0.203552923760178,292,0.188752424046542
  Corporate & Other,,—,,—,,—,,—,,9,,28,,19,,17,,18,,21,,18,,17,,20,,24,,27,,25,,19,,18,,12,,11,,12,,22,,14,,17,,14,,18,,17,,18,,17,,17,,9,,12,,17,,15,,20,,17,,16,,26,,22,,19,
  NextEra Energy Resource LLC,,—,,—,,—,,—,,480,0.28169014084507,487,0.240493827160494,404,0.187470997679814,559,0.211822660098522,296,0.144955925563173,237,0.143549364021805,390,0.186781609195402,457,0.188375927452597,306,0.15684264479754,245,0.143948296122209,339,0.175012906556531,711,0.263041065482797,273,0.138227848101266,324,0.180702732849972,231,0.129411764705882,367,0.17045982350209,—,,220,0.165787490580256,236,0.163775156141568,470,0.238095238095238,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Profit,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1966,1.0,—,,—,,—,,2481,1.0,2189,1.0,2431,1.0,2317,1.0,2198,1.0,2178,1.0,2571,1.0,2956,1.0,2438,1.0,2277,1.0,2656,1.0,3088,1.0
  FPL,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1056,0.556668423827095,—,,—,,—,,1291,0.529098360655738,1289,0.599813866914844,1494,0.626940830885439,1695,0.747025121198766,1373,0.640989729225023,1368,0.635097493036212,1678,0.6712,1879,0.652430555555556,1595,0.677282377919321,1499,0.681983621474067,1813,0.704351204351204,2060,0.684385382059801
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,841,0.443331576172905,—,,—,,—,,1149,0.470901639344262,860,0.400186133085156,889,0.373059169114561,574,0.252974878801234,769,0.359010270774977,786,0.364902506963788,822,0.3288,1001,0.347569444444444,760,0.322717622080679,699,0.318016378525933,761,0.295648795648796,950,0.315614617940199
  Corporate & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,69,,—,,—,,—,,41,,40,,48,,48,,56,,24,,71,,76,,83,,79,,82,,78,
Operating Income,,254,1.0,234,1.0,320,1.0,559,1.0,356,1.0,477,1.0,441,1.0,872,1.0,317,1.0,298,1.0,664,1.0,900,1.0,421,1.0,443,1.0,313,1.0,1316,1.0,752,1.0,576,1.0,605,1.0,849,1.0,557,1.0,939,1.0,709,1.0,1125,1.0,469,1.0,428,1.0,907,1.0,911,1.0,1132,1.0,803,1.0,1000,1.0,742,1.0,732,1.0,434,1.0,981,1.0,1185,1.0,641,1.0,738,1.0,951,1.0,1163,1.0
