Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
NextEra Energy Inc (NEE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
12 Months Ending,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,8326,1.0,8173,1.0,9630,1.0,10522,1.0,11846,1.0,15710,1.0,15263,1.0,16410,1.0,15643,1.0,15317,1.0,15341,1.0,14256,1.0,15136,1.0,17021,1.0,17486,1.0,16138,1.0,17173,1.0,16727,1.0,19204,1.0,17997,1.0,17069,1.0,20956,1.0,28114,1.0
  FPL,,7477,0.91216298645846,7378,0.91436361383071,8293,0.868831849135673,8734,0.836670179135933,9528,0.810962635117882,11988,0.771130837514473,11622,0.769872813990461,11649,0.718231703557556,11491,0.74192923553719,10485,0.693406520732756,10613,0.702150181938472,10114,0.721964451424084,10445,0.706793882798755,11421,0.687308178371547,11651,0.681544311202106,10895,0.690824931836916,11972,0.698646125116713,11862,0.708602150537634,12192,0.631121234082203,11662,0.644095879818845,14102,0.82203439230545,17282,0.822874011998857,18365,0.6550272853729
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,3997,0.25807076446281,4636,0.306593479267244,4502,0.297849818061528,3895,0.278035548575916,4333,0.293206117201245,5196,0.312691821628453,5444,0.318455688797894,4876,0.309175068163084,5164,0.301353874883287,4878,0.291397849462366,5639,0.291903923801636,5046,0.278692146249862,3053,0.17796560769455,3720,0.177125988001143,9672,0.3449727146271
  Corporate & Other,,129,,104,,85,,83,,97,,164,,167,,191,,155,,196,,226,,247,,358,,404,,391,,367,,37,,-13,,-114,,-109,,-86,,-46,,77,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1487,0.0769748421161611,1398,0.0772119739312935,—,,—,,—,
  NextEra Energy Resource LLC,,720,0.0878370135415396,691,0.0856363861692899,1252,0.131168150864327,1705,0.163329820864067,2221,0.189037364882118,3558,0.228869162485527,3474,0.230127186009539,4570,0.281768296442444,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Wholesale,,—,,—,,—,,—,,—,,—,,—,,—,,1,,1,,1,,1,,1,,3,,4,,4,,3,,4,,3,,3,,—,,—,,—,
  Other,,—,,—,,—,,—,,—,,4,,4,,4,,-1,,8,,8,,5,,8,,7,,6,,5,,7,,7,,7,,7,,—,,—,,—,
  Industrial,,—,,—,,—,,—,,—,,3,,3,,3,,3,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Commercial,,—,,—,,—,,—,,—,,39,,39,,40,,41,,37,,37,,39,,37,,36,,36,,36,,35,,34,,35,,32,,—,,—,,—,
  Residential,,—,,—,,—,,—,,—,,54,,54,,53,,56,,54,,54,,55,,54,,54,,54,,55,,55,,55,,55,,58,,—,,—,,—,
Cost of Revenue,,—,,—,,—,,5217,1.0,6171,1.0,8943,1.0,8192,1.0,8412,1.0,7405,1.0,6242,1.0,6256,1.0,5121,1.0,4958,1.0,5602,1.0,5327,1.0,3992,1.0,4071,1.0,3732,1.0,4363,1.0,3539,1.0,4527,1.0,6389,1.0,5457,1.0
  FPL,,—,,—,,—,,4467,0.858873293597385,4910,0.799023596419854,7116,0.802888412501411,6726,0.828733366190242,6749,0.811372926184179,6220,0.846028291621328,4982,0.806670984455959,4977,0.804688763136621,4265,0.841720939411881,3925,0.802986906710311,4375,0.793866811830884,4276,0.812310030395137,3247,0.821401467240071,3542,0.850420168067227,3250,0.841750841750842,3256,0.724844167408727,2616,0.714754098360656,3956,0.850021486892995,5688,0.871857755977928,4761,0.856911447084233
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,1132,0.153971708378672,1194,0.193329015544041,1208,0.195311236863379,802,0.158279060588119,963,0.197013093289689,1136,0.206133188169116,988,0.187689969604863,706,0.178598532759929,623,0.149579831932773,611,0.158249158249158,689,0.153383793410508,600,0.163934426229508,698,0.149978513107005,836,0.128142244022072,795,0.143088552915767
  Corporate & Other,,—,,—,,—,,16,,26,,80,,76,,94,,53,,66,,71,,54,,70,,91,,63,,39,,-94,,-129,,-129,,-121,,-127,,-135,,-99,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,547,0.121772039180766,444,0.121311475409836,—,,—,,—,
  NextEra Energy Resource LLC,,—,,—,,—,,734,0.141126706402615,1235,0.200976403580146,1747,0.19711158749859,1390,0.171266633809759,1569,0.188627073815821,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Profit,,—,,—,,—,,—,,—,,—,,—,,—,,8238,1.0,9075,1.0,9085,1.0,9135,1.0,10178,1.0,11419,1.0,12159,1.0,12146,1.0,13124,1.0,12995,1.0,14841,1.0,14458,1.0,12542,1.0,14567,1.0,—,
  FPL,,—,,—,,—,,—,,—,,—,,—,,—,,5271,0.647861356932153,5503,0.615204024594746,5636,0.631131019036954,5849,0.654104227242228,6520,0.659251769464105,7046,0.634717593009639,7375,0.623362353140056,7987,0.66469707057257,8713,0.657386449373774,8612,0.668685456945415,8936,0.602724942668285,9046,0.626194102173612,10146,0.811615070794336,11594,0.800801215637519,—,
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,2865,0.352138643067847,3442,0.384795975405254,3294,0.368868980963046,3093,0.345895772757772,3370,0.340748230535895,4055,0.365282406990361,4456,0.376637646859944,4029,0.33530292942743,4541,0.342613550626226,4267,0.331314543054585,4950,0.333872925940915,4446,0.307766855877059,2355,0.188384929205664,2884,0.199198784362481,—,
  Corporate & Other,,—,,—,,—,,—,,—,,—,,—,,—,,102,,130,,155,,193,,288,,318,,328,,130,,-130,,116,,15,,12,,41,,89,,—,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,940,0.0634021313907999,954,0.0660390419493285,—,,—,,—,
Operating Income,,1426,1.0,1225,1.0,1531,1.0,1472,1.0,1490,1.0,2097,1.0,2283,1.0,2825,1.0,2554,1.0,3227,1.0,3261,1.0,3276,1.0,3241,1.0,4384,1.0,4632,1.0,4459,1.0,5326,1.0,4280,1.0,5353,1.0,5116,1.0,2913,1.0,4081,1.0,10237,1.0
  FPL,,1277,0.920028818443804,1326,1.01221374045802,1329,0.873193166885677,1315,0.889114266396213,1347,0.897401732178548,1463,0.659603246167719,1563,0.684325744308231,1529,0.54143059490085,1581,0.619028974158183,1849,0.577993122850891,2076,0.643321970870778,2357,0.730173482032218,2539,0.808084022915341,2828,0.658133581568536,2977,0.65342405618964,3158,0.704438991746598,3391,0.796196290208969,3154,0.706541218637993,3302,0.592074592074592,3800,0.70357341233105,4516,1.40553999377529,5294,1.20045351473923,6597,0.624715909090909
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,973,0.380971025841817,1350,0.422006877149109,1151,0.356678029129222,871,0.269826517967782,603,0.191915977084659,1469,0.341866418431464,1579,0.34657594381036,1325,0.295561008253402,868,0.203803709791031,1310,0.293458781362007,2004,0.35933297471759,1284,0.237733753008702,-1303,-0.405539993775288,-884,-0.200453514739229,3963,0.375284090909091
  Corporate & Other,,8,,-85,,9,,-7,,-11,,-121,,-1,,1,,0,,28,,34,,48,,99,,87,,76,,-24,,1067,,-184,,-224,,-285,,-300,,-329,,-323,
  Adjustment,,30,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,271,0.0485924332078178,317,0.0586928346602481,—,,—,,—,
  NextEra Energy Resource LLC,,111,0.079971181556196,-16,-0.0122137404580153,193,0.126806833114323,164,0.110885733603786,154,0.102598267821452,755,0.340396753832281,721,0.315674255691769,1295,0.45856940509915,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Expense,,324,1.0,311,1.0,379,1.0,489,1.0,593,1.0,706,1.0,762,1.0,813,1.0,849,1.0,979,1.0,1035,1.0,1038,1.0,1121,1.0,1261,1.0,1211,1.0,1093,1.0,1558,1.0,1498,1.0,2249,1.0,1950,1.0,1270,1.0,585,1.0,3324,1.0
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,460,0.591259640102828,515,0.587899543378995,530,0.577971646673937,474,0.531986531986532,528,0.559915164369035,667,0.603074141048825,625,0.58411214953271,732,0.616161616161616,801,0.624318004676539,581,0.517825311942959,873,0.573587385019711,659,0.506923076923077,367,0.373727087576375,128,0.142857142857143,1129,0.503343736067766
  FPL,,187,0.716475095785441,166,0.658730158730159,173,0.582491582491583,183,0.504132231404959,224,0.501118568232662,278,0.508226691042048,304,0.493506493506494,334,0.517829457364341,318,0.408740359897172,361,0.412100456621005,387,0.422028353326063,417,0.468013468013468,415,0.440084835630965,439,0.396925858951175,445,0.41588785046729,456,0.383838383838384,482,0.375681995323461,541,0.482174688057041,594,0.390275952693824,600,0.461538461538462,615,0.626272912423625,768,0.857142857142857,1114,0.496656263932234
  Corporate & Other,,63,,59,,82,,126,,146,,159,,146,,168,,71,,103,,118,,147,,178,,155,,141,,-95,,275,,376,,727,,650,,288,,-311,,1081,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,55,0.0361366622864652,41,0.0315384615384615,—,,—,,—,
  NextEra Energy Resource LLC,,74,0.283524904214559,86,0.341269841269841,124,0.417508417508417,180,0.495867768595041,223,0.498881431767338,269,0.491773308957952,312,0.506493506493506,311,0.482170542635659,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Income,,—,,—,,—,,—,,59,1.0,62,1.0,89,1.0,72,1.0,78,1.0,91,1.0,79,1.0,86,1.0,78,1.0,80,1.0,86,1.0,82,1.0,81,1.0,51,1.0,54,1.0,38,1.0,—,,—,,—,
  NEER,,—,,—,,—,,—,,—,,—,,—,,—,,23,0.958333333333333,21,1.0,23,0.884615384615385,20,0.769230769230769,19,0.76,26,0.896551724137931,28,0.8,34,0.944444444444444,72,0.972972972972973,40,0.909090909090909,38,0.826086956521739,28,0.875,—,,—,,—,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3,0.0652173913043478,2,0.0625,—,,—,,—,
