NEE US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,214.164,170.211,78.156,324.002,85.75,46.177,195.932,54,187,361,129,,266,129,225,530,620,290,535,238,302,377,329,438,577,571,1292,1714,638,600,1105,639,1601,2690
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,214.164,170.211,78.156,152.014,85.75,46.177,195.932,54,187,361,129,,266,129,225,530,620,290,535,238,302,377,329,438,577,571,1292,1714,638,600,1105,639,1601,2690
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,0,0,171.988,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,427.381,450.18,413.574,444.815,464.709,482.326,461.501,501,559,482,637,,223,816,785,1064,1279,1496,1443,1431,1509,1372,1487,1777,1805,1784,1784,2220,2302,2282,2263,3378,4349,3609
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,246,,223,816,785,1064,1279,1496,1443,1431,1509,1372,1487,1777,1805,1784,1784,2220,2302,2282,2263,3378,4349,3609
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,438.957,374.63,382.08,329.599,309.308,247.323,268.186,302,282,343,370,,448,458,394,567,785,857,968,877,857,1074,1073,1153,1292,1259,1289,1273,1223,1328,1552,1561,1934,2106
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,306.052,148.92,221.903,152.941,89.88,209.522,247.912,244,238,187,645,,971,1067,1123,2826,2146,1136,2446,1791,2590,2049,2348,2474,3270,3181,3044,1974,2230,3198,2462,3710,5606,6956
    + Prepaid Expenses,BS_PREPAY,,,35.992,34.879,37.289,33.982,48.465,34.949,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,306.052,148.92,185.911,118.062,52.591,175.54,199.447,209.051,238,187,645,,971,1067,1123,2826,2146,1136,2446,1791,2590,2049,2348,2474,3270,3181,3044,1974,2230,3198,2462,3710,5606,6956
Total Current Assets,BS_CUR_ASSET_REPORT,1386.554,1143.941,1095.713,1251.3571,949.647,985.348,1173.531,1101,1266,1373,1781,,1908,2470,2527,4987,4830,3779,5392,4337,5258,4872,5237,5842,6944,6795,7409,7181,6393,7408,7382,9288,13490,15361
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,8421.9043,9080.8496,9866.2998,10289.4551,10202.834,9851.9814,9383.8887,9354,8555,9264,9934,,17700,20297,21226,22421,24499,28652,32411,36078,39075,42490,49413,52720,55705,61386,66912,72289,70334,82010,91803,99348,111059,125776
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,12697.8535,13771.2529,14972.3662,15880.7197,16389.5332,16725.2305,17033.623,17820,17952,19554,21022,,26505,30272,31720,33309,36152,41040,45528,50169,54221,57552,64917,69448,73639,80330,87013,93565,92083,107178,118103,128247,142322,159265
    - Accumulated Depreciation,BS_ACCUM_DEPR,4275.9502,4690.4028,5106.0659,5591.2651,6186.6992,6873.25,7649.7339,8466,9397,10290,11088,,8805,9975,10494,10888,11653,12388,13117,14091,15146,15062,15504,16728,17934,18944,20101,21276,21749,25168,26300,28899,31263,33489
  + LT Investments & Receivables,BS_LT_INVEST,224.96,234.052,336.984,291.03,158.226,158,296,311,391,611,651,,697,810,740,474,533,391,923,935,971,907,976,1121,1399,1786,2482,,,,,,,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,588.218,604.876,736.802,920.932,934.135,929.897,698.903,833,771,841,1437,,959,1110,1569,2707,3136,3819,3148,3718,3948,5052,4623,4843,5715,7374,7756,10169,14341,13367,14457,16648,19922,21102
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,0,174,196,221,248,113.0003,487,332,247,240,509,1962,2004,2064,2123,5094,5431,6144,6199,8353
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,72,89,89,110,113,117,147,151,149,147,778,779,764,891,4204,4254,4844,4854,5091
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,370,185,96,91,362,1184,1225,1300,1232,890,1177,1300,1345,3262
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2321,6748,7453,5728,6159,6582,6156
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,9415.4543,10137.8444,11210.5923,11826.6547,11667.9693,11473.878,11045.7919,11348,10763,12068,13519,,21277,24465,23535,28003,30992,36344,39429,44121,47736,52316,59202,63464,67985,75684,82584,90782,97309,110283,120302,131624,145445,162128
Total Assets,BS_TOT_ASSET,10802.0078,11281.7852,12306.3047,13078.0117,12617.6162,12459.2256,12219.3232,12449,12029,13441,15300,,23185,26935,26062,32990,35822,40123,44821,48458,52994,57188,64439,69306,74929,82479,89993,97963,103702,117691,127684,140912,158935,177489
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,-347.405,281.834,510.85,471.412,558.269,596.713,603.182,637,679,712,719,,,903,887,901,1281,1312,1639,1615,1957,1923,1911,1908,2465,2752,2906,5380,6638,3769,2919,3573,4147,7310
Cash from Operating Activities,CF_CASH_FROM_OPER,1081.395,1230.7271,1085.366,1278.865,1411.0129,1547.234,1616.01,1616.193,1758,1578,991,,,2267,2650,1547,2498,3593,3403,4463,3834,4074,3992,5102,5500,6089,6369,6458,6593,8155,7983,7553,8262,11301
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,0,0,0,0,0,0,0,0,0,0,0,,,0,93,368,116,849,28,773,721,624,,,307,52,658,178,1617,1316,1012,2761,1564,1883
    + Inc in LT Investment,CF_INCR_INVEST,0,0,0,0,0,0,0,0,0,0,0,,,0,-476,-112,-1810,-156,-59,-782,-714,,,,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-243.986,-63.314,-189.237,116.827,68.895,-100.28,-107.26,-246,-313,-1509,-666,,,-22,-18,244,7,-23,-461,198,664,844,651,459,495,460,985,1681,760,121,83,40,89,814
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-1267.726,-1242.861,-1431.788,-1100.0601,-563.436,-695.317,-526.033,-797.193,-795,-2172,-1943,,-3267,-3089,-2418,-2165,-5590,-4578,-5808,-5935,-5284,-5279,-8928,-6123,-6361,-7996,-8046,-8918,-10950,-16177,-13699,-13591,-18359,-23467
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-367.519,-433.256,-474.617,-504.302,-374.309,-351.984,-343.985,-351,-360,-370,-381,,,-438,-467,-544,-593,-654,-714,-766,-823,-920,-1004,-1122,-1261,-1385,-1612,-1845,-2101,-2408,-2743,-3024,-3352,-3782
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,317.235,-143.94,200.956,-89.6878,-409.491,-453.31,-516.164,-562,-408,1254,1251,,,1326,-286,838,1681,1253,3317,1739,1825,2279,5079,1255,755,1444,2079,3441,7569,3614,5394,6710,10528,9400
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,796.491,318.341,547.626,466.287,-110.048,-69.394,-81.636,-48,-62,-116,-150,,,-155,110,639,333,46,41,198,308,-327,386,842,633,1298,537,55,718,1494,-92,14,1460,4514
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,796.491,318.341,547.626,466.287,16.685,0,0,0,0,0,0,,,73,110,639,333,46,41,198,308,48,405,842,633,1298,537,55,718,1494,0,14,1460,4514
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,-126.733,-69.394,-81.636,-48,-62,-116,-150,,,-228,0,,0,0,0,0,,-375,-19,0,0,0,0,0,0,0,-92,0,0,0
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,192.059,-43.953,-92.055,73.858,-66.264,-39.573,149.755,-142,133,174,-232,,184,-137,-450,305,-1693,-330,245,-297,64,75,-48,109,139,7,757,454,3270,-4145,438,-230,2125,-21
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,381,434,463,573,160,,,-77,254,8,30,46,4,61,20,-95,25,-20,46,33,91,142,200,184,235,-69,-32,321
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,57.655,51.1801,-157.1851,61.978,655.6699,881.97,1128.416,1065,1141,717,-308,,,-619,633,-1118,-1405,-1655,-1913,-1661,-2121,-2673,-5587,-1645,-1663,-2419,-3320,-4319,-6734,-9459,-6811,-8839,-11750,-14863
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,304.1997,301.3303,67.2228,281.5989,854.6284,1069.417,1307.0843,1263.6404,1369.2234,869.7188,-118.5384,,,-349.4757,1008.8605,-666.3576,-866.0334,-1059.9143,-1275.1316,-954.9573,-1351.2519,-1861.2932,-4824.9493,-878.9377,-808.8412,-1580.7088,-2567.8524,,-5557.1164,-7472.6569,-4896.5574,-7708.2,-11254.4598,-11997.8288
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,-158.616,54.87,-72.0228,325.1329,353.815,549.341,374.42,853,2154,950,,,473,342,-280,276,-402,1404,78,-296,-394,-508,-225,-908,-975,-1241,-878,835,-5845,-1417,-2129,-1222,-5463
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.0527,0.0392,-0.1113,0.0415,0.4604,0.6288,0.8103,0.7693,0.8244,0.5241,-0.2266,,,-0.4359,0.4413,-0.7353,-0.8926,-1.0404,-1.1953,-1.0268,-1.2923,-1.6041,-3.3519,-0.9695,-0.9571,-1.3424,-1.7923,-2.3032,-3.5577,-4.9064,-3.4768,-4.5039,-5.9566,-7.3358
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,68.7751,117.9119,117.5135,117.9071,9.5361,9.2193,7.0961,9.6176,9.3437,10.2105,16.8734,,,,21.1733,23.6347,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,4.3669,2.1246,2.7128,2.5275,2.5929,2.6791,2.5372,2.5891,2.2163,1.3783,,,2.5105,2.9876,1.717,1.95,2.7386,2.0763,2.7635,1.9591,2.1186,2.089,2.674,2.2312,2.2126,2.1917,1.2004,0.9932,2.1637,2.7348,2.1139,1.9923,1.546
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,5086.3452,5249.436,5193.3271,5316.2939,5422.6592,5592.4849,6036.7778,6369,6661,6438,7062,8326,8173,9630,10522,11846,15710,15263,16410,15643,15317,15341,14256,15136,17021,17486,16138,17173,16727,19204,17997,17069,20956,28114
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,1927.233,1932.637,1829.908,1758.298,1715.345,1721.73,2130.583,2255,2244,2365,2848,3881,3576,4539,5217,6171,8943,8192,8412,7405,6242,6256,5121,4958,5602,5327,3992,4071,3732,4363,3539,4527,6389,5457
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,3159.1122,3316.7991,3363.4192,3557.996,3707.3142,3870.7549,3906.1948,4114,4417,4073,4214,4445,4597,5091,5305,5675,6767,7071,7998,8238,9075,9085,9135,10178,11419,12159,12146,13102,12995,14841,14458,12542,14567,22657
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  - Operating Expenses,IS_OPERATING_EXPN,2398.375,2439.751,2329.645,2584.0381,2558.8721,2673.6489,2735.374,2886,3165,2977,2907,3019,3165,3560,3752,4185,4542,4784,5173,5644,5848,5975,5859,6937,7035,7527,7687,7929,8715,9488,9342,9629,10486,12420
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Income (Loss),IS_OPER_INC,760.737,877.048,1033.774,973.958,1148.442,1197.106,1170.821,1228,1252,1096,1307,1426,1432,1531,1553,1490,2225,2287,2825,2594,3227,3110,3276,3241,4384,4632,4459,5173,4280,5353,5116,2913,4081,10237
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,652,738,658,673,787,739,642,81,510,-3072,1517,2703,-262,249,2949
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,718,851,917,885,980,1144,1055,930,1385,1351,2182,1857,1128,473,3163
    + Interest Expense,IS_INT_EXPENSE,334.474,352.823,339.251,336.323,308.469,290.669,265.713,293.439,322,222,278,324,311,379,489,593,706,762,813,849,979,1035,1038,1121,1261,1211,1098,1558,1498,2249,1950,1270,585,3324
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,59,62,89,72,78,91,79,86,78,80,86,82,81,51,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,-25,-93,-107,-148,-141,-358,-66,1351,-666,-203,648
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-66,-113,-259,-212,-193,-405,-413,-849,-875,-4423,-665,846,-1390,-224,-214
"Pretax Income (Loss), Adjusted",PRETAX_INC,463.668,588.725,772.283,721.911,865.551,925.307,897.044,941,958,1035,1055,1175,954,1274,1154,1183,1678,1680,2089,1942,2489,2452,2603,2454,3645,3990,4378,4663,7352,3836,2413,3175,3832,7288
