Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE
1990-03-30 00:00:00,69.359,69.359,0,804.317,,,,985.375,,,,,330.671,266.077,,,64.594,2189.7219,19845.9512,26510.3965,6664.4448,0,,,768.157,,,,,,,,,20614.1078,22803.8301,142.981,275.331,,,,,,,,,,,,,,,,0,0,,,,,,,,,275.331,411.8641,,0.4348,,1.9256,1667.567,,586.067,,1081.5,,704.199,,,,,,377.301,,,201.331,,,,,210.839,,,,,,,,,,67.858,142.981,0,,,142.981,0,142.981,29.901,,113.08,,633.308,0.18,0.18,0.18,633.308,0.18,0.18,0.18,US GAAP,623.603,,377.301,64.855,22.6258,8.5742,,,,,,,12.6435,8.5742,6.7811,32.1847
1990-06-29 00:00:00,61.392,61.392,0,995.693,,,,1011.252,,,,,303.997,239.615,,,64.382,2372.334,19898.1504,26719.543,6821.3931,0,,,773.511,,,,,,,,,20671.6615,23043.9941,244.708,280.393,,,,,,,,,,,,,,,,0,0,,,,,,,,,280.393,415.5429,,0.4427,,1.1458,2018.446,,756.827,,1261.619,,713.197,,,,,,548.422,,,206.206,,,,,373.365,,,,,,,,,,128.657,244.708,0,,,244.708,0,244.708,28.734,,215.974,,633.308,0.34,0.34,0.34,633.308,0.34,0.34,0.34,US GAAP,793.985,,548.422,62.5045,27.1705,12.1236,,,,,,,18.4976,12.1236,10.7,34.4588
1990-09-28 00:00:00,79.697,79.697,0,1111.469,,,,893.629,,,,,253.236,188.854,,,64.382,2338.031,19713.8496,26675.834,6961.9839,0,,,808.453,,,,,,,,,20522.3027,22860.334,216.314,843.925,,,,,,,,,,,,,,,,0,0,,,,,,,,,843.925,977.5731,,1.3368,,3.901,2437.582,,869.688,,1567.894,,726.255,,,,,,841.639,,,207.512,,,,,674.384,,,,,,,,,,240.047,434.337,218,,,216.337,0,216.337,28.375,,187.962,,631.308,0.3,0.645,0.645,631.308,0.3,0.645,0.645,US GAAP,1098.189,,841.639,64.3217,34.5276,8.8751,,,,,,,27.6661,17.8184,7.711,35.595
1990-12-31 00:00:00,186,186,0,944,,,,915,,,,,257,193,,,64,2302,19807,26894,7087,0,,,757,,,,,,,,,20564,22866,114.997,457.351,,,,,,,,,,,,,,,,0,0,,,,,,,,,457.351,596.7757,,0.7098,2.9029,3.9779,1851.405,,678.418,,1172.987,,796.349,,,,,,376.638,,,196.951,,,,,162.412,,,,,,,,,,47.438,114.974,0,,,114.974,0,114.974,27.99,,86.984,,644.326,0.135,0.135,0.135,644.326,0.135,0.135,0.135,US GAAP,613.223,39.2351,376.638,63.3566,20.3434,6.2101,,,,,,,8.7724,6.2101,4.6983,29.2084
1991-03-28 00:00:00,53.46,53.46,0,869.994,,,,972.737,,,,,282.279,216.429,,,65.85,2178.47,19858.5664,27139.0117,7280.4438,0,,,758.973,,,,,,,,,20617.541,22796.0098,164.232,333.737,,,,,,,,,,,,,,,,0,0,,,,,,,,,333.737,458.8534,,0.5286,2.8883,2.0321,1783.241,,597.773,,1185.468,,735.427,,,,,,450.041,,,200.404,,,,,263.057,,,,,,,,,,98.825,164.232,0,,,164.232,0,164.232,27.029,,137.203,,631.308,0.215,0.215,0.215,631.308,0.215,0.215,0.215,US GAAP,692.674,39.5279,450.041,66.4783,25.2373,9.2097,,9.2703,3.2467,7.4267,6.9915,62.8836,14.7516,9.2097,7.694,37.5679
1991-06-28 00:00:00,54.937,54.937,0,987.055,,,,979.309,,,,,286.079,216.715,,,69.364,2307.3799,19899.6836,27339.7266,7440.042,0,,,759.068,,,,,,,,,20658.7524,22966.1328,197.826,365.373,,,,,,,,,,,,,,,,0,0,,,,,,,,,365.373,493.3475,,0.5788,2.6551,1.8469,2015.389,,687.165,,1328.2241,,811.851,,,,,,516.373,,,205.517,,,,,317.693,,,,,,,,,,119.867,197.826,0,,,197.826,0,197.826,27.125,,170.701,,631.308,0.275,0.275,0.275,631.308,0.275,0.275,0.275,US GAAP,759.997,39.1226,516.373,65.9041,25.6215,9.8158,,8.5746,3.014,7.0328,6.7236,-1048.3788,15.7634,9.8158,8.4699,37.7305
1991-09-30 00:00:00,104.184,104.184,0,1111.0861,,,,889.04,,,,,260.338,190.974,,,69.364,2364.6479,19676.3438,27249.8906,7573.5459,0,,,760.996,,,,,,,,,20437.3408,22801.9883,398.741,848.598,,,,,,,,,,,,,,,,0,0,,,,,,,,,848.598,970.3134,,1.3442,2.9017,2.1282,2363.239,,770.648,,1592.591,,776.385,,,,,,816.206,,,200.179,,,,,655.789,,,,,,,,,,257.048,398.741,0,,,398.741,0,398.741,26.852,,371.889,,631.308,0.585,0.585,0.585,631.308,0.585,0.585,0.585,US GAAP,1060.844,39.0195,816.206,67.3902,34.5376,16.8726,,11.0993,3.8359,8.1575,6.6034,-34.2103,27.7496,16.8726,15.7364,39.1968
1991-12-31 00:00:00,106,106,0,889,,,,896,,,,,292,222,,,70,2183,19940,27624,7684,0,,,760,,,,,,,,,20700,22883,223.201,409.292,,,,,,,,,,,,,,,,0,0,,,,,,,,,409.292,532.9898,,0.6571,3.3673,1.8337,1888.131,,649.414,,1238.717,,664.337,,,,,,574.38,,,190.9,,,,,344.461,,,,,,,,,,121.26,223.201,0,,,223.201,0,223.201,26.994,,196.207,,622.88,0.315,0.315,0.315,622.88,0.315,0.315,0.315,US GAAP,811.485,41.3043,574.38,65.6055,30.4206,11.8213,,12.7381,4.3017,8.7414,7.0667,538.4258,18.2435,11.8213,10.3916,35.2028
1992-03-31 00:00:00,167.449,167.449,0,771.015,,,,962.906,,,,,349.369,272.651,,,76.718,2273.5391,19964.3164,27818.9414,7854.625,0,,,781.123,,,,,,,,,20745.4409,23018.9785,211.753,364.916,,,,,,,,,,,,,,,,0,0,,,,,,,,,364.916,482.7403,,0.5762,3.0753,1.7233,1807.89,,556.723,,1251.167,,733.831,,,,,,517.336,,,187.424,,,,,336.837,,,,,,,,,,125.084,211.753,0,,,211.753,0,211.753,26.965,,184.788,,633.308,0.295,0.295,0.295,633.308,0.295,0.295,0.295,US GAAP,761.497,42.0306,517.336,69.2059,28.6155,11.7127,,13.4579,4.503,8.9171,7.2202,273.0126,18.6315,11.7127,10.2212,37.1349
1992-06-30 00:00:00,152.339,152.339,0,905.767,,,,902.321,,,,,322.79,245.225,,,77.565,2326.2229,19957.1016,27951.5625,7994.4609,0,,,805.145,,,,,,,,,20762.2468,23088.4707,248.805,398.917,,,,,,,,,,,,,,,,0,0,,,,,,,,,398.917,517.109,,0.6299,3.3111,1.6033,2011.541,,670.276,,1341.265,,762.019,,,,,,579.246,,,189.245,,,,,398.378,,,,,,,,,,149.573,248.805,0,,,248.805,0,248.805,25.63,,223.175,,633.308,0.35,0.35,0.35,633.308,0.35,0.35,0.35,US GAAP,814.754,42.7291,579.246,66.6785,28.7961,12.3689,,14.1754,4.7009,9.0997,7.3623,,19.8046,12.3689,11.0947,37.5455
