Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Southern Co/The (SO US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Millions of USD except Per Share,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
3 Months Ending,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,5339,1.0,4049,1.0,4183,1.0,4337,1.0,5401,1.0,3568,1.0,3992,1.0,4459,1.0,6264,1.0,5181,1.0,5771,1.0,5430,1.0,6201,1.0,5629,1.0,6372,1.0,5627,1.0,6159,1.0,5337,1.0,5412,1.0,5098,1.0,5995,1.0,4914,1.0,5018,1.0,4620,1.0,5620,1.0,5117,1.0,5910,1.0,5198,1.0,6238,1.0,5767,1.0,6648,1.0,7206,1.0,8378,1.0,7047,1.0,6480,1.0,5748,1.0,6980,1.0,6045,1.0,6646,1.0,6463,1.0
  Electric Utilities,,—,,—,,4172,0.990503323836657,4324,0.990153423402794,5390,0.993182236963332,3555,0.991078896013382,3981,0.742446848190973,4379,0.862857142857143,5619,0.891763212188542,3962,0.758567872869998,4131,0.710526315789474,4585,0.838668373879641,5523,0.884954334241307,4301,0.769409660107335,4382,0.682341949548427,4565,0.804263565891473,5509,0.888118652265033,4115,0.752422746388737,3795,0.69620253164557,4290,0.830590513068732,5363,0.892791742966539,3647,0.736172789664917,3695,0.730525899565045,3884,0.8343716433942,5049,0.89236479321315,3869,0.750242388985845,4117,0.692514718250631,4407,0.84135166093929,5527,0.880937201147593,4248,0.731909028256375,4509,0.673991031390134,6006,0.82864238410596,7427,0.882171279249317,4930,0.697411232140331,4483,0.687155119558553,4764,0.821946169772257,6167,0.879743223965763,4584,0.685714285714286,4815,0.720484812210085,5456,0.838223997541865
    Traditional Operating Companies,,—,,—,,3948,0.937321937321937,4077,0.933592855507213,5098,0.939377188133407,3368,0.938946194591581,3769,0.702909362178292,4115,0.810837438423645,5236,0.830979209649262,3683,0.705150296764312,3786,0.651186790505676,4157,0.760380464605817,5017,0.803877583720558,3924,0.701967799642218,3979,0.61958891311118,4124,0.726568005637773,5014,0.808318555537643,3726,0.681294569391114,3445,0.63199412951752,3899,0.754888673765731,4908,0.817046778758116,3317,0.6695599515543,3407,0.673586397785686,3539,0.760257787325456,4629,0.81813361611877,3559,0.690129920496413,3764,0.63313708999159,4031,0.769568537609775,5018,0.799808734459675,3801,0.654893177119228,4191,0.626457399103139,5563,0.767522075055188,6938,0.824088371540563,3692,0.522280379120102,4113,0.630441446965052,4359,0.752070393374741,5674,0.80941512125535,4212,0.630067314884069,4438,0.664073021098309,5025,0.772007988938393
    Southern Power,,—,,—,,348,0.0826210826210826,337,0.0771696817036867,401,0.0738898102082182,304,0.0847504878728743,315,0.0587467362924282,373,0.0734975369458128,500,0.0793524837327408,388,0.0742868083476929,450,0.0773993808049536,529,0.0967623925370404,618,0.0990225925332479,478,0.0855098389982111,509,0.0792587978822797,555,0.0977801268498943,635,0.102369821054329,506,0.0925214847321265,443,0.0812694918363603,510,0.0987415295256534,574,0.0955551856167804,411,0.0829632620104966,375,0.0741399762752076,439,0.0943071965628357,523,0.092435489572287,396,0.0767888307155323,440,0.0740117746005046,490,0.0935471554028255,679,0.108224418233982,606,0.104410751206065,539,0.0805680119581465,899,0.124034216335541,1180,0.140159163796175,751,0.106238506153629,508,0.0778663396689148,525,0.0905797101449275,653,0.0931526390870186,503,0.075243081525804,473,0.0707765973365255,524,0.0805039176524812
    Eliminations,,—,,—,,-124,,-90,,-109,,-117,,-103,,-109,,-117,,-109,,-105,,-101,,-112,,-101,,-106,,-114,,-140,,-117,,-93,,-119,,-119,,-81,,-87,,-94,,-103,,-86,,-87,,-114,,-170,,-159,,-221,,-456,,-691,,487,,-138,,-120,,-160,,-131,,-96,,93,
  Southern Company Gas,,—,,—,,—,,—,,—,,—,,1334,0.248787765759045,571,0.112512315270936,543,0.0861767973337565,1109,0.212330078498947,1560,0.268317853457172,716,0.13096762392537,565,0.0905303637237622,990,0.177101967799642,1639,0.255216443475553,730,0.12861169837914,492,0.07931645977752699,1125,0.205704882062534,1474,0.270409099247844,689,0.133397870280736,498,0.0829032795072416,1131,0.228300363342753,1249,0.246935547647291,636,0.136627282491944,477,0.084305408271474,1072,0.207872794260229,1694,0.284945332211943,677,0.129247804505536,623,0.0992986930188078,1386,0.238800827015851,2058,0.30762331838565,1083,0.149420529801325,857,0.101793562180782,1964,0.277832791059556,1875,0.287400367872471,852,0.146997929606625,689,0.0982881597717546,1883,0.281675392670157,1707,0.255424210683825,831,0.127669380857275
