Date,CASH_CASH_EQTY_STI_DETAILED,BS_CASH_NEAR_CASH_ITEM,BS_MKT_SEC_OTHER_ST_INVEST,BS_ACCT_NOTE_RCV,BS_ACCTS_REC_EXCL_NOTES_REC,NOTES_RECEIVABLE,BS_UNBILLED_REVENUES,BS_INVENTORIES,INVTRY_RAW_MATERIALS,INVTRY_IN_PROGRESS,INVTRY_FINISHED_GOODS,BS_OTHER_INV,OTHER_CURRENT_ASSETS_DETAILED,BS_PREPAY,BS_DERIV_HEDGING_ASST_ST,BS_TAXES_RECEIVABLE_SHORT_TERM,BS_OTHER_CUR_ASSET_LESS_PREPAY,BS_CUR_ASSET_REPORT,BS_NET_FIX_ASSET,BS_GROSS_FIX_ASSET,BS_ACCUM_DEPR,BS_LT_INVEST,BS_LONG_TERM_INVESTMENTS,BS_LT_RECEIVABLES,BS_OTHER_ASSETS_DEF_CHRG_OTHER,BS_DISCLOSED_INTANGIBLES,BS_GOODWILL,OTHER_INTANGIBLE_ASSETS_DETAILED,BS_PREPAID_EXPENSE_LT,BS_DEFERRED_TAX_ASSETS_LT,BS_DERIV_HEDGING_ASST_LT,BS_INVEST_IN_ASSOC_CO,OTHER_NONCURRENT_ASSETS_DETAILED,BS_TOT_NON_CUR_ASSET,BS_TOT_ASSET,CF_NET_INC,CF_CASH_FROM_OPER,FIXED_INTANG_ASST_CHANGE,DISPOSAL_OF_FIXED_INTANG,ACQUIS_OF_FIXED_INTANG,NET_CHG_IN_LT_INVEST_DETAILED,CF_DECR_INVEST,CF_INCR_INVEST,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,CF_CASH_FOR_DIVESTITURES,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,CF_CASH_FOR_JOINT_VENTURES_ASSOC,OTHER_INVESTING_ACT_DETAILED,CF_NET_CASH_DISCONTINUED_OPS_INV,CF_CASH_FROM_INV_ACT,CF_DVD_PAID,PROC_FR_REPAYMNTS_BOR_DETAILED,PROC_FR_REPURCH_EQTY_DETAILED,CF_INCR_CAP_STOCK,CF_DECR_CAP_STOCK,OTHER_FIN_AND_DEC_CAP,CF_NET_CASH_DISCONTINUED_OPS_FIN,CFF_ACTIVITIES_DETAILED,CF_EFFECT_FOREIGN_EXCHANGES,CF_NET_CHNG_CASH,CF_CASH_PAID_FOR_TAX,CF_NET_CASH_PAID_FOR_AQUIS,CF_FREE_CASH_FLOW,CF_FREE_CASH_FLOW_FIRM,FREE_CASH_FLOW_EQUITY,FREE_CASH_FLOW_PER_SH,PX_TO_FREE_CASH_FLOW,CASH_FLOW_TO_NET_INC,SALES_REV_TURN,IS_SALES_AND_SERVICES_REVENUES,IS_COGS_TO_FE_AND_PP_AND_G,IS_COG_AND_SERVICES_SOLD,GROSS_PROFIT,IS_OTHER_OPER_INC,IS_OPERATING_EXPN,IS_SGA_EXPENSE,IS_SELLING_EXPENSES,IS_GENERAL_AND_ADMINISTRATIVE,IS_OPERATING_EXPENSES_RD,IS_OTHER_OPERATING_EXPENSES,IS_OPER_INC,IS_NONOP_INCOME_LOSS,IS_NET_INTEREST_EXPENSE,IS_INT_EXPENSE,IS_INT_INC,IS_OTHER_INVESTMENT_INCOME_LOSS,INCOME_LOSS_FROM_AFFILIATES,IS_OTHER_NON_OPERATING_INC_LOSS,PRETAX_INC,IS_ABNORMAL_ITEM,IS_DERIVATIVES_HEDGING,IS_GAIN_LOSS_DISPOSAL_ASSETS,IS_IMPAIRMENT_ASSETS,IS_IMPAIR_OF_INTANG_ASSETS,IS_SALE_OF_BUSINESS,IS_LEGAL_LITIGATION_SETTLEMENT,IS_GAIN_LOSS_ON_INVESTMENTS,IS_OTHER_ONE_TIME_ITEMS,IS_INC_TAX_EXP,IS_INC_BEF_XO_ITEM,XO_GL_NET_OF_TAX,IS_DISCONTINUED_OPERATIONS,EXTRAORD_ITEMS_ACCOUNTING_CHANGS,NI_INCLUDING_MINORITY_INT_RATIO,MIN_NONCONTROL_INTEREST_CREDITS,NET_INCOME,IS_TOT_CASH_PFD_DVD,OTHER_ADJUSTMENTS,EARN_FOR_COMMON,IS_NET_ABNORMAL_ITEMS,IS_AVG_NUM_SH_FOR_EPS,IS_EPS,IS_EARN_BEF_XO_ITEMS_PER_SH,IS_BASIC_EPS_CONT_OPS,IS_SH_FOR_DILUTED_EPS,IS_DILUTED_EPS,IS_DIL_EPS_BEF_XO,IS_DIL_EPS_CONT_OPS,ACCOUNTING_STANDARD,EBITDA,EBITDA_MARGIN,EBIT,GROSS_MARGIN,OPER_MARGIN,PROF_MARGIN,ACTUAL_SALES_PER_EMPL,RETURN_COM_EQY,RETURN_ON_ASSET,RETURN_ON_CAP,RETURN_ON_INV_CAPITAL,INCREMENTAL_OPERATING_MARGIN,PRETAX_INC_TO_NET_SALES,INC_BEF_XO_ITEMS_TO_NET_SALES,NET_INCOME_TO_COMMON_MARGIN,EFF_TAX_RATE,ESG_SCORE,ENVIRONMENTAL_SCORE,SOCIAL_SCORE,GOVERNANCE_SCORE,ESG_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,NOX_EMISSIONS,VOC_EMISSIONS,PARTICULATE_EMISSIONS,SULPHUR_DIOXIDE_SULPHUR_OXIDE_EM,EMISSION_REDUCTION,TRANSITION_PLAN_INDICATOR,CLIMATE_CHG_POLICY,CLIMATE_CHG_OPPORTUNITIES,CLIMATE_RISKS,GHG_SCOPE_1,GHG_SCOPE_2_LOCATION_BASED,ENERGY_EFFIC_POLICY,ENERGY_CONSUMPTION,ELECTRICITY_USED,NAT_GAS_USED,OIL_DIESEL_USED,WASTE_REDUCTION,HAZARDOUS_WASTE,TOTAL_WASTE,ENVIRON_SUPPLY_MGT,WATER_POLICY,TOTAL_WATER_WITHDRAWAL,TOTAL_WATER_DISCHARGED,BIODIVERSITY_POLICY,ADOPT_TNFD_RECOMMENDATIONS,ZERO_DEFORESTATION_POLICY,BOARD_LEVEL_OVERSIGHT_BIODIV,EXEC_LEVEL_OVERSIGHT_BIODIV,HUMAN_RIGHTS_POLICY,POLICY_AGAINST_CHILD_LABOR,QUALITY_ASSURANCE_AND_RECALL_POL,CONSUMER_DATA_PROTECTION_POLICY,COMMUNITY_SPENDING,CUSTOMER_COMPLAINTS,EQUAL_OPPORTUNITY_POLICY,GENDER_PAY_GAP_BREAKOUT,PCT_WOMEN_SENIOR_MGT,PCT_WOMEN_IN_MID_AND_OTHER_MGMT,PCT_WOMEN_EMPLOYEES,PCT_MINORITY_EMPLOYEES,PCT_DISABLED_IN_WORKFORCE,ETHICS_POLICY,ANTI_BRIBERY_ETHICS_POLICY,HEALTH_SAFETY_POLICY,FATALITIES_EMPLOYEES,LOST_TIME_INCIDENT_RATE,TRAINING_POLICY,FAIR_REMUNERATION_POLICY,NUMBER_EMPLOYEES_CSR,EMPLOYEE_TURNOVER_PCT,EMPLOYEE_TRAINING_COST,TOT_HRS_SPENT_BY_FIRM_EMP_TRAIN,COMP_DISCLOSES_EMP_ENG_SCORE,SOCIAL_SUPPLY_CHAIN_MGMT,YEARS_AUDITOR_EMPLOYED,SIZE_OF_AUDIT_COMMITTEE,NUM_IND_DIR_ON_AUD_CMTE,AUDIT_COMMITTEE_MEETINGS,AUDIT_COMMITTEE_MTG_ATTEND_PCT,COMPANY_CONDUCTS_BRD_EVALUATIONS,BOARD_SIZE,NUM_EXECUTIVES_COMP_MANAGERS,NUM_OF_NONEXEC_DIR_ON_BRD,BOARD_MEETINGS_PER_YR,BOARD_MEETING_ATTENDANCE_PCT,COMP_HAS_EXEC_SH_OWNER_GUIDELNS,DIRECTOR_SH_OWNERSHIP_GUIDELINES,SIZE_OF_COMPENSATION_COMMITTEE,NUM_IND_DIR_ON_CMPNSTN_CMTE,NUM_COMPENSATION_CMTE_MTG,COMPENSATION_CMTE_MTG_ATTEND_PCT,NUMBER_OF_FEMALE_EXECUTIVES,NUMBER_OF_WOMEN_ON_BOARD,AGE_OF_YOUNGEST_DIRECTOR,AGE_OF_OLDEST_DIRECTOR,INDEPENDENT_DIRECTORS,SIZE_OF_NOMINATION_COMMITTEE,NUM_IND_DIR_ON_NOM_CMTE,NUM_OF_NOMINATION_CMTE_MTG,NOMINATION_CMTE_MTG_ATTEND_PCT,VERIFICATION_TYPE,EMPLOYEE_CSR_TRAINING,BOARD_DURATION
1990-12-31 00:00:00,186,186,0,944,,,,915,,,,,257,193,,,64,2302,19807,26894,7087,0,,,757,,,,,,,,,20564,22866,719,1857,,,,,0,0,,,,,0,,-1102,-791,96,-96,0,-96,,,,,-44,,,706,1241.4286,,1.1171,7.5987,2.5828,7975,,2891,,5084,,2940,,,,,,2144,,,812,,,,,1421,,,,,,,,,,484,937,218,,,719,0,719,115,,604,,632,0.955,1.3,1.3,632,0.955,1.3,1.3,US GAAP,3129,39.2351,2144,63.7492,26.884,9.0157,263523.114,,,,,,17.8182,11.7492,7.5737,34.0605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-12-31 00:00:00,106,106,0,889,,,,896,,,,,292,222,,,70,2183,19940,27624,7684,0,,,760,,,,,,,,,20700,22883,984,1957,,,,,0,0,,,,,0,,-859,-784,-381,-25,100,-125,,,,,-80,,,852,1348.0455,583,1.3481,7.7648,1.9888,8050,,2705,,5345,,2988,,,,,,2357,,,797,,,,,1581,,,,,,,,,,597,984,0,,,984,0,984,108,,876,,632,1.39,1.39,1.39,632,1.39,1.39,1.39,US GAAP,3325,41.3043,2357,66.3975,29.2795,12.2236,264785.2115,12.7381,4.3017,8.7414,7.0474,284,19.6398,12.2236,10.882,37.7609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992-12-31 00:00:00,97,97,0,924,,,,925,,,,,290,220,,,70,2236,19750,28030,8280,0,,,1186,,,,,,,,,20988,23224,1057,2087,,,,,0,0,,,,,0,,-988,-799,-275,114,440,-326,,,,,-9,,,994,1461.2384,746,1.5728,7.4542,1.9745,8073,,2568,,5505,,3096,,,,,,2409,,,736,,,,,1665,,,,,,,,,,608,1057,0,,,1057,0,1057,104,,953,,632,1.51,1.51,1.51,632,1.51,1.51,1.51,US GAAP,3378,41.8432,2409,68.1903,29.8402,13.093,277565.7555,13.4169,4.585,9.0349,7.3287,226.087,20.6243,13.093,11.8048,36.5165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00,178.346,178.346,0,1146.774,,,,788.748,,,,,220.989,147.915,,,73.074,2334.8569,20102.7793,29036.4961,8933.7168,0,,,3385.533,,,,,,,,,23575.8004,25910.6563,1095.3149,2327.1201,,,,,0,0,,,,,-464.69,,-1667.903,-819.039,263.1579,114.819,631.288,-516.469,,,,,81.033,,,899.7681,1347.7058,1267.8129,1.4103,9.5277,2.1246,8489.1465,,2600.6909,,5888.4556,,3389.4609,,,,,,2498.9939,,,724.707,,,,,1772.0819,,,,,,,,,,676.767,1095.3149,0,,,1095.3149,0,1095.3149,93.467,,1001.8479,,638,1.57,1.57,1.57,638,1.57,1.57,1.57,US GAAP,3509.7019,41.3434,2498.9939,69.3645,29.4375,12.9025,295346.5708,13.4339,4.4584,8.9619,7.1334,21.6255,20.8747,12.9025,11.8015,38.1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994-12-30 00:00:00,139,139,0,1022,,,,907,,,,,264,194,,,70,2368,21170,30747,9577,0,,,3379,,,,,,,,,24674,27042,1076,2180,,,,,0,0,,,,,-405,,-1839,-853,130,378,379,-1,,,,,-39,,,662,1065.2709,886.785,1.0186,11.9585,2.026,8297,,2335,,5962,,3536,,,,,,2426,,,660,,,,,1761,,,,,,,,,,685,1076,0,,,1076,0,1076,87,,989,,649.927,1.52,1.52,1.52,649.927,1.52,1.52,1.52,US GAAP,3476,41.8947,2426,71.8573,29.2395,12.9685,298174.3693,12.4652,4.064,8.2309,6.5183,-37.9887,21.2245,12.9685,11.92,38.8984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-12-29 00:00:00,772,772,0,1363,,,,879,,,,,340,266,,,74,3510,23103,33170,10067,112,,,3628,,,,,,,,,27044,30554,1191,2383,,,,,0,0,,,,,-1416,,-2357,-899,1467,276,277,-1,,,,,633,,,1002,1426.7258,2821,1.5068,9.9534,2.0008,9180,,2617,,6563,,3872,,,,,,2691,,,696,,,,,1973,,,,,,,,,,769,1204,0,,,1204,13,1191,88,,1103,,665,1.66,1.66,1.66,665,1.66,1.66,1.66,US GAAP,3825,41.6667,2691,71.4924,29.3137,12.9739,287936.7668,13.0101,4.1357,8.3296,6.6603,30.0113,21.4924,13.1155,12.0153,38.9762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-12-31 00:00:00,444.832,444.832,0,1117.3781,,,,779.349,,,,,670.886,252.977,,,417.909,3056.8989,23570.5313,34491.7734,10921.2422,,,,3385.4331,,,,,,,,,27234.9039,30291.8027,1233.3521,2488.5149,,,,,0,0,,,,,-275.928,,-1274.606,-953.045,-792.859,313.965,493.113,-179.148,,,,,-327.508,706,,1278.7599,1712.6564,732.742,1.9012,7.2476,2.0177,10357.8906,,3347.5891,,7010.3015,,4408.7642,,,,,,2601.5381,,,697.61,,,,,2004.1521,,,,,,,,,,757.618,1246.5341,0,,,1246.5341,13.182,1233.3521,106.291,,1127.0611,,672.59,1.68,1.68,1.68,672.59,1.68,1.68,1.68,US GAAP,3802.4631,36.7108,2601.5381,67.6808,25.1165,11.9074,354164.3515,12.5317,4.054,8.1053,6.1827,,19.349,12.0346,10.8812,37.8024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997-12-31 00:00:00,601,601,0,2100,,,,707,,,,,178,99,,,79,3603,24394,36328,11934,0,,,6887,1887.574,,,,,,,,31668,35271,1135,2774,,,,,0,0,,,,,-2938,,-4751,-1052,2038,1021,1681,-660,,,,,156,823,,929,1476.8016,3497.9449,1.3562,11.6197,2.4441,12611,,5314,,7297,,4632,,,,,,2665,,,873,,,,,1855,111,,,,,,,,,691,1164,0,,,1164,29,1135,163,,972,,685,1.419,1.419,1.581,685,1.419,1.419,1.581,US GAAP,4136,32.7968,2665,57.8622,21.1323,9.0001,410033.8145,10.3057,3.4623,7.4077,5.8657,2.8166,14.7094,9.23,7.7076,37.2507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998-12-31 00:00:00,872,872,0,1797,,,,767,,,,,183,102,,,81,3706,24768,38007,13239,0,,,7202,3251.499,,,,,,,,32486,36192,1151,2910.0859,,,,,0,0,,,,,-912,,-2624.0859,-1107,534,505,869,-364,,,,,271,839,,916.9999,1531.5326,-310.0001,1.3156,13.4536,2.5283,11403,,3614,,7789,,5137,,,,,,2652,,,953,,,,,1909,221,,,,,,,,,678,1231,0,,,1231,80,1151,174,,977,,697,1.402,1.402,1.719,697,1.402,1.402,1.719,US GAAP,4425,38.8056,2652,68.3066,23.257,10.0938,358044.4612,10.0494,3.2212,7.0782,5.4648,-1.0762,16.7412,10.7954,8.5679,35.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-12-31 00:00:00,466,466,0,1652,1652,,,767,,,,,376,0,,,443,3529,20539,34194,13655,556,,,7733,670,2106,,,,,1376,,34867,38396,1471,1892,,,,,0,0,,,,,-400,,-2281,-1146,2227,-774,274,-1048,,,,,-158,656,1800,11,372.1235,2043,0.0161,891.2659,1.2862,9317,,2737,,6580,,4330,,,,,,2250,,,556,164,,,,1709,390.45,,,,,,,,,599,1110,-361,,,1471,0,1471,195,,1276,,685,1.86,1.33,1.9,685,1.86,1.33,1.9,US GAAP,3466,37.2008,2250,70.6236,24.1494,15.7883,282770.342,13.4309,3.9443,6.8668,3.8607,-19.2713,18.3428,11.9137,13.6954,35.0497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
