GOOG US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,146.331,334.718,2132.297,8034.247,11243.914,14218.613,15845.771,24484.775,34975,44626,48088,58717,64395,73066,86333,101871,109140,119675,136694,139649,113762,110916
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,57.752,148.995,426.873,3877.174,3544.671,6081.593,8656.672,10197.588,13630,9983,14778,18898,18347,16549,12918,10715,16701,18498,26465,20945,21879,24048
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,88.579,185.723,1705.424,4157.073,7699.243,8137.02,7189.099,14287.187,21345,34643,33310,39819,46048,56517,73415,91156,92439,101177,110229,118704,91883,86868
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,61.994,154.69,311.836,687.976,1322.34,2162.521,2642.192,3178.471,4252,5427,7885,8882,9383,11556,14137,18336,20838,25326,30930,39304,40258,47964
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,311.836,687.976,1322.34,2162.521,2642.192,3178.471,4252,5427,7885,8882,9383,11556,14137,18336,20838,25326,30930,39304,40258,47964
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,505,426,0,491,268,749,1107,999,728,1170,2670,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,77,115,0,0,,,,,,,,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,428,311,0,0,,,,,,,,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,23.471,70.826,249.332,278.848,473.593,908.004,1690.219,1503.712,2335,2705,3976,4861,4878,5001,4670,3352,4591,6578,5944,8020,8105,12650
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,1.208,12,4,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,23.244,0,,0,408,591,1903,95,369,355,2166,454,0,0,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,834.854,2064,2486,2832,2927,4287,3098,4575,2983,4236,4412,5490,8020,8105,12650
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,231.796,560.234,2693.465,9001.071,13039.847,17289.138,20178.182,29166.958,41562,52758,60454,72886,78656,90114,105408,124308,135676,152578,174296,188143,164795,171530
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,53.873,188.255,378.916,961.749,2395.239,4039.261,5233.843,4844.61,7759,9603,11854,16524,23883,29016,34234,42383,59719,84587,96960,110558,127049,148436
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,86.886,261.837,583.068,1417.425,3289.594,5519.912,7576.341,8130.134,11771,14400,17697,23837,32746,40146,47527,59647,82507,115148,138673,159972,186091,215894
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,33.013,73.582,204.152,455.676,894.355,1480.651,2342.498,3285.524,4012,4797,5843,7313,8863,11130,13293,17264,22788,30561,41713,49414,59042,67458
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,0,0,0,0,1031.85,1059.694,85.16,128.977,523,790,1469,1976,3079,5183,5878,7813,13859,13078,20703,29549,30492,31008
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,128.977,523,790,1469,1976,3079,5183,5878,7813,13859,13078,20703,29549,30492,31008
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,1.223,122.969,240.97,308.993,2006.415,2947.713,6270.39,6356.233,8007,9423,20021,19534,23569,23148,21977,22791,23538,25666,27657,31018,42928,51418
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,0.096,105.556,264.956,360.466,2238.801,2646.209,5836.544,5677.503,7300,8924,18010,17558,20206,19716,19775,19439,20108,22603,22620,24373,31044,29198
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,87.442,122.818,194.9,1545.119,2299.368,4839.854,4902.565,6256,7346,10537,11492,15599,15869,16468,16747,17888,20624,21175,22956,28960,29198
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,18.114,142.138,165.566,693.682,346.841,996.69,774.938,1044,1578,7473,6066,4607,3847,3307,2692,2220,1979,1445,1417,2084,0
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,416.119,442,499,2011,1976,3187,3181,1819,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,262.611,265,0,,,176,251,383,680,737,721,1084,1284,5261,12169
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,1.127,17.413,-23.986,-51.473,-232.386,301.504,433.846,0,0,0,0,0,0,0,0,2672,2693,2342,3953,5361,6623,10051
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,55.096,311.224,619.886,1270.742,5433.504,8046.668,11589.393,11329.82,16289,19816,33344,38034,50531,57347,62089,72987,97116,123331,145320,171125,200469,230862
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,286.892,871.458,3313.351,10271.813,18473.351,25335.806,31767.575,40496.778,57851,72574,93798,110920,129187,147461,167497,197295,232792,275909,319616,359268,365264,402392
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,6.985,99.656,105.648,399.119,1465.397,3077.446,4203.72,4226.858,6520.448,8505,9737,10737,12733,14136,16348,19478,12662,30736,34343,40269,76033,59972,73795
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,31.089,155.265,395.445,977.044,2459.422,3580.508,5775.41,7852.857,9316.198,11081,14565,16619,18659,22376,26572,36036,37091,47971,54520,65124,91652,91495,101746
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,-13.06,-37.198,-176.801,-318.995,-838.217,-1902.798,-2402.84,-2358.461,-809.888,-4018,-3438,-3273,-7358,-10959,-9915,-9972,-13184,-25041,-23548,-22281,-24640,-31485,-32251
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,240,0,98,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,-13.06,-37.198,-176.801,-318.995,-838.217,-1902.798,-2402.84,-2358.461,-809.888,-4018,-3438,-3273,-7358,-10959,-9950,-10212,-13184,-25139,-23548,-22281,-24640,-31485,-32251
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2172,-615,-1212,-321,-1527,-6152,-1904,-2381,-2080
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,0,0,0,0,0,0,0,,0,0,0,0,0,0,154,494,533,1752,405,1023,934,150,947
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2326,-1109,-1745,-2073,-1932,-7175,-2838,-2531,-3027
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-108.024,-1067,-1900,-10568,1077,-4502,-236,-986,-287,-1491,-2515,-738,-2618,-6969,-495
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,2525,386,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-108.024,-1067,-1900,-10568,-1448,-4888,-236,-986,-287,-1491,-2515,-738,-2618,-6969,-495
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,-16.031,-72.519,-137.153,-1582.361,-2519.976,-4996.352,-1278.749,-2960.961,-7101.293,-5595,-13703,785,-7398,-5594,-11388,-19592,-16718,-1651,-1901,-3602,-6361,20537,7763
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,-29.091,-109.717,-313.954,-1901.356,-3358.193,-6899.15,-3681.589,-5319.422,-8019.205,-10680,-19041,-13056,-13679,-21055,-23711,-31165,-31401,-28504,-29491,-32773,-35523,-20298,-27063
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,-4.503,-7.735,-7.386,-4.707,-1.425,0,0,0,0,3463,726,1328,-557,-18,-23,-1335,-86,-61,-268,9661,-1236,-1196,-760
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,2.03,2.262,15.476,1195.025,4372.255,2966.398,403.067,87.567,233.412,-413,81,188,481,648,-1780,-3693,-4846,-9075,-18396,-31149,-50274,-59296,-61504
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,2.03,2.262,15.476,1195.025,4372.255,2966.398,403.067,87.567,233.412,388,81,188,481,648,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,-801,0,0,0,0,-1780,-3693,-4846,-9075,-18396,-31149,-50274,-59296,-61504
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,0.034,0,1.662,11.872,-21.758,19.741,40.034,-45.923,0,0,0,-287,-781,-2069,-2422,-3304,-3366,-4043,-4545,-2920,-9852,-9265,-9829
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,-2.439,-5.473,9.752,1202.19,4349.072,2986.139,443.101,41.644,233.412,3050,807,1229,-857,-1439,-4225,-8332,-8298,-13179,-23209,-24408,-61362,-69757,-72093
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,10.511,-19,22,3,-3,-433,-434,-170,405,-302,-23,24,-287,-506,-421
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,-0.441,40.075,91.243,277.878,3450.301,-332.503,2536.922,2575.079,1540.916,3432,-3647,4795,4120,-551,-1798,-3631,-2203,5986,1797,7967,-5520,934,2169
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,0.685,73.763,247.422,183.776,153.628,537.702,882.688,1223.985,1895.966,2175,1471,2034,1932,2819,3651,1643,6191,5671,8203,4990,13412,18892,19164
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,0,39.958,21.957,101.31,402.446,906.651,3320.299,108.024,1067,1900,10568,1448,4888,236,986,287,1491,2515,738,2618,6969,495
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,18.029,118.067,218.644,658.049,1621.205,1677.71,3372.57,5494.396,8506.31,7063,11127,13346,11301,11417,16622,25824,23907,22832,30972,42843,67012,60010,69495
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,119.452,,658.5781,1621.736,1677.9072,3373.4613,,,,11172.8175,13413.8696,11368.0457,11496.7045,16708.5194,25924.0113,23957.7542,22932.361,31058.67,42956.0634,67301.94,60310.1627,69760.1616
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,211.258,595.125,1619.78,1677.71,3372.57,5494.396,8506.31,10526,11853,14674,10744,11399,16634,24729,23821,22869,30704,52504,65776,58814,68735
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,4.4508,1.558,3.743,2.448,1.6783,1.1635,1.3739,1.8578,1.4288,1.3029,1.4958,1.5478,1.4654,1.5829,1.6254,1.8501,2.9293,1.5607,1.5875,1.6172,1.2054,1.5256,1.3788
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,0.22,19.108,86.426,439.508,1465.934,3189.223,6138.56,10604.917,16593.986,21795.55,23650.563,29321,37905,46039,55519,66001,74989,90272,110855,136819,161857,182527,257637,282836,307394
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,22888.804,28236,36531,43686,51072,59624,67390,79383,95577,116461,134811,146924,209497,224473,237855
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,0.908,6.081,14.228,131.51,625.854,1457.653,2571.509,4225.027,6649.085,8621.506,8844.115,10417,13188,17176,21993,25691,28164,35138,45583,59549,71896,84732,110939,126203,133332
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,8844.115,10417,13188,17176,21993,25691,28164,35138,45583,59549,71896,84732,110939,126203,133332
Gross Profit,GROSS_PROFIT,,,,,,,,,,-0.688,13.027,72.198,307.998,840.08,1731.57,3567.051,6379.89,9944.901,13174.044,14806.448,18904,24717,28863,33526,40310,46825,55134,65272,77270,89961,97795,146698,156633,174062
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,5.828,27.764,61.234,121.532,497.616,890.378,1459.773,2829.894,4860.501,6542.075,6494.262,8523,12975,15029,18123,23814,27465,31418,39126,49746,55730,56571,67984,81791,89769
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,2.898,14.742,32.351,68.149,,386,775.086,1601.305,2740.516,3748.883,3651.235,4761,7313,8946,10986,13982,15183,17470,19765,23256,28015,28998,36422,42291,44342
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,1.677,10.385,20.076,43.849,,246.3,439.741,849.518,1461.266,1946.244,1983.941,2799,4589,5465,6554,8131,9047,10485,12893,16333,18464,17946,22912,26567,27917
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,1667.294,1962,2724,3481,4432,5851,6136,6985,6872,6923,9551,11052,13510,15724,16425
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,2843.027,3762,5162,6083,7089,9832,12282,13948,16625,21419,26018,27573,31562,39500,45427
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,0,0,500,0,0,0,0,0,2736,5071,1697,0,0,0,0
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,-6.516,-14.737,10.964,186.466,342.464,841.192,2107.278,3549.996,5084.4,6631.969,8312.186,10381,11742,13834,15403,16496,19360,23716,26146,27524,34231,41224,78714,74842,84293
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,-69.003,-415,-584,-635,-496,-763,-291,-434,-1047,-7389,-5394,-6858,-12020,3514,-1424
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,-0.44,-0.047,0.896,1.355,-4.19,-15.134,-120.262,-411.806,-558.002,-316.384,,,-754,-615,-685,-645,-895,-1096,-1203,-1764,-2327,-1730,-1153,-1817,-3557
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,2.57,,0.862,0.776,0.257,1.203,,,,58,85,81,101,104,124,109,114,100,135,346,357,308
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,1.215,,15.996,121.038,412.063,559.205,,229.673,579,812,700,766,746,999,1220,1312,1878,2427,1865,1499,2174,3865
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
