Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Netflix Inc (NFLX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,—,,—,,—,,1205.34,1.0,1364.661,1.0,1670.269,1.0,2162.625,1.0,3204.577,1.0,3609.3,1.0,4374.562,1.0,5504.656,1.0,6779.511,1.0,8830.669,1.0,11692.713,1.0,15794.341,1.0,20156.447,1.0,24996.056,1.0,29697.844,1.0,31615.55,1.0,33723.297,1.0
  Streaming,,—,,—,,—,,—,,—,,1670.269,1.0,2162.625,1.0,3204.577,1.0,2472.4,0.685008173330009,3463.765,0.791796984475246,4739.495,0.860997490124723,6133.774,0.904751684892907,8288.402,0.938592761205295,11242.216,0.961471986869087,15428.752,0.976853165320414,19859.23,0.98525449450491,24756.675,0.990423249171789,29515.496,0.993859890973904,31469.852,0.995391571552606,33640.458,0.997543567581782
    International,,—,,—,,—,,—,,—,,83.65,0.0500817532984208,37.967,0.0175559794231547,82.85,0.02585364620666,287.5,0.0796553348294683,712.39,0.162848303441579,1308.061,0.237628109731108,1953.435,0.288138038274442,3211.095,0.363629867680467,5089.191,0.435244669051571,7782.105,0.492714764104435,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,1586.619,0.949918246701579,2124.658,0.982444020576845,3121.727,0.97414635379334,2184.9,0.60535283850054,2751.375,0.628948681033667,3431.434,0.623369380393616,4180.339,0.616613646618466,5077.307,0.574962893524828,6153.025,0.526227317817516,7646.647,0.48413840121598,—,,—,,—,,—,,—,
  DVD,,—,,—,,—,,—,,—,,—,,—,,—,,1136.9,0.314991826669991,910.797,0.208203015524754,765.161,0.139002509875277,645.737,0.0952483151070925,542.267,0.0614072387947051,450.497,0.0385280131309132,365.589,0.0231468346795856,297.217,0.0147455054950905,239.381,0.00957675082821066,182.348,0.00614010902609631,145.698,0.00460842844739377,82.839,0.00245643241821818
  In-Home Video Subscription,,—,,—,,—,,1205.34,1.0,1364.661,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,500.611,1.0,682.213,1.0,996.66,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,500.611,1.0,682.213,1.0,996.66,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,—,,—,,—,,—,,—,,1079.3,1.0,1357.355,1.0,2039.901,1.0,2632.597,1.0,3117.203,1.0,3752.76,1.0,4591.476,1.0,6257.462,1.0,8033,1.0,9967.538,1.0,—,,—,,—,,—,,—,
  DVD,,—,,—,,—,,—,,—,,—,,—,,0,,598.163,0.227214039976495,471.523,0.151264771655872,396.882,0.10575736258114,323.908,0.070545506499435,262.742,0.0419885889838404,202.525,0.0252116270384663,153.097,0.0153595602043353,—,,—,,—,,—,,—,
  Streaming,,—,,—,,—,,—,,—,,1079.3,1.0,1357.355,1.0,2039.901,1.0,2034.434,0.772785960023505,2645.68,0.848735228344128,3355.878,0.89424263741886,4267.568,0.929454493500565,5994.72,0.958011411016159,7830.475,0.974788372961534,9814.441,0.984640439795665,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,135,0.125081071064579,6.813,0.00501932066408567,107.482,0.0526898119075387,483.295,0.18358107982346,782.304,0.250963443830896,1154.117,0.307538185229005,1780.375,0.387756573267507,3042.747,0.486258965695677,4359.616,0.542713307606125,5776.047,0.579485826891254,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,944.3,0.874918928935421,1350.542,0.994980679335914,1932.419,0.947310188092461,1570.6,0.596597200407051,1863.376,0.597771784513232,2201.761,0.586704452189855,2487.193,0.541697920233058,2951.973,0.471752445320483,3470.859,0.432075065355409,4038.394,0.40515461290441,—,,—,,—,,—,,—,
Cost of Revenue Growth Amount,,—,,—,,—,,—,,—,,—,,—,,—,,—,,465.145,1.0,635.557,1.0,838.716,1.0,1438.425,1.0,1775.538,1.0,1934.538,1.0,—,,—,,—,,—,,—,
  DVD,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-126.64,-0.272259187995141,-74.641,-0.117441865953801,-72.974,-0.0870068056410036,-61.166,-0.0425228983089143,-60.217,-0.0339147908971816,-49.428,-0.0255502864249759,—,,—,,—,,—,,—,
  Streaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,591.785,1.27225918799514,710.198,1.1174418659538,911.69,1.087006805641,1499.591,1.04252289830891,1835.755,1.03391479089718,1983.966,1.02555028642498,—,,—,,—,,—,,—,
    International,,—,,—,,—,,—,,—,,—,,—,,—,,—,,299.009,0.642829655268787,371.813,0.585019124956534,626.258,0.746686601901001,1130.995,0.786273180735874,1316.869,0.7416732280582,1416.431,0.732180499943656,—,,—,,—,,—,,—,
    Domestic,,—,,—,,—,,—,,—,,—,,—,,—,,—,,292.776,0.629429532726354,338.385,0.532422740997267,285.432,0.340320203740003,368.596,0.25624971757304,518.886,0.292241562838982,567.535,0.29336978648132,—,,—,,—,,—,,—,
Gross Profit,,170.601,1.0,217.663,1.0,369.675,1.0,419.172,1.0,454.427,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,170.601,1.0,217.663,1.0,369.675,1.0,419.172,1.0,454.427,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income,,16.794,1.0,1.002,1.0,59.617,1.0,77.577,1.0,115.179,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,16.794,1.0,1.002,1.0,59.617,1.0,77.577,1.0,115.179,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Expense,,0.17,1.0,0.407,1.0,1.21,1.0,1.188,1.0,2.458,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,0.17,1.0,0.407,1.0,1.21,1.0,1.188,1.0,2.458,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Interest Income,,2.592,1.0,5.753,1.0,15.904,1.0,20.34,1.0,12.452,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,2.592,1.0,5.753,1.0,15.904,1.0,20.34,1.0,12.452,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Pretax Income,,21.776,1.0,8.335,1.0,80.318,1.0,110.925,1.0,131.5,1.0,192.192,1.0,267.696,1.0,359.522,1.0,30.48,1.0,171.074,1.0,349.369,1.0,141.885,1.0,260.507,1.0,485.321,1.0,1226.458,1.0,2062.231,1.0,3199.349,1.0,5840.103,1.0,5263.929,1.0,6205.405,1.0
  Streaming,,—,,—,,—,,—,,—,,192.192,1.0,267.696,1.0,359.522,1.0,30.48,1.0,171.074,1.0,349.369,1.0,141.885,1.0,260.507,1.0,485.321,1.0,1226.458,1.0,2062.231,1.0,3199.349,1.0,5840.103,1.0,5263.929,1.0,6205.405,1.0
    Domestic,,—,,—,,—,,—,,—,,192.192,1.0,267.696,1.0,359.786,1.00073430833162,27.885,0.914862204724409,159.126,0.930158878613933,325.081,0.930480380342847,95.644,0.674095217958206,188.078,0.721969083364363,144.1,0.296916885937349,845.402,0.689303669591621,1719.326,0.83372134353523,2789.064,0.871759848644208,5365.547,0.918741844107886,4690.442,0.891053431761713,5602.762,0.902884179195395
    International,,—,,—,,—,,—,,—,,0,,0,,-0.264,-0.000734308331618093,2.595,0.0851377952755906,11.948,0.0698411213860669,24.288,0.0695196196571533,46.241,0.325904782041794,72.429,0.278030916635637,341.221,0.703083114062651,381.056,0.310696330408379,342.905,0.16627865646477,410.285,0.128240151355791,474.556,0.0812581558921135,573.487,0.108946568238287,602.643,0.097115820804605
  In-Home Video Subscription,,21.776,1.0,8.335,1.0,80.318,1.0,110.925,1.0,131.5,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Income Taxes,,0.181,1.0,-33.692,,31.236,1.0,44.317,1.0,48.474,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,0.181,1.0,-33.692,1.0,31.236,1.0,44.317,1.0,48.474,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Net Income,,21.595,1.0,42.027,1.0,49.082,1.0,66.608,1.0,83.026,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  In-Home Video Subscription,,21.595,1.0,42.027,1.0,49.082,1.0,66.608,1.0,83.026,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Streaming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,37,,29,,25,,19,,7,,7,
    International,,—,,—,,—,,—,,—,,—,,100,,2191,,247,,148,,84,,49,,64,,58,,53,,—,,—,,—,,—,,—,
