TM US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-30 00:00:00,1991-12-31 00:00:00,1992-12-30 00:00:00,1992-12-31 00:00:00,1993-12-30 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-30 00:00:00,1996-12-31 00:00:00,1997-12-30 00:00:00,1997-12-31 00:00:00,1998-12-30 00:00:00,1998-12-31 00:00:00,1999-12-30 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-28 00:00:00,2001-12-31 00:00:00,2002-12-30 00:00:00,2002-12-31 00:00:00,2003-12-30 00:00:00,2003-12-31 00:00:00,2004-12-30 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-28 00:00:00,2007-12-31 00:00:00,2008-12-30 00:00:00,2008-12-31 00:00:00,2009-12-30 00:00:00,2009-12-31 00:00:00,2010-12-30 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-28 00:00:00,2012-12-31 00:00:00,2013-12-30 00:00:00,2013-12-31 00:00:00,2014-12-30 00:00:00,2014-12-31 00:00:00,2015-12-30 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-28 00:00:00,2018-12-31 00:00:00,2019-12-30 00:00:00,2019-12-31 00:00:00,2020-12-30 00:00:00,2020-12-31 00:00:00,2021-12-30 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00,
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,1944163,,1438508,,1707058,,1711619,1382550,1854527,,1768297,,2667468,,2941655,,2052999,2312693,,2282848,,2246706,,2090486,,2254615,2362551,2305530,,2984784,,4051635,,3510018,,2940571,3270660,,4268254,,5215977,,5482851,,5899327,5721873,5828216,,6242052,,9316314,,8620903,,9232641,14114228,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,1745508,1317215,1573697,1492625,1179499,1633337,1310527,1165383,1016260,1019217,707233,620870,1729776,1483753,1569387,1900379,1628547,2444280,1865746,2080709,1679200,1718297,2041170,2284557,2939428,2995075,3052269,3574704,4098450,5100857,6113655,7516966,9412060,,,,,,,,,,,,,,,,,,,,,,,,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,198655,121293,133361,218994,203051,221190,457770,1502085,1925395,1033782,1605460,1661978,516930,606733,685228,462172,676983,540504,2185889,1429309,1261371,1552363,2227084,2931420,2543423,2904252,2669604,2253512,2143602,4215457,2507248,1715675,4702168,,,,,,,,,,,,,,,,,,,,,,,,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,1097492,1050176,998578,1215303,1241162,1407782,1169982,1143234,1220851,1294875,1403773,1435723,4154590,4626476,5477999,6060181,6341375,5284155,6095769,5585956,6114724,7089319,7646386,8337673,7912833,8312587,8567868,9020505,8710081,9026579,9607601,11865936,14846698,,,,,,,,,,,,,,,,,,,,,,,,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,421867,391185,399242,471174,525353,561621,735428,773438,823756,918806,1022718,1072947,1083326,1306709,1620975,1803956,1825716,1459394,1422373,1304242,1622282,1715786,1894704,2137618,2061511,2388617,2539789,2656396,2533892,2888028,3821356,4255614,4605368,,,,,,,,,,,,,,,,,,,,,,,,
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,200528,236648,284322,362686,374210,331794,338101,370635,419634,472651,476809,501687,472464,526407,551166,585316,603066,788305,1261303,1407556,1312066,,,,,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,165597,179943,239450,236749,239937,251670,199267,218335,221036,235476,258133,270113,265570,309387,304929,324921,316756,350308,547810,530915,496471,,,,,,,,,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,717201,890118,1097203,1204521,1211569,875930,885005,715272,981612,1007659,1159762,1365818,1323477,1552823,1683694,1746159,1614070,1749415,2012243,2317143,2796831,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,1716868,,1649885,,1593000,,1621864,1849765,2015990,,2699479,,2155246,,2814775,,4412417,5671782,,6228089,,1363831,,1416434,,1381633,1557435,1613606,,1570596,,1503827,,1429539,,1643612,1709125,,1908362,,2245129,,2752358,,1233164,1323126,1374120,,1477295,,1545879,,1672430,,1105590,1147985,
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,632543,511284,517454,516378,527034,672014,805393,1333345,796297,833788,805964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,74303,0,85691,131040,46340,85490,205746,197663,,,,,,,,,,,,,,,,,,,,,,,,
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,237609,112458,163925,218704,116886,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,332722,360379,306201,408547,432693,369962,461557,451406,362564,489338,482465,1108646,1387081,1423015,681140,833436,,,,,,,,,,,,,,,,,,,,,,,,
Total Current Assets,BS_CUR_ASSET_REPORT,4849394,5180390,4529754,4697878,5019960,4998830,5839920,6373186,6739386,7801037,8679097,10410970,11019607,8848453,9440105,10735222,11784123,12086227,11298929,13073604,11829755,12321189,13784890,15717706,17936397,18209553,17833695,18152656,18879237,18963320,22776800,23722290,26459781,34714279,,,,,,,,,,,,,,,,,,,,,,,,
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,1985354,2476104,2563747,2632988,2990658,3477288,4094024,4610763,4793118,4867824,4745555,5437777,5506982,5354647,5795594,7066628,8060519,7812002,7401681,6710901,6309160,6235380,6851239,7641298,9295719,9740417,10197109,10267673,10685494,10871351,11801297,12775052,13125342,14790623,,,,,,,,,,,,,,,,,,,,,,,,
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,5351231,5745093,6110335,6977154,7849387,8864272,9793963,10489640,11375266,11544247,13209084,13438496,13362249,14059029,15857844,17521454,17396236,17192939,17093748,16611349,16849282,18223620,19764791,22364429,22776641,23649094,24043989,24836784,24823492,26367935,28423942,29800461,32892528,,,,,,,,,,,,,,,,,,,,,,,,
    - Accumulated Depreciation,BS_ACCUM_DEPR,,2875127,3181346,3477347,3986496,4372099,4770248,5183200,5696522,6507442,6798692,7771307,7931514,8007602,8263435,8791216,9460935,9584234,9791258,10382847,10302189,10613902,11372381,12123493,13068710,13036224,13451985,13776316,14151290,13952141,14566638,15648890,16675119,18101905,,,,,,,,,,,,,,,,,,,,,,,,
  + LT Investments & Receivables,BS_LT_INVEST,,942752,380068,1212977,1344611,1754014,1786702,1689657,2000197,1919880,3758632,2333608,3453861,5470944,6681083,8232739,9524585,9403994,7758419,7886959,9127933,9656034,12120348,14867337,16834657,16082746,16692150,17480941,17761044,17946528,21297416,23766714,16491045,20637090,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,2102874,2256279,3571187,4053572,5176582,6765043,7632126,7439799,7679928,7999323,7479926,7528731,8847891,9183584,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,5655545,5630680,5556746,5602462,6943766,8102294,9202531,8642947,9012222,9481618,10281118,10417797,12449525,14583130,16491045,20637090,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,2153400,983461,1940848,1113795,1040587,1112316,984187,1180749,1220610,1880313,336143,1706586,761936,2366184,2418229,2697006,3205552,3156097,2603008,2677823,2551318,2438362,2726840,3211132,3663057,3394881,4027232,4406979,4611174,6191164,6391627,7424715,18227012,19972304,,,,,,,,,,,,,,,,,,,,,,,,
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,0,0,0,0,0,0,42657,9705,4328,5123,,,,,,0,0,0,0,0,0,0,0,0,0,0,1000257,1108634,1191966,1249122,1355326,,,,,,,,,,,,,,,,,,,,,,,,
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,0,,0,,0,,0,0,,0,,0,,0,,0,0,0,,1000257,,1108634,,1191966,,1249122,1355326,,,,,,,,,,,,,
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,437295,257788,465193,446123,,,,,,,,,,,,,,,,,326364,336224,342202,387427,502230,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,0,169118,0,114642,372786,236023,333683,404593,355259,,,,,,,,,,,,,,,,,,,,,,,,
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,721528,750278,828720,759799,844745,922678,1041846,1024164,1067334,,1104863,,1370171,1570185,1828369,2058177,2098556,1826375,1879320,1827331,1920987,2103283,2429778,2691460,2631612,2845639,3162917,3313723,4297564,4160803,4837895,5227345,5710106,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,2153400,,261933,,1190570,,285075,,280788,267571,61509,,138903,,196446,,333027,,68650,132202,,310690,,996013,,848044,,868637,1147375,1057541,,765130,,638949,,577081,,464513,488597,,523794,,598812,,639548,,790531,971109,985566,,50583,,138213,,191540,,10330955,11375611
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,4138754,4402317,4884663,4959760,5375856,6343618,6864913,7481169,8013925,8668017,8840330,9477971,9722779,13191775,14894906,17996373,20790656,20372093,17763108,17275683,17988411,18329776,21698427,25719767,29793433,29218044,30916491,32155593,33057712,35009043,39490340,43966481,47843399,55400017,,,,,,,,,,,,,,,,,,,,,,,,
Total Assets,BS_TOT_ASSET,8988148,9582707,9414417,9657638,10395820,11342450,12704833,13854355,14753310,16469054,17519427,19888937,20742386,22040228,24335011,28731595,32574779,32458320,29062037,30349287,29818166,30650965,35483317,41437473,47729830,47427597,48750186,50308249,51936949,53972363,62267140,67688771,74303180,90114296,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,406798,471295,615824,944671,1162098,1171260,1372180,1644032,1717879,-436937,209456,408183,283559,962163,1823119,2173338,2312694,1831109,2493983,1882873,2036140,2245261,2850110,2451318,4944933,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,547533,1108831,759149,1329472,2283023,2370940,2515480,3238173,2981624,1476905,2558530,2024009,1452435,2451316,3646035,3685753,4460857,3414237,4223128,3766597,2398496,2727162,3722615,2955076,4206373,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,-837854,,-814874,-1054551,,-1205834,,-871878,,-998891,,-1433881,-1361393,-1413019,,-1317196,,-552063,,-577984,,-686904,-815370,,-930830,,-1104771,,-1240398,,-2261921,-2315615,-2288376,,-2307434,,-2355704,,-2250363,,-1990235,-2884775,,,,,,,
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,462427,,402407,473541,,347914,,73925,,69396,,89578,64421,67551,,47386,,52473,,51342,,36633,39191,,39191,,41547,,42147,,1279516,1283092,1450511,,1439142,,1412241,,1579881,,1715597,2163619,,,,,,,
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,-1300281,,-1217281,-1528092,,-1553748,,-945803,,-1068287,,-1523459,-1425814,-1480570,,-1364582,,-604536,,-629326,,-723537,-854561,,-970021,,-1146318,,-1282545,,-3541437,-3598707,-3738887,,-3746576,,-3767945,,-3830244,,-3705832,-5048394,,,,,,,
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,96521,,-125585,130154,,-211022,,-1402309,,-2049801,,-1862211,-2400006,-2382774,,-48736,,-1959647,,-1715666,,-965579,-2231554,,-3310993,,-2595328,,-880030,,-1324180,-1541582,-167064,,-29689,,-667253,,-225274,,183515,-721411,,,,,,,
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,1296046,893767,798047,932757,1724823,890399,1101715,1146932,1363291,2004626,1573833,4202851,3288138,3202532,4063666,3486424,4527542,1901541,2523538,2698798,2375648,2061918,2202637,1333729,2251368,,,,,,,,,,,,,,,,,,,,,,,,
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,-1199525,-1019352,-667893,-1143779,-3127132,-2940200,-2963926,-3546938,-3746065,-2053362,-3533480,-5918517,-4253717,-5434086,-7374659,-6081752,-5407572,-3225721,-4065120,-2865862,-2405337,-2729171,-2427911,-1150214,-2972779,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,-45,-1020,-299,-147,16216,6603,0,0,44274,-576,5010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,-45,-1020,-299,-147,16216,6603,0,0,44274,-576,5010,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,-73544,,-110857,-34288,,31042,,-38597,,-12504,,-79408,-52979,-79093,,135757,,-337454,,177605,,209972,3396,,-101028,,-113391,,-1062116,,571888,197681,-246811,,212473,,-1661218,,1898141,,207830,-1392565,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,-814877,-1051316,-958685,-1385814,-2312784,-3061196,-3375500,-3814378,-3874886,-1230220,-2850184,-2116344,-1442658,-3027312,-4336248,-3813490,-3182544,-2969939,-3660092,-2697241,-2124650,-4684175,-577496,-1598890,-4998751,,,,,,,,,,,,,,,,,,,,,,,,
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,-87958,-88625,-98638,-109330,-137678,-165299,-244568,-339107,-430860,-439991,-172476,-141120,-156785,-190008,-396030,-554933,-704728,-634475,-626892,-644806,-618801,-625514,-709872,-727980,-880197,,,,,,,,,,,,,,,,,,,,,,,,
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,631450,,169796,736309,,601739,,737358,,848789,,1251108,1516574,1448716,,1209419,,-95255,,604064,,-161114,710348,,1369363,,1278057,,658767,,1030929,689339,722971,,1512689,,3201402,,-1300203,,1163574,3706760,,,,,,,
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,0,,0,-282849,,-454611,,-357457,,-264106,,-129629,-295699,-311667,,-70587,,-10251,,-28617,,-37448,-43098,,9212,,-347784,,-303256,,-703986,-447818,-549637,,-476128,,199884,,-404718,,-431099,-231069,,,,,,,
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,0,0,0,0,0,,0,0,,0,0,0,0,0,9212,0,474917,0,0,0,,199884,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,0,0,-282849,-454611,-357457,-264106,-129629,-295699,-311667,-70587,-10251,-28617,-37448,-43098,0,-347784,-778173,-703986,-447818,-549637,-476128,0,-404718,-431099,-231069,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,-83424,-191138,25560,-46340,-74714,24849,68743,25429,-84759,0,0,0,0,0,-63065,-69295,-74354,-67633,-63764,-69367,-54954,-36598,-51723,-60675,-97936,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,460068,,-109967,380382,,-8542,,167509,,444233,,945654,907197,621430,,698841,,-277982,,434327,,-355347,477242,,919480,,306045,,-423571,,-375165,-449135,-540839,,362806,,2739174,,-2466516,,-56180,2497558,,,,,,,
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,-129793,-8898,-127029,-55939,137851,93606,65079,-199871,-13486,-43588,-41641,-141007,220245,334195,103305,189914,,,,,,,,,,,,,,,,,,,,,,,,
