Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Toyota Motor Corp (7203 JP) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,
date,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,
Revenue,,4802.843,1.0,3536.322,1.0,3836.077,1.0,4541.566,1.0,5292.89,1.0,5280.44,1.0,4871.825,1.0,4806.667,1.0,4673.113,1.0,4642.083,1.0,3441.05,1.0,4574.872,1.0,4865.205,1.0,5702.526,1.0,5501.573,1.0,5406.781,1.0,5318.752,1.0,5837.086,1.0,6255.319,1.0,6282.166,1.0,6585.044,1.0,6569.382,1.0,6390.688,1.0,6554.909,1.0,7170.017,1.0,7118.907,1.0,6987.648,1.0,7103.84,1.0,7339.882,1.0,6971.748,1.0,6589.113,1.0,6481.42,1.0,7084.187,1.0,7442.473,1.0,7047.606,1.0,7143.601,1.0,7605.767,1.0,7582.536,1.0,7362.733,1.0,7311.273,1.0
  Goods & Products,,—,,3244.906,0.917593477064588,—,,—,,—,,4977.892,0.942704017089485,4567.522,0.937538191540131,4516.137,0.93955686965625,4379.795,0.937232846712673,4357.066,0.938601485583089,3162.347,0.919006407927813,4310.813,0.942280570909962,4601.657,0.945830031828052,5437.099,0.953454486660824,5233.688,0.95130756240079,5142.201,0.951065153184492,5024.823,0.944737224070609,5513.438,0.944553155461475,5926.535,0.947439291265561,5945.468,0.946404154235975,6229.811,0.946054574578393,6210.83,0.945420741250851,6023.59,0.942557358456554,6163.804,0.940334030571591,6742.115,0.940320643591222,6683.327,0.938813640914258,6527.733,0.934181716079574,6634.883,0.933985421968963,6865.988,0.93543574678721,6520.507,0.935275773019908,6159.004,0.934724294453593,6057.702,0.934625745592787,6617,0.934052136116678,6979.79,0.93783208887691,6578.122,0.933383903697227,6655.852,0.931722250444839,7101.556,0.933706751731942,7084.746,0.934350460057163,6853.963,0.930899300572219,6784.867,0.928000773599891
    Automotive,,4308.267,0.897024324967525,3090.416,0.873906844455906,3410.071,0.888947484630783,4105.872,0.904065249739847,4858.896,0.918004341673453,4812.469,0.911376514078372,4465.173,0.916529842512816,4393.296,0.914000491400798,4252.211,0.909931131560482,4212.073,0.907367016057231,3055.743,0.888026329172781,4176.146,0.912844337502776,4464.15,0.917566680129614,5268.339,0.923860583888614,5110.683,0.928949411377437,4998.955,0.924571385450974,4879.235,0.917364637418703,5389.889,0.923386943416629,5807.049,0.928337787409403,5805.33,0.924096879961466,6082.074,0.92361934104009,6039.402,0.919325744796086,5900.07,0.923229236038436,6018.997,0.918242648372388,6595.19,0.919829060377402,6491.967,0.911933109956346,6398.388,0.915671195801506,6458.452,0.90914941777968,6698.705,0.912644780937895,6368.268,0.913439212088561,6017.861,0.913303657108324,5897.299,0.909877619410561,6456.333,0.911372469416745,6660.736,0.894962736176537,6356.753,0.901973379329094,6356.581,0.889828673241969,6852.678,0.900984476647786,6781.217,0.894320448989626,6624.656,0.899755023032887,6505.842,0.889837104974742
      Vehicles,,—,,—,,2747.218,0.716152986501574,—,,4092.802,0.773264133582977,—,,3752.103,0.77016374767156,3684.607,0.766561736022071,3546.911,0.759003901681812,3523.858,0.759111373062481,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5681.666,0.771678940415196,5537.552,0.757399156070359
      Parts,,—,,—,,376.851,0.0982386432806224,—,,393.884,0.0744175677182031,—,,401.617,0.082436663878526,389.93,0.0811227405601428,403.383,0.0863199755708882,358.567,0.0772426947126969,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,500.983,0.0680430758524043,513.08,0.0701765615919417
      Others,,—,,—,,208.914,0.0544603249621945,—,,262.084,0.0495162378209258,—,,223.483,0.0458725426303285,237.251,0.0493587344411419,206.771,0.044246950587328,258.906,0.0557736688465071,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,303.267,0.0411894604897393,294.932,0.0403393499326314
