Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Tesla Inc (TSLA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,956.661,1.0,939.88,1.0,954.976,1.0,936.789,1.0,1214.379,1.0,1147.048,1.0,1270.017,1.0,2298.436,1.0,2284.631,1.0,2696.27,1.0,2789.557,1.0,2984.675,1.0,3288.249,1.0,3408.751,1.0,4002.231,1.0,6824.413,1.0,7225.873,1.0,4541,1.0,6350,1.0,6303,1.0,7384,1.0,5985,1.0,6036,1.0,8771,1.0,10744,1.0,10389,1.0,11958,1.0,13757,1.0,17719,1.0,18756,1.0,16934,1.0,21454,1.0,24318,1.0,23329,1.0,24927,1.0,23350,1.0,25167,1.0,21301,1.0,25500,1.0,25182,1.0
"  Automotive, Services & Other",,—,,—,,—,,—,,—,,—,,—,,—,,2153.246,0.94249180721088,2482.326,0.920651863500317,2502.777,0.897195146039317,2667.17,0.893621583589503,2990.212,0.909363007485139,2998.729,0.87971488677231,3627.823,0.906450177413548,6425.096,0.941486982103809,6854.376,0.948587942245871,4217,0.928650077075534,5981,0.941889763779528,5901,0.936220847215612,6948,0.940953412784399,5692,0.951044277360067,5666,0.93870112657389,8192,0.933987002622278,9992,0.930007446016381,9895,0.952449706420252,11157,0.933015554440542,12951,0.941411644980737,17031,0.961171623680795,18140,0.967157176370228,16068,0.948860281091295,20337,0.9479351169945,23008,0.946130438358418,21800,0.934459256719105,23418,0.939463232639307,21791,0.933233404710921,23729,0.942861683951206,19666,0.923243040232853,22486,0.881803921568627,22806,0.905646890636169
    Automotive,,—,,—,,—,,—,,1117.007,0.919817454023826,1026.064,0.89452577398679,1181.852,0.930579669406,2148.727,0.93486483852498,1994.123,0.87284248528537,2289.6,0.849173116935618,2286.616,0.819705781240534,2362.889,0.791673800330019,2702.195,0.821773229460421,2735.317,0.802439661917224,3357.681,0.838952324341099,6098.766,0.893668949988812,6323.219,0.875080284416845,3724,0.820083682008368,5376,0.846614173228346,5353,0.84927812152943,6368,0.862405200433369,5132,0.857477025898078,5179,0.858018555334659,7611,0.867745981073994,9314,0.866902457185406,9002,0.866493406487631,10206,0.853487205218264,12057,0.876426546485426,15967,0.901123088210396,16861,0.898965664320751,14602,0.86228888626432,18692,0.871259438799292,21307,0.87618225182992,19963,0.855716061554289,21268,0.853211377221487,19625,0.840471092077088,21563,0.856796598720547,17378,0.81583024271161,19878,0.779529411764706,20016,0.794853466761973
      Automotive Sales,,—,,—,,—,,—,,1014.337,0.835272184383953,901.892,0.786272239697031,1030.224,0.811189141562672,1917.442,0.834237716429781,1739.449,0.761369779189725,2035.06,0.754768624803896,2013.852,0.721925380983432,2076.731,0.695798034961931,2409.109,0.7326419015105,2561.881,0.751560028878613,3117.865,0.779031745044202,5878.305,0.861364193521113,6073.471,0.840517263450382,3509,0.772737282536886,5168,0.813858267716535,5132,0.814215452958908,6143,0.831933911159263,4893,0.817543859649123,4911,0.813618290258449,7346,0.837532778474518,9034,0.84084139985108,8705,0.837905476946771,9874,0.825723365111223,11672,0.848440793777713,15339,0.865680907500423,15514,0.827148645766688,13670,0.807251683004606,17785,0.828982940244243,20241,0.832346410066617,18878,0.80920742423593,20419,0.819151923616962,18582,0.795802997858672,20630,0.819724242063019,16460,0.772733674475377,18530,0.726666666666667,18831,0.7477960447939
      Automotive Regulatory Credits,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,679,0.0362017487737257,344,0.0203141608598087,286,0.0133308473944253,467,0.0192038818981824,521,0.0223327189335162,282,0.0113130340594536,554,0.0237259100642398,433,0.0172050701315214,442,0.0207501995211492,890,0.0349019607843137,739,0.0293463585100469
      Automotive Leasing,,—,,—,,—,,—,,102.67,0.0845452696398736,124.172,0.108253534289759,151.628,0.119390527843328,231.285,0.100627122095199,254.674,0.111472706095645,254.54,0.0944044921317227,272.764,0.0977804002571017,286.158,0.0958757653680887,293.086,0.0891313279499211,173.436,0.0508796330386115,239.816,0.0599205792968972,220.461,0.0323047564676991,249.748,0.0345630209664632,215,0.047346399471482,208,0.032755905511811,221,0.035062668570522,225,0.0304712892741062,239,0.0399331662489557,268,0.0444002650762094,265,0.0302132025994755,280,0.0260610573343261,297,0.0285879295408605,332,0.0277638401070413,385,0.0279857527077124,628,0.0354421807099723,668,0.035615269780337,588,0.0347230423999055,621,0.0289456511606227,599,0.0246319598651205,564,0.0241759183848429,567,0.0227464195450716,489,0.0209421841541756,500,0.0198672865260063,476,0.0223463687150838,458,0.0179607843137255,446,0.0177110634580256
    Service & Other,,—,,—,,—,,—,,85.878,0.070717626045905,98.256,0.085659885200968,84.218,0.0663124981791582,126.375,0.0549830406415493,159.123,0.0696493219255101,192.726,0.0714787465646986,216.161,0.0774893647987835,304.281,0.101947783259484,288.017,0.0875897780247177,263.412,0.0772752248550862,270.142,0.0674978530724488,326.33,0.0478180321149966,531.157,0.0735076578290263,493,0.108566395067166,605,0.0952755905511811,548,0.0869427256861812,580,0.0785482123510293,560,0.0935672514619883,487,0.0806825712392313,581,0.0662410215482841,678,0.0631049888309754,893,0.085956299932621,951,0.079528349222278,894,0.0649850984953115,1064,0.060048535470399,1279,0.0681915120494775,1466,0.0865713948269753,1645,0.0766756781952083,1701,0.0699481865284974,1837,0.0787431951648163,2150,0.08625185541782,2166,0.092762312633833,2166,0.0860650852306592,2288,0.107412797521243,2608,0.102274509803922,2790,0.110793423874196
  Energy Generation & Storage,,—,,—,,—,,—,,11.494,0.00946491993026889,22.728,0.0198143408122415,3.947,0.00310783241484169,23.334,0.0101521208334711,131.385,0.05750819278912,213.944,0.0793481364996829,286.78,0.102804853960683,317.505,0.106378416410497,298.037,0.0906369925148613,410.022,0.12028511322769,374.408,0.0935498225864524,399.317,0.0585130178961912,371.497,0.0514120577541288,324,0.071349922924466,369,0.0581102362204724,402,0.0637791527843884,436,0.0590465872156013,293,0.0489557226399332,370,0.06129887342611,579,0.066012997377722,752,0.0699925539836188,494,0.0475502935797478,801,0.0669844455594581,806,0.0585883550192629,688,0.0388283763192054,616,0.0328428236297718,866,0.0511397189087044,1117,0.0520648830055001,1310,0.0538695616415824,1529,0.065540743280895,1509,0.0605367673606932,1559,0.0667665952890792,1438,0.0571383160487941,1635,0.0767569597671471,3014,0.118196078431373,2376,0.0943531093638313
    Energy Generation & Storage Sales,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,297.895,0.0873912468232499,234.602,0.0586178059187488,259.288,0.0379941835290449,264.758,0.0366402786210054,212,0.0466857520369963,226,0.0355905511811024,241,0.0382357607488498,321.135,0.0434906554712893,173,0.02890559732665,225,0.0372763419483101,439,0.0500513054383765,640,0.0595681310498883,383,0.0368659158725575,653,0.0546077939454758,662,0.0481209566039107,581,0.0327896608160731,503,0.0268180848795052,717,0.0423408527223338,966,0.0450265684720798,1190,0.0489349453080023,1413,0.0605683912726649,1359,0.0545191960524732,1416,0.0606423982869379,1327,0.0527277784400207,1522,0.0714520445049528,2866,0.112392156862745,2228,0.0884758954808991
    Energy Generation & Storage Leasing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,112.127,0.0328938664044396,139.806,0.0349320166677036,140.029,0.0205188343671463,106.739,0.0147717791331234,112,0.0246641708874697,143,0.0225196850393701,161,0.0255433920355386,114.996,0.0155736728060672,120,0.0200501253132832,145,0.0240225314777999,140,0.0159616919393456,112,0.0104244229337305,111,0.0106843777071903,148,0.0123766516139823,144,0.0104673984153522,107,0.00603871550313223,113,0.00602473875026658,149,0.00879886618637062,151,0.00703831453342034,120,0.00493461633358006,116,0.0049723520082301,150,0.00601757130822,143,0.00612419700214133,111,0.00441053760877339,113,0.00530491526219426,148,0.00580392156862745,148,0.00587721388293225
  Automobiles,,956.661,1.0,939.88,1.0,954.976,1.0,936.789,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue - Supplementary Breakdown,,956.661,1.0,939.88,1.0,954.976,1.0,936.789,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Development Services,,0,,46.56,0.049538238924118,76.886,0.0805109238347351,84.234,0.0899177936547077,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Automotive,,956.661,1.0,893.32,0.950461761075882,878.09,0.919489076165265,852.555,0.910082206345292,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Vehicle Options and Related,,914.923,0.95637117014282,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
