Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41
Tesla Inc (TSLA US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
date,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,,09/30/2014,
Revenue,,18.585,1.0,20.812,1.0,28.405,1.0,31.241,1.0,36.286,1.0,49.03,1.0,58.171,1.0,57.666,1.0,39.375,1.0,30.167,1.0,26.653,1.0,50.104,1.0,306.332,1.0,561.792,1.0,405.139,1.0,431.346,1.0,615.219,1.0,620.542,1.0,769.349,1.0,851.804,1.0
  Automobiles,,18.585,1.0,20.812,1.0,28.405,1.0,31.241,1.0,36.286,1.0,49.03,1.0,58.171,1.0,57.666,1.0,39.375,1.0,30.167,1.0,26.653,1.0,50.104,1.0,306.332,1.0,561.792,1.0,405.139,1.0,431.346,1.0,615.219,1.0,620.542,1.0,769.349,1.0,851.804,1.0
Revenue - Supplementary Breakdown,,—,,20.812,1.0,28.405,1.0,31.241,1.0,36.286,1.0,49.03,1.0,58.171,1.0,57.666,1.0,39.38,1.0,30.167,1.0,26.653,1.0,50.104,1.0,306.332,1.0,561.792,1.0,—,,431.346,1.0,615.219,1.0,620.542,1.0,769.349,1.0,851.804,1.0
  Automotive,,—,,20.585,0.989092831059004,23.971,0.843900721703925,23.35,0.747415255593611,29.172,0.803946425618696,33.628,0.685865796451152,39.028,0.670918498908391,43.235,0.749748552006382,32.266,0.819349923819198,19.245,0.637948751947492,22.054,0.827449067647169,50.023,0.99838336260578,294.377,0.9609737147931,555.203,0.988271459899749,—,,430.196,0.997333926824405,610.852,0.992901714673962,618.811,0.997210503076343,768.242,0.998561121155678,849.009,0.996718728721631
    Vehicle Options and Related,,—,,18.095,0.869450317124736,19.136,0.673684210526316,18.221,0.583239973112256,20.007,0.551369674254533,20.467,0.417438303079747,27.573,0.473999071702395,28.403,0.492543266396143,24.854,0.631132554596242,17.888,0.59296582358206,16.465,0.617754098975725,39.603,0.7904159348555,280.388,0.915307574788139,540.783,0.962603597060834,—,,422.004,0.97834221251617,601.627,0.977907054235971,602.522,0.970960869691334,743.851,0.966857693972436,818.119,0.960454517705951
    Powertrain Components & Related,,—,,2.49,0.119642513934269,4.835,0.17021651117761,5.129,0.164175282481355,9.165,0.252576751364163,13.161,0.268427493371405,11.455,0.196919427205996,14.832,0.257205285610238,7.412,0.188217369222956,1.357,0.0449829283654324,5.589,0.209694968671444,10.42,0.207967427750279,13.989,0.0456661400049619,14.42,0.0256678628389155,—,,8.192,0.0189917143082352,9.225,0.0149946604379904,16.289,0.0262496333850086,24.391,0.0317034271832419,30.89,0.0362642110156797
  Development Services,,—,,0.227,0.0109071689409956,4.434,0.156099278296075,7.891,0.252584744406389,7.114,0.196053574381304,15.402,0.314134203548848,19.143,0.329081501091609,14.431,0.250251447993618,7.114,0.180650076180802,10.922,0.362051248052508,4.599,0.172550932352831,0.081,0.00161663739422002,11.955,0.0390262852068997,6.589,0.0117285401002506,—,,1.15,0.00266607317559454,4.367,0.00709828532603837,1.731,0.00278949692365706,1.107,0.00143887884432163,2.795,0.0032812712783692
Cost of Revenue,,—,,16.96,1.0,22.144,1.0,21.945,1.0,24.964,1.0,31.002,1.0,39.663,1.0,40.442,1.0,24.965,1.0,19.957,1.0,21.891,1.0,58.865,1.0,282.476,1.0,465.472,1.0,—,,328.478,1.0,458.628,1.0,465.414,1.0,556.354,1.0,599.953,1.0
  Automotive,,—,,16.858,0.993985849056604,20.266,0.915191473988439,19.457,0.886625655046708,23.401,0.937389841371575,26.961,0.869653570737372,30.528,0.769684592693442,32.752,0.809851144849414,23.401,0.937352293210495,13.932,0.698100916971489,20.15,0.92046959937874,58.865,1.0,278.711,0.986671434033334,461.818,0.992149903753609,—,,324.883,0.989055583631172,453.578,0.988988897319832,462.471,0.99367659760987,519.811,0.934316999608163,552.987,0.921717201180759
  Development Services,,—,,0.102,0.00601415094339623,1.878,0.0848085260115607,2.488,0.113374344953292,1.563,0.0626101586284249,4.041,0.130346429262628,9.135,0.230315407306558,7.69,0.190148855150586,1.564,0.0626477067895053,6.025,0.301899083028511,1.741,0.0795304006212599,0,,3.765,0.0133285659666662,3.654,0.00785009624639076,—,,3.595,0.0109444163688284,5.05,0.0110111026801678,2.943,0.00632340239013008,36.543,0.0656830003918368,46.966,0.0782827988192408
Gross Profit,,1.781,1.0,3.852,1.0,6.261,1.0,9.296,1.0,11.321,1.0,18.028,1.0,18.508,1.0,17.224,1.0,7.835,1.0,10.21,1.0,4.762,1.0,-8.761,,23.857,1.0,96.32,1.0,100.483,1.0,102.868,1.0,156.59,1.0,155.128,1.0,212.995,1.0,251.851,1.0
  Automobiles,,1.781,1.0,3.852,1.0,6.261,1.0,9.296,1.0,11.321,1.0,18.028,1.0,18.508,1.0,17.224,1.0,7.835,1.0,10.21,1.0,4.762,1.0,-8.761,1.0,23.857,1.0,96.32,1.0,100.483,1.0,102.868,1.0,156.59,1.0,155.128,1.0,212.995,1.0,251.851,1.0
Operating Income,,-22.925,,-25.998,,-31.362,,-37.834,,-51.645,,-47.346,,-58.739,,-64.477,,-80.927,,-88.763,,-106.175,,-108.46,,-90.883,,-5.584,,-11.792,,-30.554,,-13.353,,-43.967,,-28.753,,-39.129,
  Automobiles,,-22.925,1.0,-25.998,1.0,-31.362,1.0,-37.834,1.0,-51.645,1.0,-47.346,1.0,-58.739,1.0,-64.477,1.0,-80.927,1.0,-88.763,1.0,-106.175,1.0,-108.46,1.0,-90.883,1.0,-5.584,1.0,-11.792,1.0,-30.554,1.0,-13.353,1.0,-43.967,1.0,-28.753,1.0,-39.129,1.0
Interest Expense,,0.025,1.0,0.23,1.0,0.464,1.0,0.298,1.0,0,,—,,—,,—,,0.043,1.0,0.065,1.0,0.084,1.0,0.078,1.0,0.027,1.0,0.118,1.0,20.116,1.0,6.492,1.0,6.229,1.0,11.883,1.0,31.238,1.0,29.062,1.0
  Automobiles,,0.025,1.0,0.23,1.0,0.464,1.0,0.298,1.0,0,,—,,—,,—,,0.043,1.0,0.065,1.0,0.084,1.0,0.078,1.0,0.027,1.0,0.118,1.0,20.116,1.0,6.492,1.0,6.229,1.0,11.883,1.0,31.238,1.0,29.062,1.0
Interest Income,,0.062,1.0,0.048,1.0,0.047,1.0,0.1,1.0,0.063,1.0,0.04,1.0,0.046,1.0,0.08,1.0,0.089,1.0,0.09,1.0,0.074,1.0,0.038,1.0,0.085,1.0,0.01,1.0,0.039,1.0,0.068,1.0,0.092,1.0,0.141,1.0,0.467,1.0,0.3,1.0
  Automobiles,,0.062,1.0,0.048,1.0,0.047,1.0,0.1,1.0,0.063,1.0,0.04,1.0,0.046,1.0,0.08,1.0,0.089,1.0,0.09,1.0,0.074,1.0,0.038,1.0,0.085,1.0,0.01,1.0,0.039,1.0,0.068,1.0,0.092,1.0,0.141,1.0,0.467,1.0,0.3,1.0
Pretax Income,,-24.013,,-29.401,,-38.508,,-34.852,,-51.395,,-48.791,,-58.764,,-64.991,,-81.376,,-89.814,,-105.494,,-110.688,,-90.079,,11.399,1.0,-30.201,,-37.718,,-14.906,,-48.991,,-60.75,,-70.981,
  Automobiles,,-24.013,1.0,-29.401,1.0,-38.508,1.0,-34.852,1.0,-51.395,1.0,-48.791,1.0,-58.764,1.0,-64.991,1.0,-81.376,1.0,-89.814,1.0,-105.494,1.0,-110.688,1.0,-90.079,1.0,11.399,1.0,-30.201,1.0,-37.718,1.0,-14.906,1.0,-48.991,1.0,-60.75,1.0,-70.981,1.0
Income Taxes,,0.229,1.0,0.118,1.0,0.009,1.0,0.083,1.0,-0.037,,0.15,1.0,0.139,1.0,0.087,1.0,0.112,1.0,0.059,1.0,0.109,1.0,0.116,1.0,-0.147,,0.151,1.0,0.301,1.0,0.778,1.0,1.358,1.0,0.809,1.0,1.15,1.0,3.727,1.0
  Automobiles,,0.229,1.0,0.118,1.0,0.009,1.0,0.083,1.0,-0.037,1.0,0.15,1.0,0.139,1.0,0.087,1.0,0.112,1.0,0.059,1.0,0.109,1.0,0.116,1.0,-0.147,1.0,0.151,1.0,0.301,1.0,0.778,1.0,1.358,1.0,0.809,1.0,1.15,1.0,3.727,1.0
Net Income,,-24.242,,-29.519,,-38.517,,-34.935,,-51.358,,-48.941,,-58.903,,-65.078,,-81.488,,-89.873,,-105.603,,-110.804,,-89.932,,11.248,1.0,-30.502,,-38.496,,-16.264,,-49.8,,-61.9,,-74.708,
  Automobiles,,-24.242,1.0,-29.519,1.0,-38.517,1.0,-34.935,1.0,-51.358,1.0,-48.941,1.0,-58.903,1.0,-65.078,1.0,-81.488,1.0,-89.873,1.0,-105.603,1.0,-110.804,1.0,-89.932,1.0,11.248,1.0,-30.502,1.0,-38.496,1.0,-16.264,1.0,-49.8,1.0,-61.9,1.0,-74.708,1.0
Property/Plant/Equipment,,23.535,1.0,26.866,1.0,33.156,1.0,37.153,1.0,114.636,1.0,143.372,1.0,189.647,1.0,248.122,1.0,298.414,1.0,364.128,1.0,421.859,1.0,486.248,1.0,552.229,1.0,581.997,1.0,595.579,1.0,654.482,1.0,738.494,1.0,849.389,1.0,1035.822,1.0,1404.326,1.0
  Automobiles,,23.535,1.0,26.866,1.0,33.156,1.0,37.153,1.0,114.636,1.0,143.372,1.0,189.647,1.0,248.122,1.0,298.414,1.0,364.128,1.0,421.859,1.0,486.248,1.0,552.229,1.0,581.997,1.0,595.579,1.0,654.482,1.0,738.494,1.0,849.389,1.0,1035.822,1.0,1404.326,1.0
Goodwill,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,
  Automobiles,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,,0,,—,,—,,—,
Assets,,130.424,1.0,145.32,1.0,147.974,1.0,361.621,1.0,386.082,1.0,407.289,1.0,646.155,1.0,700.25,1.0,713.448,1.0,761.1,1.0,776.869,1.0,809.177,1.0,1114.19,1.0,1143.778,1.0,1887.844,1.0,2166.209,1.0,2416.93,1.0,4500.41,1.0,5054.463,1.0,5437.533,1.0
  Automobiles,,130.424,1.0,145.32,1.0,147.974,1.0,361.621,1.0,386.082,1.0,407.289,1.0,646.155,1.0,700.25,1.0,713.448,1.0,761.1,1.0,776.869,1.0,809.177,1.0,1114.19,1.0,1143.778,1.0,1887.844,1.0,2166.209,1.0,2416.93,1.0,4500.41,1.0,5054.463,1.0,5437.533,1.0
Liabilities,,64.722,1.0,105.392,1.0,138.524,1.0,141.698,1.0,179.034,1.0,239.551,1.0,297.703,1.0,406.132,1.0,489.403,1.0,607.226,1.0,714.654,1.0,837.052,1.0,989.49,1.0,975.195,1.0,1258.418,1.0,1524.546,1.0,1749.81,1.0,3518.412,1.0,4036.047,1.0,4417.278,1.0
  Automobiles,,64.722,1.0,105.392,1.0,138.524,1.0,141.698,1.0,179.034,1.0,239.551,1.0,297.703,1.0,406.132,1.0,489.403,1.0,607.226,1.0,714.654,1.0,837.052,1.0,989.49,1.0,975.195,1.0,1258.418,1.0,1524.546,1.0,1749.81,1.0,3518.412,1.0,4036.047,1.0,4417.278,1.0
