COST US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cq"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29,1990-09-28,1990-12-31,1991-03-28,1991-06-28,1991-09-30,1991-12-31,1992-03-31,1992-06-30,1992-09-30,1992-12-31,1993-03-31,1993-06-30,1993-09-30,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,102.808,61.718,99.253,62.906,85.035,45.766,63.509,45.688,12.876,40.496,80.531,101.955,111.011,87.548,136.66,175.508,205.693,340.689,391.682,437.523,458.417,628.509,661.132,697.274,716.003,663.502,668.34,572.531,606.935,537.809,563.502,607.584,824.471,774.551,841.114,805.518,712.854,1169.002,1289.472,1545.439,1911.706,2287.646,2781.698,3129.882,3226.439,3788.388,4050.899,3459.857,3289.478,3517.391,3301.752,2833.12,2613.934,2233.319,3821.026,3355.52,3210.057,3100.347,3654.621,3275.013,2817,3282,3668,3727,4189,4719,5267,4749,5284,5379,6215,5613,5915,5785,5976,4854,5576,5651,6510,6124,6439,6482,7275,7315,7619,7453,6805,6419,6283,4855,6021,4729,6116,5965,5725,5779,6885,5830,7044,7259,7953,7122,8167,9444,10020,8715,11774,13305,14423,9254,11126,12175,13476,12296,11831,11049,11673,13705,13708,15234,17864,10321,11499,11144
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,50.742,36.385,99.253,53.638,85.035,45.766,63.509,45.688,12.876,40.496,80.531,101.955,111.011,87.548,136.66,175.508,205.693,340.689,391.682,361.974,381.764,324.599,408.75,440.586,550.917,510.027,527.232,524.505,606.935,511.657,558.576,602.585,824.471,774.551,841.114,805.518,712.854,1169.002,1289.472,1545.439,1801.52,2175.937,2492.928,2823.135,2884.999,3043.335,2725.116,2062.585,2008.88,2239.786,2010.448,1510.939,1843.101,1571.905,3160.936,2779.733,2742.354,2267.381,2848.658,2619.429,2215,2705,3083,3157,3617,4134,4413,3214,3739,3355,4082,4009,4319,4389,4791,3528,3897,4413,5448,4644,4699,5130,5736,5738,5969,5866,5063,4801,5054,3633,4884,3379,4805,4744,4538,4546,5689,4781,5877,6055,6778,6080,7013,8384,9027,7786,10826,12277,13590,8637,10226,11258,12751,11819,11193,10203,10856,12970,12493,13700,17011,9095,10404,9906
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,52.066,25.333,0,9.268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.549,76.653,303.91,252.382,256.688,165.086,153.475,141.108,48.026,,26.152,4.926,4.999,,,,,,,,,110.186,111.709,288.77,306.747,341.44,745.053,1325.783,1397.272,1280.598,1277.605,1291.304,1322.181,770.833,661.414,660.09,575.787,467.703,832.966,805.963,655.584,602,577,585,570,572,585,854,1535,1545,2024,2133,1604,1596,1396,1185,1326,1679,1238,1062,1480,1740,1352,1539,1577,1650,1587,1742,1618,1229,1222,1137,1350,1311,1221,1187,1233,1196,1049,1167,1204,1175,1042,1154,1060,993,929,948,1028,833,617,900,917,725,477,638,846,817,735,1215,1534,853,1226,1095,1238
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,132.471,131.457,93.652,130.278,154.58,157.281,138.685,146.665,177.164,176.196,136.69,137.467,169.822,167.865,131.038,147.133,203.792,173.304,156.452,171.613,200.747,162.489,117.552,168.648,176.889,186.491,165.955,174.375,216.694,258.368,231.322,324.768,377.292,323.778,289.167,474.861,459.892,453.114,421.972,556.09,362.483,308.864,255.066,335.175,373.928,349.169,297.684,529.15,405.497,413.404,354.189,565.373,607.032,792.238,621.554,762.017,763.069,815.22,682.574,747.968,775,880,747,834,849,951,818,884,985,1116,948,965,982,1092,1018,1026,1175,1300,1134,1201,1145,1244,1115,1148,1248,1287,1195,1224,1359,1453,1300,1252,1498,1597,1462,1432,1559,2001,1593,1669,1795,1995,1704,1535,1711,1988,1507,1550,1646,1934,1595,1803,1932,2232,1991,2241,2312,2714,2502,2285,2542,2779,2583,2721
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171.613,200.747,162.489,117.552,168.648,176.889,186.491,165.955,174.375,216.694,258.368,231.322,324.768,377.292,323.778,289.167,474.861,459.892,453.114,421.972,556.09,,308.864,255.066,335.175,373.928,349.169,297.684,529.15,405.497,413.404,354.189,565.373,607.032,792.238,621.554,762.017,763.069,815.22,682.574,747.968,775,880,747,834,849,951,818,884,985,1116,948,965,982,1092,1018,1026,1175,1300,1134,1201,1145,1244,1115,1148,1248,1287,1195,1224,1359,1453,1300,1252,1498,1597,1462,1432,1559,2001,1593,1669,1795,1995,1704,1535,1711,1988,1507,1550,1646,1934,1595,1803,1932,2232,1991,2241,2312,2714,2502,2285,2542,2779,2583,2721
