Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Procter & Gamble Co/The (PG US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
date,,06/30/2001,,06/30/2002,,06/30/2003,,06/30/2004,,06/30/2005,,06/30/2006,,06/30/2007,,06/30/2008,,06/30/2009,,06/30/2010,,06/30/2011,,06/30/2012,,06/30/2013,,06/30/2014,,06/30/2015,,06/30/2016,,06/30/2017,,06/30/2018,,06/30/2019,,06/30/2020,,06/30/2021,,06/30/2022,,06/30/2023,,06/30/2024,
Revenue,,39244,1.0,40238,1.0,43377,1.0,51407,1.0,56741,1.0,68222,1.0,76476,1.0,81748,1.0,76694,1.0,77567,1.0,82559,1.0,82006,1.0,80116,1.0,74401,1.0,70749,1.0,65299,1.0,65058,1.0,66832,1.0,67684,1.0,70950,1.0,76118,1.0,80187,1.0,82006,1.0,84039,1.0
  Fabric & Home Care,,11660,0.295939086294416,11618,0.28790206670962,12560,0.28709883880406,14361,0.2782762028407,15796,0.274421917617832,18918,0.274551919309194,21469,0.27723756763388,23714,0.285150848333995,23186,0.297168783563821,23805,0.301634566649772,24837,0.296334741212685,25580,0.315078954499544,23395,0.294084372485921,23506,0.319097523892268,22274,0.316918742796978,20730,0.319527721688734,20717,0.320930088454448,21441,0.323223034597121,22080,0.328571428571429,23735,0.336404223655304,26014,0.343750412939202,27556,0.346865047895976,28371,0.349220221316823,29495,0.353491772432556
"  Baby , Feminine & Family Care",,11991,0.304340101522843,11877,0.294320265649006,—,,—,,—,,—,,—,,—,,—,,—,,—,,19714,0.242825117631119,20479,0.257429102976669,20950,0.284399435273675,20247,0.288078198141798,18505,0.285232054503137,18252,0.282744411568788,18080,0.272555965930504,17806,0.264970238095238,18364,0.260279214796967,18850,0.249084926728068,19736,0.248429691728661,20217,0.24885218054923,20277,0.243015855894725
  Beauty,,—,,—,,—,,17346,0.336117193403996,19721,0.34261044804642,16687,0.24217400769175,17889,0.231007631813427,19515,0.234659644312976,18924,0.242543865270497,19491,0.246971616827167,20157,0.240496814374687,20318,0.250264823984431,19956,0.250854786806114,13401,0.18192061251086,12608,0.179389041446723,11477,0.176903987545663,11429,0.177048316886899,12406,0.187020426622447,12897,0.191919642857143,13359,0.189341648359436,14417,0.19050702326995,14740,0.185541835026371,15008,0.184734309031154,15220,0.182408705761095
  Health Care,,4353,0.110482233502538,4979,0.123383059919711,5796,0.13248605650544,5386,0.104365686825431,6078,0.105592328138844,11831,0.171700166896452,13381,0.172794070171361,—,,11288,0.144675288056086,11493,0.145628484541308,12033,0.143567900350777,7235,0.0891163501096248,7684,0.0965909090909091,7798,0.105859035621199,7713,0.10974204288377,7350,0.113291305085007,7513,0.116384985980512,7857,0.118444260194467,8218,0.122291666666667,9028,0.127956913046559,9956,0.131559126286719,10824,0.136248631093992,11226,0.138181460100196,11793,0.141336784956675
  Grooming,,—,,—,,—,,—,,—,,5114,0.0742181264059212,7437,0.0960368806415372,8254,0.0992508687757777,7408,0.0949463619701883,7631,0.0966928535225545,8025,0.0957477271100294,8339,0.102714753775281,8038,0.101040828640386,8009,0.108723392701998,7441,0.105871974730731,6815,0.105044931177459,6642,0.102892197109352,6551,0.0987563126554609,6199,0.0922470238095238,6069,0.0860180001417334,6440,0.0850985107760614,6587,0.0829147942550004,6419,0.0790118290025972,6654,0.0797468809549491
  Corporate,,-156,,-116,,-371,,-200,,-820,,-683,,-963,,-1415,,-1329,,-1353,,-1255,,820,,564,,737,,466,,422,,505,,497,,484,,395,,441,,744,,765,,600,
  Gillette,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,—,,—,,—,,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,—,,22732,0.440482880229426,25799,0.448202776185264,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,—,,—,,—,,28875,0.559517119770574,31762,0.551797223814736,30890,0.448298381830056,34195,0.441573367424683,37612,0.452268436684583,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,—,,4020,0.0778964094018253,4314,0.0749465784124668,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,4383,0.0636093171758218,4537,0.0585880499489921,3204,0.0385267486742902,3114,0.0399113082039911,1764,0.0223517486061835,3156,0.0376548070728041,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Snacks & Beverages,,4139,0.10505076142132,3801,0.0941914060564008,3238,0.0740148121056963,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty Care,,7257,0.184187817258883,8079,0.200203201665262,12221,0.279349913138886,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,16214,0.235309484072273,17918,0.231382120120353,17782,0.213821050226663,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,14578,0.175294301552373,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Baby & Family Care,,—,,—,,9933,0.227050379445918,10494,0.203344507528049,11652,0.202428727784437,11972,0.173746462520862,12726,0.164335799790803,13898,0.167117588350589,14103,0.180754392935416,14736,0.186720729853016,15606,0.186198009879018,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty & Grooming,,—,,—,,—,,—,,—,,21801,0.316392134097671,25326,0.327044512454965,27769,0.333910513088753,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Percentage of Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric & Home Care,,—,,—,,—,,—,,—,,25,,24,,28,,29,,30,,30,,32,,11.9,,11.7,,11.8,,13.4,,13.1,,32,,33,,33,,34,,35,,35,,36,
"  Baby , Feminine & Family Care",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,19,,14.9,,14,,14.5,,14.3,,13.7,,27,,27,,26,,25,,25,,25,,24,
  Beauty,,—,,—,,—,,—,,—,,31,,30,,23,,23,,24,,24,,24,,12.4,,14,,14.2,,17.2,,16.7,,19,,19,,19,,19,,18,,18,,18,
  Health Care,,—,,—,,—,,—,,—,,11,,12,,—,,17,,14,,14,,15,,14.2,,13.9,,15.1,,17,,17,,12,,12,,13,,13,,14,,14,,14,
  Grooming,,—,,—,,—,,—,,—,,—,,—,,10,,9,,10,,9,,10,,22.9,,24.4,,24,,22.7,,23.1,,10,,9,,9,,9,,8,,8,,8,
  Gillette,,—,,—,,—,,—,,—,,9,,12,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Blades & Razors,,—,,—,,—,,—,,—,,5,,7,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Duracell & Braun,,—,,—,,—,,—,,—,,4,,5,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty and Health,,—,,—,,—,,—,,—,,42,,42,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Family Health,,—,,—,,—,,—,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Household Care,,—,,—,,—,,—,,32,,49,,46,,44,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Pet Health, Snacks & Coffee",,—,,—,,—,,—,,—,,6,,6,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Snacks, Coffee and Pet Care",,—,,—,,—,,—,,—,,—,,—,,6,,4,,4,,4,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  P&G Beauty,,—,,—,,—,,—,,34,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,23.7,,22,,20.4,,15.4,,16.4,,—,,—,,—,,—,,—,,—,,—,
  Health and Well-Being,,—,,—,,—,,—,,—,,—,,—,,23,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health Care,,—,,—,,—,,—,,—,,—,,—,,17,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Baby & Family Care,,—,,—,,—,,—,,—,,18,,16,,16,,18,,18,,19,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Beauty & Grooming,,—,,—,,—,,—,,—,,—,,—,,33,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
% of Revenue - Supplementary,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Fabric Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20,,20,,21,,20,,20,,22,,22,,22,,22,,22,,22,,23,,23,,24,
  Home Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,,7,,8,,8,,8,,10,,10,,10,,10,,11,,12,,12,,12,,12,
  Skin and Personal Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,6,,8,,8,,9,,10,,10,,10,,9,,9,,9,
  Family Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7,,6,,7,,7,,7,,8,,8,,8,,9,,9,,9,,6,,8,,9,
  Hair Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11,,11,,12,,11,,11,,10,,10,,10,,10,,9,,9,,9,,9,,9,
  Baby Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12,,13,,13,,13,,14,,14,,14,,13,,12,,11,,10,,10,,10,,9,
  Oral Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,7,,7,,7,,8,,8,,8,,8,,8,,8,,8,,8,,8,
  Grooming,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,
  Personal Health Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4,,5,,5,,6,,6,,6,
  Feminine Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6,,6,,6,,5,,6,,6,,6,,6,,6,,6,,6,,9,,7,,6,
  All Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1,,2,,2,,2,,0,,0,
  Shave Care,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9,,9,,9,,9,,9,,9,,9,,8,,8,,7,,7,,6,,8,,—,
