Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
Walmart Inc (WMT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 1998,,FY 1999,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,,FY 2024,
date,,01/31/1998,,01/31/1999,,01/31/2000,,01/31/2001,,01/31/2002,,01/31/2003,,01/31/2004,,01/31/2005,,01/31/2006,,01/31/2007,,01/31/2008,,01/31/2009,,01/31/2010,,01/31/2011,,01/31/2012,,01/31/2013,,01/31/2014,,01/31/2015,,01/31/2016,,01/31/2017,,01/31/2018,,01/31/2019,,01/31/2020,,01/31/2021,,01/31/2022,,01/31/2023,,01/31/2024,
Revenue,,117958,1.0,137634,1.0,165013,1.0,191329,1.0,217799,1.0,229616,1.0,256329,1.0,287989,1.0,312101,1.0,348650,1.0,378476,1.0,404254,1.0,408085,1.0,421849,1.0,446509,1.0,468651,1.0,476294,1.0,485651,1.0,482130,1.0,485873,1.0,500343,1.0,514405,1.0,523964,1.0,559151,1.0,572754,1.0,611289,1.0,648125,1.0
  Wal-Mart Stores,,83820,0.748359448238918,95395,0.730867356711078,108721,0.6958144,121889,0.674213300735119,139131,0.68197793256246,157120,0.684272872970525,174220,0.679673388496815,191826,0.672549803311105,209910,0.67186894858639,226294,0.655939847880531,239529,0.639926584327838,256970,0.640683941389275,259919,0.641566205582378,260261,0.621219137275869,264186,0.595797174662168,274433,0.589412891641824,279406,0.590615461363502,288049,0.59732824031736,298378,0.623420961359258,307833,0.639563946422005,318477,0.642400269484691,331666,0.649906236956943,341004,0.655870258459858,369963,0.666320265546176,393247,0.69262648785935,420553,0.69411815191432,441817,0.687506321609244
    Grocery,,—,,—,,—,,—,,—,,—,,—,,—,,—,,88254.66,0.255816540673407,112578.63,0.300765494634084,125915.3,0.313935131280745,137757.07,0.34003008895866,137938.33,0.329246142756211,145302.3,0.327688446064193,150938.15,0.324177090403003,156467.36,0.330744658363561,161307.44,0.334503814577721,167091.68,0.349115738361185,172386.48,0.358155809996323,178347.12,0.359744150911427,184202,0.360947545602935,190550,0.366494462673534,208413,0.37536133479098,218944,0.385626371613458,247299,0.408164309493118,264210,0.411134123929995
    General Merchandise,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,95056.17,0.197118319304729,98464.74,0.205728917248555,101584.89,0.211056102319262,105097.41,0.211992088929948,108739,0.213076270405954,109600,0.210799229121067,119406,0.215055661316961,125876,0.22170557381438,118597,0.195743058455373,113985,0.177370739624391
    Health & Wellness,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20366.46,0.0590345863092477,21557.61,0.0575933925895054,25697,0.0640683941389275,25991.9,0.0641566205582378,28628.71,0.0683341051003456,29060.46,0.0655376892128385,30187.63,0.0648354180806007,27940.6,0.0590615461363502,31685.39,0.0657061064349096,32821.58,0.0685763057495184,33861.63,0.0703520341064205,35032.47,0.070664029643316,35788,0.0701273100294124,37507,0.0721391121044149,38522,0.0693798819594657,42839,0.0754523902621169,46591,0.076897938704135,54898,0.0854261425968315
    Other Categories,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2937,0.00575511091864268,3347,0.00643745456084135,3622,0.00652338747877017,5588,0.00984215216939492,8066,0.0133128452616933,8724,0.0135753154580268
    Home,,—,,—,,—,,—,,—,,—,,—,,—,,—,,13577.64,0.0393563908728318,14371.74,0.0383955950596703,12848.5,0.0320341970694637,12995.95,0.0320783102791189,20820.88,0.0496975309820695,15851.16,0.0357478304797301,19210.31,0.0412589024149277,22352.48,0.0472492369090801,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    One-Hour Photo,,—,,953.95,0.00730867356711078,1087.21,0.006958144,2437.78,0.0134842660147024,2782.62,0.0136395586512492,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Hardgoods,,19278.6,0.172122673094951,20986.9,0.160790818476437,23918.62,0.153079168,25596.69,0.141584793154375,29217.51,0.143215365838117,31424,0.136854574594105,34844,0.135934677699363,36446.94,0.12778446262911,39882.9,0.127655100231414,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Health and Beauty Aids,,5867.4,0.0523851613767242,6677.65,0.0511607149697754,7610.47,0.048707008,8532.23,0.0471949310514584,9739.17,0.0477384552793722,10998.4,0.0478991011079367,12195.4,0.047577137194777,13427.82,0.0470784862317774,14693.7,0.0470308264010473,13577.64,0.0393563908728318,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Photo Processing,,—,,—,,—,,—,,—,,3142.4,0.0136854574594105,3484.4,0.0135934677699363,1918.26,0.00672549803311105,2099.1,0.0067186894858639,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Shoes,,1676.4,0.0149671889647784,1907.9,0.0146173471342216,2174.42,0.013916288,2437.78,0.0134842660147024,1391.31,0.0068197793256246,1571.2,0.00684272872970525,1742.2,0.00679673388496815,1918.26,0.00672549803311105,2099.1,0.0067186894858639,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Jewelry,,838.2,0.00748359448238918,1907.9,0.0146173471342216,2174.42,0.013916288,2437.78,0.0134842660147024,1391.31,0.0068197793256246,1571.2,0.00684272872970525,1742.2,0.00679673388496815,1918.26,0.00672549803311105,2099.1,0.0067186894858639,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Stationery and Books,,4191,0.0374179724119459,3815.8,0.0292346942684431,3261.63,0.020874432,3656.67,0.0202263990220536,4173.93,0.0204593379768738,4713.6,0.0205281861891157,5226.6,0.0203902016549044,5754.78,0.0201764940993331,6297.3,0.0201560684575917,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Sporting Goods and Toys,,7543.8,0.0673523503415026,6677.65,0.0511607149697754,7610.47,0.048707008,8532.23,0.0471949310514584,9739.17,0.0477384552793722,9427.2,0.0410563723782315,10453.2,0.0407804033098089,11509.56,0.0403529881986663,10495.5,0.0335934474293195,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Electronics,,7543.8,0.0673523503415026,8585.55,0.065778062103997,8697.68,0.055665152,9751.12,0.0539370640588095,12521.79,0.0613780139306214,14140.8,0.0615845585673472,15679.8,0.0611706049647133,17264.34,0.0605294822979995,20991,0.067186894858639,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Softgoods and Domestics,,17602.2,0.157155484130173,20032.95,0.153482144909326,21744.2,0.13916288,23158.91,0.128100527139673,25043.58,0.122756027861243,28281.6,0.123169117134694,27875.2,0.10874774215949,30692.16,0.107607968529777,31486.5,0.100780342287958,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Hardlines,,—,,—,,—,,—,,—,,—,,—,,—,,—,,29418.22,0.085272180224469,28743.48,0.0767911901193405,30836.4,0.076882072966713,28591.09,0.0705722826140616,18218.27,0.0434853396093108,23776.74,0.0536217457195951,19210.31,0.0412589024149277,19558.42,0.0413430822954451,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Apparel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,29418.22,0.085272180224469,28743.48,0.0767911901193405,28266.7,0.0704752335528202,20793.52,0.0513252964465903,20820.88,0.0496975309820695,18493.02,0.0417058022263518,19210.31,0.0412589024149277,19558.42,0.0413430822954451,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Pharmaceuticals,,7543.8,0.0673523503415026,8585.55,0.065778062103997,10872.1,0.06958144,12188.9,0.0674213300735119,12521.79,0.0613780139306214,14140.8,0.0615845585673472,15679.8,0.0611706049647133,17264.34,0.0605294822979995,16792.8,0.0537495158869112,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Entertainment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,31681.16,0.0918315787032743,33534.06,0.0895897218058973,33406.1,0.0832889123806057,33789.47,0.0834036067257092,31231.32,0.0745462964731043,31702.32,0.0714956609594602,30187.63,0.0648354180806007,30734.66,0.0649677007499852,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Grocery,Candy and Tobacco",,11734.8,0.104770322753448,15263.2,0.116938777073772,19569.78,0.125246592,23158.91,0.128100527139673,30608.82,0.150035145163741,37708.8,0.164225489512926,45297.2,0.176715081009172,53711.28,0.188313944927109,62973,0.201560684575917,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Walmart International,,7517,0.067113075309138,12247,0.09383020617056,22728,0.1454592,32100,0.177557014608351,35485,0.173936699491694,40794,0.177661835412166,47572,0.18558961334847,56277,0.197309464206828,62719,0.200747694661473,77116,0.223529820981356,90421,0.24156908633822,96141,0.239701112227522,97407,0.240432747845147,109232,0.26072676583475,125435,0.282883342053512,134748,0.289404730199912,136513,0.288564628093583,136160,0.282355478413783,123408,0.257844526069024,116119,0.241252646384815,118068,0.238155078757708,120824,0.236757072398394,120130,0.231052111261987,121360,0.218574904589605,100959,0.177819227070498,100983,0.166671343052514,114641,0.178391533634073
  Sam’s Club,,20668,0.184527476451944,22881,0.175302437118362,24801,0.1587264,26798,0.148229684656529,29395,0.144085367945846,31702,0.138065291617309,34537,0.134736998154715,37119,0.130140732482067,39798,0.127383356752137,41582,0.120530331138113,44357,0.118504329333942,47976,0.119614946383204,47806,0.118001046572475,49459,0.118054096889381,53795,0.12131948328432,56423,0.121182378158263,57157,0.120819910542915,58020,0.120316281268858,56828,0.118734512571717,57365,0.11918340719318,59216,0.119444651757601,57839,0.113336690644663,58792,0.113077630278155,63910,0.115104829864219,73556,0.129554285070153,84345,0.139210505033167,86179,0.134102144756682
    Grocery and Consumables,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,18710.64,0.0466498290894494,26771.36,0.0660805860805861,27202.45,0.0649297532891596,29587.25,0.066725715806376,31032.65,0.0666503079870448,32007.92,0.0676591499040323,33071.4,0.0685802803232489,33528.52,0.0700533624173133,33845.35,0.0703182102439764,34345.28,0.0692778980194085,33708,0.0660515079487938,35328,0.0679481310801922,42148,0.0759104736209843,46822,0.0824676536999658,53027,0.0875204866962324,56449,0.0878396357508204
"    Fuel, Tobacco and Other Categories",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11514.24,0.0287075871319689,10039.26,0.0247802197802198,11375.57,0.0271524422845577,12910.8,0.0291166759882368,13541.52,0.0290837707579832,13146.11,0.0277885794248704,13344.6,0.0276727446918373,11365.6,0.0237469025143435,11473,0.0238366814386361,12435.36,0.0250833768690962,12110,0.0237297899982168,11296,0.0217261687240107,7590,0.0136699367652859,10751,0.018935751247882,14636,0.0241565587961993,12854,0.020001960671421
    Home and Apparel,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4317.84,0.0107653451744883,3824.48,0.00944008372579801,3956.72,0.00944432775115049,4303.6,0.00970555866274559,4513.84,0.00969459025266106,4572.56,0.00966559284343319,4641.6,0.00962530250150862,5114.52,0.0106861061314546,5162.85,0.0107265066473862,5329.44,0.0107500186581841,5452,0.0106833042997752,5478,0.010536114754792,7340,0.0132196753435044,9037,0.0159168806647856,9579,0.0158100353039623,9263,0.0144140471214698
    Health & Wellnes,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8635.68,0.0215306903489767,2390.3,0.00590005232862376,2472.95,0.00590270484446906,2689.75,0.006065974164216,2821.15,0.00605911890791316,2857.85,0.00604099552714574,2901,0.00601581406344289,2841.4,0.00593672562858588,3441.9,0.00715100443159082,3552.96,0.00716667910545606,3181,0.00623323385502294,3371,0.00648361497597735,3792,0.00682956524558158,3956,0.00696770830030893,4248,0.00701127779217371,5005,0.00778822258911329
"    Technology, Office & Entertainment",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4797.6,0.0119614946383204,4780.6,0.0118001046572475,4451.31,0.0106248687200443,4303.6,0.00970555866274559,4513.84,0.00969459025266106,4572.56,0.00966559284343319,4061.4,0.00842213968882004,3977.96,0.00831141588002023,3441.9,0.00715100443159082,3552.96,0.00716667910545606,3388,0.00663885454285373,3319,0.00638360074318268,3040,0.00547517888886287,2990,0.00526629115721024,2855,0.00471214644459886,2608,0.00405827862385764
    Softgoods,,—,,—,,—,,—,,—,,—,,—,,2227.14,0.007808443948924,1989.9,0.00636916783760687,2079.1,0.00602651655690567,2217.85,0.00592521646669712,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Hardgoods,,—,,—,,—,,—,,—,,—,,—,,8537.37,0.0299323684708753,9153.54,0.0292981720529916,7900.58,0.0229007629162415,7984.26,0.0213307792801096,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Sundries,,—,,7230.396,0.0553955701294025,7936.32,0.050792448,8575.36,0.0474334990900894,9406.4,0.0461073177426707,9827.62,0.0428002404013658,9670.36,0.0377263594833203,11506.89,0.0403436270694406,12337.38,0.0394888405931626,14969.52,0.0433909192097208,15968.52,0.0426615585602193,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Food,,—,,7504.968,0.0574991993748228,7936.32,0.050792448,8307.38,0.0459512022435241,8818.5,0.0432256103837538,9510.6,0.0414195874851927,10361.1,0.0404210994464146,11506.89,0.0403436270694406,11939.4,0.0382150070256412,12058.78,0.0349537960300529,12863.53,0.0343662555068433,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Softlines,,—,,1304.217,0.00999223891574665,1488.06,0.009523584,1607.88,0.00889378107939177,2057.65,0.0100859757562092,2219.14,0.00966457041321162,2417.59,0.00943158987083007,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"    Service Businesses, Including Fuel",,—,,1784.718,0.0136735900952323,1984.08,0.012698112,2679.8,0.014822968465653,3233.45,0.0158493904740431,4121.26,0.0179484879102502,5180.55,0.0202105497232073,3340.71,0.011712665923386,4377.78,0.0140121692427351,4574.02,0.0132583364251925,5322.84,0.0142205195200731,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Hardlines,,—,,5056.701,0.0387418386031581,5456.22,0.034919808,5627.58,0.0311282337778712,5879,0.0288170735891692,6023.38,0.0262324054072887,6907.4,0.026947399630943,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate & Support,,5953,,7111,,8763,,10542,,13788,,0,,0,,2767,,3227,,3658,,4169,,3167,,2953,,2897,,3093,,3047,,3218,,3422,,3516,,4556,,4582,,4076,,4038,,3918,,4992,,5408,,5488,
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,-3553,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
