Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
Chevron Corp (CVX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2000,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2000,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,118053,1.0,105101,1.0,91685,1.0,112480,1.0,144750,1.0,184922,1.0,195341,1.0,203971,1.0,255111,1.0,159293,1.0,189607,1.0,236286,1.0,222579,1.0,211665,1.0,192308,1.0,122566,1.0,103310,1.0,127485,1.0,158902,1.0,139865,1.0,94471,1.0,155606,1.0,235717,1.0,196913,1.0
  Downstream,,91986,0.77919239663541,81780,0.778108676416019,79639,0.868615367835524,97187,0.864038051209104,125667,0.868165803108808,156944,0.848703777809022,160692,0.822623002851424,167713,0.822239435998255,209579,0.821520828188514,135901,0.853151111473825,161358,0.851012884545402,206047,0.872023733949536,196322,0.882032896185175,185645,0.877069898188175,160790,0.83610666222934,102716,0.838046440285234,86754,0.839744458426096,106166,0.83277248303722,125597,0.790405407106267,107912,0.771543988846388,68083,0.720676186342899,111490,0.71648908139789,172308,0.730995218842935,151038,0.767029094066923
    International,,54942,0.46540113338924,52486,0.49938630460224,45759,0.49908927305448,52486,0.466625177809388,67944,0.469388601036269,83223,0.45004380225176,91325,0.467515780097368,97178,0.476430472959391,122064,0.478474075990451,77845,0.48869065181772,90922,0.479528709383092,119254,0.504701929018224,113279,0.508938399399764,105373,0.497829116764699,86848,0.451608877425796,54296,0.442993978754304,46388,0.449017520085181,57438,0.450547123190964,68963,0.433997054788486,56565,0.404425696207057,37644,0.398471488604969,56577,0.36359137822449,86013,0.36489943449136,76264,0.387297943761966
    United States,,37044,0.313791263246169,29294,0.278722371813779,33880,0.369526094781044,44701,0.397412873399715,57723,0.398777202072539,73721,0.398659975557262,69367,0.355107222754056,70535,0.345808963038863,87515,0.343046752198063,58056,0.364460459656105,70436,0.371484175162309,86793,0.367321804931312,83043,0.373094496785411,80272,0.379240781423476,73942,0.384497784803544,48420,0.39505246153093,40366,0.390726938340916,48728,0.382225359846256,56634,0.356408352317781,51347,0.367118292639331,30439,0.32220469773793,54913,0.352897703173399,86295,0.366095784351574,74774,0.379731150304957
  Upstream,,22979,0.194649860655807,21001,0.199817318579271,10137,0.110563341877079,13855,0.123177453769559,17341,0.119799654576857,26234,0.141865218849028,32621,0.16699515206741,33949,0.16644032730143,42972,0.168444324235333,22688,0.142429359733322,27616,0.14564863111594,29709,0.125733221604327,25875,0.116250859245481,25659,0.121224576571469,31263,0.162567339892256,19704,0.160762364766738,16410,0.158842319233375,21110,0.16558810840491,33069,0.208109400762734,31707,0.226697172273263,26311,0.278508748716537,43992,0.282714034163207,63293,0.268512665611729,45742,0.232295480745304
    International,,9052,0.076677424546602,9127,0.0868402774474077,5637,0.0614822490047445,7013,0.0623488620199147,7246,0.0500587219343696,10190,0.0551043142514141,14560,0.0745363236596516,15213,0.0745841320579886,19469,0.0763157997891114,13463,0.0845172104235591,17300,0.091241357122891,20086,0.0850071523492716,19459,0.0874251389394327,17607,0.0831833321522217,23808,0.123801401917757,15587,0.12717229900625,13262,0.128370922466363,17209,0.134988430011374,24143,0.151936413638595,23293,0.166539162764094,19802,0.209609298091478,29927,0.192325488734368,42341,0.179626416423084,31934,0.162173142453774
