Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
Exxon Mobil Corp (XOM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2000,,Q2 2000,,Q3 2000,,Q4 2000,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2000,,06/30/2000,,09/30/2000,,12/31/2000,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,53273,1.0,54936,1.0,57497,1.0,47334,1.0,56076,1.0,55101,1.0,51132,1.0,47406,1.0,42592,1.0,49972,1.0,53194,1.0,55250,1.0,60188,1.0,56167,1.0,58760,1.0,64097,1.0,66060,1.0,69220,1.0
  Downstream,,44109,0.831507908081513,45796,0.836945794802442,47985,0.838385603214816,40533,0.86334107222731,44657,0.79958818263205,45889,0.835819536273063,43106,0.846526973154494,40533,0.862019097849897,35348,0.830096517389569,41901,0.838607024917442,45112,0.84827287941182,45671,0.82656459260868,49174,0.81712889878529,46158,0.821916344664257,49017,0.834331914893617,51162,0.798246298347713,54017,0.817807451817535,57579,0.831922210021384
    Non-U.S.,,31092,0.586121741097517,31696,0.579260937899777,33940,0.592993797501529,29724,0.633112526358389,31928,0.571674127126231,31514,0.573994135111014,30031,0.589756681919051,29724,0.632143085004572,25780,0.605405913157833,29259,0.585589912939057,31644,0.595024538839059,32484,0.587903138234336,34976,0.581199421725187,32933,0.586424259691234,34748,0.591455319148936,36481,0.569188522927621,38185,0.578113881697476,39654,0.572935329133676
    United States,,13017,0.245386166983995,14100,0.257684856902665,14045,0.245391805713287,10809,0.230228545868922,12729,0.227914055505819,14375,0.261825401162049,13075,0.256770291235443,10809,0.229876012845324,9568,0.224690604231736,12642,0.253017111978385,13468,0.253248340572761,13187,0.238661454374344,14198,0.235929477060104,13225,0.235492084973023,14269,0.242876595744681,14681,0.229057775420093,15832,0.239693570120059,17925,0.258986880887707
  Chemical Prime Product,,4139,0.0780251475106981,4415,0.0806864285975364,4504,0.0786931073643749,3485,0.0742294830560821,4410,0.0789615040286482,4195,0.0764074822869424,3853,0.0756662280787887,3485,0.0741158205907999,3494,0.0820515229082028,4259,0.0852396677674372,4338,0.08157048569978,4317,0.0781300901292214,5164,0.0858106648498646,4938,0.0879289161131787,4937,0.0840340425531915,7301,0.113912595759287,5853,0.088613344234001,6516,0.09414552389759
    Non-U.S.,,2170,0.0409071201010425,2302,0.0420702511056691,2423,0.0423342360443784,1979,0.0421521225159215,2445,0.0437779767233662,2354,0.0428756169972497,2247,0.0441271773924314,1979,0.0420875778907297,2018,0.0473898034426884,2364,0.0473131191834284,2565,0.0482315112540193,2570,0.0465124696854526,3135,0.052094584489606,3014,0.0536690468135116,2948,0.0501787234042553,5451,0.0850482892047494,3616,0.0547455753887148,3928,0.0567531641911807
    United States,,1969,0.0371180274096556,2113,0.0386161774918674,2081,0.0363588713199965,1506,0.0320773605401606,1965,0.035183527305282,1841,0.0335318652896927,1606,0.0315390506863573,1506,0.0320282427000702,1476,0.0346617194655144,1895,0.0379265485840088,1773,0.0333389744457607,1747,0.0316176204437688,2029,0.0337160803602586,1924,0.034259869299667,1989,0.0338553191489362,1850,0.0288643065545379,2237,0.0338677688452862,2588,0.0373923597064093
  Upstream,,4799,0.0904669444077893,4507,0.0823677766000219,4746,0.082921289420809,2931,0.0624294447166074,6783,0.121450313339302,4819,0.0877729814399942,3962,0.0778067987667171,3003,0.0638650815593033,3741,0.0878519597022286,3805,0.0761533073151206,3731,0.0701566348884,5266,0.0953053172620987,5841,0.0970604363648449,5063,0.0901547392225645,4796,0.0816340425531915,5630,0.0878411058929992,6181,0.0935792039484641,5117,0.0739322660810264
    Non-U.S.,,3803,0.0716911418176334,3312,0.060528528089477,3405,0.0594915698436272,1997,0.0425355172634135,4497,0.0805192479856759,3404,0.0620002549951733,2991,0.0587380452072819,1997,0.0424703855724038,2923,0.0686424159876007,2803,0.0560992694886421,2775,0.0521802899531788,4087,0.0739674955659319,4073,0.0676814171056349,3623,0.0645132570024395,3355,0.0571063829787234,4337,0.0676672959605573,4695,0.0710814370713539,3722,0.053776801710686
    United States,,996,0.0187758025901559,1195,0.021839248510545,1341,0.0234297195771818,934,0.0198939274531939,2286,0.0409310653536258,1415,0.0257727264448209,971,0.0190687535594352,934,0.0198634652602029,818,0.0192095437146279,1002,0.0200540378264785,956,0.0179763449352212,1179,0.0213378216961668,1768,0.02937901925921,1440,0.025641482220125,1441,0.0245276595744681,1293,0.0201738099324419,1486,0.0224977668771101,1395,0.0201554643703404
  All Other Corporate,,226,,218,,262,,385,,226,,198,,211,,385,,9,,7,,13,,-4,,9,,8,,10,,4,,9,,8,
Intersegment Revenue,,9137,1.0,9917,1.0,12525,1.0,16431,1.0,11650,1.0,12210,1.0,10846,1.0,8184,1.0,10067,1.0,11919,1.0,10386,1.0,9910,1.0,14638,1.0,12828,1.0,14046,1.0,11078,1.0,16226,1.0,18278,1.0
  Downstream,,3291,0.361370374437246,3558,0.360121457489879,4498,0.360647851186658,8968,0.547831398900428,5324,0.4590050866454,5905,0.485329169063861,5632,0.521578070012965,4134,0.507363770250368,5099,0.50984901509849,5879,0.496411382251119,5084,0.493688094775685,3635,0.368250430554149,7124,0.489252111805508,6363,0.499019684730609,7338,0.525531762515219,3554,0.322944116310768,8176,0.506630313545669,9248,0.508159788999396
    Non-U.S.,,2418,0.265510047216427,2459,0.248886639676113,3380,0.271007055805003,3427,0.209346365302382,4032,0.347616173808087,4813,0.395578203336895,4744,0.43934061863308,3291,0.403902798232695,3890,0.388961103889611,4326,0.365279067803766,4448,0.431928529811614,2493,0.252557998176477,5464,0.375248952681821,4916,0.385538389145949,5728,0.410227028575521,2644,0.240254429804634,6578,0.40760936919073,7208,0.396065717896588
