BRK/B US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,247.024,762,1192.363,1838.103,273.881,2703.8,26805.8,47547.9,74589,73565,77086,98782,99812,110087,114795,123239,134493,150899,127779,156851,155938,162471,187279,224003,241478,253482,259982,328871,321847,412214,457173,529917,490556,574307
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,247.024,762,1192.363,1838.103,273.881,2703.8,1339.8,1002.4,13582,3835,5263,6498,12748,35957,43427,44660,43743,44329,25539,30558,38227,37299,46992,48186,63269,71730,86370,115954,111867,127997,138290,146719,128585,167641
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,0,0,0,0,0,,25466,46545.5,61007,69730,71823,92284,87064,74130,71368,78579,90750,106570,102240,126293,117711,125172,140287,175817,178209,181752,173612,212917,209980,284217,318883,383198,361971,406666
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,705.649,904.471,690.628,525.285,580.6,718.9,1523.2,1711.5,7224,8558,11764,18188,23890,21784,24700,23484,24379,25516,28867,28781,36143,32946,34562,33323,34418,36075,40397,46671,51510,53362,55053,60316,71493,75941
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,1711.5,7224,8558,11764,18188,23890,21784,24700,23484,12881,13157,14925,14792,20917,19012,21753,20497,21852,23303,27097,32923,35230,35835,35852,39565,48285,51260
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,13989,15226,13934,12809,12826,12566,12772,13300,13748,16280,17527,19201,20751,23208,24681
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,203.795,256.473,282.141,378.386,425.431,601.1,619.6,639,767,844,1275,2213,3030,3656,3842,4143,5257,5793,7500,6147,7101,8975,9675,9945,10236,11916,15727,17366,19069,19852,19208,20954,25366,24159
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,527,657,700,897,1161,908,1066,1598,1699,1827,1881,1852,2789,3479,4182,4492,4821,5743,6381,6026
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,256,271,402,479,607,438,509,897,883,849,850,778,2506,2568,2625,2700,2541,3192,3464,3345
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,1201,1217,1817,1781,2580,1975,2180,3114,3187,3212,3333,3369,4033,4505,4541,4821,4412,4530,5739,4969
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,1858,1998,2338,2636,3152,2826,3346,3366,3906,4057,4172,5917,6399,6814,7721,7839,7434,7489,9782,9819
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,0,0,0,0,0,0,0,0,0,0,0,5561,0,0,0,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total Current Assets,BS_CUR_ASSET_REPORT,1156.468,1922.944,2165.1321,2741.7739,1279.912,4023.8,3482.6001,49898.4,82580,82967,90125,124744,126732,131008,143337,151667,164129,182208,164146,191779,199182,204392,231516,267271,286132,301473,316106,392908,392426,485428,531434,611187,587415,674407
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,209.87,222.139,224.51,259.736,275.667,333.3,1034.2,1056.5,1509,1903,2699,4776,5368,6260,6516,7500,33342,36190,45157,46656,93126,100391,106872,122214,137244,145166,152773,158219,166706,180282,192596,196373,201940,221870
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,9932,11407,50678,54323,64618,68226,116990,126545,137264,159261,179426,190972,202991,214247,229879,248841,269509,279828,292982,319866
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,3416,3907,17336,18133,19461,21570,23864,26154,30392,37047,42182,45806,50218,56028,63173,68559,76913,83455,91042,97996
  + LT Investments & Receivables,BS_LT_INVEST,8747.0576,11520.4775,13755.2676,14648.7988,18080.6445,22440.8,,0,0,0,0,0,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,557.027,796.341,799.868,1870.16,1701.958,1913.5,4695.2002,5156,38148,46546,42968,33232,37444,38772,39021,39158,50966,54762,58096,58684,79921,87864,89064,95446,102491,105618,151975,150968,148662,152019,149699,151224,159110,173701
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,3066.5,18570,18281,18875,21510,22298,22948,23012,23644,32238,32862,33781,38726,55910,63375,64516,66194,70620,72505,113572,114440,113173,113528,104418,103512,108598,121766
    + Goodwill,BS_GOODWILL,,,,,,,,3066.5,18570,18281,18875,21510,22298,22948,23012,23644,32238,32862,33781,33972,49006,53213,54523,57011,60714,62708,79486,81258,81025,81882,73734,73875,78119,84626
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4754,6904,10162,9993,9183,9906,9797,34086,33182,32148,31646,30684,29637,30479,37140
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,720,917,583,220,87,108,103,142,142,172,145,270,329,589,334
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,1719,1826,3651,3899,,4125,,,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,557.027,796.341,799.868,1870.16,1701.958,1913.5,4695.2002,2089.5,19578,28265,22374,9896,11495,11925,16009,11389,18728,21900,24315,19160,23021,23848,24268,28190,31402,32554,37617,35210,34807,37489,43660,45429,48413,49778
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,9513.9546,12538.9575,14779.6456,16778.6949,20058.2695,24687.6,5729.4001,6212.5,39657,48449,45667,38008,42812,45032,45537,46658,84308,90952,103253,105340,173047,188255,195936,217660,239735,250784,304748,309187,315368,332301,342295,347597,361050,395571
Total Assets,BS_TOT_ASSET,10670.4229,14461.9023,16944.7773,19520.4688,21338.1816,28711.4,43409.5,56110.9,122237,131416,135792,162752,169544,180559,188874,198325,248437,273160,267399,297119,372229,392647,427452,484931,525867,552257,620854,702095,707794,817729,873729,958784,948465,1069978
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,394.093,439.908,407.285,688.121,494.798,794.9,2488.6001,1901.6,2830,1557,3328,795,4286,8151,7308,8528,11015,13213,4994,8055,12967,10254,14824,19476,19872,24083,24074,44940,4021,81417,42521,89795,-22759,96223
Cash from Operating Activities,CF_CASH_FROM_OPER,522.568,709.173,997.185,726.169,929.108,1127.9,1260,2335.6,657,2200,2947,6574,11135,8257,7405,9446,10195,12550,11252,15846,17895,20476,20950,27704,32010,31491,32647,45728,37400,38687,39773,39421,37350,49196
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,0,0,0,0,0,0,0,0,0,0,-630,-811,-928,-1002,-1201,-2195,-4571,-5373,-6138,-4937,-5980,-8191,-9775,-11087,-15185,-16082,-12954,-11708,-14537,-15979,-13012,-13276,-15464,-19409
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,0,0,0,0,0,0,0,0,0,0,-630,-811,-928,-1002,-1201,-2195,-4571,-5373,-6138,-4937,-5980,-8191,-9775,-11087,-15185,-16082,-12954,-11708,-14537,-15979,-13012,-13276,-15464,-19409
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,-672.637,26.8661,-415.569,376.2629,-627.837,1225,-1513.3003,-1574,-733,-11038,285,-5376,2945,1195,1273,-11020,-391,-7251,-20727,-7296,4103,-2376,2572,-8807,-653,-7182,-51451,-22171,9465,17843,-26847,34953,-27516,-29504
    + Dec in LT Investment,CF_DECR_INVEST,344.415,1213.8311,756.085,1507.391,1857.931,3340,2951.8999,6468.7,295,7342,1142,4126,5226,4241,15543,12925,16894,26262,40926,15994,21336,27303,18848,20037,22104,26366,45424,137756,153080,154041,181582,187590,156406,205503
    + Inc in LT Investment,CF_INCR_INVEST,-1017.052,-1186.965,-1171.6541,-1131.1281,-2485.7681,-2115,-4465.2002,-8042.7,-1028,-18380,-857,-9502,-2281,-3046,-14270,-23945,-17285,-33513,-61653,-23290,-17233,-29679,-16276,-28844,-22757,-33548,-96875,-159927,-143615,-136198,-208429,-152637,-183922,-235007
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,-108,-15924,-8685,-3188,-6431,-4824,-4902,-31399,-2708,-3279,-1683,-2532,-456,-10594,-8604
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,-108,-15924,-8685,-3188,-6431,-4824,-4902,-31399,-2708,-3279,-1683,-2532,-456,-10594,-8604
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-10.136,-211.3521,-157.59,-577.9199,-1520.809,-11.4,-1994.4998,-957.2,13446,-1560,-1926,-5507,-3328,15920,149,-626,-9115,-804,-5201,1180,-476,63,-183,-1210,336,165,11579,-4422,-24498,-5802,4634,8171,-34027,24854
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-682.773,-184.486,-573.159,-201.657,-2148.646,1213.6,-3507.8,-2531.2,12713,-12598,-2271,-11694,-1311,16113,221,-13841,-14077,-13428,-32066,-11161,-18277,-19189,-10574,-27535,-20326,-28001,-84225,-41009,-32849,-5621,-37757,29392,-87601,-32663
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,209.184,-8.941,44.963,140.7059,-344.318,114.6,292.1,-94.8,58,504,545,5898,-3720,-447,-322,5563,2406,979,2418,643,8220,-357,1242,3985,3996,4036,12679,-1277,-4123,6077,6791,-752,8171,-1087
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1346,-4850,-24706,-27061,-7854,-9171
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,0,0,0,0,0,0,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1346,-4850,-24706,-27061,-7854,-9171
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,-7.082,-0.77,-38.626,-2.86,-0.908,-1.5,-3.5,-1.4,3,-137,-75,116,146,-714,166,65,201,387,-394,-410,-95,-1860,-2048,-3024,-1265,-233,112,-121,-343,-497,-429,-695,-1979,-4147
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,202.102,-9.711,6.337,137.8459,-345.226,113.1,853.6,-96.2,61,367,470,6014,-3574,-1161,-156,5628,2607,1366,2024,233,8125,-2217,-806,961,2731,3803,12791,-1398,-5812,730,-18344,-28508,-1662,-14405
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,101,-74,2,123,64,-289,-165,-172,248,-140,25,92,5,-394,116
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,41.897,514.976,430.363,662.358,-1564.764,2454.6001,-1394.2,-291.8,13431,-10031,1146,894,6250,23209,7470,1233,-1275,488,-18790,5019,7669,-928,9693,1194,14126,7128,-38959,3569,-1401,33821,-16236,40310,-52307,2244
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,498.5,1703,2215,1396,905,1945,3309,2674,2695,4959,5895,3530,2032,3547,2885,4695,5401,4014,4535,4719,286,4354,5415,5001,5412,4236,7765
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,774.9,-4971,153,3798,4697,2620,3213,414,2387,10132,1602,6050,108,15924,8685,3188,6431,4824,4902,31399,2708,3279,1683,2532,456,10594,8604
Free Cash Flow,CF_FREE_CASH_FLOW,522.568,709.173,997.185,726.169,929.108,1127.9,1260,2335.6,657,2200,2317,5763,10207,7255,6204,7251,5624,7177,5114,10909,11915,12285,11175,16617,16825,15409,19693,34020,22863,22708,26761,26145,21886,29787
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,610.8115,801.8298,1090.4587,778.3675,974.816,1172.0961,1327.5024,2411.9742,729.1866,2287.4008,2408.9878,6322.45,10697.25,7577.5857,6689.6993,7348.1783,6412.8009,8066.6173,6092.2287,12290.9155,13720.1416,14154.3577,13064.5542,18547.3322,19159.5672,17864.6519,22407.2723,,,25862.7296,29931.991,29537.0707,,33831.6253
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,731.752,700.232,1042.148,866.8749,584.79,1242.5,1552.1,2240.8,715,2704,2862,11661,6487,6808,5882,12814,8030,8156,7532,11552,20135,11928,12417,20602,20821,19445,32372,32743,18740,28785,33552,25393,30057,28700
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.326,1.6121,2.4484,1.0553,1.8778,1.4189,0.5063,1.2282,0.2322,1.413,0.8855,8.2692,2.598,1.013,1.0133,1.1076,0.9256,0.9498,2.2531,1.9672,1.38,1.9969,1.4132,1.4225,1.6108,1.3076,1.3561,1.0175,9.3012,0.4752,0.9354,0.439,,0.5113
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,2655.8979,3101.8181,3024.075,3645.4309,3847.467,4369.2002,8016.2002,9323.7,11417,22663,29946,37280,41317,63859,74382,81663,98539,118245,107786,112493,136185,143688,162463,182150,194699,210943,223418,242061,225382,327223,286325,354745,234121,439337
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,62555,67225,72803,81447,92993,97097,107001,123053,130343,133336,134989,127044,145043,157518,155687
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,1489.26,1835.017,1822.974,1806.1071,2243.2529,2643.7,5771.1001,6486.6,8242,16583,25857,32418,31551,40664,55416,60232,70731,85582,86676,87810,103958,114402,125613,137271,149594,157051,166557,194431,193228,198418,178810,200838,220360,273056
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,87810,103958,114402,125613,137271,149594,157051,166557,194431,193228,198418,178810,200838,220360,273056
Gross Profit,GROSS_PROFIT,1166.6379,1266.8011,1201.101,1839.3239,1604.2141,1725.5002,2245.1001,2837.1,3175,6080,4089,4862,9766,23195,18966,21431,27808,32663,21110,24683,32227,29286,36850,44879,45105,53892,56861,47630,32154,128805,107515,153907,13761,166281
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,541.054,556.146,531.253,576.909,613.406,775.9,923.6,1003.9,1167,4861,2418,3903,3959,11132,7546,9019,9856,11180,12212,11139,10618,11308,11870,13282,13721,15309,20562,22420,22133,23324,48396,38935,41772,43085
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,1056,1164,1703,,,4228,,5328,5932,7098,8052,8117,7704,8670,11870,13282,13721,15309,20562,22420,22133,23228,19809,18843,19506,22605
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
