Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Berkshire Hathaway Inc (BRK/A US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
date,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,19172,1.0,20030,1.0,17634,1.0,16883,1.0,19269,1.0,33072,1.0,22763,1.0,24185,1.0,25360,1.0,26231,1.0,32918,1.0,27347,1.0,29937,1.0,28043,1.0,25175,1.0,30093,1.0,27926,1.0,24592,1.0,22784,1.0,29607,1.0,29904,1.0,29054,1.0,32037,1.0,31709,1.0,36274,1.0,36165,1.0,33720,1.0,37052,1.0,33739,1.0,37955,1.0,38147,1.0,38546,1.0,41050,1.0,44720,1.0,43867,1.0,44693,1.0,46541,1.0,47049,1.0,45453,1.0,49762,1.0
  Service and Retailing,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,—,,—,,—,,—,,—,,11722,0.247686261251743
    McLane Company,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,11722,0.247686261251743
  Insurance Group,,6069,0.3294430572142,6508,0.341842630528417,6123,0.365945493664834,6052,0.348657679456159,6684,0.341578086672118,6639,0.210088288345306,6545,0.287528005974608,6946,0.28720281166012,7466,0.294400630914826,7354,0.287602659366445,14601,0.443556716689957,7197,0.263173291403079,7240,0.241841199853025,7536,0.275348021484161,7308,0.273410902016536,7452,0.254482122733326,7545,0.255840764979146,7979,0.267769648969729,9549,0.347286878091359,7982,0.306646177487514,8021,0.240943226194052,8017,0.291336579693292,8728,0.289889730304238,8364,0.251027942015066,10280,0.287118757680706,8563,0.252283306817512,8748,0.259407526020817,10359,0.279580049659937,8687,0.241513525535878,9027,0.241777373044783,9121,0.245597501211697,9827,0.244082362584138,9832,0.244564947017561,10239,0.363691258480446,10378,0.245994121551152,10358,0.23623052888453,10354,0.232852066747627,9222,0.410797808365629,10367,0.308964653990582,10824,0.228711490512615
    GEICO,,2262,0.122787970904353,2365,0.12422523374304,2388,0.142720535500837,2490,0.143449706187349,2575,0.13159239574816,2648,0.0837948166197272,2638,0.115889821201072,2737,0.113169319826339,2816,0.111041009463722,2864,0.112006257332812,2858,0.0868217996233064,2939,0.107470654916444,2999,0.100177038447406,3010,0.109978442763711,3032,0.113434846047364,3086,0.1053853771813,3150,0.106812247804415,3211,0.107758909993959,3261,0.118599068955484,3394,0.130388013830196,3448,0.103574647041154,3473,0.126208300021804,3454,0.114720340108941,3554,0.106665866322519,3606,0.100715003910178,3669,0.108096164044547,3675,0.108976069744685,3818,0.10304437007449,3907,0.108621312797131,3963,0.10614420398543,4016,0.108137217943885,4132,0.102630337050744,4240,0.105467389682105,4352,0.154583880936312,4399,0.10427135678392,4597,0.104841836385614,4730,0.106373408896685,4846,0.215867076484476,4884,0.14555641652262,5081,0.10736170392596
    General Re-Insurance Group,,1720,0.0933666268591901,2132,0.111986553209371,1658,0.0990915610805642,1615,0.0930406728885816,1566,0.080028618152085,1596,0.0505047308629474,1434,0.0629969687651013,1487,0.0614843911515402,1493,0.0588722397476341,1661,0.064958936253422,1602,0.0486663831338477,1494,0.0546312209748784,1491,0.0498045896382403,1489,0.0544046183638423,1704,0.0637509820793894,1488,0.0508144657309702,1458,0.0494388118409006,1364,0.0457748842204175,1379,0.050152749490835,1426,0.0547829427583557,1476,0.0443376389306098,1548,0.0562540882331565,1440,0.0478278198485452,1373,0.0412077193193073,1396,0.0389900569768741,1484,0.0437216428024277,1437,0.0426118672715951,1444,0.0389722552088956,1438,0.0399788706942089,1497,0.0400953503321191,1471,0.039609025795681,1426,0.0354188917314523,1445,0.0359434853987364,1528,0.0542748552552126,1469,0.0348203280553712,1499,0.0341870595479736,1454,0.0326991409166554,1562,0.069579936745512,1557,0.0464028133754545,1610,0.0340193551113553
