Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55
Visa Inc (V US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
date,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,1488,1.0,1453,1.0,1613,1.0,1709,1.0,1739,1.0,1647,1.0,1646,1.0,1879,1.0,1960,1.0,1959,1.0,2029,1.0,2117,1.0,2238,1.0,2245,1.0,2322,1.0,2383,1.0,2547,1.0,2578,1.0,2565,1.0,2731,1.0,2846,1.0,—,,3001,1.0,2973,1.0,3155,1.0,—,,—,
  Reconciliation,,-250,,-338,,-274,,-299,,-269,,-295,,-344,,-326,,-374,,-372,,-393,,-421,,-405,,-451,,-448,,-576,,-481,,-497,,-614,,-563,,-553,,—,,-521,,-680,,-599,,—,,—,
  Other,,133,0.0765247410817031,126,0.0703517587939698,150,0.0794912559618442,160,0.0796812749003984,156,0.0776892430278884,148,0.0762100926879506,158,0.0793969849246231,163,0.0739229024943311,190,0.0814053127677807,173,0.0742170742170742,183,0.0755573905862923,167,0.0657998423955871,161,0.0609156261823685,156,0.0578635014836795,167,0.0602888086642599,171,0.0577897938492734,178,0.0587846763540291,179,0.0582113821138211,175,0.0550487574709028,172,0.0522161505768063,179,0.0526625478081789,—,,179,0.0508233957978421,183,0.050095811661648,180,0.0479488545551412,—,,—,
  International Transaction,,381,0.21921749136939,379,0.211613623673925,449,0.23794382617912,512,0.254980079681275,505,0.251494023904382,446,0.229660144181256,458,0.230150753768844,507,0.229931972789116,552,0.236503856041131,545,0.233805233805234,574,0.236994219653179,619,0.243892828999212,630,0.238365493757094,624,0.231454005934718,662,0.23898916967509,758,0.256167624197364,748,0.247027741083223,733,0.238373983739837,748,0.235294117647059,796,0.241651487553127,805,0.236834363047955,—,,854,0.242475865985236,899,0.246099096632904,891,0.237346830047949,—,,—,
  Data Processing,,492,0.283084004602992,494,0.275823562255723,539,0.285638579756227,548,0.272908366533865,554,0.275896414342629,544,0.280123583934089,605,0.304020100502513,727,0.329705215419501,765,0.327763496143959,728,0.312312312312312,792,0.327002477291495,840,0.33096926713948,844,0.319334090049187,823,0.30526706231454,886,0.31985559566787,925,0.312605610003379,951,0.314068692206077,922,0.299837398373984,1040,0.327146901541365,1062,0.322404371584699,1115,0.328037658134746,—,,1191,0.338160136286201,1186,0.324664659184232,1264,0.336707511987214,—,,—,
  Service,,732,0.421173762945915,792,0.442211055276382,749,0.396926338102809,788,0.392430278884462,793,0.3949203187251,804,0.414006179196704,769,0.38643216080402,808,0.366439909297052,827,0.354327335047129,885,0.37966537966538,873,0.360445912469034,912,0.359338061465721,1008,0.381384790011351,1093,0.405415430267062,1055,0.38086642599278,1105,0.373436971949983,1151,0.380118890356671,1241,0.403577235772358,1216,0.382510223340673,1264,0.383727990285367,1300,0.38246543100912,—,,1298,0.368540601930721,1385,0.379140432521215,1419,0.377996803409696,—,,—,
