V US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-29,2001-12-31,2002-12-31,2003-12-31,2004-12-31,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,,,,,,,930.575,1022.459,5334,4732,4051,3398,2817,4255,3950,6015,8938,13438,11709,12074,20041,18512,18522,20128
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,,,,,,,270.124,275.379,4979,4617,3867,2127,2074,2186,1971,3518,5619,9874,8162,7838,16289,16487,15689,16286
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,,,,,,,660.451,747.08,355,115,184,1271,743,2069,1979,2497,3319,3564,3547,4236,3752,2025,2833,3842
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,,,,,,,216.585,245.215,342,444,476,560,723,761,822,847,1041,1132,1208,1542,1618,1968,2020,2291
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,216.585,245.215,342,444,476,560,723,761,822,847,1041,1132,1208,1542,1618,1968,2020,2291
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,,,0,,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Inventory,BS_OTHER_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,446.771,1239.265,5498,4065,4207,5232,8246,2806,4790,4030,4334,4453,5299,7354,5986,7127,9663,11113
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,18,5,30,13,23,40,76,50,18,78,437,512,410,1131,293
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,135,140,112,179,142,91,77,232,148,82,130,93,83,190,206
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,3209,3439,4601,6027,2160,3631,3006,4052,4287,5139,6787,5381,6634,8342,10614
Total Current Assets,BS_CUR_ASSET_REPORT,,,,,,,,,,,,,,,,,1593.931,2506.939,11174,9241,8734,9190,11786,7822,9562,10892,14313,19023,18216,20970,27645,27607,30205,33532
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,,,,,,,,,,,,,,,,,280.899,313.092,1080,1204,1357,1541,1634,1732,1892,1888,2150,2253,2472,2695,2737,3230,3703,3913
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,,,,,,,,,,,,,,,,,712.014,782.841,1756,2029,2389,2749,3081,3439,3915,4283,4798,5143,5697,6570,7161,8189,9361,9268
    - Accumulated Depreciation,BS_ACCUM_DEPR,,,,,,,,,,,,,,,,,431.115,469.749,676,825,1032,1208,1447,1707,2023,2395,2648,2890,3225,3875,4424,4959,5658,5355
  + LT Investments & Receivables,BS_LT_INVEST,,,,,,,,,,,,,,,,,515.29,737.498,244,168,24,711,3283,2760,3015,3384,3931,1926,4082,2157,231,1705,2136,1921
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,,,,,,,,,,,,,,,,,573.798,832.588,22483,21668,23293,23318,23310,23642,24100,24072,43641,44775,44455,46752,50306,50354,49457,51133
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,,,,,,,,,,,21096,21091,22925,23104,23101,23032,23164,23186,42300,42958,42752,42436,43718,43622,42852,44101
    + Goodwill,BS_GOODWILL,,,,,,,,,,,,,,,,,0,,10213,10208,11447,11668,11681,11681,11753,11825,15066,15110,15194,15656,15910,15958,17787,17997
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,,,,,,,,,10883,10883,11478,11436,11420,11351,11411,11361,27234,27848,27558,26780,27808,27664,25065,26104
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,23,30,29,42,46,51,57,72,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,11,22,1307,941,698,798,1046,1167,1553
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,,,,,,,,,,186.353,226.524,,,,,,,,,,,,,,,,
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,,,,,,,,,,,,,,,,,387.445,606.064,1387,554,338,185,167,564,885,818,1247,510,762,3618,5790,5686,5438,5479
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,,,,,,,,,,,,,,,,,1369.987,1883.178,23807,23040,24674,25570,28227,28134,29007,29344,49722,48954,51009,51604,53274,55289,55296,56967
Total Assets,BS_TOT_ASSET,,,,,,,,,,,,,,,,,2963.918,4390.117,34981,32281,33408,34760,40013,35956,38569,40236,64035,67977,69225,72574,80919,82896,85501,90499
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,,,,,,,,,,,,,,,,360.445,454.561,-1076.095,804,2353,2966,3650,2144,4980,5438,6328,5991,6699,10301,12080,10866,12311,14957,17273
Cash from Operating Activities,CF_CASH_FROM_OPER,,,,,,,,,,,,,,,,480.629,434.508,505.147,531,558,2691,3872,5009,3022,7205,6584,5574,9208,12941,12784,10440,15227,18849,20755
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,,,,,,,,,,,,,,,,-119.267,-87.265,-159.96,-411,-306,-238,-353,-374,-471,-553,-404,-523,-695,-704,-756,-736,-705,-970,-1059
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,,,,,,,,,,,,,,,,0,0,0,4,0,3,0,2,0,0,10,0,12,14,0,0,0,0,0
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,,,,,,,,,,,,,,,,-119.267,-87.265,-159.96,-415,-306,-241,-353,-376,-471,-553,-414,-523,-707,-718,-756,-736,-705,-970,-1059
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,,,,,,,,,,,,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,0,-1805,-268,-3,0,-149,-93,-9082,-302,-196,-699,-77,-75,-1948,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,0,-1805,-268,-3,0,-149,-93,-9082,-302,-196,-699,-77,-75,-1948,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,,,,,,,,,,,,,,,,-353.864,-175.937,-303.281,965,2136,139,-1678,-2037,-693,-239,-938,-1311,1732,-2184,864,2240,628,-1370,-947
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,,,,,,,,,,,,,,,,-473.131,-263.202,-463.241,554,1830,-1904,-2299,-2414,-1164,-941,-1435,-10916,735,-3084,-591,1427,-152,-4288,-2006
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,,,,,,,,,,,,,,,,0,0,0,-93,-318,-368,-423,-595,-864,-1006,-1177,-1350,-1579,-1918,-2269,-2664,-2798,-3203,-3751
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,,,,,,,,,,,,,,,,-33.768,-36.579,-36.651,-22,-54,-24,-54,-6,-6,0,0,15971,2488,-1750,0,7212,-3000,2218,-2250
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,,,,,,,,,,,,,,,,0,0,0,5654,-2607,-930,-1907,-465,-5183,-3937,-2744,-6999,-6742,-7028,-8445,-7924,-8468,-11393,-11841
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,,,,,,,,,,,,,,,,0,0,0,19100,39,70,117,245,182,181,166,158,149,164,162,190,208,196,260
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,,,,,,,,,,,,,,,,0,0,0,-13446,-2646,-1000,-2024,-710,-5365,-4118,-2910,-7157,-6891,-7192,-8607,-8114,-8676,-11589,-12101
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,,,,,,,,,,,,,,,,-12.198,0,0,-1920,228,-220,-920,-1589,4307,-1535,318,-145,-91,-94,-1347,-592,-144,-318,70
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,,,,,,,,,,,,,,,,-45.966,-36.579,-36.651,3619,-2751,-1542,-3304,-2655,-1746,-6478,-3603,7477,-5924,-10790,-12061,-3968,-14410,-12696,-17772
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,1,5,-9,7,0,-1,1,-34,236,-101,-277,440,-37,-1287,636
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,,,,,,,,,,,,,,,,-38.468,134.727,5.255,4704,-362,-750,-1740,-53,112,-215,1547,2101,4255,-1034,-145,8339,628,578,1613
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,,,,,,,,,,122.529,261.6,413.239,678,1172,1291,1731,2057,595,2656,2486,2842,3038,2285,2648,2671,3012,3741,3433
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,0,0,1805,268,3,0,149,93,9082,302,196,699,77,75,1948,0
Free Cash Flow,CF_FREE_CASH_FLOW,,,,,,,,,,,,,,,,361.362,347.243,345.187,116,252,2450,3519,4633,2551,6652,6170,5051,8501,12223,12028,9704,14522,17879,19696
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,,,,,,,,,,,,,,,,426.2633,405.6043,,202.0569,319.62,2496.0129,3539.628,4639.7938,2553.7449,6657.6323,6172.1105,5370.2907,8823.519,12715.2858,12460.588,10110.5885,14915.1733,18322.6957,20224.7737
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,,,,,,,,,,,,,,,,,198,2429,3465,4629,2545,6652,6180,26739,10810,10431,12020,16540,9516,19341,16820
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,,,,,,,,,,,,,,,,,,0.1114,0.0377,0.0746,0.73,1.0677,1.4299,1.0841,2.9382,2.778,2.3276,4.0404,5.9653,6.017,4.9688,7.4625,10.8292,12.1731
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,,,,,,,,,,,,,,,,,,347.7073,292.9216,24.1016,23.774,26.5011,51.3491,22.3099,27.9155,33.5188,28.22,22.1177,31.2281,44.021,29.0399,19.1852,21.3874
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,,,,,,,,,,,,,,,,1.3334,0.9559,,0.6604,0.2371,0.9073,1.0608,2.3363,0.6068,1.3249,1.0405,0.9304,1.3745,1.2563,1.0583,0.9608,1.2369,1.2602,1.2016
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,,,,,,,,,,,,,,,,2664.605,2948.126,3589.796,6263,6911,8065,9188,10421,11778,12702,13880,15082,18358,20609,22977,21846,24105,29310,32653
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,6911,8065,9188,10421,11778,12702,13880,15082,18358,20609,22977,21846,24105,29310,14826
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,,,,,,,,,,,,,,,,2211.683,2218.456,5039.291,3561,3373,3476,3732,8282,4539,5005,4816,7199,6214,7655,7976,7765,8301,10497,11653
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,680.874,746.393,791.831,1348,1256,1323,1284,1324,1327,1407,1419,1665,1982,2133,2301,2067,2121,2530,2671
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,456.922,473.945,580.883,1016,918,964,870,873,876,900,872,869,922,988,1105,971,1136,1336,1341
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,338,359,414,451,451,507,547,796,1060,1145,1196,1096,985,1194,1330
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,,
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,1891,1888,2160,6625,2815,3163,2903,5032,3676,4909,5019,4931,5376,7106,8039
Operating Income (Loss),IS_OPER_INC,,,,,,,,,,,,,,,,452.922,729.67,-1449.495,2702,3538,4589,5456,2139,7239,7697,9064,7883,12144,12954,15001,14081,15804,18813,21000
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,-462,-49,-200,-68,-18,-27,69,-129,450,148,117,291,-259,677,-37
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,-29,,,,,,612,533,516,513,538,644
    + Interest Expense,IS_INT_EXPENSE,,,,,,,,,,,,,,,,108.485,89.539,80.658,143,115,72,32,7,4,8,3,427,563,612,533,516,513,538,644
    - Interest Income,IS_INT_INC,,,,,,,,,,,,,,,,,,,,,,,36,,,,,,0,0,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,-575,-49,-108,-36,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,-30.799,-13.355,-40.276,-1,0,,0,0,,0,0,0,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-2,-72,-124,-3,-22,-35,66,-556,-113,-464,-416,-225,-772,139,-681
"Pretax Income (Loss), Adjusted",PRETAX_INC,,,,,,,,,,,,,,,,456.245,721.816,-1387.418,1336,4000,4638,5656,2207,7257,7724,8995,8012,11694,12806,14884,13790,16063,18136,21037
  - Abnormal Losses (Gains),IS_ABNORMAL_ITEM,,,,,,,,,,,,,,,,,22.878,2652.83,1628,-402,-45,-78,4100,3,453,124,1812,19,509,273,-37.557,-536,1254,1100
    + Abnormal Derivatives,IS_DERIVATIVES_HEDGING,,,,,,,,,,,,,,,,,,,,,,,,,,,-74,,,,,,,
    + Disposal of Assets,IS_GAIN_LOSS_DISPOSAL_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Asset Write-Down,IS_IMPAIRMENT_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Impairment of Intangibles,IS_IMPAIR_OF_INTANG_ASSETS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Gain/Loss on Sale/Acquisition of Business,IS_SALE_OF_BUSINESS,,,,,,,,,,,,,,,,,,,,-473,,-85,,,,,1877,,,,,,,
    + Legal Settlement,IS_LEGAL_LITIGATION_SETTLEMENT,,,,,,,,,,,,,,,,,,,,2,-45,7,4100,3,453,14,2,19,607,400,11,3,861,906
    + Sale of Investments,IS_GAIN_LOSS_ON_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-98,-131,-101,-712,264,104
    + Other Abnormal Items,IS_OTHER_ONE_TIME_ITEMS,,,,,,,,,,,,,,,,,,,,2,,,,,,110,-255,,,,35.443,152,60,
"Pretax Income (Loss), GAAP",PRETAX_INC,,,,,,,,,,,,,,,,456.245,721.816,-1387.418,1336,4000,4638,5656,2207,7257,7724,8995,8012,11694,12806,14884,13790,16063,18136,21037
  - Income Tax Expense (Benefit),IS_INC_TAX_EXP,,,,,,,,,,,,,,,,183.296,251.338,-315.993,532,1648,1674,2010,65,2277,2286,2667,2021,4995,2505,2804,2924,3752,3179,3764
