Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2001,,Q2 2001,,Q3 2001,,Q4 2001,,Q1 2002,,Q2 2002,,Q3 2002,,Q4 2002,,Q1 2003,,Q2 2003,,Q3 2003,,Q4 2003,,Q1 2004,,Q2 2004,
date,,03/31/2001,,06/30/2001,,09/30/2001,,12/31/2001,,03/31/2002,,06/30/2002,,09/30/2002,,12/31/2002,,03/31/2003,,06/30/2003,,09/30/2003,,12/31/2003,,03/31/2004,,06/30/2004,
Revenue,,4810,1.0,5488,1.0,5056,1.0,5096,1.0,4409,1.0,5291,1.0,5075,1.0,5377,1.0,4821,1.0,5932,1.0,5545,1.0,6465,1.0,6467,1.0,7564,1.0
  Machinery & Engines,,—,,—,,—,,—,,4013,0.906482945561328,4913,0.915920954511559,4684,0.913060428849903,4992,0.914285714285714,4415,0.902862985685072,5460,0.915492957746479,5093,0.908490902604353,6009,0.919229004130335,5967,0.918141252500385,7056,0.916244643552785
    North America Marketing,,1486,0.307405875051717,1770,0.320188133140376,1447,0.282838154808444,1175,0.225787855495772,1274,0.287779534673594,1636,0.304996271439224,1291,0.251656920077973,1374,0.251648351648352,1340,0.274028629856851,1791,0.300301810865191,1545,0.275597574027827,1832,0.280250879608383,2037,0.313432835820896,2396,0.311128424879886
    Power Products,,1163,0.2405875051717,1361,0.246201157742402,1362,0.266223612197029,1448,0.278247501921599,1181,0.266772080415631,1468,0.273676360924683,1609,0.31364522417154,1478,0.270695970695971,1294,0.264621676891616,1714,0.287391012743125,1600,0.285408490902604,1853,0.283463362398654,1733,0.266656408678258,2134,0.277106869237761
    EAME Marketing,,850,0.175837815473728,861,0.155752532561505,823,0.160867865519937,869,0.166986933128363,592,0.133724870115202,736,0.137211036539896,723,0.14093567251462,777,0.142307692307692,687,0.140490797546012,916,0.153588195841717,746,0.133071708883339,833,0.127428484014074,843,0.129712263425142,1044,0.135566809505259
    Asia/Pacific Marketing,,319,0.065990897807199,356,0.0643994211287988,341,0.0666536356528538,395,0.0759031514219831,350,0.0790603117235148,400,0.0745712155108128,414,0.0807017543859649,496,0.0908424908424908,458,0.0936605316973415,420,0.0704225352112676,457,0.0815198002140564,560,0.0856662077405538,533,0.0820126173257424,565,0.0733670951824438
    Latin America Marketing,,293,0.060612329333885,370,0.066931982633864,351,0.068608287724785,465,0.0893543428132206,325,0.0734131466004066,307,0.0572334079045489,272,0.0530214424951267,409,0.0749084249084249,254,0.0519427402862986,283,0.0474513749161636,316,0.0563681769532644,422,0.0645556065473459,354,0.0544699184489922,412,0.0534995455135697
    All Other,,264,0.0546131568059578,319,0.0577062228654124,291,0.0568803752931978,364,0.069946195234435,260,0.0587305172803253,302,0.0563012677106637,316,0.061598440545809,375,0.0686813186813187,332,0.0678936605316973,271,0.045439302481556,354,0.0631466286122012,429,0.0656264341441028,329,0.0506231727958147,348,0.045188936501753
    Construction & Mining Products,,41,0.00848158874637981,60,0.0108538350217077,62,0.0121188428459734,59,0.011337432744043,31,0.00700248475265417,64,0.0119313944817301,59,0.0115009746588694,83,0.0152014652014652,50,0.0102249488752556,65,0.0108987256874581,75,0.0133785230110596,80,0.012238029677222,138,0.0212340360055393,157,0.0203869627321127
  Financing & Insurance Services,,418,0.0864708316094332,431,0.0779667149059334,439,0.0858092259577795,429,0.0824365872405842,414,0.0935170544386718,451,0.0840790454884415,446,0.0869395711500975,468,0.0857142857142857,475,0.0971370143149284,504,0.0845070422535211,513,0.0915090973956475,528,0.080770995869665,532,0.0818587474996153,645,0.0837553564472146
  Consolidating Adjustments,,-24,,-40,,-60,,-108,,-18,,-73,,-55,,-83,,-69,,-32,,-61,,-72,,-32,,-137,
Intersegment Revenue,,3718,1.0,4021,1.0,3749,1.0,3507,1.0,3665,1.0,4136,1.0,3848,1.0,3737,1.0,3854,1.0,5510,1.0,4251,1.0,5037,1.0,6518,1.0,7328,1.0
  Machinery & Engines,,—,,—,,—,,—,,3665,1.0,4136,1.0,3848,1.0,3737,1.0,3854,1.0,5510,1.0,4251,1.0,5037,1.0,6518,1.0,7327,0.999863537117904
