Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Caterpillar Inc (CAT US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,
date,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,,03/31/2014,,06/30/2014,
Revenue,,7659,1.0,8584,1.0,8339,1.0,9360,1.0,8977,1.0,9663,1.0,9392,1.0,10605,1.0,10517,1.0,11003,1.0,10016,1.0,11356,1.0,11442,1.0,12144,1.0,11796,1.0,13624,1.0,12981,1.0,12923,1.0,9225,1.0,7975,1.0,7298,1.0,7898,1.0,8238,1.0,10409,1.0,11134,1.0,12807,1.0,12949,1.0,14230,1.0,15716,1.0,17243,1.0,15981,1.0,17374,1.0,16445,1.0,16075,1.0,13210,1.0,14621,1.0,13423,1.0,14402,1.0,13241,1.0,14150,1.0
"  Machinery, Energy & Transportation",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,7551,0.916605972323379,9723,0.934095494283793,10452,0.938746182863302,12141,0.947997189037245,12277,0.948104100702757,13535,0.951159522136332,15023,0.955904810384322,16557,0.960215739720466,15288,0.956636005256242,16684,0.960285484056636,15739,0.957069017938583,15357,0.955334370139969,12484,0.945041635124905,13886,0.949729840640175,12678,0.944498249273635,13646,0.947507290654076,12493,0.943508798429122,13391,0.946360424028269
    Construction Industries,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2612,0.317067249332362,3391,0.325775770967432,3466,0.311298724627268,4103,0.320371671742016,4471,0.345277627616032,4941,0.347224174279691,4900,0.311784168999745,5355,0.310560807284115,5062,0.316751141981103,5340,0.307355819039945,4904,0.298206141684403,4028,0.250575427682737,4219,0.319379258137774,4875,0.333424526366186,4569,0.340385904790285,4851,0.336828218303013,5064,0.382448455554716,5407,0.382120141342756
    Energy & Transportation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2941,0.357004127215344,3736,0.358920165241618,4196,0.376863660858631,4664,0.364175841336769,4449,0.343578654722372,4918,0.345607870695713,5075,0.322919317892594,5672,0.328945079162559,4987,0.312058068956886,5511,0.317198112121561,5317,0.323320158102767,5307,0.330139968895801,4405,0.333459500378501,5263,0.359961698926202,4922,0.366684049765328,5565,0.386404666018609,4776,0.360697832489993,5175,0.365724381625442
    Resource Industries,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1503,0.18244719592134,2095,0.201268133346143,2262,0.203161487336088,2807,0.21917701257125,2768,0.213761680438644,3206,0.225298664792691,4599,0.292631712904047,5056,0.293220437278896,4778,0.29898003879607,5390,0.310233682514102,5214,0.317056856187291,5776,0.359315707620529,3353,0.253822861468584,3135,0.214417618493947,2668,0.198763316695225,3019,0.209623663380086,2123,0.160335322105581,2241,0.158374558303887
    All Other,,500,0.0649519355676799,4654,0.499570631172177,600,0.0715648854961832,605,0.0639670120532882,574,0.0633414257338336,1788,0.185035703197765,1449,0.15289648622982,1770,0.164927320163996,2258,0.21241768579492,2375,0.213368071152637,1972,0.194880917086669,2421,0.211274980364779,2575,0.223214285714286,2858,0.233515810115206,2416,0.202905853699504,2976,0.216830601092896,2799,0.214449892736745,3122,0.240431266846361,—,,—,,—,,—,,494,0.0599660111677592,529,0.0508214045537516,550,0.0493982396263697,583,0.0455219801670961,589,0.0454861379257085,475,0.0333801827125791,461,0.029333163654874,496,0.0287652960621702,474,0.0296602215130467,454,0.0261310003453436,318,0.0193371845545759,255,0.0158631415241058,517,0.0391370174110522,624,0.0426783393748718,532,0.0396334649482232,239,0.0165949173725871,554,0.0418397402008912,583,0.0412014134275618
