Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
General Electric Co (GE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/27/2024,
Revenue,,33427,1.0,26097,1.0,27666,1.0,27859,1.0,32757,1.0,27836,1.0,30344,1.0,29038,1.0,32469,1.0,26880,1.0,29097,1.0,30663,1.0,30920,1.0,27788,1.0,29162,1.0,23392,1.0,26499,1.0,22202,1.0,23414,1.0,23360,1.0,21245,1.0,19490,1.0,16805,1.0,18529,1.0,21033,1.0,17071,1.0,18253,1.0,18568,1.0,20303,1.0,12675,1.0,14127,1.0,14470,1.0,21786,1.0,6982,1.0,8754,1.0,9302,1.0,8800,1.0,8064,1.0,9094,1.0,9842,1.0
  Commercial Engines & Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,4970,0.178180905603556,4918,0.163780471559877,4848,0.153573238722757,4972,0.155064870259481,5272,0.186685552407932,5500,0.185660275452336,5600,0.242015644582739,6281,0.238304814660242,5949,0.270175757300513,5848,0.249498698749947,5997,0.255408858603066,2029,0.103679100664282,5113,0.259859727586908,2519,0.149949401750104,3087,0.164272030651341,3761,0.187880907183535,3354,0.203667719213019,3115,0.176607325093548,3602,0.200434032608091,4289,0.219296451579916,3853,0.321753653444676,4306,0.320673220137027,4971,0.35948799537171,5535,0.263270547945205,5194,0.725925925925926,5737,0.707223865877712,6457,0.745439852228123,6400,0.727272727272727,6064,0.7249252839211,6132,0.718621821164889,7003,0.757408609128272
  Defense & Propulsion Technologies,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1961,0.274074074074074,2375,0.292776134122288,2205,0.254560147771877,2400,0.272727272727273,2301,0.2750747160789,2401,0.281378178835111,2243,0.242591390871728
  Elimination & Other,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-173,,642,,640,,—,,-301,,561,,596,
  Adjustment,,5062,,-143,,-780,,-169,,-1136,,—,,—,,-228,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5417,,—,,—,,—,,1377,,—,,—,,-2,,—,,—,,—,,-1,,—,,—,,—,,—,,—,,—,,—,,—,
  Industrial Segment,,27482,0.92706787208204,24362,0.894740708094609,26826,0.908862989564982,26256,0.908009406556924,31354,0.923833937358202,25869,0.899666133407526,25480,0.90191497646101,27336,0.913148049171566,31147,0.921617942951829,25212,0.90388269458287,27582,0.91854269348608,29171,0.924068677141409,30519,0.951815119760479,26067,0.923052407932011,27195,0.918005671077505,20666,0.893124162669087,23881,0.906059111431498,19792,0.898860075389436,21118,0.900977004138402,21383,0.910689948892675,19570,1.0,18839,0.957460866029681,15938,0.948746949223168,18034,0.959663686675181,20018,1.0,16468,1.0,17638,1.0,17971,1.0,19558,1.0,11975,1.0,13428,1.0,13828,1.0,21024,1.0,—,,—,,—,,—,,—,,—,,—,
