Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69
DuPont de Nemours Inc (DD US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,17660,1.0,18509,1.0,16991,1.0,17734,1.0,13230,1.0,20717,1.0,18285,1.0,20066,1.0,21510,1.0,5857,1.0,5683,1.0,5457,1.0,3879,1.0,3910,1.0,3901,1.0,3746,1.0,3670,1.0,3289,1.0,3629,1.0,3750,1.0,3017,1.0,3104,1.0,3199,1.0,3246,1.0,3274,1.0,3322,1.0,3317,1.0,3104,1.0,3018,1.0,3094,1.0,3058,1.0,2898,1.0,2931,1.0,3171,1.0
  Electronics & Industrial,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1054,0.294249022892239,1089,0.300165380374862,1158,0.31953642384106,1145,0.326862689123608,1115,0.320218265364733,1111,0.353259141494436,1213,0.350780798149219,1235,0.344298856983552,1300,0.494672754946728,1320,0.483162518301611,1467,0.512220670391061,1467,0.509021512838307,1536,0.518043844856661,1527,0.504960317460317,1511,0.496223316912972,1343,0.472887323943662,1296,0.472131147540984,1312,0.467569493941554,1368,0.491909385113269,1361,0.515921152388173,1365,0.513930722891566,1508,0.520179372197309
    Semiconductor Technologies,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,404,0.112786152987158,395,0.108875413450937,406,0.112030905077263,408,0.11647159577505,437,0.125502584721424,458,0.145627980922099,445,0.128687102371313,437,0.121828826317257,512,0.19482496194825,501,0.183382137628111,504,0.175977653631285,530,0.183900069396253,576,0.194266441821248,559,0.184854497354497,569,0.186863711001642,517,0.182042253521127,474,0.172677595628415,459,0.163578047042053,457,0.164329377921611,467,0.177028051554208,521,0.196159638554217,552,0.190410486374612
    Industrial Solutions,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,412,0.115019542155221,412,0.113561190738699,413,0.113962472406181,409,0.116757065372538,412,0.118322802986789,379,0.120508744038156,398,0.115095430884905,428,0.11931976582102,458,0.17427701674277,480,0.175695461200586,474,0.165502793296089,478,0.165857043719639,500,0.168634064080944,503,0.166335978835979,496,0.162889983579639,455,0.160211267605634,423,0.154098360655738,500,0.178189593727726,531,0.190938511326861,540,0.20470053070508,448,0.168674698795181,488,0.168333908244222
    Interconnect Solutions,,—,,—,,—,,—,,—,,—,,—,,—,,281,0.0131100121302603,298,0.0508792897387741,313,0.0550765440788316,—,,238,0.0664433277498604,282,0.077728776185226,339,0.0935430463576159,328,0.0936340279760206,266,0.0763928776565192,274,0.0871224165341812,370,0.106998264893002,370,0.103150264845275,330,0.125570776255708,339,0.124084919472914,489,0.170740223463687,459,0.159264399722415,460,0.155143338954469,465,0.153769841269841,446,0.146469622331691,371,0.130633802816901,399,0.145355191256831,353,0.125801853171775,380,0.136641495864797,354,0.134192570128886,396,0.149096385542169,468,0.161434977578475
  Water & Protection,,1189,0.067587539790814,1321,0.0716377440347072,1238,0.0731851501537006,1236,0.0700203942895989,434,0.0329812295767156,1284,0.0622726611377855,1310,0.0722718746551914,1290,0.0644871025794841,1299,0.0606046468228049,1372,0.234249615844289,1364,0.240014077071969,1294,0.237126626351475,1283,0.358179787828029,1341,0.369625137816979,1327,0.366169977924945,1250,0.356836996859834,1276,0.366456059735784,1244,0.395548489666137,1249,0.361191440138809,1224,0.341232227488152,1328,0.505327245053272,1412,0.51683748169839,1397,0.487779329608939,1415,0.490978487161693,1429,0.481956155143339,1497,0.495039682539683,1534,0.503776683087028,1497,0.527112676056338,1449,0.527868852459016,1494,0.532430506058446,1413,0.508090614886731,1277,0.484078847611827,1291,0.486069277108434,1391,0.479820627802691
