Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Martin Marietta Materials Inc (MLM US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,1003.723,1.0,779.5,1.0,691.347,1.0,921.419,1.0,1082.249,1.0,844.556,1.0,788.734,1.0,977.298,1.0,1103.901,1.0,948.8,1.0,843.859,1.0,1063.524,1.0,1087.732,1.0,970.5,1.0,802.004,1.0,1202.403,1.0,1219.64,1.0,1020.218,1.0,939,1.0,1279.5,1.0,1420.2,1.0,1100.4,1.0,958.2,1.0,1270.6,1.0,1321.4,1.0,1179.6,1.0,982.4,1.0,1377.9,1.0,1557.3,1.0,1496.4,1.0,1230.8,1.0,1641.7,1.0,1811.7,1.0,1476.5,1.0,1354.1,1.0,1820.8,1.0,1994.1,1.0,1608.2,1.0,1251,1.0,1764,1.0
  Building Materials Business,,823.636,0.820580977022545,621.3,0.797049390635022,526.083,0.760953616635351,750.402,0.814398227082359,903.94,0.835242167005929,725.32,0.85881812455302,724.564,0.918641772764963,913.662,0.934885776907351,1038.752,0.940982932346288,884.7,0.932440978077572,775.282,0.91873405391185,993.495,0.934153813172058,1023.827,0.941249315088643,903,0.930448222565688,732.742,0.913638834719029,1129.441,0.939319845343034,1146.117,0.939717457610442,948.243,0.929451352554062,864.9,0.921086261980831,1203.2,0.940367330988667,1355.4,0.954372623574145,1044.3,0.949018538713195,892.5,0.931433938634941,1217,0.957815205414765,1260.5,0.953912517027395,1117.2,0.947100712105799,911.5,0.927829804560261,1302.1,0.944988750997895,1478.9,0.949656456687857,1422.8,0.950815290029404,1153.8,0.937439064023399,1560,0.950234513004812,1736,0.958216040183253,1406.9,0.952861496782933,1270.7,0.938409275533565,1740.3,0.955788664323374,1918.6,0.962138308008625,1532.2,0.952742196244248,1170,0.935251798561151,1683,0.954081632653061
    Products and Services,,—,,—,,—,,—,,—,,—,,724.564,0.918641772764963,913.662,0.934885776907351,1038.752,0.940982932346288,884.7,0.932440978077572,775.282,0.91873405391185,993.495,0.934153813172058,1023.827,0.941249315088643,903,0.930448222565688,732.742,0.913638834719029,1129.441,0.939319845343034,1146.117,0.939717457610442,948.243,0.929451352554062,864.9,0.921086261980831,1203.2,0.940367330988667,1355.4,0.954372623574145,1044.3,0.949018538713195,892.5,0.931433938634941,1217,0.957815205414765,1260.5,0.953912517027395,1117.2,0.947100712105799,911.5,0.927829804560261,1302.1,0.944988750997895,1478.9,0.949656456687857,1422.8,0.950815290029404,1153.8,0.937439064023399,1560,0.950234513004812,1736,0.958216040183253,1406.9,0.952861496782933,1270.7,0.938409275533565,1740.3,0.955788664323374,1918.6,0.962138308008625,1532.2,0.952742196244248,1170,0.935251798561151,1683,0.954081632653061
      West Group,,479.323,0.477545099594211,359.5,0.46119307248236,320.571,0.463690447778033,411.235,0.446306186436355,531.256,0.490881488455984,411.958,0.487780561620544,466.546,0.591512474421034,547.386,0.560101422493446,657.663,0.595762663499716,551.9,0.581682124789207,495.981,0.587753404300955,610.248,0.573798052512214,620.512,0.570464048129503,553,0.569809376609995,473.722,0.590672864474492,665.886,0.553796023463015,643.565,0.527668000393559,526.753,0.516314160306915,497.6,0.529925452609159,651.7,0.509339585775694,773.4,0.544571187156738,596.2,0.541802980734279,510.6,0.532874139010645,682.5,0.537147804186998,711.2,0.538217042530649,633.9,0.537385554425229,516.6,0.525855048859935,666.8,0.483924813121417,794.8,0.510370513067488,834.1,0.557404437316226,735,0.597172570685733,885.5,0.539379911067796,962.4,0.531213777115416,805.8,0.545750084659668,741.1,0.547300790192748,1005.2,0.552065026362039,1104.3,0.553783661802317,847.9,0.527235418480289,644,0.514788169464428,860,0.487528344671202
      Southeast Group,,73.217,0.0729454241857564,60.8,0.0779987171263631,64.678,0.093553598988641,81.518,0.0884700662782079,82.949,0.0766450234650251,75.328,0.0891924277371779,71.671,0.0908684043036055,87.6,0.0896348913023459,83.814,0.075925286778434,78,0.0822091062394604,90.282,0.10698706774473,92.348,0.0868320790127914,94.843,0.0871933527743966,85.1,0.0876867594023699,80.239,0.100048129435763,112.963,0.0939477030579598,125.547,0.102937752123577,104.633,0.102559452979657,119.2,0.126943556975506,137,0.107073075420086,582,0.409801436417406,448.1,0.407215557978917,121.1,0.126382801085368,534.5,0.420667401227766,549.3,0.415695474496746,483.3,0.40971515768057,394.9,0.401974755700326,635.3,0.461063937876479,684.1,0.439285943620369,588.7,0.393410852713178,418.8,0.340266493337667,674.5,0.410854601937017,773.6,0.427002263067837,601.1,0.407111412123265,529.6,0.391108485340817,735.1,0.403723637961336,814.3,0.408354646206309,684.3,0.42550677776396,526,0.420463629096723,823,0.466553287981859
      Mid America Group,,271.096,0.270090453242578,201,0.257857601026299,140.834,0.203709569868677,257.649,0.279621974367796,289.735,0.26771565508492,238.034,0.281845135195298,186.347,0.236260894040323,278.676,0.285149463111559,297.275,0.269294982068138,254.8,0.268549747048904,189.019,0.223993581866165,290.899,0.273523681647053,308.472,0.283591914184744,264.9,0.272952086553323,178.781,0.222917840808774,350.592,0.291576118822059,377.005,0.309111705093306,316.857,0.31057773926749,248.1,0.264217252396166,414.5,0.323954669792888,0,,0,,260.8,0.272176998538927,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
