Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Vulcan Materials Co (VMC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,873.579,1.0,755.026,1.0,631.293,1.0,—,,—,,857.285,1.0,754.728,1.0,956.825,1.0,—,,872.975,1.0,787.328,1.0,1030.763,1.0,1094.715,1.0,977.49,1.0,854.474,1.0,1200.151,1.0,1319.062,1.0,—,,996.511,1.0,1327.682,1.0,—,,—,,1049.242,1.0,1322.575,1.0,1309.89,1.0,1175.12,1.0,1068.3,1.0,1361.047,1.0,1516.506,1.0,1606.3,1.0,1540.7,1.0,1954.3,1.0,2088.3,1.0,1731.9,1.0,1649,1.0,2112.9,1.0,2185.8,1.0,1834.3,1.0,1545.7,1.0,2014.4,1.0
  Aggregates,,688.9,0.743470753291604,593.828,0.743374973554975,503.509,0.753503316253232,—,,—,,710.087,0.784765262366827,634.868,0.797298417378943,791.497,0.778078262288571,—,,713.661,0.769964666217127,650.3,0.777208884299496,817.586,0.742903406364945,858.699,0.736392333689796,769.509,0.739682060588817,699.657,0.771910952828565,956.265,0.748779655124352,983.731,0.745780713870917,—,,778.833,0.781559862359773,1062.061,0.750575797087622,—,,—,,868.226,0.785862857370434,1070.596,0.766837760132023,970.528,0.740923283634504,956.502,0.772007619170608,837.7,0.784143030983806,1125.367,0.783624456429022,1172.409,0.726507659131469,1152.3,0.669513683109639,1011.2,0.656325047056533,1401.8,0.667428462600581,1490.5,0.661474282163937,1259.3,0.676933827877224,1294.3,0.738966600057094,1578.4,0.697882124065968,1626.1,0.694855140586274,1411,0.721591490232178,1291.3,0.794255135933079,1613.5,0.756801125703565
  Asphalt,,136.4,0.147204834880207,115.534,0.144629563096891,103.071,0.154246180921368,—,,—,,119.758,0.132352681136997,89.099,0.111894900499074,142.055,0.13964665380842,—,,123.75,0.133513149022252,95.776,0.114467104571226,175.758,0.15970334239565,189.94,0.162886366306517,160.6,0.154374983178318,103.835,0.114558096019841,211.828,0.165866675854163,231.7,0.175655124626439,—,,132.09,0.132552475587324,247.163,0.174674115456238,—,,—,,139.789,0.126528096335465,222.95,0.159692805335939,235.201,0.179557825466261,194.665,0.157117144748099,147.2,0.137789010577553,212.577,0.148023299132027,220.652,0.13673160816974,197.4,0.114694090988321,167.1,0.108457194781593,274.8,0.130838451649764,310.2,0.137664758354414,238.1,0.127990109122185,169.8,0.0969454753068798,337.4,0.149179820489013,347.2,0.148363387744637,286.4,0.146466196174696,186.2,0.11452823225489,351.2,0.164727954971857
  Concrete,,99,0.106842218864667,87.014,0.108927214528302,59.789,0.0894744875969735,—,,—,,72.852,0.0805136819769241,70.397,0.0884080103080096,81.246,0.0798685863596416,—,,87.335,0.0942252191503709,88.75,0.106069949994741,105.213,0.0956022927176773,115.485,0.0990361799142261,108.297,0.104099299833513,100.962,0.111388399772285,106.723,0.083566805366542,101.719,0.0771146466200982,—,,83.637,0.0839298311809905,103.768,0.0733345347510062,—,,—,,94.765,0.0857752401779136,100.683,0.0721163970380727,102.807,0.0784852163158739,85.362,0.0688969959159954,81.3,0.0761022184779556,96.201,0.0669874417260576,219.225,0.135847337894111,370,0.214978792632619,360.5,0.233984552476147,422.3,0.20106651430748,450.5,0.199928993032441,360.5,0.19378594850293,285.1,0.162774764487582,343.5,0.151876906751559,364.6,0.155798649688061,256,0.130919504960622,148.3,0.091216631812031,167.3,0.0784709193245779
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-87.313,,—,,—,,—,,—,,—,,-63.86,,—,,—,,—,,-114.8,,—,,—,,-165,,-128.4,,-102.5,,—,,-154.4,,-121.1,,-80.1,,-117.6,
  Adjustment,,—,,—,,-36.931,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-76.947,,—,,—,,—,,—,,—,,—,,-55.564,,-73.543,,—,,—,,—,,-75.058,,-97.254,,—,,—,,-146,,—,,—,,—,,-148.8,,—,,—,,—,,—,
  Calcium,,2.3,0.00248219296352256,2.451,0.00306824881983208,1.855,0.0027760152284264,—,,—,,2.143,0.00236837451925202,1.91,0.00239867181397358,2.448,0.00240649754336709,—,,2.129,0.00229696561024949,1.886,0.00225406113453614,1.971,0.00179095852172775,1.965,0.00168512008946144,1.918,0.00184365639935251,1.942,0.00214255137930882,2.282,0.00178686365494269,1.912,0.00144951488254532,—,,1.951,0.0019578308719121,2.003,0.00141555270513323,—,,—,,2.026,0.00183380611618691,1.889,0.00135303749396541,1.354,0.00103367458336196,2.451,0.00197824016529726,2.1,0.0019657399606852,1.96,0.00136480271289356,1.474,0.000913394804679754,1.4,0.000813433269420719,1.9,0.00123320568572727,1.4,0.000666571442174927,2.1,0.000931966449207829,2.4,0.00129011449766167,2.3,0.00131316014844419,2.4,0.00106114869346067,2.3,0.000982821981027263,2,0.00102280863250486,—,,—,
  Reconciliation,,-53.021,,-43.801,,—,,—,,—,,-47.555,,-41.546,,-60.421,,—,,-53.9,,-49.384,,-69.765,,-71.374,,-62.834,,-51.922,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
