Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47
Vulcan Materials Co (VMC US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2001,,FY 2002,,FY 2003,,FY 2004,,FY 2005,,FY 2006,,FY 2007,,FY 2008,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2001,,12/31/2002,,12/31/2003,,12/31/2004,,12/31/2005,,12/31/2006,,12/31/2007,,12/31/2008,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,3019.989,1.0,2648.051,1.0,2892.186,1.0,2454.335,1.0,2895.327,1.0,3342.475,1.0,3327.787,1.0,3651.438,1.0,2690.49,1.0,2558.862,1.0,2564.55,1.0,2567.31,1.0,2770.709,1.0,2994.169,1.0,3422.181,1.0,3592.667,1.0,3890.296,1.0,4382.869,1.0,4929.1,1.0,4856.826,1.0,5552.2,1.0,7315.2,1.0,7781.9,1.0
  Aggregates,,1483,0.53823540086379,1397.8,0.549212211700915,1507.4,0.575607148312204,1622.1,0.732920657870956,1884,0.720458891013384,2280.2,0.749794482259709,2448.2,0.758379282572331,2406.8,0.647947233813434,1838.6,0.669994898331025,1766.9,0.67952465194985,1734,0.672197239882152,1581.189,0.655756802611765,2025,0.674235866018513,2346.411,0.734909970505392,2777.758,0.768121985522211,2961.835,0.776746399939158,3096.094,0.747189496803907,3513.649,0.754497373811988,3990.3,0.760071620411817,3944.286,0.769132339669765,4345,0.736877808869668,5272.8,0.670438796139713,5909.9,0.711273453766443
  Concrete,,186.2,0.0675788480383261,181.8,0.0714313779419276,207.9,0.0793875057278143,225,0.101662750768119,252.1,0.0964053537284895,—,,—,,—,,439.4,0.160119524815976,383.2,0.14737327897854,374.7,0.145255078306714,406.37,0.168531334253744,471.7,0.157055337284411,375.806,0.117704688724929,299.252,0.0827509237347143,330.125,0.0865758576287722,417.745,0.100815632969266,401.999,0.0863225637435741,395.6,0.0753538162631669,383.617,0.0748049813697831,766.8,0.130043245993386,1593.9,0.202665073047923,1249.3,0.150356846273273
  Asphalt,,342.8,0.124414764272493,304.7,0.119720246748654,287.7,0.109859477623339,286.5,0.129450569311404,375.3,0.143518164435946,—,,—,,—,,393.7,0.14346621966329,369.9,0.142258287824014,399,0.15467514343309,378.126,0.156817873602951,407.7,0.135746154358394,445.538,0.139545168531443,530.692,0.1467500742472,512.31,0.134354191963033,622.074,0.15012695319806,733.182,0.157438575545315,855.8,0.163012628811977,792.605,0.154557285674506,777.8,0.131908759433562,990.2,0.125904357445294,1140.7,0.137286524088628
  Calcium,,—,,—,,—,,—,,—,,—,,14.1,0.00436775912273093,106.5,0.0286714228025306,72.5,0.0264193571897092,80.2,0.0308437812475963,71.9,0.0278725383780431,45.558,0.0188939895315404,99,0.0329626423386828,25.032,0.00784017223823575,8.596,0.00237701649587506,8.86,0.00232355046903725,7.74,0.00186791702876665,8.11,0.0017414868991226,8.2,0.00156193451303834,7.72,0.00150539328594594,6.9,0.00117018570338336,7.8,0.000991773367070581,9,0.00108317587165569
  Corporate,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-320.8,,-271.402,,-344.3,,-549.5,,-527,
  Adjustment,,264.689,,102.951,,273.386,,241.135,,280.327,,301.375,,99.587,,-63.062,,-53.71,,-41.338,,-15.05,,156.067,,-232.691,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Construction Materials,,2113.6,0.767103400718615,1980.6,0.778201249459746,2086.9,0.796891706124943,2213.2,1.0,2615,1.0,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Other,,101.6,0.0368743875440061,96.3,0.0378374130682488,83.9,0.0320375744615855,79.6,0.0359660220495211,103.6,0.0396175908221797,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Chemicals,,641.7,0.232896599281385,564.5,0.221798750540254,531.9,0.203108293875057,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Performance Chemicals,,163.4,0.0593038870540413,150.6,0.0591725276020588,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Chloralkali-Organic,,213.5,0.0774870250063514,215.9,0.0848296727044124,240.6,0.0918741408278601,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Chloralkali-Inorganic,,264.8,0.0961056872209923,198,0.0777965502337826,291.3,0.111234153047197,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Reconciliation,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,-198.618,,-194.117,,-220.463,,-253.357,,-274.071,,—,,—,,—,,—,,—,
  Asphalt Mix and Concrete,,—,,—,,—,,—,,—,,760.9,0.250205517740291,765.9,0.237252958304938,1201.2,0.323381343384036,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Intersegment Revenue,,—,,—,,—,,—,,—,,—,,—,,-261.378,,-200.5,,-194.3,,-172.7,,-187.2,,-232.7,,-198.618,,-194.117,,-220.463,,-253.357,,-274.071,,-320.8,,-271.4,,344.3,1.0,-549.5,,-527,
  Calcium,,—,,—,,—,,—,,—,,—,,—,,-54.631,0.209011469978346,-35.2,0.175561097256858,-40.2,0.206896551724138,-30.1,0.174290677475391,-39,0.208333333333333,-47.3,0.203266007735282,-9.225,0.0464459414554572,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Asphalt,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Concrete,,—,,—,,—,,—,,—,,—,,—,,—,,-0.1,0.000498753117206983,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
  Aggregates,,—,,—,,—,,—,,—,,—,,—,,-206.187,0.788846039069853,-165.2,0.823940149625935,-154.1,0.793103448275862,-142.6,0.825709322524609,-148.2,0.791666666666667,-185.4,0.796733992264719,-189.393,0.953554058544543,-194.117,1.0,-220.463,1.0,-253.357,1.0,-274.071,1.0,-320.8,1.0,-271.4,1.0,344.3,1.0,-549.5,1.0,-527,1.0
  Asphalt Mix and Concrete,,—,,—,,—,,—,,—,,—,,—,,-0.56,0.00214249095180161,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Revenue Including Intersegment Revenue,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2754.5,1.0,3003.4,1.0,3192.787,1.0,3616.298,1.0,3813.13,1.0,4143.653,1.0,4656.94,1.0,5249.9,1.0,5128.2,1.0,5896.5,1.0,7864.7,1.0,8308.9,1.0
