CSX US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,609,465,530,499,535,660,682,1129,533,974,684,618,264,368,859,602,900,714,745,1090,1346,1306,1371,1079,961,1438,1020,419,1111,1954,3131,2316,2087,1436
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,609,465,530,499,535,660,682,690,533,974,684,618,264,368,522,309,461,368,669,1029,1292,783,784,592,669,628,603,401,858,958,3129,2239,1958,1353
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,0,0,0,0,439,0,0,0,0,0,0,337,293,439,346,76,61,54,523,587,487,292,810,417,18,253,996,2,77,129,83
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,728,728,605,668,706,832,894,987,898,1135,850,878,799,1163,1159,1202,1174,1174,1107,995,993,1000,962,1052,1129,982,938,970,1010,986,912,1148,1313,1393
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,987,898,1135,850,878,799,1163,1159,1202,1174,1174,1107,995,993,1000,962,1052,1129,982,938,970,1010,986,912,1148,1313,1393
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,257,206,189,199,211,220,229,227,225,220,245,206,180,170,165,199,204,240,217,203,218,240,274,252,273,350,407,372,263,261,302,339,341,446
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,,227,225,220,,,,170,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,,,0,,,,,0,,,0,0,,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,,,0,,,,,0,,,0,0,,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,,0,,,,,0,,,204,0,,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,131,136,97,205,213,223,267,271,328,234,267,372,546,202,820,369,394,363,322,282,298,260,194,219,209,70,122,154,181,77,96,70,108,109
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,124,106,78,75,64,68,70,122,154,181,77,96,70,108,109
Total Current Assets,BS_CUR_ASSET_REPORT,1725,1535,1421,1571,1665,1935,2072,2175,1984,2563,2046,2074,1789,1903,3003,2372,2672,2491,2391,2570,2855,2806,2801,2602,2572,2840,2487,1915,2565,3278,4441,3873,3849,3384
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,9991,10177,10636,10788,11044,11297,11906,12406,12645,12257,12642,12972,13286,13730,19945,20163,20923,21780,22688,23064,23799,24974,26050,27291,28584,30174,31150,31764,31998,32700,32916,33516,34747,35433
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,14927,15176,15702,15853,16315,16673,17420,18270,18678,17526,17839,18151,18560,19267,25852,26538,27715,28999,30208,30907,32065,33704,35279,37184,39343,41574,43227,44324,44805,45632,46002,47006,48610,50818
    - Accumulated Depreciation,BS_ACCUM_DEPR,4936,4999,5066,5065,5271,5376,5514,5864,6033,5269,5197,5179,5274,5537,5907,6375,6792,7219,7520,7843,8266,8730,9229,9893,10759,11400,12077,12560,12807,12932,13086,13490,13863,15385
  + LT Investments & Receivables,BS_LT_INVEST,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,1088,1086,992,1061,1015,1050,2987,5376,5798,5900,5803,5755,5876,6127,1657,1697,1534,1263,1209,1253,1487,1564,1720,1889,1897,1731,1777,2060,2166,2279,2436,3142,3316,3591
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,0,0,0,0,0,0,64,64,73,64,64,0,0,0,0,64,63,63,63,63,0,0,63,451,502,506
    + Goodwill,BS_GOODWILL,,,,,,,,,,0,0,0,0,0,64,64,73,64,64,0,0,0,0,64,63,63,63,63,0,0,63,276,319,325
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,183,181
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,4638,5246,5073,5030,5037,5034,5193,855,907,943,1004,1015,1088,1134,1171,1206,1298,1356,1394,1459,1686,1779,1879,1985,2099,2292,2397
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,1088,1086,992,1061,1015,1050,2987,738,552,827,773,718,842,934,738,726,518,195,130,165,353,393,514,483,469,265,246,254,374,375,359,337,358,411
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,11079,11263,11628,11849,12059,12347,14893,17782,18443,18157,18445,18727,19162,19857,21602,21860,22457,23043,23897,24317,25286,26538,27770,29180,30481,31905,32927,33824,34164,34979,35352,36658,38063,39024
Total Assets,BS_TOT_ASSET,12804,12798,13049,13420,13724,14282,16965,19957,20427,20720,20491,20801,20951,21760,24605,24232,25129,25534,26288,26887,28141,29344,30571,31782,33053,34745,35414,35739,36729,38257,39793,40531,41912,42408
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,416,-272,20,359,652,618,855,799,537,2,565,293,424,246,339,1145,1310,1336,1365,1143,1563,1854,1859,1864,1927,1968,1714,5471,3309,3331,2765,3781,4166,3715
Cash from Operating Activities,CF_CASH_FROM_OPER,889,866,939,962,1326,1567,1440,1558,1000,1071,710,827,1127,804,1446,1110,2058,2184,2914,2039,3261,3491,2946,3267,3343,3370,3041,3472,4641,4850,4263,5099,5619,5549
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-708,-786,-1041,-709,-705,-1059,-1139,-1074,-1479,-1517,-913,-930,-1080,-1059,-1030,-1136,-1639,-1773,-1740,-1381,-1732,-2057,-2155,-2260,-2387,-2415,-2203,-1943,-1426,-1403,-1570,-1262,-1887,-2229
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,478,78,0,59,170,97,84,51,0,0,0,0,0,0,0,0,0,0,0,45,108,240,186,53,62,147,195,97,319,254,56,529,246,52
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-1186,-864,-1041,-768,-875,-1156,-1223,-1125,-1479,-1517,-913,-930,-1080,-1059,-1030,-1136,-1639,-1773,-1740,-1426,-1840,-2297,-2341,-2313,-2449,-2562,-2398,-2040,-1745,-1657,-1626,-1791,-2133,-2281
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,,,,-115,0,0,-1965,-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,,,,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,,,,-115,0,0,-1965,-60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-541,-227,-31
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,-541,-227,-31
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,-139,197,56,-46,-156,5,117,-2259,609,935,576,-35,305,252,-210,1100,29,80,291,9,-39,-530,-122,33,204,-477,405,448,-258,-699,921,-74,-17,-27
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-847,-589,-985,-870,-861,-1054,-2987,-3348,-870,-582,-337,-965,-775,-807,-1240,-36,-1610,-1693,-1449,-1372,-1771,-2587,-2277,-2227,-2183,-2892,-1798,-1495,-1684,-2102,-649,-1877,-2131,-2287
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-147,-144,-157,-164,-184,-194,-223,-235,-262,-262,-262,-171,-86,-86,-86,-93,-145,-231,-308,-345,-372,-480,-558,-600,-629,-686,-680,-708,-751,-763,-797,-839,-852,-882
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,191,-180,250,-18,-318,-275,1819,1923,82,345,-388,172,-271,278,66,-1277,-68,1590,709,177,687,595,592,-280,67,971,781,517,2981,1482,255,-426,1814,447
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-150,0,0,0,0,0,0,0,-103,0,-42,0,0,0,0,0,-146,-2021,-1487,34,-1410,-1535,-720,-344,-517,-804,-1056,-1970,-4671,-3373,-867,-2886,-4731,-3482
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,153,83,34,42,29,14,9,0,0,0,0,0,0,0,0,0,0
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-150,0,0,0,0,0,0,0,-103,0,-42,0,0,0,0,0,-465,-2174,-1570,0,-1452,-1564,-734,-353,-517,-804,-1056,-1970,-4671,-3373,-867,-2886,-4731,-3482
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,10,41,37,14,4,11,-1,-15,7,-51,-47,14,-5,-20,40,83,63,78,-78,-173,-132,7,18,-8,-4,0,-313,-18,-59,6,-34,39,0,50
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-96,-283,130,-168,-498,-458,1595,1673,-276,32,-739,15,-362,172,20,-1287,-296,-584,-1164,-307,-1227,-1413,-668,-1232,-1083,-519,-1268,-2179,-2500,-2648,-1443,-4112,-3769,-3867
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,-54,-6,84,-76,-33,55,48,-117,-146,521,-366,-123,-10,169,226,-213,152,-93,301,360,263,-509,1,-192,77,-41,-25,-202,457,100,2171,-890,-281,-605
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,381,141,154,58,14,250,44,134,35,798,531,235,276,201,421,359,506,824,741,768,580,911,814,691,664,931,1167,630
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,541,227,31
Free Cash Flow,CF_FREE_CASH_FLOW,-297,2,-102,194,451,411,217,433,-479,-446,-203,-103,47,-255,416,-26,419,411,1174,613,1421,1194,605,954,894,808,643,1432,2896,3193,2637,3308,3486,3268
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,-77.3986,,,365.7991,633.1193,582.3142,381.472,742.5098,-120.7921,-285.6923,161.6137,235.7813,334.4343,38.6718,701.4474,267.9768,697.9354,675.618,1504.3129,973.4948,1762.9446,1542.098,959.9912,1312.5106,1239.0115,1149.1702,1005.0598,,3387.2758,3761.8014,3211.8029,3859.3799,4056.959,3882.4827
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,,,,235,303,233,2120,2407,-397,,,,-224,23,482,-1303,351,,,835,2216,2029,1383,727,1023,1926,1619,2046,6196,4929,2948,3411,5546,3767
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,-0.084,0.0006,-0.0275,0.0519,0.1197,0.1086,0.0564,0.1146,-0.1262,-0.1176,-0.0535,-0.027,0.0123,-0.0662,0.1076,-0.0067,0.1058,0.1061,0.3255,0.1737,0.4144,0.3675,0.1943,0.3121,0.2977,0.274,0.2263,0.524,1.1264,1.3365,0.3822,1.4702,1.632,1.6275
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,,2907.9004,3504.5538,43.8559,16.1561,23.342,41.5944,26.1865,20.0642,,,,128.1353,162.2172,20.6948,26.3796,36.1625,46.042,11.0835,31.0183,17.3233,19.1022,33.8508,30.7302,40.5663,31.5704,52.9171,34.9959,18.3858,18.0466,79.1524,25.5744,18.9826,21.3027
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,2.137,,46.95,2.6797,2.0337,2.5356,1.6842,1.9499,1.8622,535.5,1.2566,2.8225,2.658,3.2683,4.2655,0.9694,1.571,1.6347,2.1348,1.7839,2.0864,1.883,1.5847,1.7527,1.7348,1.7124,1.7742,0.6346,1.4025,1.456,1.5418,1.3486,1.3488,1.4937
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,8205,8636,8734,8940,9608,10504,10536,10621,9868,10375,8191,8110,8152,7566,8040,8618,9566,10030,11255,9041,10636,11795,11756,12026,12669,11811,11069,11408,12250,11937,10583,12522,14853,14657
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,9041,10636,11795,11756,12026,12669,11811,10701,10974,11668,10809,9810,11120,12430,12823
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219,96,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,7390,7782,7769,8027,8376,9075,9014,9038,8738,9802,7386,7153,7025,7046,7040,7068,7428,7774,8487,6771,7565,8325,8299,8553,9056,8227,7680,7907,7477,6972,6221,6928,8830,9096
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,5868,6618,7349,7240,7449,7905,7019,6379,6592,6146,5623,4838,5508,7330,7485
Operating Income (Loss),IS_OPER_INC,815,854,965,913,1232,1429,1522,1583,1130,573,805,957,1127,520,1000,1550,2138,2256,2768,2270,3071,3470,3457,3473,3613,3584,3389,3720,4869,4965,4362,5594,6023,5561
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,524,525,530,493,551,569,446,648,578,565,649,735,643,609,670
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,398,454,474,490,471,418,397,414,385,351,376,482,547,551,547,561,554,540,538,569,533,607,689,754,722,742,809
    + Interest Expense,IS_INT_EXPENSE,319,306,276,298,281,270,249,451,506,521,543,518,445,418,435,423,392,417,519,558,557,552,566,562,545,544,579,546,639,737,754,722,742,809
    - Interest Income,IS_INT_INC,,,,,,,,53,52,47,53,47,27,21,21,38,41,41,37,11,6,5,5,8,5,6,10,13,32,48,0,0,0,0
    + Other Investment (Inc) Loss,IS_OTHER_INVESTMENT_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + (Income) Loss from Affiliates,INCOME_LOSS_FROM_AFFILIATES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Other Non-Op (Income) Loss,IS_OTHER_NON_OPERATING_INC_LOSS,,,,,,,,,,,,,,,,,,,,-23,-26,-17,-68,-3,29,-92,79,45,-42,-40,-19,-79,-133,-139
"Pretax Income (Loss), Adjusted",PRETAX_INC,552,-88,8,647,1006,974,1358,1224,808,104,277,448,723,195,637,1036,1841,1932,2349,1746,2546,2940,2964,2922,3044,3138,2741,3142,4304,4316,3627,4951,5414,4891
