NSC US Equity,"""=BDH($A$1, $B7, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,"""=""=BDH($A$1, B"" & ROW() & "", """"19900101"""","""""""",""""sort=a"""",""""dates=h"""",""""dir=h"""",""""per=cy"""")""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31 00:00:00,1992-12-31 00:00:00,1993-12-31 00:00:00,1994-12-30 00:00:00,1995-12-29 00:00:00,1996-12-31 00:00:00,1997-12-31 00:00:00,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,624.8,464.7,378.1,258.2,306.7,329,401,159,63,51,2,204,184,284,669,1257,918,206,618,1086,1110,301,668,1561,973,1101,956,690,358,580,1115,839,456,1568
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,389.7,158.2,111.8,80.5,57,67.7,207,34,5,37,0,204,184,284,579,289,527,206,618,996,827,276,653,1443,973,1101,956,690,358,580,1115,839,456,1568
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,235.1,306.5,266.3,177.7,249.7,261.3,194,125,58,14,2,0,0,0,90,968,391,0,0,90,283,25,15,118,0,0,0,0,0,0,0,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,852.7,724.9,748.6,729.9,726.6,703.5,558,552,519,857,411,475,683,695,767,931,992,942,870,766,807,1022,1109,1024,1055,946,945,955,1009,920,848,976,1148,1147
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,552,519,857,411,475,683,695,767,931,992,942,870,766,807,1022,1109,1024,1055,946,945,955,1009,920,848,976,1148,1147
"    + Notes Receivable, Net",NOTES_RECEIVABLE,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Unbilled Revenues,BS_UNBILLED_REVENUES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Inventories,BS_INVENTORIES,80.8,70.3,80.8,70.3,61.9,61.7,61,58,59,100,91,90,97,92,104,132,151,176,194,164,169,209,216,223,236,271,257,222,207,244,221,218,253,264
    + Raw Materials,INVTRY_RAW_MATERIALS,,,,,,,61,58,59,100,91,90,97,92,,,,,,,,,,,,,,,,,,,,
    + Work In Process,INVTRY_IN_PROGRESS,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
    + Finished Goods,INVTRY_FINISHED_GOODS,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
    + Other Inventory,BS_OTHER_INV,,,,,,,,58,0,0,0,0,0,0,104,132,,176,194,,,,,,,,,,,,,,,
  + Other ST Assets,OTHER_CURRENT_ASSETS_DETAILED,188.5,209.4,189.7,505.1,242.3,248.6,336,334,272,363,345,278,335,354,427,330,339,351,317,230,385,219,249,267,514,194,133,282,288,337,134,134,150,292
    + Prepaid Expenses,BS_PREPAY,,,,,,,,,,,,,,,,,,,,,,,,,248,51,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_ST,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Taxes Receivable,BS_TAXES_RECEIVABLE_SHORT_TERM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Misc ST Assets,BS_OTHER_CUR_ASSET_LESS_PREPAY,,,,,,,,,,,,,,,,,,,,88,240,76,82,87,99,143,133,282,288,337,134,134,150,292
Total Current Assets,BS_CUR_ASSET_REPORT,1746.8,1469.3,1397.2,1563.5,1337.5,1342.8,1356,1103,913,1371,849,1047,1299,1425,1967,2650,2400,1675,1999,2246,2471,1751,2242,3075,2778,2512,2291,2149,1862,2081,2318,2167,2007,3271
"  + Property, Plant & Equip, Net",BS_NET_FIX_ASSET,8128,8372.2002,8648,8730.7002,8987.0996,9258.7998,9472,9904,10477,10956,11105,11208,11370,11779,20526,20705,21098,21583,22247,22643,23231,24469,25736,26645,27694,28992,29751,30330,31091,32153,31778,32064,32563,33716
"    + Property, Plant & Equip",BS_GROSS_FIX_ASSET,12001.0996,12334.5996,12669.2002,12825.5996,13210.2998,13585.0996,13746,14339,15063,15885,16319,16643,17087,17591,26765,27526,28363,29389,30520,31436,32493,33933,35658,37032,38508,40470,41488,42239,43465,44135,43763,44095,45155,46981
    - Accumulated Depreciation,BS_ACCUM_DEPR,3873.1001,3962.3999,4021.2,4094.8999,4223.2002,4326.2998,4274,4435,4586,4929,5214,5435,5717,5812,6239,6821,7265,7806,8273,8793,9262,9464,9922,10387,10814,11478,11737,11909,12374,11982,11985,12031,12592,13265
  + LT Investments & Receivables,BS_LT_INVEST,379.8,217.8,282.9,160.3,172.8,231.7,6,0,0,0,0,0,0,0,0,415,1755,1974,1779,411,394,381,403,437,632,470,601,556,577,782,928,910,771,791
    + LT Investments,BS_LONG_TERM_INVESTMENTS,,,,,,,,,,,,,,,,,,,,411,394,381,403,437,632,470,601,556,577,782,928,910,771,791
    + LT Receivables,BS_LT_RECEIVABLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other LT Assets,BS_OTHER_ASSETS_DEF_CHRG_OTHER,268.4,88.8,72.4,65.3,90.4,71.5,400,6343,6790,6923,7022,7163,7287,7392,2257,2091,775,912,272,2069,2103,1937,1961,2326,2096,2165,2249,2676,2709,2907,2938,3352,3544,3874
    + Total Intangible Assets,BS_DISCLOSED_INTANGIBLES,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Goodwill,BS_GOODWILL,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Intangible Assets,OTHER_INTANGIBLE_ASSETS_DETAILED,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Prepaid Expense,BS_PREPAID_EXPENSE_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Deferred Tax Assets,BS_DEFERRED_TAX_ASSETS_LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Derivative & Hedging Assets,BS_DERIV_HEDGING_ASST_LT,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Investments in Affiliates,BS_INVEST_IN_ASSOC_CO,,,,,,,,5888,6210,6132,6154,6161,6178,6259,805,,,,,1753,1799,1853,1897,2002,2047,2102,2176,2425,2532,2646,2662,2797,2923,3048
    + Misc LT Assets,OTHER_NONCURRENT_ASSETS_DETAILED,268.4,88.8,72.4,65.3,90.4,71.5,400,455,580,791,868,1002,1109,1133,1452,2091,775,912,272,289,164,83,63,68,37,61,71,106,147,261,276,555,621,826
Total Noncurrent Assets,BS_TOT_NON_CUR_ASSET,8776.2,8678.8002,9003.3,8956.3002,9250.2996,9561.9998,9878,16247,17267,17879,18127,18371,18657,19171,22783,23211,23628,24469,24298,25123,25728,26787,28100,29408,30422,31627,32601,33562,34377,35842,35644,36326,36878,38381
Total Assets,BS_TOT_ASSET,10523,10148.0996,10400.5,10519.7998,10587.7998,10904.7998,11234,17350,18180,19250,18976,19418,19956,20596,24750,25861,26028,26144,26297,27369,28199,28538,30342,32483,33200,34139,34892,35711,36239,37923,37962,38493,38885,41652
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Operating Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Net Income,CF_NET_INC,556.1,29.7,557.7,772,667.8,712.7,770,721,734,239,172,375,460,535,923,1281,1481,1464,1716,1034,1496,1916,1749,1910,2000,1556,1668,5404,2666,2722,2013,3005,3270,1827
Cash from Operating Activities,CF_CASH_FROM_OPER,994.7,762.4,958.2,874.6,1144.3,1237.4,1198,1150,890,533,1342,654,803,1054,1661,2105,2206,2390,2715,1860,2714,3227,3065,3078,2915,2908,3034,3253,3726,3892,3637,4255,4222,3179
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Investing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Change in Fixed & Intang,FIXED_INTANG_ASST_CHANGE,-555.7,-592.2,-649.1,-544.8,-626.8,-529.3906,-550,-801,-873,-808,-594,-590,-658,-642,-966,-915,-1059,-1217,-1449,-1215,-1373,-2076,-2049,-1827,-2004,-2322,-1757,-1521,-1747,-1642,-1161,-1311,-1685,-2263
    + Disp in Fixed & Intang,DISPOSAL_OF_FIXED_INTANG,114,67.2,67,124.4,86.1,129.5,130,74,83,104,137,156,31,78,75,110,119,124,109,84,97,84,192,144,114,63,130,202,204,377,333,159,263,86
    + Acq of Fixed & Intang,ACQUIS_OF_FIXED_INTANG,-669.7,-659.4,-716.1,-669.2,-712.9,-658.8906,-680,-875,-956,-912,-731,-746,-689,-720,-1041,-1025,-1178,-1341,-1558,-1299,-1470,-2160,-2241,-1971,-2118,-2385,-1887,-1723,-1951,-2019,-1494,-1470,-1948,-2349
  + Net Change in LT Investment,NET_CHG_IN_LT_INVEST_DETAILED,-10.6,118.8,-66.2,-13.9,213.3,-30.2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Dec in LT Investment,CF_DECR_INVEST,91.9,212.4,4.4,81.6,272,36.9,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Inc in LT Investment,CF_INCR_INVEST,-102.5,-93.6,-70.6,-95.5,-58.7,-67.1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Net Cash From Acq & Div,CF_NT_CSH_RCVD_PD_FOR_ACQUIS_DIV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash from Divestitures,CF_CASH_FOR_DIVESTITURES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for Acq of Subs,CF_CASH_FOR_ACQUIS_SUBSIDIARIES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Cash for JVs,CF_CASH_FOR_JOINT_VENTURES_ASSOC,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  + Other Investing Activities,OTHER_INVESTING_ACT_DETAILED,129.7,-71.4,40.2,88.6,-74.4,-8.3094,26,-5709,206,217,13,-11,-15,2,-279,-912,375,192,221,-236,-83,304,55,-67,2,235,-75,40,89,-122,-14,89,82,81
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_INV,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Investing Activities,CF_CASH_FROM_INV_ACT,-436.6,-544.8,-675.1,-470.1,-487.9,-567.9,-524,-6510,-667,-591,-581,-601,-673,-640,-1245,-1827,-684,-1025,-1228,-1451,-1456,-1772,-1994,-1894,-2002,-2087,-1832,-1481,-1658,-1764,-1175,-1222,-1603,-2182
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Financing Activities,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Dividends Paid,CF_DVD_PAID,-248.2,-238.5,-255,-259.7,-262.7,-273.5,-284,-301,-303,-304,-306,-93,-101,-117,-142,-194,-278,-377,-456,-500,-514,-576,-624,-637,-687,-713,-695,-703,-844,-949,-960,-1028,-1167,-1225
  + Cash From (Repayment) Debt,PROC_FR_REPAYMNTS_BOR_DETAILED,428.9,411.8,87.5,-53.7,-82.2,-66.2,116,5536,17,380,-494,230,-91,-167,-253,-456,-339,-239,280,403,-139,501,1129,739,-445,1083,94,-412,1273,1004,403,1092,1279,1959
  + Cash (Repurchase) of Equity,PROC_FR_REPURCH_EQTY_DETAILED,-565.3,-622.4,-162,-122.4,-335,-319.1,-360,24,34,14,2,14,42,13,162,194,-667,-1013,-899,66,-774,-1931,-1199,-496,-251,-1063,-746,-923,-2741,-2072,-1370,-3373,-3110,-619
    + Increase in Capital Stock,CF_INCR_CAP_STOCK,11,12.9,15.2,15.7,9.8,19.1,29,24,34,14,2,14,42,13,162,194,297,183,229,66,89,120,89,131,67,12,57,89,40,27,69,17,0,3
    + Decrease in Capital Stock,CF_DECR_CAP_STOCK,-576.3,-635.3,-177.2,-138.1,-344.8,-338.2,-389,0,0,0,0,0,0,0,0,0,-964,-1196,-1128,0,-863,-2051,-1288,-627,-318,-1075,-803,-1012,-2781,-2099,-1439,-3390,-3110,-622
  + Other Financing Activities,OTHER_FIN_AND_DEC_CAP,0,0,0,0,0,0,-5,-72,0,0,0,0,0,-43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,-4,0
  + Net Cash From Disc Ops,CF_NET_CASH_DISCONTINUED_OPS_FIN,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cash from Financing Activities,CFF_ACTIVITIES_DETAILED,-384.6,-449.1,-329.5,-435.8,-679.9,-658.8,-533,5187,-252,90,-798,151,-150,-314,-233,-456,-1284,-1629,-1075,-31,-1427,-2006,-694,-394,-1383,-693,-1347,-2038,-2312,-1994,-1927,-3309,-3002,115
,,#N/A Requesting Data...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  Effect of Foreign Exchange Rates,CF_EFFECT_FOREIGN_EXCHANGES,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Changes in Cash,CF_NET_CHNG_CASH,173.5,-231.5,-46.4,-31.3,-23.5,10.7,141,-173,-29,32,-37,204,-20,100,183,-178,238,-264,412,378,-169,-551,377,790,-470,128,-145,-266,-244,134,535,-276,-383,1112
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Paid for Taxes,CF_CASH_PAID_FOR_TAX,,,,,,,324,209,76,16,5,74,54,93,146,271,692,603,615,381,602,289,618,735,1102,386,593,705,519,543,311,654,750,681
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Items,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net Cash Paid for Acquisitions,CF_NET_CASH_PAID_FOR_AQUIS,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,,,,
Free Cash Flow,CF_FREE_CASH_FLOW,325,103,242.1,205.4,431.4,578.5094,518,275,-66,-379,611,-92,114,334,620,1080,1028,1049,1157,561,1244,1067,824,1107,797,523,1147,1530,1775,1873,2143,2785,2274,830
Free Cash Flow to Firm,CF_FREE_CASH_FLOW_FIRM,374.5497,123.6204,311.5497,265.6068,496.0792,651.0134,592.9125,544.6543,318.7101,,990.088,270,451.5071,682.5785,966.6567,1452.9016,1344.1238,1337.6115,1434.056,858.7053,1535.9949,1365.7594,1137.9068,1445.1956,1144.7983,870.2645,1510.7041,,2203.0663,2343.9504,2640.2826,3285.575,2821.9031,1398.575
Free Cash Flow to Equity,FREE_CASH_FLOW_EQUITY,867.9,582,396.6,276.1,435.3,641.8094,764,5885,34,105,254,294,54,245,442,734,808,934,1546,1048,1202,1652,2145,1990,466,1669,1371,1320,3252,3254,2879,4036,3816,2875
Free Cash Flow per Basic Share,FREE_CASH_FLOW_PER_SH,0.6683,0.2324,0.5705,0.4911,1.055,1.4719,1.3668,0.7294,-0.1741,-0.9948,1.5953,-0.239,0.2938,0.8568,1.5728,2.6719,2.532,2.6925,3.1077,1.5282,3.3943,3.0883,2.5678,3.5492,2.576,1.7324,3.9027,5.3143,6.3918,7.1136,8.4006,11.2799,9.6848,3.6525
Price to Free Cash Flow,PX_TO_FREE_CASH_FLOW,20.823,85.1766,35.7884,47.8515,19.1545,17.9755,21.462,41.8127,42.4982,,8.3448,11.7031,68.0361,27.6011,23.0098,16.778,19.8616,18.7335,15.1398,34.3019,18.5077,23.5924,24.0831,26.1551,42.5512,48.8293,27.6912,27.2658,23.3956,27.2901,28.2848,26.393,25.4439,64.7165
Cash Flow to Net Income,CASH_FLOW_TO_NET_INC,1.7887,25.67,1.7181,1.1329,1.7135,1.7362,1.5558,1.595,1.2125,2.2301,7.8023,1.744,1.7457,1.9701,1.7996,1.6432,1.4895,1.6325,1.5822,1.7988,1.8142,1.6842,1.7524,1.6115,1.4575,1.8689,1.8189,0.602,1.3976,1.4298,1.8068,1.416,1.2911,1.74
,,#N/A Mandatory parameter [FIELDS] cannot be empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue,SALES_REV_TURN,4617,4451.2998,4606.6001,4460.1001,4581.2998,4668,4101,4223,4221,5242,6159,6170,6270,6468,7312,8527,9407,9432,10661,7969,9516,11172,11040,11245,11624,10511,9888,10551,11458,11296,9789,11142,12745,12156
    + Sales & Services Revenue,IS_SALES_AND_SERVICES_REVENUES,,,,,,,,,,,,,,,,,,,,7969,9516,11172,11040,11245,11624,10511,9888,10551,11458,11296,9789,11142,12745,12156
  - Cost of Revenue,IS_COGS_TO_FE_AND_PP_AND_G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Cost of Goods & Services,IS_COG_AND_SERVICES_SOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,GROSS_PROFIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
  + Other Operating Income,IS_OTHER_OPER_INC,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  - Operating Expenses,IS_OPERATING_EXPN,3808.8999,3659.3,3720.1001,3599.7,3515.8999,3581.7,2936,3010,3348,4524,5526,5163,5112,5404,5610,6410,6850,6847,7577,6007,6840,7959,7916,7988,8049,7627,6814,7029,7499,7307,6787,6695,7936,9305
"    + Selling, General & Admin",IS_SGA_EXPENSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Selling & Marketing,IS_SELLING_EXPENSES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + General & Administrative,IS_GENERAL_AND_ADMINISTRATIVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    + Research & Development,IS_OPERATING_EXPENSES_RD,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
    + Other Operating Expense,IS_OTHER_OPERATING_EXPENSES,,,,,,,,,,,,,,,,,,,,5170,6021,7097,7000,7072,7098,6573,5788,5974,6397,6169,5633,5514,6715,8007
Operating Income (Loss),IS_OPER_INC,808.1,792,886.5,860.4,1065.4,1086.3,1165,1213,1052,718,633,1007,1158,1064,1702,2117,2557,2585,3084,1962,2676,3213,3124,3257,3575,2884,3074,3522,3959,3989,3002,4447,4809,2851
  - Non-Operating (Income) Loss,IS_NONOP_INCOME_LOSS,,,,,,,,,,,,,,,,,,,,340,309,295,366,292,441,442,492,394,490,498,472,569,679,531
"    + Interest Expense, Net",IS_NET_INTEREST_EXPENSE,,,,,,,,,,,,538,506,487,476,453,400,396,424,454,450,446,487,517,536,537,,550,557,604,625,646,692,722
    + Interest Expense,IS_INT_EXPENSE,78,99.7,109,98.6,101.6,113.4,116,385,516,1062,551,553,518,497,489,494,476,441,444,467,462,455,495,525,545,545,563,550,557,604,625,646,692,722
