Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Union Pacific Corp (UNP US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2004,,Q2 2004,,Q3 2004,,Q4 2004,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,
date,,03/31/2004,,06/30/2004,,09/30/2004,,12/31/2004,,03/31/2005,,06/30/2005,,09/30/2005,,12/31/2005,,03/31/2006,,06/30/2006,,09/30/2006,,12/31/2006,,03/31/2007,,06/30/2007,,09/30/2007,,12/31/2007,,03/31/2008,,06/30/2008,,09/30/2008,,12/31/2008,,03/31/2009,,06/30/2009,,09/30/2009,,12/31/2009,,03/31/2010,,06/30/2010,,09/30/2010,,12/31/2010,,03/31/2011,,06/30/2011,,09/30/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/30/2012,,12/31/2012,,03/31/2013,,06/30/2013,,09/30/2013,,12/31/2013,
Revenue,,2893,1.0,3029,1.0,3076,1.0,3217,1.0,3152,1.0,3344,1.0,3461,1.0,3621,1.0,3710,1.0,3923,1.0,3983,1.0,3962,1.0,3849,1.0,4046,1.0,4197,1.0,4197,1.0,4270,1.0,4568,1.0,4846,1.0,4286,1.0,3415,1.0,3303,1.0,3671,1.0,3754,1.0,3965,1.0,4182,1.0,4408,1.0,4410,1.0,4490,1.0,4858,1.0,5101,1.0,5108,1.0,5112,1.0,5221,1.0,5343,1.0,5250,1.0,5290,1.0,5470,1.0,5573,1.0,5630,1.0
  Freight,,2777,0.959903214656066,2901,0.957741828986464,2944,0.957087126137841,3069.668,0.95420205160087,3004,0.953045685279188,3196,0.955741626794258,3302,0.954059520369835,3454.939,0.954139464236399,3543,0.954986522911051,3742,0.953861840428244,3802,0.954556866683404,3775,0.952801615345785,3655,0.94959729799948,3853,0.952298566485418,3996,0.952108649035025,3988,0.950202525613533,4059,0.950585480093677,4349,0.952057793345009,4630,0.955427156417664,4080,0.951936537564162,3240,0.948755490483163,3121,0.944898577051166,3471,0.945518932171071,3541,0.94326052210975,3755,0.94703656998739,3956,0.945958871353419,4187,0.94986388384755,4171,0.945804988662131,4248,0.946102449888641,4595,0.945862494853849,4836,0.948049402078024,4829,0.945379796397807,4823,0.943466353677621,4913,0.941007469833365,5019,0.93935991016283,4931,0.939238095238095,4984,0.942155009451796,5153,0.942047531992687,5250,0.942041988157186,5297,0.940852575488455
    Intermodal,,510,0.17628759073626,544,0.179597226807527,579,0.188231469440832,607.134,0.1887267640659,524,0.166243654822335,597,0.178528708133971,651,0.188095926032938,693.971,0.19165175365921,644,0.173584905660377,695,0.177160336477186,745,0.187044940999247,725,0.182988389702171,674,0.175110418290465,721,0.178200692041523,769,0.183226113890874,755,0.179890397903264,707,0.165573770491803,769,0.168345008756567,842,0.17375154766818,705,0.164489034064396,551,0.161346998535871,595,0.180139267332728,656,0.178697902478889,684,0.182205647309537,691,0.174274905422446,804,0.192252510760402,880,0.199637023593466,852,0.193197278911565,793,0.176614699331849,909,0.187114038699053,948,0.185845912566163,959,0.187744714173845,909,0.177816901408451,1003,0.192108791419268,1022,0.191278308066629,1021,0.19447619047619,988,0.186767485822306,993,0.181535648994516,1027,0.184281356540463,1022,0.181527531083481
    Coal,,586,0.202557898375389,597,0.197094750742819,629,0.204486345903771,592.839,0.184283183089835,668,0.211928934010152,629,0.188098086124402,651,0.188095926032938,629.418,0.173824357912179,699,0.188409703504043,733,0.186846800917665,763,0.191564147627416,758,0.191317516405856,731,0.189919459599896,761,0.188086999505685,827,0.197045508696688,818,0.19490111984751,857,0.200702576112412,919,0.201182136602452,1051,0.216879900949236,983,0.229351376574895,807,0.236310395314788,715,0.216469875870421,831,0.226368836829202,765,0.20378263185935,844,0.212862547288777,836,0.199904351984696,922,0.209165154264973,887,0.201133786848073,952,0.212026726057906,950,0.195553725813092,1112,0.217996471280141,1070,0.209475332811276,995,0.194640062597809,869,0.166443210113005,1058,0.198016095826315,990,0.188571428571429,936,0.176937618147448,975,0.178244972577697,1082,0.194150367844967,985,0.174955595026643
    Industrial Products,,563,0.194607673695126,606,0.200066028392209,622,0.20221066319896,627.22,0.194970469381411,630,0.199873096446701,719,0.215011961722488,724,0.209188095926033,746.282,0.206098315382491,775,0.208894878706199,822,0.209533520265103,829,0.208134571930706,743,0.187531549722362,741,0.192517537022603,805,0.198961937716263,795,0.189421015010722,753,0.179413867047891,773,0.181030444964871,877,0.191987740805604,906,0.18695831613702,717,0.167288847410173,546,0.159882869692533,531,0.160762942779292,557,0.151729773903569,513,0.136654235482152,598,0.150819672131148,692,0.165471066475371,697,0.158121597096189,652,0.147845804988662,690,0.153674832962138,803,0.165294359818855,863,0.1691825132327,810,0.158574784651527,863,0.168818466353678,917,0.175636851177935,879,0.164514317798989,835,0.159047619047619,916,0.173156899810964,977,0.178610603290676,975,0.174950654943478,954,0.169449378330373
    Agricultural Products,,411,0.142067058416868,399,0.131726642456256,394,0.128088426527958,471.259,0.146490208268573,448,0.142131979695431,463,0.138456937799043,502,0.145044784744294,558.358,0.154199944766639,563,0.151752021563342,565,0.144022431812388,597,0.149887019834296,670,0.169106511862696,611,0.15874253052741,605,0.149530400395452,667,0.158923040266857,719,0.171312842506552,756,0.177049180327869,778,0.17031523642732,848,0.174989682212134,792,0.184787680821279,661,0.193557833089312,618,0.187102633969119,649,0.176791065104876,738,0.196590303676079,730,0.184110970996217,698,0.166905786704926,750,0.170145190562613,840,0.19047619047619,807,0.179732739420935,849,0.174763277068753,814,0.159576553616938,854,0.167188723570869,858,0.167840375586854,854,0.163570197280215,783,0.146546883773161,785,0.14952380952381,784,0.14820415879017,784,0.143327239488117,771,0.138345594832227,937,0.166429840142096
