EQIX US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31,1999-12-31,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,,,207.21,87.721,41.216,72.971,90.437,171.372,131.394,353.934,262.319,594.564,590.033,914.544,418.705,631.702,1140.312,2241.713,751.885,1440.788,610.706,1879.939,1609.401,1536.358,1906.421,2095.712
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,,,174.773,58.831,41.216,60.428,25.938,119.267,82.563,290.633,220.207,346.056,442.841,278.823,252.213,261.894,610.917,2228.838,748.476,1412.517,606.166,1869.577,1604.869,1536.358,1906.421,2095.712
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,,,32.437,28.89,0,12.543,64.499,52.105,48.831,63.301,42.112,248.508,147.192,635.721,166.492,369.808,529.395,12.875,3.409,28.271,4.54,10.362,4.532,0,0,0
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,,,4.925,6.909,9.152,10.178,11.919,17.237,26.864,60.089,66.029,64.767,116.358,139.057,163.84,184.84,262.57,291.964,396.245,576.313,630.119,689.134,676.738,681.809,855.38,1003.792
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,4.925,6.909,9.152,10.178,11.919,17.237,26.864,60.089,66.029,64.767,116.358,139.057,163.84,184.84,262.57,291.964,396.245,576.313,630.119,689.134,676.738,681.809,855.38,1003.792
