Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
Equinix Inc (EQIX US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q3 2014,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,
date,,09/30/2014,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,
Revenue,,620.441,1.0,638.121,1.0,643.174,1.0,665.582,1.0,686.649,1.0,730.462,1.0,844.156,1.0,900.51,1.0,924.676,1.0,942.647,1.0,949.525,1.0,1066.421,1.0,1152.261,1.0,1200.221,1.0,1215.877,1.0,1261.943,1.0,1283.751,1.0,1310.083,1.0,1363.218,1.0,1384.977,1.0,1396.81,1.0,1417.135,1.0,1444.542,1.0,1470.121,1.0,1519.767,1.0,1564.115,1.0,1596.064,1.0,1657.919,1.0,1675.176,1.0,1706.378,1.0,1734.447,1.0,1817.154,1.0,1840.659,1.0,1870.845,1.0,1998.209,1.0,2018.408,1.0,2061.03,1.0,2110.489,1.0,2127,1.0,2159,1.0
  Colocation,,462.465,0.745381107953859,480.064,0.752308731416142,481.545,0.748700973609008,496.61,0.746128951804586,511.652,0.745143443010912,533.575,0.73046236491426,618.395,0.732560095527367,661.228,0.734281684823045,678.959,0.73426692160281,688.512,0.730402791288786,691.522,0.72828203575472,782.231,0.733510499136832,842.68,0.731327364199604,861.712,0.717961108829124,881.384,0.724895692574167,913.585,0.723951081784201,930.043,0.72447304812226,945.159,0.721449709674883,980.771,0.719452794784106,1005.615,0.726087870051272,1013.101,0.725296210651413,1022.72,0.721681420612715,1034.377,0.716058792336948,1057.445,0.719291133178834,1078.565,0.709691025005807,1088.614,0.695993581034643,1130.292,0.708174609539467,1155.935,0.69722043115496,1164.198,0.694970558317454,1191.789,0.69843200041257,1219.355,0.703022346603845,1256.962,0.691720129389144,1296.093,0.704146178080785,1310.2,0.700325254096411,1408.414,0.704838182592512,1424.05,0.705531290006778,1464.181,0.710412269593359,1469.416,0.696244330105487,1490,0.700517160319699,1500,0.694766095414544
    America,,244.979,0.394846568811539,254.037,0.398101613957228,257.932,0.40102989237749,262.934,0.39504373615873,268.156,0.390528494179705,274.198,0.375376131817945,280.564,0.332360369410393,287.855,0.319657749497507,294.046,0.317998953146832,299.2,0.317404075969053,299.273,0.315181801427029,374.764,0.351422186922426,422.244,0.366448226573667,422.648,0.35214181388261,427.125,0.351289645251946,433.895,0.343830902029648,433.828,0.337937808811833,438.15,0.33444445886253,439.981,0.322751753571329,444.086,0.320645035982547,441.596,0.316146075701062,443.991,0.313301837863012,450.954,0.312177839065946,447.498,0.304395352491394,450.03,0.296117760156656,472.227,0.301913222493231,487.459,0.305413191450969,497.659,0.30017087686431,504.711,0.30128834223986,512.424,0.3002992302995,522.171,0.301059069547816,541.988,0.298262007512847,555.352,0.301713679720144,568.24,0.303734408783197,574.098,0.287306282776226,583.568,0.289122912711404,596.871,0.289598404681155,610.512,0.289275139552966,607,0.285378467324871,624,0.28902269569245
    EMEA,,130.873,0.210935447528452,134.816,0.211270276326904,132.735,0.206374946748469,139.482,0.209563960563837,143.721,0.209307812288374,146.879,0.201076852731559,214.178,0.253718507005814,240.421,0.266983153990516,244.42,0.264330424927218,242.829,0.257603323407384,253.254,0.266716516152813,259.684,0.243509833358495,268.365,0.232902962089318,282.24,0.235156691975894,288.061,0.236916234125656,293.518,0.232592121831176,305.072,0.2376411001822,315.118,0.240532851735348,331.125,0.242899521573219,347.795,0.251119693684444,357.201,0.25572626198266,359.423,0.253626507001803,362.33,0.250826905690523,381.144,0.259260292180031,391.773,0.257784910450089,369.523,0.236250531450693,388.275,0.243270319987168,398.703,0.240484004345206,400.395,0.239016676456683,410.457,0.240542834002782,414.569,0.239020852179398,433.339,0.238471257802035,445.733,0.242159465713095,450.48,0.240789589730844,515.611,0.258036571750002,517.366,0.256323795783608,538.256,0.261158741017841,540.935,0.256307898311718,549,0.258110014104372,543,0.251505326540065
    Asia Pacific,,86.613,0.139599091613868,91.211,0.142936841132011,90.878,0.141296134483048,94.194,0.141521255082018,99.775,0.145307136542833,112.498,0.154009380364755,123.653,0.14648121911116,132.952,0.147640781335021,140.493,0.15193754352876,146.483,0.155395391912349,138.995,0.146383718174877,147.783,0.138578478855912,152.071,0.131976175536619,156.824,0.13066260297062,166.198,0.136689813196565,186.172,0.147528057923377,191.143,0.148894139128227,191.891,0.146472399077005,209.665,0.153801519639559,213.734,0.154323140384281,214.304,0.153423872967691,219.306,0.1547530757479,221.093,0.153054047580479,228.803,0.155635488507409,236.762,0.155788354399062,246.864,0.157829827090719,254.558,0.159491098101329,259.573,0.156565549945444,259.092,0.154665539620911,268.908,0.157589936110287,282.615,0.162942424876632,281.635,0.154986864074261,295.008,0.160273032647546,291.48,0.155801255582371,318.705,0.159495328066283,323.116,0.160084581511766,329.054,0.159655123894364,317.969,0.150661292240803,334,0.157028678890456,333,0.154238073182029
  Interconnection,,95.648,0.154161314290964,98.707,0.154683829555837,101.658,0.158056762244742,104.661,0.157247341424498,110.568,0.161025502112433,120.55,0.165032541049363,125.587,0.148772264842043,134.059,0.148870084729764,137.501,0.148701815554854,145.898,0.154774799049909,148.06,0.155930596877386,165.684,0.155364532393867,179.544,0.155818863955302,187.885,0.156542003514353,194.999,0.160377242105904,197.613,0.156594236031263,202.117,0.157442525848081,207.236,0.158185397413752,212.784,0.156089488254997,219.031,0.158147752634159,226.77,0.162348494068628,235.004,0.165830354906202,242.141,0.167624755804954,249.431,0.169666986594981,260.942,0.171698688022572,270.744,0.173097246685825,279.719,0.175255503538705,287.774,0.173575427991355,291.109,0.173778158235314,302.9,0.177510492985728,309.23,0.178287373439488,315.177,0.173445398683876,318.25,0.172900031999409,325.619,0.17404915960435,336.807,0.168554440501469,347.038,0.17193649648634,352.758,0.171156169488071,357.707,0.169490103952212,368,0.17301363422661,374,0.173228346456693
    America,,69.512,0.112036438597707,71.992,0.1128187287364,75.086,0.116742903164618,77.102,0.115841474078325,79.902,0.116365129782465,84.796,0.116085436340289,87.609,0.10378295007084,91.722,0.101855615151414,94.865,0.102592691926686,100.459,0.106571176697109,100.85,0.106211000236961,116.248,0.109007605814214,124.377,0.107941690294126,127.793,0.106474557602308,129.253,0.106304338350014,131.72,0.104378723920177,134.159,0.104505468739654,137.031,0.10459718964371,138.563,0.101644051061532,142.46,0.102860913935755,146.212,0.104675653811184,149.474,0.105476189636132,150.929,0.104482251121809,153.387,0.104336309732328,156.677,0.103092776721695,161.334,0.103147147108748,164.887,0.103308513944303,167.618,0.101101441023355,168.511,0.100593012316318,177.661,0.104115852407849,181.103,0.104415413097085,187.491,0.103178376736369,190.283,0.103377648983326,197.337,0.105480143999102,198.639,0.0994085203299555,204.266,0.101201541016484,206.552,0.100217852238929,210.55,0.0997636092867577,215,0.101081335213916,219,0.101435849930523
    EMEA,,13.163,0.0212155547425138,13.484,0.0211307886748751,13.048,0.0202868897063625,13.44,0.0201928537730888,15.227,0.022175813261215,16.775,0.022964918092933,19.7,0.0233369187685688,22.425,0.0249025552187094,21.464,0.0232124549571958,22.28,0.0236355708976955,22.351,0.0235391379900476,23.655,0.022181671216152,27.574,0.0239303421707408,31.311,0.0260876955160758,34.977,0.0287668900719398,33.969,0.0269180145220505,34.64,0.0269834259135923,35.288,0.026935697967228,37.525,0.0275267785489922,38.614,0.0278806074035887,41.063,0.029397699042819,44.35,0.0312955364167846,48.541,0.033603038194805,50.904,0.0346257212841664,55.7,0.0366503549557268,58.345,0.037302244400188,61.65,0.0386262706257393,65.258,0.0393613922031173,65.809,0.0392848273853016,66.821,0.039159553158796,68.14,0.0392862970157059,66.845,0.0367855448685142,66.703,0.0362386514829743,66.71,0.0356576840946204,72.606,0.0363355384747041,76.317,0.0378104922295195,78.795,0.0382308845577211,79.619,0.0377253802317851,83,0.0390220968500235,84,0.0389069013432145
    Asia Pacific,,12.973,0.0209093209507431,13.231,0.0207343121445619,13.524,0.021026969373762,14.119,0.0212130135730834,15.439,0.0224845590687527,18.979,0.0259821866161416,18.278,0.0216523960026346,19.912,0.0221119143596406,21.172,0.0228966686709723,23.159,0.0245680514551046,24.859,0.0261804586503778,25.781,0.0241752553635009,27.593,0.0239468314904349,28.781,0.0239797503959687,30.769,0.0253060136839499,31.924,0.0252974975890353,33.318,0.0259536311948345,34.917,0.026652509802814,36.696,0.0269186586444721,37.957,0.0274062312948157,39.495,0.0282751412146247,41.18,0.029058628853285,42.671,0.0295394664883403,45.14,0.0307049555784864,48.565,0.0319555563451503,51.065,0.0326478551768892,53.182,0.0333207189686629,54.898,0.033112594764883,56.789,0.0339003185336944,58.418,0.034235087419083,59.987,0.0345856633266972,60.841,0.0334814770789928,61.264,0.0332837315331085,61.572,0.0329113315106276,65.562,0.0328103816968095,66.455,0.0329244632403359,67.411,0.0327074326914213,67.538,0.0320011144336692,70,0.0329102021626704,71,0.0328855951829551
  Non-Recurrning,,32.005,0.0515842763453737,32.629,0.0511329356031223,33.517,0.0521118701937578,38.891,0.0584315681613986,39.928,0.0581490688838111,44.39,0.0607697594125362,47.536,0.05631186652704,49.204,0.0546401483603736,47.67,0.0515531926858705,50.205,0.0532595977073072,51.085,0.0538005845027777,56.373,0.0528618622476489,63.228,0.0548729845061145,77.622,0.0646730893727072,65.248,0.0536633228525583,74.194,0.0587934637301368,75.945,0.0591586686203166,79.765,0.0608854553490122,88.39,0.0648392260078725,78.932,0.0569915601486523,77.474,0.0554649522841331,79.158,0.0558577693727132,82.848,0.0573524341971365,71.983,0.0489639968410764,87.695,0.0577029241982488,97.989,0.0626482068134376,85.131,0.0533380866932654,115.457,0.0696397109870868,111.56,0.0665959875260868,102.904,0.0603055126120941,92.123,0.0531137590252109,109.703,0.0603707776005776,92.527,0.0502684093034071,97.465,0.0520967797973643,108.129,0.0541129581540269,100.838,0.0499591757464299,99.987,0.0485131220797368,134.451,0.0637060889680069,117,0.0550070521861777,135,0.0625289485873089
    Americas,,16.729,0.02696307948701,15.699,0.0246019171912537,16.915,0.0262992596093748,17.842,0.0268066143615663,21.943,0.0319566474283076,23.751,0.0325150384277348,24.238,0.0287127023915011,19.992,0.0222007529066862,20.68,0.0223645904078834,21.555,0.0228664600852705,20.344,0.0214254495668887,23.688,0.0222126158430864,30.502,0.026471433121489,35.874,0.0298894953512728,26.635,0.0219059987153306,29.388,0.0232878981063329,33.838,0.0263586941704427,37.547,0.028660016197447,38.056,0.0279162980535762,29.614,0.0213823045436856,29.993,0.0214724980491262,33.696,0.0237775511860197,29.273,0.0202645544400924,26.564,0.018069260965594,32.76,0.0215559358770127,36.361,0.023247011888512,33.071,0.0207203470537522,44.181,0.0266484671446554,41.761,0.0249293208594201,40.801,0.0239108802387279,42.791,0.0246712640974328,40.475,0.0222738414025449,40.695,0.0221089294649362,42.065,0.022484492301607,43.906,0.0219726765318343,36.254,0.0179616806909208,41.411,0.020092380993969,38.968,0.0184639673554328,45,0.0211565585331453,50,0.0231588698471515
    Asia-Pacific,,6.498,0.0104731956785577,5.237,0.00820690746739255,5.403,0.00840052614067111,7.145,0.0107349657893393,6.578,0.00957985812256335,10.12,0.0138542456691792,8.823,0.0104518596088875,10.413,0.0115634473798181,11.93,0.0129018164200217,12.297,0.0130451802212281,12.501,0.0131655301334878,14.322,0.0134299680895256,14.772,0.0128200121326679,17.02,0.0141807217170838,14.473,0.0119033421966202,21.22,0.0168153395200893,16.003,0.0124658130743423,20.903,0.0159554776300433,15.911,0.0116716475281283,16.544,0.0119453247238041,17.043,0.012201373128772,17.399,0.012277588232596,18.14,0.0125576134165708,24.519,0.0166782190037419,20.596,0.0135520773908106,20.633,0.0131914852808137,20.425,0.0127971058804659,32.166,0.019401430347321,27.86,0.0166310883154964,21.502,0.0126009594591585,18.965,0.0109343208526983,22.706,0.0124953636290595,24.054,0.0130681457021643,24.192,0.0129310552183639,17.847,0.00893149815659923,30.693,0.0152065390149068,22.986,0.0111526760891399,21.643,0.0102549693459667,36,0.0169252468265162,49,0.0226956924502084
    EMEA,,8.778,0.014148001179806,11.693,0.018324110944476,11.199,0.017412084443712,13.904,0.0208899880104931,11.407,0.0166125633329401,10.519,0.0144004753156222,14.475,0.0171473045266515,18.799,0.0208759480738693,15.06,0.0162867858579654,16.353,0.0173479574008086,18.24,0.0192096048024012,18.363,0.0172192783150369,17.954,0.0155815392519577,24.728,0.0206028723043506,24.14,0.0198539819406075,23.586,0.0186902261037147,26.104,0.0203341613755315,21.315,0.0162699615215219,34.423,0.0252512804261681,32.774,0.0236639308811626,30.438,0.0217910811062349,28.063,0.0198026299540975,35.435,0.0245302663404733,20.9,0.0142165168717405,34.339,0.0225949109304255,40.995,0.0262097096441118,31.635,0.0198206337590473,39.11,0.0235898134951104,41.939,0.0250355783511703,40.601,0.0237936729142078,30.367,0.0175081740750798,46.522,0.0256015725689732,27.778,0.0150913341363066,31.208,0.0166812322773934,46.376,0.0232087834655934,33.891,0.0167909560406023,35.59,0.0172680649966279,73.84,0.0349871522666074,36,0.0169252468265162,36,0.0166743862899491
  Managed Infrastructure,,27.757,0.0447375334641005,24.294,0.0380711495155307,23.855,0.0370894967769219,23.466,0.0352563621011386,22.327,0.0325158851174326,27.993,0.038322322037286,50.31,0.0595979889972943,50.846,0.0564635595384838,55.146,0.0596381867810995,53.99,0.0572748865694157,54.609,0.0575119138516627,58.193,0.0545685053088789,63.278,0.0549163774526778,69.089,0.0575635653767098,71.401,0.0587238676280578,69.207,0.0548416212142704,67.933,0.0529175829269072,71.091,0.0542645007988043,72.795,0.0533993829306831,73.772,0.0532658665089745,74.286,0.0531826089446668,71.775,0.0506479622618875,77.49,0.0536433000909631,80.051,0.0544519804832391,82.258,0.0541254021175614,97.546,0.0623649795571297,93.345,0.0584844968622812,94.004,0.0566999955968898,96.33,0.0575044055072422,97.178,0.056949866911083,100.854,0.0581476401412093,105.692,0.0581634798151395,102.466,0.055668105825142,106.494,0.0569229412377829,111.247,0.0556733554898411,111.625,0.0553034867083365,113.63,0.0551326278608269,115.171,0.0545707653534323,118,0.0554771979313587,116,0.0537285780453914
    America,,15.214,0.0245212679368385,13.86,0.0217200186171588,13.295,0.0206709226430173,12.837,0.0192868797533587,11.788,0.0171674319776188,10.927,0.0149590259315337,11.254,0.0133316590772322,13.116,0.0145650797881201,14.649,0.015842305845507,14.385,0.0152602193610121,15.061,0.0158616150180353,17.005,0.0159458600308884,18.359,0.0159330221191206,18.512,0.0154238261120244,18.535,0.0152441406490953,18.292,0.0144951079406915,18.698,0.0145651298421579,20.07,0.0153196400533401,21.787,0.015982036622169,22.908,0.0165403468794067,24.082,0.0172407127669475,21.485,0.0151608703475674,25.529,0.0176727294879623,28.889,0.0196507634405603,28.954,0.0190516046209715,36.787,0.0235193703787765,38.485,0.0241124416063516,40.734,0.024569354715158,43.313,0.0258557906751291,46.045,0.0269840562876455,49.222,0.0283790741371746,55.329,0.0304481623461743,54.704,0.029719790575006,59.244,0.0316669740144159,60.86,0.0304572744893052,60.539,0.0299934403747904,63.356,0.0307399698209148,65.024,0.0308099213025986,66,0.0310296191819464,66,0.0305697081982399
    EMEA,,7.179,0.0115708020585358,5.487,0.00859868269497478,5.783,0.00899134604321692,5.919,0.00889296886033577,5.875,0.00855604537398292,7.619,0.0104303851535056,18.56,0.0219864574794232,15.391,0.0170914259697283,16.359,0.0176916022477062,17.243,0.0182921072257165,17.672,0.0186114109686422,19.205,0.0180088351598478,22.465,0.0194964508909006,28.78,0.0239789172160794,30.686,0.0252377502000613,29.731,0.0235597011909413,28.387,0.0221125436319037,29.881,0.0228084785467791,29.088,0.0213377464206018,28.397,0.0205035895902965,27.651,0.0197958204766575,28.495,0.0201074703539183,30.137,0.020862667890584,29.012,0.0197344300231069,30.69,0.020193884983685,37.883,0.0242200861189874,32.111,0.020118867413838,31.176,0.0188042962291885,31.445,0.0187711619555199,30.205,0.0177012361856517,30.99,0.0178673663709528,30.447,0.0167553217834042,28.493,0.0154797819693925,29.431,0.0157313941026648,31.424,0.0157260827070642,32.891,0.0162955160700909,32.79,0.0159095209676715,32.956,0.0156153384357843,35,0.0164551010813352,34,0.015748031496063
    Asia Pacific,,5.364,0.00864546346872628,4.947,0.00775244820339716,4.777,0.00742722809068775,4.71,0.00707651348744407,4.664,0.00679240776583087,9.447,0.0129329109522467,20.496,0.0242798724406389,22.339,0.0248070537806354,24.138,0.0261042786878864,22.362,0.023722559982687,21.876,0.0230388878649851,21.983,0.0206138101181428,22.454,0.0194869044426567,21.797,0.018160822048606,22.18,0.0182419767789012,21.184,0.0167868120826376,20.848,0.0162399094528456,21.14,0.0161363821986851,21.92,0.0160795998879123,22.467,0.0162219300392714,22.553,0.0161460757010617,21.795,0.0153796215604018,21.824,0.0151079027124168,22.15,0.0150667870195719,22.614,0.0148799125129049,22.876,0.0146255230593658,22.749,0.0142531878420915,22.094,0.0133263446525433,21.572,0.0128774528765933,20.928,0.0122645744377858,20.642,0.0119011996330819,19.916,0.010959995685561,19.269,0.0104685332807435,17.819,0.00952457312070214,18.963,0.0094899982934718,18.195,0.00901453026345516,17.484,0.00848313707224058,17.191,0.0081455056150494,17,0.0079924776680771,16,0.00741083835108847
