Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31
Prologis Inc (PLD US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,FY 2009,,FY 2010,,FY 2011,,FY 2012,,FY 2013,,FY 2014,,FY 2015,,FY 2016,,FY 2017,,FY 2018,,FY 2019,,FY 2020,,FY 2021,,FY 2022,,FY 2023,
date,,12/31/2009,,12/31/2010,,12/31/2011,,12/31/2012,,12/31/2013,,12/31/2014,,12/31/2015,,12/31/2016,,12/31/2017,,12/31/2018,,12/31/2019,,12/31/2020,,12/31/2021,,12/31/2022,,12/31/2023,
Revenue,,1075.444,1.0,884.587,1.0,1421.771,1.0,1960.518,1.0,1750.486,1.0,1760.787,1.0,2197.074,1.0,2533.135,1.0,2618.134,1.0,2804.449,1.0,3330.621,1.0,4438.735,1.0,4759.44,1.0,5973.692,1.0,8023.469,1.0
  Real Estate Operations,,701.971,0.683402276738732,762.061,0.861487903394465,1284.152,0.903205931194264,1833.739,0.935333927053972,1571.014,0.897473044628749,1540.916,0.875129132598094,1986.712,0.904253566334133,2229.573,0.880163512801331,2244.245,0.857192565391993,2398.149,0.85512305625811,2838.735,0.852314027924522,3801.748,0.856493573056288,4168.69,0.875878254584573,4934.107,0.825972781991438,6823.237,0.850409841428938
    U.S.,,—,,—,,—,,—,,—,,1306.194,0.741823968486819,1801.858,0.820117119405172,2040.308,0.80544779492605,2025.184,0.773521905295909,2173.279,0.774939747522597,2645.194,0.79420444415621,3600.335,0.811117356634266,3967.18,0.833539239910578,4726.072,0.791147585111519,6558.051,0.817358551519299
    Other Americas,,—,,—,,—,,—,,—,,97.37,0.055299136124926,57.535,0.026187101572364,58.519,0.0231014138606904,84.789,0.0323852789811369,119.954,0.0427727514388744,94.984,0.0285184054264955,87.83,0.0197871690920949,98.62,0.0207209251508581,92.751,0.0155265788728311,110.305,0.0137477941274529
    Europe,,62.477,0.0608243418087154,91.458,0.103390621838214,307.416,0.216220474323924,435.244,0.222004592663776,174.397,0.0996277605190787,74.413,0.0422612161493696,69.527,0.0316452700273182,75.602,0.0298452313042929,73.708,0.0281528752920973,54.405,0.0193995326711236,44.356,0.0133176365608696,68.801,0.015500136863318,55.533,0.0116679693409309,56.731,0.00949680699975827,95.915,0.0119543055503798
    Asia,,45.129,0.0439352357105097,82.692,0.0934809125614552,155.646,0.109473325873154,221.575,0.113018600186277,107.692,0.0615212003980609,62.939,0.0357448118369797,57.792,0.0263040753292789,55.144,0.0217690727102977,60.564,0.0231325058228494,50.511,0.0180110246255147,54.201,0.0162735417809472,44.782,0.0100889104666082,47.357,0.00995012018220631,58.553,0.00980181100733014,58.966,0.00734919023180622
    Americas,,594.365,0.578642699219507,587.911,0.664616368994796,821.09,0.577512130997186,1176.92,0.60031073420392,1288.925,0.736324083711609,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Strategic Capital Management,,144.963,0.141128400237156,122.526,0.138512096605535,137.619,0.0967940688057359,126.779,0.0646660729460275,179.472,0.102526955371251,219.871,0.124870867401906,210.362,0.0957464336658665,303.562,0.119836487198669,373.889,0.142807434608007,406.3,0.14487694374189,491.886,0.147685972075478,636.987,0.143506426943713,590.75,0.124121745415427,1039.585,0.174027218008562,1200.232,0.149590158571062
    U.S.,,—,,—,,—,,—,,—,,84.178,0.0478070317420562,39.396,0.0179311211183601,39.36,0.0155380585716908,176.72,0.0674984550065046,74.618,0.0266070090773624,86.271,0.0259023767639728,354.825,0.0799383157588818,171.761,0.0360884894021145,215.416,0.0360607811718448,833.402,0.103870532808191
    Europe,,50.814,0.0494698545811749,54.835,0.0619893803549001,46.087,0.0324152061056246,37.047,0.0188965365275912,63.794,0.0364435933792101,86.549,0.0491535887077767,112.793,0.0513378247614782,186.652,0.0736841897490659,106.862,0.0408160926828039,174.898,0.0623644787264807,283.909,0.0852420614654144,145.016,0.0326705694302543,249.6,0.0524431445716303,644.832,0.107945304177048,181.651,0.0226399578536416
    Asia,,26.185,0.0254923474280329,1.038,0.00117342895611172,14.66,0.0103110838524629,20.31,0.0103595070282446,43.204,0.0246811456932532,38.154,0.0216687197258953,35.885,0.016333086641597,54.751,0.0216139289852298,61.813,0.0236095631468825,124.35,0.0443402607784987,81.359,0.0244275767191764,99.45,0.0224050320643156,110.734,0.0232661825761014,96.875,0.0162169392061057,95.396,0.0118896203126104
    Other Americas,,—,,—,,—,,—,,—,,10.99,0.00624152722617784,22.288,0.0101444011444312,22.799,0.00900030989268239,28.494,0.0108833237718161,32.434,0.0115651951595483,40.347,0.0121139571269142,37.696,0.00849250969026085,58.655,0.0123239288655808,82.462,0.0138041934535627,89.783,0.0111900475966194
    Americas,,67.964,0.0661661982279484,66.653,0.0753492872945228,76.872,0.0540677788476485,69.422,0.0354100293901918,72.474,0.0414022162987879,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Adjustment,,48.273,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  CDFS Business,,180.237,0.175469323024112,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Asia,,180.237,0.175469323024112,0,,0,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Operating Income,,-44.558,,-613.521,,94.778,1.0,92.9829999999999,1.0,304.412,1.0,319.808,1.0,380.172,1.0,668.378,1.0,771.066,1.0,847.002,1.0,991.948,1.0,1401.807,1.0,1617.409,1.0,2280.402,1.0,3084.483,1.0
  Real Estate Operations,,463.845,0.622085514377794,530.498,0.866310125497048,911.433,0.916851592914122,1315.944,0.954341240826947,1092.094,0.923713108576851,1087.16,0.89959081675293,1375.832,0.931017775407844,1375.832,0.931017775407844,1662.517,0.883722920481697,1783.941,0.877405136039182,2091.32,0.87191192994086,2819.675,0.870640621424983,3104.939,0.89004528570585,3688.033,0.833592811637285,5145.09,0.863302001080577
    U.S.,,—,,—,,—,,—,,—,,932.151,0.771325728896446,1256.188,0.850055353599879,1256.188,0.850055353599879,1519.164,0.807522597826463,1621.665,0.797592072795557,1953.727,0.814546735625139,2679.685,0.82741543391462,2966.498,0.850360525587083,3555.627,0.803665560493479,4954.565,0.831333539157486
    Other Americas,,—,,—,,—,,—,,—,,69.12,0.0571946330383408,38.28,0.0259038606767485,38.28,0.0259038606767485,58.842,0.0312778901430686,89.044,0.0437949814110853,69.393,0.0289312895943166,64.473,0.0199075470701882,72.424,0.0207606783166949,67.552,0.0152685351816868,84.922,0.0142491836947001
    Europe,,17.009,0.0228116127457489,49.975,0.0816098242061516,222.605,0.22392841694414,325.571,0.236108703802951,116.178,0.0982654803782838,40.627,0.0336175688143615,39.672,0.0268458192468121,39.672,0.0268458192468121,51.277,0.0272566597475635,34.807,0.0171193108797409,27.525,0.0114757071474581,43.531,0.0134412146404287,31.163,0.00893301969489623,24.738,0.00559144101321305,68.2,0.0114433754266097
    Asia,,30.913,0.041458956129657,60.912,0.0994700872845443,118.985,0.119692381977487,171.98,0.124722333623177,76.863,0.0650121332637507,45.262,0.0374528860037815,41.692,0.0282127418844044,41.692,0.0282127418844044,33.234,0.0176657727646025,38.425,0.0188987709527981,40.675,0.0169581975739459,31.986,0.00987642579974625,34.854,0.0099910621071756,40.116,0.00906727494890673,37.403,0.00627590280178127
