Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79
Apple Inc (AAPL US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q1 2005,,Q2 2005,,Q3 2005,,Q4 2005,,Q1 2006,,Q2 2006,,Q3 2006,,Q4 2006,,Q1 2007,,Q2 2007,,Q3 2007,,Q4 2007,,Q1 2008,,Q2 2008,,Q3 2008,,Q4 2008,,Q1 2009,,Q2 2009,,Q3 2009,,Q4 2009,,Q1 2010,,Q2 2010,,Q3 2010,,Q4 2010,,Q1 2011,,Q2 2011,,Q3 2011,,Q4 2011,,Q1 2012,,Q2 2012,,Q3 2012,,Q4 2012,,Q1 2013,,Q2 2013,,Q3 2013,,Q4 2013,,Q1 2014,,Q2 2014,,Q3 2014,
date,,12/25/2004,,03/26/2005,,06/25/2005,,09/24/2005,,12/31/2005,,04/01/2006,,07/01/2006,,09/30/2006,,12/30/2006,,03/31/2007,,06/30/2007,,09/29/2007,,12/29/2007,,03/29/2008,,06/28/2008,,09/27/2008,,12/27/2008,,03/28/2009,,06/27/2009,,09/26/2009,,12/26/2009,,03/27/2010,,06/26/2010,,09/25/2010,,12/25/2010,,03/26/2011,,06/25/2011,,09/24/2011,,12/31/2011,,03/31/2012,,06/30/2012,,09/29/2012,,12/29/2012,,03/30/2013,,06/29/2013,,09/28/2013,,12/28/2013,,03/29/2014,,06/28/2014,
Revenue,,3490,1.0,3243,1.0,3520,1.0,3678,1.0,5749,1.0,4359,1.0,4370,1.0,4837,1.0,7115,1.0,5264,1.0,5563,1.0,6606,1.0,9608,1.0,7980,1.0,7561,1.0,11520,1.0,11880,1.0,9084,1.0,9734,1.0,12207,1.0,15683,1.0,13499,1.0,15700,1.0,20343,1.0,26741,1.0,24667,1.0,28571,1.0,28270,1.0,46333,1.0,39186,1.0,35023,1.0,35966,1.0,54512,1.0,43603,1.0,35323,1.0,37472,1.0,57594,1.0,45646,1.0,37432,1.0
  iPhone,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,10604,0.375097276264591,23950,0.516910193598515,22276,0.568468330526208,15821,0.451731719155983,16645,0.462798198298393,30660,0.562444966245964,22955,0.526454601747586,18154,0.513942756843983,19510,0.520655422715628,32498,0.564260165989513,26064,0.571002935635105,19751,0.527650138918572
  iPad,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,6562,0.232118853908737,8769,0.189260354391039,6264,0.159853008727607,8779,0.250663849470348,7133,0.198326196963799,10674,0.195810096859407,8746,0.200582528725088,6374,0.180448999235626,6186,0.165083262169086,11468,0.199117963676772,7610,0.166717784690882,5889,0.157325283180167
  Mac,,1605,0.459885386819484,1494,0.460684551341351,1565,0.444602272727273,1611,0.438009787928222,1724,0.29987823969386,1572,0.360633172746043,1866,0.427002288329519,2213,0.457514988629316,2410,0.338721011946592,2268,0.430851063829787,2533,0.468207024029575,3115,0.47154102331214,3552,0.369691923397169,3511,0.439974937343358,3610,0.483654876741693,3639,0.315885416666667,3565,0.300084175084175,2960,0.325847644209599,3354,0.344565440723238,3980,0.326042434668633,4450,0.283746732130332,3760,0.278539151048226,4399,0.280191082802548,4870,0.239394386275377,5430,0.203058973112449,4976,0.201727003689139,5105,0.178677680165202,6272,0.221860629642731,6598,0.142403902186347,5073,0.129459500842138,4933,0.140850298375353,6617,0.183979313796363,5519,0.101243762841209,5447,0.124922597069009,4893,0.138521643122045,5624,0.150085397096499,6395,0.111035871792201,5519,0.120908732419051,5540,0.148001709767044
    Portables,,604,0.173065902578797,691,0.213074313906876,720,0.204545454545455,824,0.224034801522567,812,0.14124195512263,739,0.169534296857077,1161,0.265675057208238,1344,0.277858176555716,1455,0.20449754040759,1354,0.257218844984802,1577,0.291497227356747,1917,0.290190735694823,2037,0.212010824313072,2156,0.270175438596491,2237,0.29970525187567,2271,0.197135416666667,2520,0.212121212121212,1904,0.209599295464553,2220,0.228066570782823,2891,0.236831326288195,2758,0.175859210610215,2228,0.165049262908364,3098,0.197324840764331,3194,0.157007324386767,3699,0.138326913727983,3535,0.143308874204403,3525,0.12337685065276,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
    Desktops,,1001,0.286819484240688,803,0.247610237434474,845,0.240056818181818,787,0.213974986405655,912,0.15863628457123,833,0.191098875888965,705,0.161327231121281,869,0.179656812073599,955,0.134223471539002,914,0.173632218844985,956,0.176709796672828,1198,0.181350287617318,1515,0.157681099084097,1355,0.169799498746867,1373,0.183949624866024,1368,0.11875,1045,0.087962962962963,1056,0.116248348745046,1134,0.116498869940415,1089,0.0892111083804375,1692,0.107887521520117,1532,0.113489888139862,1301,0.0828662420382166,1676,0.0823870618886103,1731,0.0647320593844658,1441,0.0584181294847367,1580,0.0553008295124427,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,3171,0.0809217577706324,3203,0.0914541872483797,3496,0.0972029138630929,3687,0.0676364837100088,4114,0.0943513061027911,3990,0.112957563060895,4260,0.11368488471392,4397,0.0763447581345279,4573,0.100184024887175,4485,0.119817268647147
  Other Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2402,0.061297402133415,2287,0.0652999457499358,2075,0.0576933770783518,3972,0.0728646903434106,2341,0.053688966355526,1912,0.0541290377374515,1892,0.0504910333048676,2836,0.0492412404069868,1880,0.0411865223677869,1767,0.0472055994870699
  Adjustment,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,153,,—,,—,,—,,97,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  iTunes, Software and Services",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2504,0.0885744605588964,3020,0.0651803250383096,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Accessories,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,1225,0.0433321542270959,1468,0.0316836811775624,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Other Music Related Products and Services,,177,0.0507163323782235,216,0.0666049953746531,241,0.0684659090909091,265,0.0720500271886895,491,0.0854061575926248,485,0.111264051387933,457,0.104576659038902,452,0.0934463510440356,634,0.0891075193253689,653,0.124050151975684,608,0.112384473197782,601,0.0909778988798062,808,0.0840965861781848,881,0.110401002506266,819,0.109726688102894,832,0.0722222222222222,1011,0.0851010101010101,1049,0.115477763099956,958,0.0984179165810561,1018,0.0833947734906201,1164,0.074220493528024,1327,0.098303578042818,1214,0.0773248407643312,1243,0.0611020990021137,1431,0.0535133315881979,1634,0.0662423480763773,1571,0.0549858247873718,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
"  Software, Service and Other Sales",,213,0.0610315186246418,239,0.0736971939562134,345,0.0980113636363636,294,0.0799347471451876,325,0.0565315707079492,324,0.0743289745354439,314,0.0718535469107551,316,0.0653297498449452,347,0.0487702037947997,345,0.0655395136778116,386,0.0713493530499076,429,0.0649409627611263,628,0.0653621981681932,529,0.0662907268170426,501,0.0671221864951768,550,0.0477430555555556,606,0.051010101010101,626,0.0689123734037869,530,0.0544483254571605,649,0.0531662161055132,631,0.0402346489829752,634,0.0469664419586636,646,0.0411464968152866,662,0.0325419063068377,786,0.0293930668262219,743,0.0301212145781814,696,0.0243603654054811,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  iPad & Related Products & Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,0,,0,,0,,0,,2166,0.13796178343949,2792,0.137246227203461,4608,0.172319658950675,2836,0.114971419305145,6046,0.211613174197613,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  iPod,,1211,0.346991404011461,1014,0.312673450508788,1103,0.313352272727273,1212,0.32952691680261,2906,0.505479213776309,1714,0.393209451709108,1497,0.342562929061785,1559,0.322307215216043,3427,0.481658468025299,1689,0.320858662613982,1570,0.290203327171904,1619,0.245080230093854,3997,0.416007493755204,1818,0.22781954887218,1678,0.22481243301179,1660,0.144097222222222,3371,0.283754208754209,1665,0.1832892998679,1492,0.153277172796384,1563,0.128041287785697,3391,0.216221386214372,1861,0.137862063856582,1545,0.0984076433121019,1477,0.072604827213292,3425,0.128080475674059,1600,0.0648639883244821,1325,0.0463756956354345,1103,0.0390166253979484,2528,0.0545615436082274,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Peripherals and Other Hardware,,284,0.0813753581661891,280,0.0863398088189948,266,0.0755681818181818,296,0.0804785209352909,303,0.0527048182292573,264,0.0605643496214728,236,0.0540045766590389,297,0.0614016952656605,297,0.041742796907941,309,0.0587006079027356,308,0.0569316081330869,353,0.0534362700575235,382,0.0397585345545379,424,0.0531328320802005,437,0.0585476956055734,433,0.0375868055555556,387,0.0325757575757576,357,0.0392998678996037,340,0.0349291144442161,391,0.0320308019988531,469,0.0299049926672193,472,0.0349655530039262,396,0.0252229299363057,477,0.0234478690458634,593,0.0221756852772896,580,0.0235131957676248,517,0.0180952714290714,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  iPhone & Related Products and Services,,—,,—,,—,,—,,—,,—,,0,,0,,—,,—,,5,0.000924214417744917,489,0.0740236148955495,241,0.0250832639467111,817,0.102380952380952,419,0.0561361200428725,4406,0.382465277777778,2940,0.247474747474747,2427,0.267173051519155,3060,0.314362029997945,4606,0.377324485950684,5578,0.355671746477077,5445,0.403363212089784,5334,0.339745222929936,8822,0.433662684953055,10468,0.391458808571108,12298,0.498560830259051,13311,0.465891988379826,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
% of Revenue - Supplementary,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  iPhone,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,53,,51,,—,,56,,57,,53,
  iPad,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,20,,18,,—,,20,,17,,16,
  Mac,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,12,,14,,—,,11,,12,,15,
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,8,,10,,12,
  Other Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,5,,4,,4,
"  iTunes, Software and Services",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,9,,11,,—,,—,,—,,—,
Revenue Growth %,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Mac,,26,,29,,5,,31,,7,,5,,19,,37,,40,,44,,36,,40,,47,,54,,43,,17,,0,,-16,,-8,,9,,25,,27,,31,,22,,22,,32,,16,,29,,22,,2,,-3,,6,,-16,,7,,-1,,-15,,16,,1,,13,
    Portables,,—,,—,,7,,22,,34,,7,,61,,63,,79,,83,,36,,42,,40,,58,,42,,18,,23,,-12,,-2,,27,,9,,17,,40,,10,,34,,59,,14,,44,,26,,-1,,3,,17,,—,,—,,—,,—,,—,,—,,—,
    Desktops,,—,,—,,4,,42,,-9,,4,,-17,,10,,5,,10,,36,,38,,59,,48,,44,,14,,-31,,-22,,-18,,-20,,62,,45,,15,,54,,2,,-6,,21,,1,,12,,8,,-19,,-26,,—,,—,,—,,—,,—,,—,,—,
"  iTunes, Software and Services",,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,19,,—,,12,
  Accessories,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,2,,—,,12,
  iPhone,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,28,,3,,15,,17,,6,,14,,9,
  iPad,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,132,,—,,9,,22,,40,,-27,,-13,,7,,-13,,-8,
  iPod,,373,,284,,69,,126,,140,,69,,36,,29,,18,,-1,,5,,4,,17,,8,,7,,3,,-16,,-8,,-11,,-6,,1,,12,,4,,-6,,1,,-14,,-14,,-25,,-26,,-25,,-20,,-26,,—,,—,,—,,—,,-55,,—,,-40,
  Services,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,22,,30,,25,,—,,—,,11,,—,
  Other Products,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,25,,15,,-4,,—,,—,,3,,—,
  Other Music Related Products and Services,,277,,260,,125,,170,,177,,125,,90,,71,,29,,35,,33,,33,,27,,35,,35,,38,,25,,19,,17,,22,,15,,27,,27,,22,,23,,23,,29,,35,,42,,32,,31,,37,,—,,—,,—,,—,,—,,—,,—,
"  Software, Service and Other Sales",,—,,—,,36,,38,,53,,36,,-9,,7,,7,,6,,23,,36,,81,,53,,30,,28,,-4,,18,,5,,18,,4,,1,,22,,2,,25,,17,,8,,10,,7,,12,,28,,22,,—,,—,,—,,—,,—,,—,,—,
