MSFT US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cq"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 124,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 139,Unnamed: 140
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-03-30 00:00:00,1990-06-29 00:00:00,1990-09-28 00:00:00,1990-12-31 00:00:00,1991-03-28 00:00:00,1991-06-28 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-30 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-29 00:00:00,1995-12-29 00:00:00,1996-03-29 00:00:00,1996-06-28 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-29 00:00:00,2000-12-29 00:00:00,2001-03-30 00:00:00,2001-06-29 00:00:00,2001-09-28 00:00:00,2001-12-31 00:00:00,2002-03-28 00:00:00,2002-06-28 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-03-31 00:00:00,2005-06-30 00:00:00,2005-09-30 00:00:00,2005-12-30 00:00:00,2006-03-31 00:00:00,2006-06-30 00:00:00,2006-09-29 00:00:00,2006-12-29 00:00:00,2007-03-30 00:00:00,2007-06-29 00:00:00,2007-09-28 00:00:00,2007-12-31 00:00:00,2008-03-31 00:00:00,2008-06-30 00:00:00,2008-09-30 00:00:00,2008-12-31 00:00:00,2009-03-31 00:00:00,2009-06-30 00:00:00,2009-09-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-30 00:00:00,2012-03-30 00:00:00,2012-06-29 00:00:00,2012-09-28 00:00:00,2012-12-31 00:00:00,2013-03-28 00:00:00,2013-06-28 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-30 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-29 00:00:00,2017-12-29 00:00:00,2018-03-29 00:00:00,2018-06-29 00:00:00,2018-09-28 00:00:00,2018-12-31 00:00:00,2019-03-29 00:00:00,2019-06-28 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-30 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-29 00:00:00,2023-12-29 00:00:00,2024-03-28 00:00:00,2024-06-28 00:00:00,2024-09-30 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,446.618,449.238,495.1,540.1,605.2,686.314,858.9,976,1144.1,1344.901,1481,1781,2001,2290,2532,2796,3143,3614,3776,3839,4465,4750,5064,6017,6770,6940,7098,9160,9086,8966,9634,10105,12322,13927,17242,19237,21761,17236,33015,17843,21205,23798,24711,26889,30018,31600,36163,38229,38693,38652,40475,43424,46178,49048,51622,52777,56407,60592,64415,34504,37594,37751,40056,34701,34816,34161,31832,28873,28236,23411,21574,21076,26341,23662,20722,20715,25340,31447,36728,36099,39666,36788,44173,41252,50150,52772,57403,51736,59529,63040,66644,68312,74483,77022,80672,83944,88425,85709,89193,90249,95438,96526,99355,102640,105552,113240,136932,122781,126018,132981,138471,142780,132270,133768,135880,127662,131618,133819,136636,134253,137626,136527,137977,131968,125407,130334,130615,125369,104693,104757,107262,99508,104427,111262,143951,81017,80021,75543,
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,258.9,246.316,354.3,334.2,396.8,417.171,486.9,613.6,632.4,791.438,813,840,2001,1013,2532,2796,3143,1477,3776,3839,4465,1962,5064,6017,6770,2601,7098,9160,9086,3706,9634,10105,12322,3839,5191,6113,6203,4975,18902,5032,5192,4846,2641,3531,4149,3922,3113,5256,5116,3016,5338,5552,4300,6438,5768,6149,9348,15982,11141,4556,3782,4851,2974,4083,4351,6714,9076,6859,7611,6111,6637,7460,11820,10339,9004,8346,7285,6076,8823,9422,8155,5505,8161,4023,7021,9610,12881,10610,6388,6938,5036,6017,5240,3804,4023,10059,11572,8669,6302,6426,7414,5595,5431,7185,7170,6510,13928,8468,6713,7663,6884,12859,9221,11946,15137,6638,11212,11356,13117,8864,11710,13576,17205,14432,13702,14224,19165,20604,12498,13931,22884,15646,26562,34704,80452,17305,19634,18315,
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,187.718,202.922,140.8,205.9,208.4,269.143,372,362.4,511.7,553.463,668,941,,1277,0,0,0,2137,,,,2788,,,,4339,,,,5260,,,,10088,12051,13124,15558,12261,14113,12811,16013,18952,22070,23358,25869,27678,33050,32973,33577,35636,35137,37872,41878,42610,45854,46628,47059,44610,53274,29948,33812,32900,37082,30618,30465,27447,22756,22014,20625,17300,14937,13616,14521,13323,11718,12369,18055,25371,27905,26677,31511,31283,36012,37229,43129,43162,44522,41126,53141,56102,61608,62295,69243,73218,76649,73885,76853,77040,82891,83823,88024,90931,93924,95455,98382,106730,123004,114313,119305,125318,131587,129921,123049,121822,120743,121024,120406,122463,123519,125389,125916,122951,120772,117536,111705,116110,111450,104765,92195,90826,84378,83862,77865,76558,63499,63712,60387,57228,
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,151.316,180.998,177.6,227.4,223.3,243.304,237.7,259.2,262.7,270.215,326,339,439,338,364,460,522,475,527,591,580,581,1052,771,681,639,855,975,866,980,788,1081,1055,1460,1153,2029,1689,2245,2207,3284,2902,3250,3172,4143,3532,3671,3615,5095,4230,5129,4450,4894,4075,5196,4533,5608,4937,5890,5106,6646,5610,7180,5799,7758,6818,9316,6879,9895,8454,11338,8982,11621,9871,13589,9535,10953,9182,11192,8587,11196,9137,13014,9646,12874,10033,14987,10153,13643,10961,15780,9871,14317,11991,17486,11007,15986,13497,19544,12887,16186,12427,17908,11444,14507,12247,20636,13479,16737,15364,22431,14561,18428,17208,26481,17390,19680,19269,29524,19087,23525,22699,32011,22851,30604,28615,38043,27349,33520,32613,44261,31279,35833,37420,48688,36953,42831,44029,56924,
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2207,,,,3172,,3532,3671,3615,5095,4230,5129,,,,,,5608,,,,6646,5610,7180,5799,7758,6818,9316,6879,9895,8454,11338,8982,11621,9871,13589,9535,10953,9182,11192,8587,11196,9137,13014,9646,12874,10033,14987,10153,13643,10961,15780,9871,14317,11991,17486,11007,15986,13497,19544,12887,16186,12427,17908,11444,14507,12247,20636,13479,16737,15364,22431,14561,18428,17208,26481,17390,19680,19269,29524,19087,23525,22699,32011,22851,26604,25515,38043,27349,33520,32613,44261,31279,35833,37420,48688,36953,42831,44029,56924,
