NVDA US Equity,"=BDH($A$1, $B6, ""19900101"","""",""sort=a"",""dir=h"",""per=cy"")",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,1990-12-31 00:00:00,1991-12-31,1992-12-31,1993-12-31,1994-12-30,1995-12-29,1996-12-31,1997-12-31,1998-12-31 00:00:00,1999-12-31 00:00:00,2000-12-29 00:00:00,2001-12-31 00:00:00,2002-12-31 00:00:00,2003-12-31 00:00:00,2004-12-31 00:00:00,2005-12-30 00:00:00,2006-12-29 00:00:00,2007-12-31 00:00:00,2008-12-31 00:00:00,2009-12-31 00:00:00,2010-12-31 00:00:00,2011-12-30 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-30 00:00:00,2017-12-29 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2022-12-30 00:00:00,2023-12-29 00:00:00
"  + Cash, Cash Equivalents & STI",CASH_CASH_EQTY_STI_DETAILED,,,,,,,,,50.257,61.56,674.275,791.377,1028.413,604.043,670.045,950.174,1117.85,1809.478,1255.39,1728.227,2490.563,3129.576,3727.883,4671.81,4623,5037,6798,7108,7422,10897,11561,21208,13296,25984
    + Cash & Cash Equivalents,BS_CASH_NEAR_CASH_ITEM,,,,,,,,,50.257,61.56,674.275,333,346.994,214.422,208.512,551.756,544.414,726.969,417.688,447.221,665.361,667.876,732.786,1151.587,497,596,1766,4002,782,10896,847,1990,3389,7280
    + ST Investments,BS_MKT_SEC_OTHER_ST_INVEST,,,,,,,,,0,0,0,458.377,681.419,389.621,461.533,398.418,573.436,1082.509,837.702,1281.006,1825.202,2461.7,2995.097,3520.223,4126,4441,5032,3106,6640,1,10714,19218,9907,18704
  + Accounts & Notes Receiv,BS_ACCT_NOTE_RCV,,,,,,,,,20.633,67.224,104.988,147.348,154.501,196.631,296.279,318.186,518.68,666.494,318.435,374.963,348.77,336.143,454.252,426.357,474,505,826,1265,1424,1657,2429,4650,3827,9999
"    + Accounts Receivable, Net",BS_ACCTS_REC_EXCL_NOTES_REC,,,,,,,,,,,96.585,129.269,,,296.279,318.186,518.68,666.494,318.435,374.963,348.77,336.143,454.252,426.357,474,505,826,1265,1424,1657,2429,4650,3827,9999
