Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81
NextEra Energy Inc (NEE US) - By Measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
date,,Q4 2014,,Q1 2015,,Q2 2015,,Q3 2015,,Q4 2015,,Q1 2016,,Q2 2016,,Q3 2016,,Q4 2016,,Q1 2017,,Q2 2017,,Q3 2017,,Q4 2017,,Q1 2018,,Q2 2018,,Q3 2018,,Q4 2018,,Q1 2019,,Q2 2019,,Q3 2019,,Q4 2019,,Q1 2020,,Q2 2020,,Q3 2020,,Q4 2020,,Q1 2021,,Q2 2021,,Q3 2021,,Q4 2021,,Q1 2022,,Q2 2022,,Q3 2022,,Q4 2022,,Q1 2023,,Q2 2023,,Q3 2023,,Q4 2023,,Q1 2024,,Q2 2024,,Q3 2024,
date,,12/31/2014,,03/31/2015,,06/30/2015,,09/30/2015,,12/31/2015,,03/31/2016,,06/30/2016,,09/30/2016,,12/31/2016,,03/31/2017,,06/30/2017,,09/30/2017,,12/31/2017,,03/31/2018,,06/30/2018,,09/30/2018,,12/31/2018,,03/31/2019,,06/30/2019,,09/30/2019,,12/31/2019,,03/31/2020,,06/30/2020,,09/30/2020,,12/31/2020,,03/31/2021,,06/30/2021,,09/30/2021,,12/31/2021,,03/31/2022,,06/30/2022,,09/30/2022,,12/31/2022,,03/31/2023,,06/30/2023,,09/30/2023,,12/31/2023,,03/31/2024,,06/30/2024,,09/30/2024,
Revenue,,4664,1.0,4104,1.0,4358,1.0,4954,1.0,4069,1.0,3835,1.0,3817,1.0,4805,1.0,3699,1.0,3972,1.0,4404,1.0,4808,1.0,4004,1.0,3857,1.0,4063,1.0,4416,1.0,4390,1.0,4075,1.0,4970,1.0,5572,1.0,4588,1.0,4613,1.0,4204,1.0,4785,1.0,4395,1.0,3726,1.0,3927,1.0,4370,1.0,5046,1.0,2890,1.0,5183,1.0,6719,1.0,6164,1.0,6716,1.0,7349,1.0,7172,1.0,6877,1.0,5731,1.0,6069,1.0,7567,1.0
  FPL,,2682,0.587900043840421,2541,0.635091227193202,2996,0.702791461412151,3274,0.673801193661247,2839,0.715473790322581,2303,0.615117521367521,2750,0.739247311827957,3283,0.696583916825801,2558,0.708587257617729,2527,0.639584915211339,3091,0.704742362061104,3477,0.722869022869023,2877,0.718531468531469,2620,0.678580678580678,2908,0.715551181102362,3399,0.769526828163912,2935,0.667348794906776,2618,0.637448259069881,3158,0.636565208627293,3491,0.62272565108812,2925,0.633665511265165,2540,0.547295841413489,2825,0.667060212514758,3455,0.717996674979219,2842,0.643277501131734,2970,0.791788856304985,3569,0.903773107115725,4134,0.941256830601093,3430,0.677463954177365,3712,1.27472527472527,4425,0.850961538461538,5075,0.754422476586889,4071,0.66044776119403,3919,0.58396662196394,4774,0.651296043656207,5475,0.766377379619261,4196,0.612375948628138,3834,0.672867672867673,4389,0.72737819025522,4939,0.656432748538012
  NEER,,1880,0.412099956159579,1460,0.364908772806798,1267,0.297208538587849,1585,0.326198806338753,1129,0.284526209677419,1441,0.384882478632479,970,0.260752688172043,1430,0.303416083174199,1052,0.291412742382271,1424,0.360415084788661,1295,0.295257637938896,1333,0.277130977130977,1127,0.281468531468531,1241,0.321419321419321,1156,0.284448818897638,1018,0.230473171836088,1463,0.332651205093224,1161,0.282688093498904,1437,0.28965934287442,1675,0.298787013913664,1338,0.289861351819757,1773,0.382029734970911,1077,0.2543093270366,953,0.198046550290939,1243,0.281349026708918,781,0.208211143695015,380,0.0962268928842745,258,0.0587431693989071,1633,0.322536045822635,-800,-0.274725274725275,775,0.149038461538462,1652,0.245577523413111,2093,0.33955223880597,2792,0.41603337803606,2556,0.348703956343793,1669,0.233622620380739,2656,0.387624051371862,1864,0.327132327132327,1645,0.27262180974478,2585,0.343567251461988
  Corporate & Other,,102,,103,,95,,95,,101,,91,,97,,92,,89,,21,,18,,-2,,0,,-4,,-1,,-1,,-8,,-32,,9,,-34,,-28,,-28,,-31,,-27,,-23,,-25,,-22,,-22,,-17,,-22,,-17,,-8,,0,,5,,19,,28,,25,,33,,35,,43,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,328,0.079863647431215,366,0.0737754484982866,440,0.0784873349982162,353,0.076473136915078,328,0.0706744236156001,333,0.0786304604486423,404,0.0839567747298421,333,0.0753734721593481,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Cost of Revenue,,1265,1.0,1363,1.0,1316,1.0,1472,1.0,1176,1.0,928,1.0,960,1.0,1217,1.0,936,1.0,899,1.0,1018,1.0,1176,1.0,979,1.0,819,1.0,894,1.0,1083,1.0,936,1.0,967,1.0,1074,1.0,1266,1.0,1055,1.0,821,1.0,731,1.0,1111,1.0,876,1.0,906,1.0,1103,1.0,1383,1.0,1134,1.0,1366,1.0,1589,1.0,—,,1501,1.0,1367,1.0,1359,1.0,1554,1.0,1178,1.0,1206,1.0,1280,1.0,1451,1.0
  FPL,,1008,0.812248186946011,1005,0.747767857142857,1098,0.842670759785111,1195,0.821305841924399,978,0.841652323580034,700,0.765864332603939,811,0.85099685204617,1045,0.866500829187396,741,0.796774193548387,768,0.84118291347207,893,0.863636363636364,1036,0.857615894039735,846,0.837623762376238,712,0.837647058823529,765,0.827922077922078,941,0.845462713387242,831,0.854059609455293,729,0.728271728271728,806,0.733393994540491,943,0.722052067381317,778,0.71573137074517,586,0.687793427230047,511,0.671484888304862,839,0.735319894829097,680,0.750551876379691,772,0.824786324786325,963,0.849206349206349,1218,0.860777385159011,1003,0.858732876712329,1200,0.857755539671194,1431,0.882244143033292,—,,1324,0.862540716612378,1214,0.87275341480949,1212,0.875722543352601,1339,0.848005066497783,996,0.827930174563591,1034,0.840650406504065,1081,0.82898773006135,1208,0.818428184281843
  NEER,,233,0.187751813053989,339,0.252232142857143,205,0.157329240214889,260,0.178694158075601,184,0.158347676419966,214,0.234135667396061,142,0.14900314795383,161,0.133499170812604,189,0.203225806451613,145,0.15881708652793,141,0.136363636363636,172,0.142384105960265,164,0.162376237623762,138,0.162352941176471,159,0.172077922077922,172,0.154537286612758,142,0.145940390544707,149,0.148851148851149,156,0.141947224749773,203,0.155436447166922,182,0.167433302667893,155,0.181924882629108,151,0.198423127463863,172,0.150744960560911,123,0.135761589403974,164,0.175213675213675,171,0.150793650793651,197,0.139222614840989,165,0.141267123287671,199,0.142244460328806,191,0.117755856966708,—,,211,0.137459283387622,177,0.12724658519051,172,0.124277456647399,240,0.151994933502217,207,0.172069825436409,196,0.159349593495935,223,0.17101226993865,268,0.181571815718157
  Corporate & Other,,24,,19,,13,,17,,14,,14,,7,,11,,6,,-14,,-16,,-32,,-31,,-31,,-30,,-30,,-37,,-34,,-25,,-40,,-32,,-31,,-30,,-30,,-30,,-30,,-31,,-32,,-34,,-33,,-33,,—,,-34,,-24,,-25,,-25,,-25,,-24,,-24,,-25,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,123,0.122877122877123,137,0.124658780709736,160,0.122511485451761,127,0.116835326586937,111,0.130281690140845,99,0.130091984231275,130,0.113935144609991,103,0.113686534216336,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
Gross Profit,,3399,1.0,2741,1.0,3042,1.0,3482,1.0,2893,1.0,2907,1.0,2857,1.0,3588,1.0,2763,1.0,3073,1.0,3386,1.0,3632,1.0,3031,1.0,3038,1.0,3169,1.0,3333,1.0,3454,1.0,3108,1.0,3896,1.0,4306,1.0,3533,1.0,3792,1.0,3473,1.0,3674,1.0,3519,1.0,2820,1.0,2824,1.0,2987,1.0,3912,1.0,1524,1.0,3594,1.0,4786,1.0,4663,1.0,—,,5990,1.0,—,,—,,—,,—,,—,
  NEER,,1647,0.495934959349593,1121,0.421904403462552,1060,0.358350236646383,1325,0.38924794359577,910,0.320987654320988,1227,0.43356890459364,828,0.299241055294543,1269,0.361847733105218,863,0.322014925373134,1279,0.421000658327847,1154,0.344272076372315,1161,0.322320932815103,970,0.32322559146951,1103,0.366323480571239,262,0.0826498422712934,846,0.256053268765133,1321,0.385693430656934,986,0.32012987012987,363,0.0933882171340365,1472,0.342325581395349,1156,0.327571550014168,1618,0.427025600422275,926,0.266551525618883,781,0.212748569871969,1121,0.319191343963554,617,0.219182948490231,209,0.0742451154529307,61,0.0204904266039637,1468,0.376893453145058,-999,-0.660277594183741,584,0.163219675796534,1417,0.297751628493381,1882,0.406567293151869,—,,2384,0.400941809619913,—,,—,,—,,—,,—,
  Gulf Power,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,205,0.0665584415584416,366,0.0941600205814253,280,0.0651162790697674,226,0.0640408047605554,217,0.0572710477698601,234,0.0673575129533679,274,0.0746390629256333,229,0.0652050113895216,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,,—,
  Corporate & Other,,78,,84,,84,,78,,58,,77,,90,,81,,83,,35,,34,,30,,30,,27,,-1,,29,,29,,28,,9,,6,,4,,3,,-1,,3,,7,,5,,9,,10,,17,,11,,16,,27,,34,,—,,44,,—,,—,,—,,—,,—,
  FPL,,1674,0.504065040650406,1536,0.578095596537448,1898,0.641649763353617,2079,0.61075205640423,1925,0.679012345679012,1603,0.56643109540636,1939,0.700758944705457,2238,0.638152266894782,1817,0.677985074626866,1759,0.578999341672153,2198,0.655727923627685,2441,0.677679067184897,2031,0.67677440853049,1908,0.633676519428761,2908,0.917350157728707,2458,0.743946731234867,2104,0.614306569343066,1889,0.613311688311688,3158,0.812451762284538,2548,0.592558139534884,2147,0.608387645225276,1954,0.515703351807865,2314,0.666090961427749,2616,0.712612367202397,2162,0.615603644646925,2198,0.780817051509769,2606,0.925754884547069,2916,0.979509573396036,2427,0.623106546854942,2512,1.66027759418374,2994,0.836780324203465,3342,0.702248371506619,2747,0.593432706848131,—,,3562,0.599058190380087,—,,—,,—,,—,,—,
Operating Income,,1532,1.0,1129,1.0,1146,1.0,1481,1.0,876,1.0,1234,1.0,1169,1.0,1279,1.0,926,1.0,2362,1.0,1276,1.0,1399,1.0,186,1.0,1059,1.0,1146,1.0,968,1.0,1107,1.0,1135,1.0,1747,1.0,1593,1.0,878,1.0,1981,1.0,1186,1.0,1008,1.0,941,1.0,669,1.0,510,1.0,379,1.0,1355,1.0,-775,,948,1.0,1862,1.0,2045,1.0,2942,1.0,2799,1.0,1836,1.0,2660,1.0,2013,1.0,1670,1.0,2856,1.0
